ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9228516,0.2841797,0.1416016,0.9707031,-0.2128906,0.07714844,-1,-4,-1,3,-1,2,0,2,-6,-3,-1,-4,-2,-3,5,-30,-0.4375,-0.4375,-0.4375,-1.5625,-1.5625,-1.5625,6.747691,3.04423,1.357116,2.963315,2.856272,6.708486,-0.1479862,-0.4137138,1.490317,0.272876,-0.4142106,1.481719,0.09408478,0.4253018,1.574574,-0.09235469,-0.38895,1.473898,0.218557,-0.3988283,1.456464,0.0778919,-0.03453779,1.581888,0.07468843,-0.3529462,1.567835,-0.09590843,0.1565201,1.553775,-0.007999593,-0.3434812,1.532557,-0.1525991,-0.1223776,1.572788,0.3033097,-0.1267495,1.579248,NA,NA,NotTracked,NotTracked,
0.9238281,0.2895508,0.1489258,0.9707031,-0.2070313,0.06738281,0,0,0,1,1,-3,-3,-2,-1,-1,-2,-1,-1,0,0,3,-0.0625,-0.0625,-0.0625,2,2,2,6.749119,3.046185,1.355946,2.961872,2.856522,6.711154,-0.1483044,-0.4139643,1.48989,0.2727022,-0.4144936,1.481177,0.09379902,0.4251548,1.574567,-0.09186931,-0.388574,1.472733,0.2189273,-0.3963048,1.456752,0.07767464,-0.0345742,1.58189,0.0745772,-0.352949,1.567811,-0.09609755,0.1564887,1.553739,-0.008087995,-0.3435007,1.532538,-0.1526959,-0.1222841,1.572899,0.3033207,-0.1267247,1.579207,NA,NA,NotTracked,NotTracked,
0.9233398,0.2900391,0.1455078,0.9736328,-0.2094727,0.07177734,1,2,-2,-1,0,1,-1,-1,0,-2,-1,0,-2,0,2,2,0.5625,0.5625,0.5625,1.125,1.125,1.125,6.748676,3.04711,1.356123,2.951355,2.857426,6.722632,-0.1485974,-0.4143524,1.490447,0.2722975,-0.4136438,1.481008,0.09351265,0.4251482,1.574582,-0.09230605,-0.3889772,1.474353,0.2179114,-0.4131204,1.455107,0.07759798,-0.03458973,1.581864,0.07440202,-0.3529312,1.567804,-0.09623505,0.1564784,1.553672,-0.00826645,-0.343467,1.532583,-0.1528571,-0.1222231,1.573005,0.3032474,-0.1266446,1.579195,NA,NA,NotTracked,NotTracked,
0.9243164,0.2944336,0.1518555,0.9672852,-0.2060547,0.07861328,-1,-2,1,-3,-1,-1,-6,-1,1,0,-3,-1,0,-3,-2,3,0.0625,0.0625,0.0625,0,0,0,6.751122,3.048212,1.353714,2.95273,2.858791,6.722917,-0.1491131,-0.4138958,1.490182,0.2715629,-0.4138231,1.480849,0.09325061,0.4251214,1.574683,-0.09250615,-0.389799,1.474308,0.2183602,-0.400738,1.456716,0.07745021,-0.03455468,1.581849,0.07418603,-0.3529535,1.567801,-0.09645997,0.1564818,1.553642,-0.008510076,-0.3435109,1.532586,-0.1529354,-0.1222106,1.573081,0.3031268,-0.1267292,1.579131,NA,NA,NotTracked,NotTracked,
0.9243164,0.2895508,0.1425781,0.96875,-0.2041016,0.07617188,-2,0,1,-2,0,0,-1,-2,1,0,2,-2,0,2,-1,1,-0.875,-0.875,-0.875,1.3125,1.3125,1.3125,6.751098,3.048074,1.353718,2.95572,2.859494,6.721559,-0.1501347,-0.4136578,1.489835,0.2716512,-0.4133689,1.481234,0.09284785,0.4250526,1.574821,-0.09172206,-0.3893347,1.47222,0.2189227,-0.394255,1.45737,0.07729153,-0.03455462,1.581859,0.07400702,-0.3529316,1.567783,-0.0967221,0.1565218,1.553613,-0.008666223,-0.3435067,1.532552,-0.153071,-0.1222249,1.573173,0.30305,-0.1266928,1.579059,NA,NA,NotTracked,NotTracked,
0.9223633,0.2915039,0.1547852,0.9628906,-0.2133789,0.07958984,-4,-4,-1,0,-1,-2,-6,0,-1,-2,-2,0,1,1,-1,0,0.4375,0.4375,0.4375,-1.1875,-1.1875,-1.1875,6.751098,3.048074,1.353718,2.963777,2.860065,6.713096,-0.1498526,-0.4140211,1.489279,0.2711098,-0.4129936,1.480555,0.09235148,0.4250212,1.575085,-0.09200943,-0.3878988,1.472429,0.2200767,-0.3830169,1.4586,0.07691488,-0.03460929,1.581939,0.07385609,-0.3529242,1.567804,-0.0970634,0.156541,1.553645,-0.008788515,-0.3435134,1.532593,-0.1535124,-0.1222235,1.573454,0.302936,-0.1267058,1.579018,NA,NA,NotTracked,NotTracked,
0.9155273,0.2866211,0.152832,0.9716797,-0.2094727,0.07666016,-4,-1,-1,-1,0,-5,-2,-2,-5,-3,0,-1,-3,-1,3,-4,0.3125,0.3125,0.3125,0.8125,0.8125,0.8125,6.750489,3.048103,1.354108,2.966381,2.860747,6.710666,-0.1500203,-0.4139308,1.490116,0.2707587,-0.4136753,1.481332,0.0919631,0.4251167,1.575445,-0.09102766,-0.3928565,1.470643,0.2191328,-0.3915034,1.457743,0.07657598,-0.03453301,1.582031,0.07363223,-0.3529054,1.567831,-0.09743207,0.1564876,1.55385,-0.009012457,-0.3435072,1.532603,-0.1536365,-0.1222093,1.573658,0.3026658,-0.1265897,1.578973,NA,NA,NotTracked,NotTracked,
0.9272461,0.2919922,0.1533203,0.9716797,-0.2128906,0.07080078,-3,-2,1,-1,-2,-2,4,-1,0,-3,-4,-2,1,-1,-3,-2,-1.6875,-1.6875,-1.6875,0.8125,0.8125,0.8125,6.749124,3.047723,1.354591,2.971618,2.86143,6.706914,-0.1500917,-0.4135708,1.490616,0.2701091,-0.4138304,1.481994,0.09166345,0.4250971,1.575634,-0.09177023,-0.3861105,1.472897,0.2186089,-0.3930866,1.457133,0.07644214,-0.03454664,1.582121,0.07356904,-0.352926,1.567891,-0.09777009,0.1565112,1.554101,-0.009060527,-0.3435343,1.532621,-0.1540232,-0.121897,1.574046,0.3022498,-0.1265783,1.579034,NA,NA,NotTracked,NotTracked,
0.9174805,0.2954102,0.1499023,0.965332,-0.215332,0.08105469,0,1,-1,-2,1,5,-3,-1,-1,-1,-1,-2,2,-1,-5,1,-0.5,-0.5,-0.5,-0.3125,-0.3125,-0.3125,6.747369,3.048225,1.355745,2.974174,2.861534,6.704497,-0.1493927,-0.414045,1.490817,0.2695168,-0.413235,1.481759,0.09139799,0.4250695,1.575874,-0.09154341,-0.3896012,1.472019,0.2187354,-0.388637,1.457723,0.07621381,-0.03456192,1.582221,0.07340555,-0.3529608,1.567922,-0.09790407,0.1565188,1.554116,-0.009206657,-0.34355,1.532635,-0.1542754,-0.1218458,1.574291,0.3019162,-0.1266469,1.579098,NA,NA,NotTracked,NotTracked,
0.9160156,0.2915039,0.1494141,1.02832,-0.2167969,0.02880859,-1,-1,-2,-1,-3,-8,0,-1,-4,-2,-6,3,11,-3,-1,-2,-1.0625,-1.0625,-1.0625,3.4375,3.4375,3.4375,6.746531,3.048312,1.355873,2.994683,2.866881,6.685066,-0.1491301,-0.4135062,1.489829,0.2686492,-0.4131039,1.481968,0.09097512,0.4251982,1.576126,-0.09205604,-0.3900042,1.472037,0.2182552,-0.3902469,1.457258,0.07587509,-0.03456193,1.582297,0.07297241,-0.3530354,1.567912,-0.09826269,0.1564543,1.554287,-0.009627475,-0.3436507,1.532637,-0.1544883,-0.1214712,1.574486,0.3014604,-0.1268095,1.579007,NA,NA,NotTracked,NotTracked,
