ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9155273,0.2802734,0.1269531,0.9575195,-0.2177734,0.09667969,0,-4,-3,-1,0,-3,-2,-5,0,-1,-3,-2,0,-4,-1,-4,-1.25,-1.25,-1.25,-9.125,-9.125,-9.125,6.861445,2.996311,1.946059,3.073254,2.896161,6.465868,-0.1388132,-0.4087327,1.472754,0.267167,-0.4130957,1.497602,0.09000975,0.4337324,1.584447,-0.1954263,-0.4115733,1.477952,0.3108212,-0.4088699,1.49403,0.07377703,-0.02809041,1.587503,0.06955843,-0.3485986,1.575543,-0.0984651,0.1608919,1.550002,-0.0126181,-0.3394625,1.538931,-0.1510786,-0.117896,1.559177,0.2905569,-0.1197971,1.586361,NA,NA,NotTracked,NotTracked,
0.9204102,0.2880859,0.1162109,0.9575195,-0.2177734,0.09667969,0,2,-1,0,0,2,-1,0,0,-1,-3,-2,0,-4,-1,-4,-1.1875,-1.1875,-1.1875,-9.125,-9.125,-9.125,6.847631,2.99778,1.955453,3.073254,2.896161,6.465868,-0.1382947,-0.410426,1.472585,0.2653856,-0.4133594,1.498287,0.08959143,0.4336243,1.584315,-0.1937446,-0.4044258,1.474925,0.3068158,-0.4228441,1.49475,0.07349589,-0.02822815,1.587118,0.06932042,-0.3486288,1.575147,-0.09891551,0.1608595,1.54963,-0.01285883,-0.3394861,1.53857,-0.1512784,-0.1179731,1.558915,0.2902919,-0.119651,1.586198,NA,NA,NotTracked,NotTracked,
0.9326172,0.2729492,0.1196289,0.9575195,-0.2177734,0.09667969,0,-2,-2,-1,-1,3,0,0,0,-1,-3,-2,0,-4,-1,-4,0,0,0,-9.125,-9.125,-9.125,6.842102,2.998528,1.960322,3.073254,2.896161,6.465868,-0.138603,-0.4111299,1.47362,0.2648271,-0.4122557,1.498459,0.0893128,0.4335491,1.584212,-0.1946507,-0.4336025,1.477875,0.3061775,-0.4058855,1.490476,0.07300858,-0.02816061,1.58691,0.06894878,-0.3485772,1.57485,-0.09939592,0.160809,1.549606,-0.01323458,-0.3394615,1.538254,-0.1516131,-0.1178444,1.558881,0.2899988,-0.1195748,1.586167,NA,NA,NotTracked,NotTracked,
0.9365234,0.2802734,0.1098633,0.9575195,-0.2177734,0.09667969,-1,2,-2,-1,1,-1,-2,-3,0,-1,-3,-2,0,-4,-1,-4,2.6875,2.6875,2.6875,-9.125,-9.125,-9.125,6.843125,2.998984,1.9648,3.073254,2.896161,6.465868,-0.1390737,-0.4105744,1.471609,0.263397,-0.4113308,1.496277,0.08908491,0.4334983,1.58413,-0.1941653,-0.4126527,1.471582,0.3060233,-0.39934,1.491286,0.07274882,-0.0281403,1.586791,0.0686852,-0.3485549,1.57459,-0.09977693,0.1608168,1.549461,-0.01349033,-0.3394594,1.537905,-0.1517783,-0.1178677,1.558807,0.2896508,-0.1195155,1.585947,NA,NA,NotTracked,NotTracked,
0.925293,0.2817383,0.1147461,0.9575195,-0.2177734,0.09667969,1,0,1,-2,-1,5,6,2,0,-1,-3,-2,0,-4,-1,-4,1.8125,1.8125,1.8125,-9.125,-9.125,-9.125,6.839404,3.002774,1.972322,3.073254,2.896161,6.465868,-0.139678,-0.410814,1.472592,0.2625757,-0.411696,1.495451,0.08869055,0.4334965,1.584092,-0.1953239,-0.4155007,1.474772,0.3067796,-0.4109347,1.493444,0.07256762,-0.02816697,1.586627,0.06851266,-0.3485993,1.574333,-0.1002169,0.1606132,1.549385,-0.01370235,-0.3395465,1.537582,-0.1521244,-0.1177488,1.558751,0.2891385,-0.1190147,1.58561,NA,NA,NotTracked,NotTracked,
0.9335938,0.2802734,0.1274414,0.9575195,-0.2177734,0.09667969,1,-3,-1,-1,0,-4,0,-4,0,-1,-3,-2,0,-4,-1,-4,0.5625,0.5625,0.5625,-9.125,-9.125,-9.125,6.83948,3.00824,1.97475,3.073254,2.896161,6.465868,-0.1399211,-0.4112094,1.47347,0.2619359,-0.4127367,1.494853,0.08832062,0.4333549,1.583976,-0.1941515,-0.4119513,1.472466,0.3058636,-0.4123203,1.492647,0.07231596,-0.02818578,1.586544,0.06826535,-0.3485552,1.574144,-0.1006327,0.1605749,1.549445,-0.01393059,-0.3394987,1.537335,-0.1523488,-0.1177221,1.558728,0.2886907,-0.118848,1.585375,NA,NA,NotTracked,NotTracked,
0.9296875,0.2856445,0.1064453,0.9575195,-0.2177734,0.09667969,-1,-3,-1,-1,-1,-1,-1,2,0,-1,-3,-2,0,-4,-1,-4,-0.625,-0.625,-0.625,-9.125,-9.125,-9.125,6.842035,3.012285,1.973437,3.073254,2.896161,6.465868,-0.1404622,-0.4114657,1.473639,0.2617809,-0.4128439,1.493353,0.08796182,0.4333638,1.58414,-0.1953078,-0.4119351,1.474638,0.3047605,-0.403873,1.488578,0.07216763,-0.02817743,1.58643,0.06803428,-0.3485475,1.573915,-0.1009023,0.1604604,1.549485,-0.01420191,-0.3395029,1.537104,-0.1527162,-0.1177839,1.558754,0.2882262,-0.1185119,1.585001,NA,NA,NotTracked,NotTracked,
0.9428711,0.2807617,0.1166992,0.9575195,-0.2177734,0.09667969,0,1,-1,-1,0,-5,-6,-1,0,-1,-3,-2,0,-4,-1,-4,-0.5,-0.5,-0.5,-9.125,-9.125,-9.125,6.840144,3.017081,1.974415,3.073254,2.896161,6.465868,-0.1401899,-0.4118175,1.474328,0.2613383,-0.4122776,1.493104,0.08753082,0.4333436,1.584122,-0.1939823,-0.4141828,1.471922,0.298358,-0.4381096,1.488667,0.0717907,-0.0282164,1.586303,0.06794593,-0.3485539,1.57372,-0.101236,0.1604352,1.549529,-0.01430363,-0.3395472,1.536852,-0.1535262,-0.1171514,1.558654,0.2877662,-0.1185791,1.584693,NA,NA,NotTracked,NotTracked,
1.008301,0.2724609,0.0390625,0.9575195,-0.2177734,0.09667969,-5,0,-7,-1,-9,-4,-1,-1,0,-1,-3,-2,0,-4,-1,-4,-11.5,-11.5,-11.5,-9.125,-9.125,-9.125,6.840045,3.023955,1.963298,3.073254,2.896161,6.465868,-0.1394333,-0.4110147,1.473324,0.2607448,-0.4111096,1.489773,0.0870279,0.4333848,1.584127,-0.1942284,-0.4116295,1.473184,0.3016407,-0.4136286,1.484684,0.07165666,-0.0281749,1.586109,0.06791866,-0.3481374,1.573174,-0.1015882,0.160395,1.549513,-0.01430784,-0.3392311,1.536267,-0.1536671,-0.117378,1.558617,0.2876948,-0.1186155,1.584664,NA,NA,NotTracked,NotTracked,
1.381836,0.2763672,-0.2358398,0.9575195,-0.2177734,0.09667969,1,-2,4,-1,-5,-1,1,2,0,-1,-3,-2,0,-4,-1,-4,-24.8125,-24.8125,-24.8125,-9.125,-9.125,-9.125,6.835049,3.121034,1.903079,3.073254,2.896161,6.465868,-0.1391207,-0.410341,1.472686,0.2610724,-0.3945963,1.480212,0.08668666,0.4334273,1.584067,-0.1947416,-0.4129047,1.474819,0.2736752,-0.3974605,1.436265,0.0711147,-0.02825059,1.585785,0.06711403,-0.3481341,1.572577,-0.1016312,0.1603442,1.549392,-0.01531087,-0.3391823,1.535174,-0.1537756,-0.1174389,1.558696,0.2947398,-0.1161069,1.592051,NA,NA,NotTracked,NotTracked,
