ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.4897461,-0.6801758,0.4262695,0.5913086,0.7724609,0.4277344,3,4,-4,-16,-2,0,-1,-9,8,3,0,-14,0,1,-3,24,-23.0625,-23.0625,-23.0625,27.875,27.875,27.875,3.471706,4.017193,5.628776,6.706117,3.992951,4.537074,-0.1512032,-0.2594023,1.380772,0.3068677,-0.2247308,1.370402,0.08523938,0.427887,1.628226,-0.1826645,-0.2748627,1.351933,0.2666302,-0.2169477,1.358615,0.07391182,-0.02638025,1.622283,0.07313626,-0.3363683,1.601051,-0.102272,0.1566812,1.603096,-0.008958543,-0.3294767,1.565221,-0.1554277,-0.08663301,1.643085,0.3138191,-0.07845568,1.646059,NA,NA,Unknown,Closed,
0.3461914,-0.769043,0.3823242,0.3168945,0.6879883,0.4121094,-9,-6,-4,13,9,6,6,-5,-4,1,-10,-7,-4,0,-2,-16,-25.3125,-25.3125,-25.3125,41.3125,41.3125,41.3125,3.401849,4.30266,5.667461,6.752749,4.29193,4.529668,-0.1580465,-0.1836039,1.343631,0.3099963,-0.1493581,1.340362,0.08520907,0.4277459,1.628063,-0.1951646,-0.1806447,1.335933,0.2716525,-0.148944,1.330643,0.07371476,-0.0259761,1.622301,0.07290069,-0.335458,1.600823,-0.101674,0.1578768,1.603887,-0.009254874,-0.3285154,1.564867,-0.1554106,-0.07004595,1.643332,0.3147024,-0.0598148,1.642791,NA,NA,Closed,Closed,
0.296875,-0.6577148,0.4453125,0.2729492,0.7792969,0.3798828,9,6,0,-11,9,-5,3,4,-7,-4,4,3,0,-3,-5,-43,-17.6875,-17.6875,-17.6875,19.625,19.625,19.625,3.369155,4.539873,5.686295,6.805802,4.570667,4.519855,-0.1690581,-0.1138105,1.326313,0.3138489,-0.08146489,1.325257,0.08510935,0.4274133,1.627721,-0.1915218,-0.1332165,1.302333,0.3045425,-0.05610915,1.31075,0.07364759,-0.02585071,1.622357,0.07269613,-0.3349239,1.600675,-0.1011836,0.1589519,1.604327,-0.00948745,-0.3279712,1.564717,-0.1561101,-0.0601347,1.636201,0.3166806,-0.05836967,1.638508,NA,NA,Closed,Unknown,
0.3032227,-0.7885742,0.5390625,0.1162109,0.7880859,0.355957,-7,-5,-6,-9,-11,-2,-4,-13,-5,-17,3,-1,0,0,-4,-9,-11.0625,-11.0625,-11.0625,38.375,38.375,38.375,3.337596,4.699193,5.697231,6.840399,4.790467,4.526417,-0.1760201,-0.06426332,1.321961,0.3137009,-0.03011647,1.327111,0.08493789,0.427252,1.6277,-0.1744514,-0.03576672,1.312529,0.304121,0.0002539879,1.330909,0.07352743,-0.02568638,1.622466,0.07258268,-0.3346238,1.600619,-0.1009834,0.1596628,1.604904,-0.009620971,-0.3276021,1.564675,-0.1383297,-0.07345001,1.605685,0.3086902,-0.06020244,1.622787,NA,NA,Closed,Closed,
0.1982422,-0.7666016,0.4628906,0.08837891,0.9135742,0.4311523,-6,-11,-5,-7,-2,-5,-4,10,-5,-4,-6,-7,-3,-2,-5,-6,-5.375,-5.375,-5.375,37.9375,37.9375,37.9375,3.329085,4.826772,5.718682,6.859636,4.850201,4.528566,-0.1811545,-0.03186729,1.324144,0.3118054,0.001300451,1.33447,0.0847008,0.4269812,1.627753,-0.2049236,-0.0102099,1.332572,0.298976,0.03149872,1.338417,0.07337915,-0.02549129,1.622787,0.07248647,-0.3344162,1.600636,-0.1004447,0.1606873,1.605325,-0.009748913,-0.327422,1.564795,-0.1442685,-0.1083935,1.596721,0.308943,-0.05930358,1.617284,NA,NA,Unknown,Closed,
0.08789063,-0.8662109,0.5048828,0.02783203,0.7802734,0.3515625,2,5,-4,-9,-5,-5,-4,-6,2,2,-5,-5,6,0,-2,-4,11.875,11.875,11.875,17.6875,17.6875,17.6875,3.340065,4.834041,5.7227,6.892035,5.05418,4.538118,-0.1817371,-0.02706041,1.324588,0.3127756,0.008063854,1.335321,0.08451931,0.4267806,1.628046,-0.2034696,-0.01063783,1.319932,0.296044,0.03635165,1.32725,0.07335806,-0.02544499,1.623049,0.07243656,-0.3343111,1.600689,-0.09997677,0.1612282,1.605519,-0.009828126,-0.3273497,1.564874,-0.1472982,-0.05377085,1.621923,0.309016,-0.05840853,1.614576,NA,NA,Closed,Closed,
0.1206055,-1.040039,0.7246094,0.05322266,0.7973633,0.4013672,0,2,-5,-30,-22,-16,-3,-4,1,-1,19,15,1,-1,1,12,-1.375,-1.375,-1.375,-12.8125,-12.8125,-12.8125,3.368297,4.858825,5.721861,6.888938,5.073325,4.539151,-0.1807898,-0.02910844,1.329672,0.3123262,0.01297439,1.339541,0.08428467,0.4266778,1.628257,-0.2096479,-0.01896154,1.320455,0.2877822,0.04194308,1.362,0.07315913,-0.02522878,1.623288,0.07241273,-0.3341242,1.60074,-0.09964409,0.1614966,1.605574,-0.009870376,-0.3272319,1.564947,-0.1481239,-0.05248665,1.626221,0.3091806,-0.05782953,1.614044,NA,NA,Closed,Closed,
-0.1113281,-0.9863281,0.480957,-0.05078125,1.102539,0.480957,-11,-4,-2,8,0,7,9,-23,16,11,5,18,-1,-6,-2,2,-0.8125,-0.8125,-0.8125,14.5,14.5,14.5,3.357514,5.016334,5.698362,6.891895,5.103259,4.541028,-0.1760343,0.004857638,1.340785,0.3096057,0.03956665,1.356148,0.08411022,0.426406,1.628209,-0.1893185,-0.02893687,1.3466,0.2941946,0.07080677,1.357643,0.0730708,-0.02518978,1.623343,0.07240024,-0.3341173,1.600762,-0.09880611,0.1618658,1.605381,-0.009916854,-0.3272293,1.565006,-0.1441275,-0.05512057,1.610744,0.3137232,-0.05701743,1.604416,NA,NA,Unknown,Closed,
-0.07861328,-0.8110352,0.4003906,-0.222168,0.9589844,0.3461914,-3,-2,-5,-1,-11,-6,1,3,-7,-8,-1,-1,0,-2,2,-4,-15.9375,-15.9375,-15.9375,6.375,6.375,6.375,3.320709,5.187299,5.637773,6.914572,5.266886,4.570826,-0.1702984,0.04941816,1.369643,0.3072409,0.07078541,1.375584,0.08400422,0.4262494,1.627878,-0.1627724,0.04002746,1.3184,0.2697729,0.09840642,1.37375,0.07306585,-0.02506129,1.623527,0.07248002,-0.3338366,1.600969,-0.09785026,0.1625548,1.605155,-0.009864789,-0.3270563,1.565209,-0.1508597,-0.05348896,1.600934,0.3233345,-0.05336215,1.592609,NA,NA,Closed,Closed,
-0.03613281,-0.3994141,0.2529297,-0.08984375,0.637207,0.4042969,-12,-6,1,14,7,-11,-4,4,-7,7,-6,0,-2,-1,21,5,17.9375,17.9375,17.9375,-1,-1,-1,3.318938,5.163004,5.536839,6.925711,5.408486,4.637441,-0.1593952,0.06360651,1.38011,0.2988487,0.08279262,1.382315,0.08392611,0.4262392,1.627313,-0.1403147,0.05853001,1.348318,0.2547535,0.08498293,1.377273,0.0730522,-0.02492402,1.623624,0.07255692,-0.3335377,1.601331,-0.09628253,0.1643447,1.604415,-0.00978935,-0.3267767,1.565896,-0.1600396,-0.0503721,1.590786,0.3275791,-0.0493531,1.584427,NA,NA,Closed,Closed,
