ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9716797,-0.2021484,0.1030273,0.8725586,0.3989258,0.1791992,-1,0,-2,-1,-3,-1,-3,-1,0,1,-2,1,-1,-4,-1,-2,-0.3125,-0.3125,-0.3125,2.125,2.125,2.125,3.194079,2.868689,4.630856,6.824293,3.25107,3.163981,-0.1546279,-0.4213728,1.590576,0.2845278,-0.4259106,1.585451,0.08017949,0.4279411,1.679619,-0.1012593,-0.4029108,1.557217,0.2307589,-0.4020823,1.565,0.06703404,-0.02670607,1.673433,0.06477749,-0.3374463,1.649059,-0.1060064,0.1551176,1.651807,-0.01575297,-0.3280358,1.609328,-0.1629728,-0.1220792,1.679233,0.303604,-0.1205909,1.700787,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,0.8740234,0.4013672,0.1806641,-1,0,-2,-1,-3,-1,-3,-1,1,-1,0,2,0,8,2,-1,-0.3125,-0.3125,-0.3125,-0.5,-0.5,-0.5,3.194079,2.868689,4.630856,6.824017,3.250494,3.1668,-0.1548893,-0.4217396,1.589086,0.2850188,-0.42639,1.584648,0.0801471,0.4278954,1.679552,-0.1014015,-0.4169548,1.555412,0.2320069,-0.4108797,1.569069,0.06702082,-0.02672738,1.673433,0.06473994,-0.337491,1.64907,-0.106013,0.1550925,1.651791,-0.01577429,-0.3280639,1.60933,-0.1629322,-0.122204,1.679322,0.3035983,-0.1206141,1.700777,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,0.8779297,0.4042969,0.1948242,-1,0,-2,-1,-3,-1,-3,-1,0,0,-1,-1,-1,-1,-2,-1,-0.3125,-0.3125,-0.3125,0.375,0.375,0.375,3.194079,2.868689,4.630856,6.82352,3.249003,3.167439,-0.1551729,-0.4217371,1.591281,0.2845813,-0.4259165,1.587396,0.08011447,0.4279394,1.679595,-0.1008581,-0.41993,1.555322,0.2419854,-0.4367251,1.599187,0.06703886,-0.02676044,1.673444,0.06476726,-0.3375433,1.649133,-0.1059733,0.1550909,1.651825,-0.01574849,-0.3281082,1.609388,-0.1629559,-0.1222021,1.679331,0.3035939,-0.1206605,1.700854,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,0.875,0.3979492,0.1845703,-1,0,-2,-1,-3,-1,-3,-1,-5,-2,0,-1,0,-1,-2,-2,-0.3125,-0.3125,-0.3125,1.3125,1.3125,1.3125,3.194079,2.868689,4.630856,6.822711,3.242754,3.170653,-0.1556169,-0.4216698,1.592552,0.2851356,-0.4260971,1.58848,0.08010074,0.4280223,1.679613,-0.1017401,-0.4039763,1.556252,0.2299468,-0.4128361,1.567091,0.06706512,-0.02674453,1.673398,0.06475576,-0.3375441,1.649141,-0.1059568,0.1550983,1.651838,-0.01577074,-0.3281018,1.609399,-0.162942,-0.1221138,1.679442,0.3035802,-0.1206651,1.700994,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,0.8754883,0.4121094,0.1801758,-1,0,-2,-1,-3,-1,-3,-1,0,-1,0,0,0,2,1,0,-0.3125,-0.3125,-0.3125,-0.875,-0.875,-0.875,3.194079,2.868689,4.630856,6.826196,3.241291,3.16858,-0.1548933,-0.4211141,1.591824,0.2857946,-0.4262905,1.588698,0.08006677,0.4280384,1.679585,-0.1001707,-0.4155018,1.557487,0.2314476,-0.4167131,1.568729,0.06708055,-0.02674036,1.673406,0.06479692,-0.3375682,1.649158,-0.1059737,0.1550665,1.651794,-0.01571144,-0.3281205,1.609425,-0.1628912,-0.1221714,1.679523,0.3036408,-0.1207829,1.701075,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,0.8681641,0.4003906,0.1835938,-1,0,-2,-1,-3,-1,-3,-1,0,1,-1,-1,-2,-1,-3,0,-0.3125,-0.3125,-0.3125,0.375,0.375,0.375,3.194079,2.868689,4.630856,6.824769,3.240822,3.168171,-0.1551561,-0.4223353,1.591975,0.2863258,-0.4268852,1.58783,0.08005721,0.4280378,1.679587,-0.1010854,-0.4130591,1.556772,0.2318267,-0.4147609,1.568838,0.06708817,-0.02675023,1.673365,0.06478758,-0.3375999,1.649111,-0.1059455,0.155063,1.651781,-0.01572597,-0.3281619,1.609403,-0.1628398,-0.1222246,1.679514,0.3036357,-0.1207838,1.701115,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,0.9072266,0.4301758,0.1728516,-1,0,-2,-1,-3,-1,-3,-1,5,5,2,1,-1,-2,-1,-9,-0.3125,-0.3125,-0.3125,2.6875,2.6875,2.6875,3.194079,2.868689,4.630856,6.82795,3.242593,3.168802,-0.1553638,-0.4220078,1.590555,0.2857814,-0.4258556,1.58601,0.08000566,0.4280526,1.679488,-0.1008317,-0.4262237,1.557364,0.2333252,-0.399572,1.565756,0.06710522,-0.02670567,1.673343,0.0648023,-0.3375443,1.649075,-0.1059182,0.1551012,1.651739,-0.01569014,-0.3280918,1.609328,-0.1628665,-0.1222459,1.679537,0.3036682,-0.1208148,1.701131,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,1.115234,0.6845703,-0.06542969,-1,0,-2,-1,-3,-1,-3,-1,-68,-17,15,-2,-4,-5,-10,-23,-0.3125,-0.3125,-0.3125,-59.375,-59.375,-59.375,3.194079,2.868689,4.630856,6.828643,3.289146,3.122751,-0.1552108,-0.4210759,1.590776,0.2846738,-0.4146273,1.569881,0.07993043,0.4281307,1.679624,-0.1003028,-0.4076805,1.557816,0.241733,-0.4147506,1.588143,0.06713,-0.02666957,1.673356,0.06475817,-0.3375322,1.649061,-0.1058884,0.1551622,1.651765,-0.01575528,-0.3280823,1.609316,-0.1628673,-0.1222213,1.679558,0.3043973,-0.1201048,1.701861,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,1.236328,1.052734,0.2895508,-1,0,-2,-1,-3,-1,-3,-1,29,30,-15,23,-3,1,2,9,-0.3125,-0.3125,-0.3125,-47.375,-47.375,-47.375,3.194079,2.868689,4.630856,6.760515,3.502937,3.088146,-0.1557787,-0.4202644,1.589023,0.3026574,-0.350102,1.496058,0.07997736,0.4281075,1.679496,-0.1018921,-0.3980407,1.558512,0.2582477,-0.354707,1.474414,0.06705023,-0.02652076,1.67328,0.06439377,-0.3372777,1.649157,-0.105744,0.1553861,1.651406,-0.01612891,-0.3278248,1.609334,-0.1628457,-0.1221125,1.679508,0.3132402,-0.1054385,1.705653,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2021484,0.1030273,0.8662109,1.209961,0.4296875,-1,0,-2,-1,-3,-1,-3,-1,12,-30,-75,-5,7,0,5,7,-0.3125,-0.3125,-0.3125,29.8125,29.8125,29.8125,3.194079,2.868689,4.630856,6.7822,3.947008,3.049525,-0.1574261,-0.4192192,1.587363,0.3331141,-0.2004181,1.406138,0.08038202,0.4281335,1.67889,-0.1015418,-0.4090342,1.556877,0.2878375,-0.1898197,1.371471,0.06676872,-0.0263386,1.673251,0.06311265,-0.336707,1.649299,-0.1053482,0.1558301,1.650264,-0.01746462,-0.3272229,1.609235,-0.1631428,-0.121125,1.678832,0.3320758,-0.05662762,1.713482,NA,NA,NotTracked,Unknown,
