ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9682617,-0.2104492,0.07226563,0.8989258,0.3803711,0.1416016,-3,-4,0,-2,0,0,-2,-4,-3,2,-5,-5,1,-13,-1,-17,-1.4375,-1.4375,-1.4375,-3.4375,-3.4375,-3.4375,3.013069,2.87074,5.893801,6.96104,3.168614,4.376132,-0.1641956,-0.414467,1.545542,0.3111012,-0.427945,1.506414,0.09961951,0.4240148,1.615842,-0.1055483,-0.4120881,1.514564,0.3029491,-0.4656829,1.543608,0.07401533,-0.02876399,1.62595,0.06368125,-0.3409155,1.614061,-0.0938122,0.1615978,1.600534,-0.0176304,-0.330375,1.579425,-0.159917,-0.1179311,1.630454,0.3163622,-0.1285743,1.629334,NA,NA,NotTracked,NotTracked,
0.9736328,-0.2094727,0.08154297,0.8583984,0.3178711,0.1474609,-3,0,-2,-1,-1,-3,1,0,-2,-1,-6,-2,-1,-4,1,-7,-1.9375,-1.9375,-1.9375,7.4375,7.4375,7.4375,3.035491,2.868762,5.867358,6.947906,3.186751,4.393688,-0.1637877,-0.4164977,1.544866,0.3095674,-0.4211501,1.504751,0.09748285,0.4239475,1.614984,-0.1044076,-0.4067324,1.516518,0.2971326,-0.4613948,1.540077,0.07238841,-0.02877409,1.625404,0.06212626,-0.3407985,1.613476,-0.09579786,0.1615223,1.599335,-0.01911737,-0.330294,1.578742,-0.1614341,-0.1180753,1.629263,0.3158114,-0.1274594,1.628375,NA,NA,NotTracked,NotTracked,
0.9716797,-0.2124023,0.07470703,0.8657227,0.402832,0.1503906,-1,0,-1,0,-1,-1,3,-4,-1,1,-1,-1,-4,1,-1,-3,0.8125,0.8125,0.8125,10.1875,10.1875,10.1875,3.052657,2.867414,5.850809,6.952847,3.193315,4.410629,-0.1634874,-0.4169763,1.544369,0.3078271,-0.4199451,1.505945,0.09581687,0.4242721,1.614632,-0.1051768,-0.4023067,1.51603,0.2941291,-0.4586213,1.540573,0.07119167,-0.02865561,1.624893,0.0613318,-0.3407708,1.612976,-0.09721868,0.1616522,1.598603,-0.01986693,-0.3303135,1.578222,-0.1624119,-0.1173409,1.62857,0.3151564,-0.1265488,1.627796,NA,NA,NotTracked,NotTracked,
0.9765625,-0.2138672,0.07373047,0.8842773,0.3847656,0.1401367,0,1,-2,0,0,-1,0,0,0,0,-2,0,-2,-8,-2,1,2.125,2.125,2.125,-8.75,-8.75,-8.75,3.063754,2.866115,5.842372,6.937829,3.194556,4.417022,-0.1631587,-0.4173954,1.543618,0.3070782,-0.4176359,1.506158,0.09406232,0.4240728,1.613927,-0.1058096,-0.4012705,1.514863,0.2914669,-0.4574337,1.540652,0.07001613,-0.02884716,1.624289,0.06088636,-0.3409633,1.612582,-0.09835431,0.1614599,1.597742,-0.02035106,-0.330618,1.577791,-0.1629428,-0.1172964,1.627866,0.3144391,-0.1253003,1.626904,NA,NA,NotTracked,NotTracked,
0.9726563,-0.2138672,0.06884766,0.9008789,0.4238281,0.137207,-3,-2,-1,0,0,-2,4,5,-2,2,-2,-4,-5,-5,9,3,-1.375,-1.375,-1.375,-11.1875,-11.1875,-11.1875,3.066809,2.861899,5.838112,6.940847,3.204813,4.399818,-0.1621677,-0.4184873,1.54457,0.3060505,-0.416737,1.505129,0.09265765,0.423999,1.613279,-0.105712,-0.3995839,1.515148,0.2913781,-0.4559839,1.537403,0.0693012,-0.02898248,1.623833,0.06047272,-0.341104,1.612301,-0.09921944,0.1612589,1.597027,-0.02081063,-0.3308334,1.577528,-0.1636043,-0.1174706,1.627404,0.3137547,-0.1244035,1.626649,NA,NA,NotTracked,NotTracked,
0.9580078,-0.2172852,0.07080078,0.8696289,0.4140625,0.140625,-11,-6,1,1,1,-1,-1,-1,-3,2,-1,-1,-2,-3,3,0,0.875,0.875,0.875,-11.8125,-11.8125,-11.8125,3.058172,2.85739,5.845452,6.931898,3.224076,4.386924,-0.1631865,-0.4174175,1.543315,0.3059835,-0.4144665,1.501082,0.09145764,0.4238926,1.61233,-0.1059633,-0.4042524,1.513949,0.2876244,-0.4530657,1.536132,0.06849387,-0.02894541,1.623184,0.06000347,-0.3410235,1.611903,-0.1000052,0.1611382,1.596161,-0.02133443,-0.330837,1.57679,-0.1638515,-0.1176484,1.626961,0.3131967,-0.1237592,1.625981,NA,NA,NotTracked,NotTracked,
0.9731445,-0.2021484,0.07080078,0.8662109,0.4052734,0.1489258,3,3,-1,-2,-2,1,-1,1,-1,-6,0,-1,2,-11,-2,1,2.625,2.625,2.625,3.625,3.625,3.625,3.050344,2.853976,5.85815,6.931461,3.239013,4.383412,-0.1632383,-0.4173193,1.544988,0.306417,-0.4131792,1.498817,0.0906682,0.423873,1.61167,-0.1067037,-0.4052691,1.514807,0.2867274,-0.4511955,1.533,0.06794164,-0.02901881,1.62282,0.05970323,-0.3410953,1.611786,-0.1006126,0.1610762,1.595679,-0.02160316,-0.3309245,1.576707,-0.164427,-0.1176831,1.626676,0.3128796,-0.1229658,1.625213,NA,NA,NotTracked,NotTracked,
0.9829102,-0.2124023,0.07714844,0.9697266,0.4697266,0.09228516,-2,-4,-1,-3,-1,-2,-3,-1,-1,3,13,-1,-1,-9,-7,-7,2.8125,2.8125,2.8125,-11.8125,-11.8125,-11.8125,3.047477,2.85277,5.865341,6.919204,3.271453,4.394067,-0.1636943,-0.4180799,1.545537,0.3055145,-0.409348,1.492824,0.09004511,0.4238966,1.610983,-0.1057921,-0.4015495,1.515039,0.2846363,-0.4471439,1.529235,0.06750774,-0.0290808,1.622508,0.05921136,-0.3410257,1.611656,-0.1010091,0.1610145,1.595346,-0.02206976,-0.3308758,1.576583,-0.1645752,-0.117687,1.62654,0.3126195,-0.1220995,1.624246,NA,NA,NotTracked,NotTracked,
0.9594727,-0.2260742,0.07080078,1.081543,0.5917969,0.1821289,-3,-6,-1,-1,-1,-2,3,3,2,-19,2,4,8,29,-6,4,-5.125,-5.125,-5.125,-43.6875,-43.6875,-43.6875,3.049551,2.857243,5.863934,6.849292,3.331068,4.427051,-0.1633495,-0.4182287,1.545609,0.2950007,-0.37267,1.464625,0.08967785,0.423785,1.610627,-0.1057253,-0.4014345,1.515509,0.2616441,-0.3804606,1.485393,0.06723575,-0.02913953,1.622308,0.05897969,-0.34101,1.611444,-0.1014595,0.1608388,1.595052,-0.02239615,-0.3309536,1.576063,-0.1647122,-0.1178215,1.626456,0.3133286,-0.1184885,1.623918,NA,NA,NotTracked,NotTracked,
0.8925781,-0.234375,0.1025391,1.007813,0.8857422,0.8632813,-1,-1,-2,-3,-4,-2,-5,-4,-11,-17,-77,17,-50,-11,-3,-14,-23.6875,-23.6875,-23.6875,-3.75,-3.75,-3.75,3.046679,2.856372,5.836811,6.609111,3.609036,4.69058,-0.1638904,-0.4173625,1.543753,0.2543897,-0.2864216,1.406941,0.08956616,0.4237705,1.610205,-0.1072262,-0.4144216,1.514743,0.2181653,-0.2953389,1.415727,0.06616621,-0.0292046,1.621691,0.05547545,-0.3407175,1.610579,-0.101602,0.1607875,1.594811,-0.02633884,-0.3301143,1.575438,-0.1650042,-0.1175316,1.626301,0.3134819,-0.09684008,1.62116,NA,NA,NotTracked,Unknown,
