ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9638672,-0.230957,0.08984375,0.8657227,0.4052734,0.203125,-1,0,1,-1,-1,-1,-2,-3,2,-1,-1,-2,0,-1,8,3,4.125,4.125,4.125,-1.1875,-1.1875,-1.1875,3.108888,2.911856,6.832785,6.777216,3.261707,8.71471,-0.1855926,-0.4224639,1.510501,0.2529505,-0.4200576,1.529783,0.05177957,0.4310284,1.630673,-0.2399855,-0.4216682,1.516212,0.3043396,-0.4225828,1.532023,0.03676066,-0.02521539,1.622792,0.03659405,-0.3384744,1.599704,-0.1365691,0.1558637,1.58886,-0.04391767,-0.329409,1.560267,-0.1960957,-0.1224668,1.60006,0.2677002,-0.1250106,1.637543,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2319336,0.09326172,0.8662109,0.4140625,0.1977539,-2,-1,-2,0,-2,-3,-2,0,1,-2,-2,0,-2,2,-3,-1,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,3.111983,2.910324,6.832184,6.775058,3.261665,8.718456,-0.1848995,-0.422318,1.511276,0.2520221,-0.4223347,1.529535,0.05186443,0.4310651,1.630787,-0.2369431,-0.4237275,1.509564,0.3037684,-0.4248585,1.531312,0.03690352,-0.02530912,1.622946,0.03665894,-0.3385253,1.599832,-0.1364527,0.1558207,1.58921,-0.04385135,-0.3294616,1.560465,-0.1959657,-0.1225557,1.600263,0.267703,-0.1250941,1.637724,NA,NA,NotTracked,NotTracked,
0.9633789,-0.2402344,0.09472656,0.8676758,0.3989258,0.199707,0,-2,-1,0,-1,0,-7,-2,-4,0,-2,-3,-3,-1,9,-1,0.6875,0.6875,0.6875,-0.25,-0.25,-0.25,3.111983,2.910324,6.832184,6.77106,3.261204,8.720675,-0.1848781,-0.4234,1.511235,0.2519259,-0.4221184,1.529845,0.05196423,0.4310741,1.630823,-0.2371061,-0.4217383,1.509958,0.303909,-0.4236533,1.531252,0.03695452,-0.02535427,1.623024,0.03671674,-0.3385561,1.599864,-0.136366,0.1558014,1.58943,-0.04378347,-0.3294843,1.560506,-0.1956768,-0.1227491,1.600576,0.2677114,-0.1251666,1.637876,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2495117,0.1079102,0.8798828,0.3999023,0.1972656,0,-2,-1,0,0,-2,-22,-1,-3,-2,2,-1,0,-2,-1,0,0.375,0.375,0.375,0.625,0.625,0.625,3.10906,2.914145,6.834964,6.77094,3.259429,8.722297,-0.1849499,-0.4225115,1.511602,0.2514708,-0.4221146,1.52926,0.05208086,0.4311555,1.630989,-0.2377413,-0.4131736,1.515928,0.3036173,-0.424557,1.530878,0.03704991,-0.02543637,1.623099,0.03681876,-0.338629,1.599907,-0.1362492,0.1557619,1.58959,-0.0436943,-0.329528,1.560539,-0.1956166,-0.1227677,1.600802,0.2676375,-0.1252789,1.638082,NA,NA,NotTracked,NotTracked,
0.9570313,-0.2353516,0.09960938,0.862793,0.4174805,0.2021484,-1,-3,-2,0,0,-1,-2,0,2,2,0,0,-1,-1,3,7,2.5625,2.5625,2.5625,0.1875,0.1875,0.1875,3.10904,2.916959,6.839827,6.771953,3.259177,8.723053,-0.1841648,-0.4223366,1.509351,0.2512098,-0.4221112,1.527063,0.05226878,0.4311251,1.630896,-0.2383895,-0.4237938,1.511882,0.3025607,-0.4253105,1.528346,0.03715375,-0.02545345,1.623094,0.03686951,-0.3386439,1.599877,-0.1361787,0.1557282,1.58963,-0.0436174,-0.3295146,1.560465,-0.1954453,-0.1228566,1.600986,0.2676253,-0.1252976,1.638122,NA,NA,NotTracked,NotTracked,
0.9594727,-0.2387695,0.09667969,0.8676758,0.3950195,0.1948242,-2,0,-3,1,-2,-2,1,-2,-2,-3,-4,-1,0,-2,-3,3,-2.5625,-2.5625,-2.5625,-2.125,-2.125,-2.125,3.095718,2.916346,6.850521,6.767779,3.260384,8.724622,-0.1847679,-0.4225615,1.508939,0.2512328,-0.4218458,1.527196,0.05252929,0.4310871,1.630848,-0.239157,-0.4290299,1.513012,0.3025329,-0.4258075,1.528452,0.03724216,-0.02548357,1.6231,0.03688395,-0.3386264,1.599879,-0.1360761,0.155743,1.589721,-0.04358364,-0.3294537,1.560421,-0.1953723,-0.1228548,1.601067,0.2676148,-0.1253127,1.638191,NA,NA,NotTracked,NotTracked,
0.965332,-0.2290039,0.08740234,0.8720703,0.4052734,0.1972656,-1,1,0,0,0,-1,1,0,-2,-1,-1,-3,-1,2,6,0,1.25,1.25,1.25,4.4375,4.4375,4.4375,3.076792,2.912967,6.871804,6.770148,3.258854,8.72762,-0.1856646,-0.4219558,1.509123,0.2513419,-0.4221234,1.527497,0.05281899,0.4310594,1.630722,-0.2392129,-0.4325831,1.510539,0.305135,-0.4346232,1.535714,0.03746019,-0.02550298,1.623031,0.03700913,-0.3385483,1.59981,-0.1359066,0.1557321,1.589721,-0.04338338,-0.3293239,1.560179,-0.1953169,-0.1224969,1.600955,0.2675908,-0.1254244,1.638182,NA,NA,NotTracked,NotTracked,
1.037109,-0.2583008,0.002441406,0.9423828,0.4750977,0.1606445,-3,0,3,-6,-17,-10,-13,-6,-54,1,6,-6,-2,-2,1,-16,-15.0625,-15.0625,-15.0625,1.5625,1.5625,1.5625,3.084307,2.91697,6.850704,6.766355,3.265245,8.739477,-0.1861286,-0.4218782,1.508693,0.2508095,-0.4220633,1.526254,0.05308754,0.4310786,1.63051,-0.2394855,-0.4267967,1.511642,0.3008673,-0.4298778,1.525803,0.0375266,-0.02551593,1.623021,0.03711661,-0.3385555,1.599755,-0.1358853,0.1557046,1.589744,-0.04319296,-0.3292968,1.559976,-0.1952734,-0.1224925,1.60093,0.2675513,-0.1255232,1.638202,NA,NA,NotTracked,NotTracked,
1.064941,-0.3828125,0.1171875,1.001465,0.6977539,0.2441406,-1,-2,-3,-9,-47,-26,-63,-6,-10,30,-15,-10,-3,2,1,-4,-132.375,-132.375,-132.375,-61.625,-61.625,-61.625,3.186335,2.945338,6.596502,6.70202,3.343887,8.730056,-0.1817992,-0.4200993,1.503905,0.2454568,-0.4157107,1.510203,0.05324377,0.4310144,1.630455,-0.2329774,-0.4292077,1.497739,0.2980483,-0.4213533,1.513636,0.03758256,-0.02555329,1.622947,0.03714595,-0.3384585,1.599625,-0.1358251,0.1557507,1.589786,-0.04315469,-0.3291027,1.5596,-0.1958657,-0.121554,1.600601,0.2679249,-0.1252443,1.63844,NA,NA,NotTracked,NotTracked,
0.9423828,-0.7734375,0.390625,0.7783203,1.191406,0.6166992,0,0,-2,23,-59,-10,-22,-3,9,41,-47,12,7,-2,-2,-3,-243.3125,-243.3125,-243.3125,16.625,16.625,16.625,3.316842,3.177402,5.968791,6.626623,3.68739,8.79923,-0.1527958,-0.4016781,1.472324,0.2429475,-0.3619571,1.435914,0.05329783,0.431029,1.630404,-0.1960043,-0.3889355,1.44675,0.2532884,-0.3473622,1.399523,0.03773132,-0.02542252,1.622635,0.03720704,-0.3380899,1.599078,-0.1357794,0.1559279,1.58958,-0.04319521,-0.328498,1.558553,-0.199992,-0.1151062,1.596079,0.2715908,-0.1133783,1.635841,NA,NA,NotTracked,NotTracked,
