ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9589844,-0.2382813,0.1245117,0.9101563,0.3320313,0.1669922,0,-3,-2,-1,-3,-1,0,-1,1,0,-1,-3,0,-1,0,1,0.25,0.25,0.25,-1.1875,-1.1875,-1.1875,3.210143,2.927503,6.107304,6.785215,3.126774,6.526425,-0.1552721,-0.4195926,1.509388,0.255286,-0.4105237,1.523341,0.06948517,0.4283617,1.627832,-0.1008453,-0.395024,1.491244,0.3059289,-0.4193778,1.51932,0.05771182,-0.02856325,1.623502,0.05760685,-0.3413239,1.601471,-0.1166249,0.1544217,1.595503,-0.02336309,-0.3326801,1.561816,-0.1686834,-0.1215553,1.603302,0.2856703,-0.124403,1.635826,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,0.9072266,0.3295898,0.1655273,0,-3,-2,-1,-3,-1,0,-1,-2,2,-1,-2,-1,-6,-1,-1,0.25,0.25,0.25,1.0625,1.0625,1.0625,3.210143,2.927503,6.107304,6.784603,3.126031,6.52763,-0.1551912,-0.4192208,1.509534,0.2549517,-0.4104009,1.523378,0.06948452,0.4283787,1.627812,-0.1006234,-0.4022387,1.491852,0.3058432,-0.4229654,1.519458,0.0577575,-0.02855076,1.623558,0.0576594,-0.3413348,1.601457,-0.1166216,0.154412,1.595512,-0.02329199,-0.3326907,1.56177,-0.1687186,-0.1215194,1.603277,0.2856213,-0.1244914,1.63584,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,0.9023438,0.3369141,0.1577148,0,-3,-2,-1,-3,-1,0,-1,0,1,0,0,-1,7,-1,-1,0.25,0.25,0.25,0.375,0.375,0.375,3.210143,2.927503,6.107304,6.784506,3.126042,6.528145,-0.1552193,-0.4198226,1.509763,0.2555555,-0.4108096,1.524109,0.06951798,0.4283949,1.627711,-0.1001237,-0.3880828,1.489,0.3055906,-0.4207124,1.518676,0.05773191,-0.02856719,1.623572,0.05761819,-0.3413621,1.601461,-0.1166296,0.1543882,1.595524,-0.02333767,-0.3327198,1.561783,-0.1687443,-0.1214401,1.603311,0.2856122,-0.1244938,1.635895,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,0.9038086,0.34375,0.1572266,0,-3,-2,-1,-3,-1,0,-1,-3,0,-2,-1,-2,-2,-1,-2,0.25,0.25,0.25,5.25,5.25,5.25,3.210143,2.927503,6.107304,6.787697,3.122561,6.541344,-0.1549725,-0.4194936,1.510367,0.2555205,-0.4109176,1.52487,0.06948031,0.4283695,1.627593,-0.100784,-0.3787254,1.492842,0.3055648,-0.4210566,1.520024,0.05776459,-0.02862628,1.623632,0.05761194,-0.3414151,1.601473,-0.1166425,0.1543415,1.595601,-0.02334901,-0.3327867,1.561853,-0.1686887,-0.1216355,1.603383,0.285654,-0.1246564,1.636122,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,0.9033203,0.3393555,0.1665039,0,-3,-2,-1,-3,-1,0,-1,2,-2,0,-2,0,1,-1,0,0.25,0.25,0.25,-1.0625,-1.0625,-1.0625,3.210143,2.927503,6.107304,6.789871,3.121539,6.53752,-0.1549231,-0.420117,1.511293,0.2557987,-0.4110252,1.525617,0.06945054,0.4283958,1.627329,-0.1005165,-0.3853571,1.492221,0.3058983,-0.4195385,1.520458,0.0577692,-0.02861658,1.623705,0.05758924,-0.3414106,1.60149,-0.1166977,0.1543026,1.595673,-0.02336453,-0.3327737,1.561872,-0.1686682,-0.1217265,1.603522,0.2856671,-0.1248055,1.636236,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,0.9462891,0.3481445,0.1450195,0,-3,-2,-1,-3,-1,0,-1,14,7,0,3,-3,-2,-8,-1,0.25,0.25,0.25,-2.875,-2.875,-2.875,3.210143,2.927503,6.107304,6.785985,3.123345,6.537753,-0.1547093,-0.4201494,1.511973,0.2557017,-0.4129921,1.525481,0.06934313,0.4284404,1.627005,-0.1008134,-0.3849806,1.492816,0.3056626,-0.4202619,1.520311,0.05779558,-0.02863072,1.623713,0.05761515,-0.3414083,1.601529,-0.1167143,0.1542742,1.595695,-0.02331729,-0.3327664,1.561898,-0.1686482,-0.1219109,1.603673,0.2856706,-0.1248405,1.636409,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,0.9335938,0.3662109,0.175293,0,-3,-2,-1,-3,-1,0,-1,-8,1,4,1,-1,-4,-9,-8,0.25,0.25,0.25,-8.5,-8.5,-8.5,3.210143,2.927503,6.107304,6.760625,3.140649,6.554277,-0.1547557,-0.4199166,1.511057,0.2531487,-0.4087681,1.519192,0.06928159,0.4284413,1.626656,-0.1003045,-0.3973358,1.492744,0.3051701,-0.4206275,1.518439,0.05777565,-0.02866282,1.623702,0.05755612,-0.3414622,1.601529,-0.1167289,0.1542477,1.595698,-0.02336618,-0.3328035,1.56192,-0.1686798,-0.1218457,1.603732,0.2857648,-0.1246144,1.636722,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,1.029297,0.4208984,0.1083984,0,-3,-2,-1,-3,-1,0,-1,9,-17,-41,11,3,-5,-1,3,0.25,0.25,0.25,-37.125,-37.125,-37.125,3.210143,2.927503,6.107304,6.723009,3.2018,6.554474,-0.1552885,-0.4196427,1.511406,0.2459803,-0.3987623,1.502463,0.06920242,0.4284289,1.62631,-0.100503,-0.3971451,1.492624,0.2946337,-0.407205,1.493333,0.05770218,-0.02866458,1.623665,0.05737818,-0.3414485,1.601485,-0.116726,0.1542364,1.595685,-0.02356098,-0.3327465,1.561806,-0.1686627,-0.1217656,1.603796,0.286485,-0.1241615,1.637949,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,1.26416,0.6757813,0.4150391,0,-3,-2,-1,-3,-1,0,-1,-23,-16,-73,-70,-22,-5,-6,-11,0.25,0.25,0.25,-47.6875,-47.6875,-47.6875,3.210143,2.927503,6.107304,6.628862,3.364616,6.587371,-0.1555496,-0.4198176,1.51005,0.2310733,-0.338822,1.458382,0.06917804,0.4284039,1.625832,-0.1007363,-0.3927733,1.491284,0.2556396,-0.3027728,1.441739,0.05706648,-0.02867748,1.623513,0.05519808,-0.3413627,1.601285,-0.1167176,0.1542121,1.59568,-0.02565463,-0.3322039,1.561298,-0.1684726,-0.1212958,1.603846,0.290217,-0.1127364,1.643887,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2382813,0.1245117,0.8320313,0.9492188,0.5825195,0,-3,-2,-1,-3,-1,0,-1,1,-15,5,41,3,-4,-4,-4,0.25,0.25,0.25,29.625,29.625,29.625,3.210143,2.927503,6.107304,6.573632,3.850708,6.701803,-0.1561244,-0.4191504,1.510401,0.1812532,-0.2570395,1.450052,0.06925269,0.4283869,1.625536,-0.100648,-0.4100537,1.492971,0.2594168,-0.1922445,1.428364,0.0563312,-0.02868553,1.623368,0.05274028,-0.3411883,1.601083,-0.1166542,0.1542073,1.595639,-0.02792817,-0.3317718,1.56112,-0.1684527,-0.1204993,1.603698,0.2900502,-0.09251188,1.642252,NA,NA,NotTracked,Unknown,
