ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9648438,-0.2353516,0.1123047,0.9067383,0.3178711,0.1948242,0,0,0,-1,0,2,0,-1,-2,2,-1,-2,-1,1,2,-2,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,3.097523,2.925916,6.702321,6.642374,3.115611,8.108914,-0.1686066,-0.4152912,1.547354,0.2415798,-0.4167051,1.557843,0.06496932,0.4305227,1.665369,-0.1120624,-0.3912313,1.522269,0.2891085,-0.4265421,1.557611,0.0512503,-0.02558321,1.656783,0.04744681,-0.3381903,1.633603,-0.1214886,0.1565459,1.630808,-0.03279504,-0.3287763,1.593417,-0.1760049,-0.1210196,1.640523,0.2720648,-0.126568,1.669598,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9106445,0.3134766,0.1875,0,0,0,-1,0,2,0,-1,-1,0,0,-1,0,-2,-4,-3,0.1875,0.1875,0.1875,-0.625,-0.625,-0.625,3.097523,2.925916,6.702321,6.642374,3.115611,8.108914,-0.168414,-0.4154281,1.547326,0.2416175,-0.4165871,1.557948,0.06492939,0.4305302,1.665394,-0.1121108,-0.4075797,1.520309,0.2874233,-0.4239747,1.554897,0.05119555,-0.02557089,1.6568,0.04736488,-0.3381817,1.633639,-0.1214999,0.1566076,1.630872,-0.03286092,-0.3287729,1.593442,-0.1760575,-0.1210493,1.640549,0.2719505,-0.1263425,1.669506,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9111328,0.3178711,0.1826172,0,0,0,-1,0,2,0,-1,-2,-1,1,-1,-1,0,-2,-1,0.1875,0.1875,0.1875,-0.25,-0.25,-0.25,3.097523,2.925916,6.702321,6.642374,3.115611,8.108914,-0.1689522,-0.4155834,1.548649,0.2415637,-0.4167396,1.558716,0.06484423,0.4304995,1.665453,-0.1122218,-0.4174398,1.520676,0.2881221,-0.4262183,1.555887,0.05113296,-0.02559216,1.656818,0.04726645,-0.3381999,1.633633,-0.1215559,0.1566586,1.630936,-0.03297606,-0.3287566,1.593422,-0.1762081,-0.1211091,1.640733,0.2719102,-0.1263815,1.669499,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9018555,0.3178711,0.1865234,0,0,0,-1,0,2,0,-1,0,-3,0,0,1,0,1,1,0.1875,0.1875,0.1875,-0.75,-0.75,-0.75,3.097523,2.925916,6.702321,6.642961,3.115549,8.108216,-0.1687337,-0.4155338,1.548039,0.2415934,-0.4165206,1.557896,0.06476326,0.4304957,1.665425,-0.1124583,-0.4106732,1.52286,0.2868317,-0.417142,1.557826,0.05105023,-0.02561286,1.656829,0.04714902,-0.3382008,1.633656,-0.1218011,0.1566652,1.630965,-0.03307929,-0.328759,1.593414,-0.1763766,-0.1209492,1.640839,0.2718287,-0.1263122,1.669443,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9077148,0.315918,0.1928711,0,0,0,-1,0,2,0,-1,0,-1,0,-2,0,-2,0,0,0.1875,0.1875,0.1875,-0.5,-0.5,-0.5,3.097523,2.925916,6.702321,6.642374,3.115611,8.108914,-0.1686065,-0.4151975,1.54858,0.2411377,-0.4163022,1.557894,0.06467661,0.4304808,1.665437,-0.1130917,-0.3851251,1.522357,0.2885187,-0.4250856,1.557507,0.05085925,-0.02556417,1.656848,0.04703277,-0.3381364,1.633682,-0.1219548,0.1566493,1.630986,-0.03319111,-0.3287082,1.593412,-0.176526,-0.1209469,1.640918,0.2717892,-0.1264044,1.66939,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9111328,0.3188477,0.1806641,0,0,0,-1,0,2,0,-1,0,1,-1,0,-2,-2,-5,-2,0.1875,0.1875,0.1875,-0.0625,-0.0625,-0.0625,3.097523,2.925916,6.702321,6.642961,3.115549,8.108216,-0.1684822,-0.4151388,1.54716,0.2409855,-0.4166219,1.556976,0.0645792,0.4304855,1.665424,-0.1138231,-0.3941113,1.521401,0.286696,-0.4114387,1.557462,0.05057152,-0.02552998,1.656776,0.04680793,-0.3381276,1.633581,-0.1220814,0.1567241,1.631016,-0.0334445,-0.3286815,1.593247,-0.1766561,-0.1210945,1.640945,0.2714623,-0.1265256,1.669197,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9077148,0.3212891,0.1914063,0,0,0,-1,0,2,0,-1,0,1,-1,0,-1,-3,-3,-2,0.1875,0.1875,0.1875,-0.4375,-0.4375,-0.4375,3.097523,2.925916,6.702321,6.642961,3.115549,8.108216,-0.1683719,-0.4150374,1.547127,0.2411288,-0.4163768,1.557274,0.06451177,0.4304821,1.665435,-0.1141789,-0.3907017,1.521615,0.2881751,-0.4217923,1.558591,0.05039103,-0.02563668,1.656774,0.04664322,-0.3383293,1.633566,-0.1221867,0.1567109,1.631149,-0.03366115,-0.3289169,1.593373,-0.1768123,-0.121112,1.640962,0.2713803,-0.1263897,1.669204,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9038086,0.3173828,0.1923828,0,0,0,-1,0,2,0,-1,0,0,0,0,0,-2,-1,-2,0.1875,0.1875,0.1875,-1.25,-1.25,-1.25,3.097523,2.925916,6.702321,6.642745,3.117301,8.107397,-0.1683871,-0.4156843,1.548788,0.2406801,-0.4171645,1.558884,0.06442565,0.4305478,1.665607,-0.1133384,-0.3929026,1.523805,0.2900451,-0.4333385,1.5657,0.05026299,-0.02568782,1.656873,0.04650803,-0.3384374,1.633648,-0.1223935,0.1567045,1.631302,-0.03382906,-0.3290463,1.593561,-0.1768977,-0.1211564,1.641087,0.271297,-0.1263045,1.669259,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9047852,0.3203125,0.1982422,0,0,0,-1,0,2,0,-1,-1,-2,-2,0,-1,-8,-3,-3,0.1875,0.1875,0.1875,-1.3125,-1.3125,-1.3125,3.097523,2.925916,6.702321,6.643258,3.118723,8.105073,-0.1688869,-0.4159996,1.546819,0.2408952,-0.4164681,1.557466,0.06431974,0.4305283,1.665635,-0.1129975,-0.3970157,1.521694,0.2877777,-0.4235073,1.557873,0.05006989,-0.02573146,1.656852,0.04637501,-0.3385428,1.633544,-0.1225594,0.1566998,1.631362,-0.03394739,-0.3291057,1.593524,-0.1770146,-0.1211566,1.641094,0.2711593,-0.1261979,1.669204,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2353516,0.1123047,0.9057617,0.3183594,0.1889648,0,0,0,-1,0,2,0,-1,-1,-1,-1,0,-2,-4,-2,0,0.1875,0.1875,0.1875,-0.5625,-0.5625,-0.5625,3.097523,2.925916,6.702321,6.644625,3.120248,8.102326,-0.1688169,-0.4153391,1.54707,0.2411058,-0.4164424,1.556649,0.06414934,0.430419,1.665704,-0.1132206,-0.3937204,1.522233,0.2886576,-0.4247746,1.559821,0.04986351,-0.02582877,1.65687,0.04617923,-0.3386487,1.633532,-0.1228369,0.1567188,1.631534,-0.03415969,-0.3291984,1.593556,-0.1772411,-0.1211232,1.641203,0.2710257,-0.12627,1.669163,NA,NA,NotTracked,NotTracked,
