ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9672852,-0.2373047,0.07861328,0.8525391,0.4594727,0.1630859,-1,-4,-2,-2,-1,-1,-1,-4,-1,-1,-2,-3,-2,1,0,-1,-0.75,-0.75,-0.75,-0.3125,-0.3125,-0.3125,2.910222,2.891751,6.64661,6.956166,3.322534,8.90013,-0.1727284,-0.4171308,1.555704,0.3087844,-0.4338581,1.54236,0.07126896,0.4262646,1.66419,-0.1151872,-0.3933229,1.532469,0.2733977,-0.433081,1.52271,0.05216603,-0.02981548,1.65952,0.04611138,-0.3418334,1.635706,-0.1166252,0.1536934,1.63096,-0.03437974,-0.3320762,1.596379,-0.1752668,-0.1196077,1.644381,0.2963513,-0.1346632,1.669527,NA,NA,NotTracked,NotTracked,
0.9677734,-0.234375,0.08105469,0.8525391,0.4516602,0.1699219,0,-2,-1,-2,-3,-1,-3,-4,-3,1,-2,-1,2,0,-2,-1,0.6875,0.6875,0.6875,-1.8125,-1.8125,-1.8125,2.915164,2.892983,6.64225,6.952237,3.321913,8.901605,-0.1722759,-0.4172035,1.555268,0.307916,-0.4340749,1.542796,0.07125018,0.4262918,1.664441,-0.1162228,-0.3834496,1.532879,0.2728108,-0.4316157,1.529416,0.05212666,-0.02980281,1.659724,0.04605578,-0.341767,1.635934,-0.1166678,0.1537272,1.631113,-0.03443556,-0.3320074,1.596648,-0.1753382,-0.1196806,1.644943,0.2959804,-0.1345484,1.670133,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2407227,0.07324219,0.8466797,0.456543,0.1723633,3,1,-1,-1,-1,0,0,9,0,-1,0,0,-1,3,0,1,13.6875,13.6875,13.6875,-0.0625,-0.0625,-0.0625,2.93221,2.898563,6.640331,6.951602,3.322138,8.901869,-0.1719728,-0.4174352,1.55649,0.307676,-0.4349306,1.54431,0.07119645,0.4262182,1.664706,-0.1152958,-0.3892007,1.532959,0.2736668,-0.4313562,1.523324,0.05204111,-0.02979458,1.66005,0.04603632,-0.3417492,1.636246,-0.116696,0.1536961,1.631636,-0.03446607,-0.3320091,1.596933,-0.1754833,-0.1196284,1.645403,0.2956078,-0.1347873,1.670818,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2333984,0.08251953,0.8613281,0.4526367,0.1791992,1,-1,1,-1,-3,-2,1,2,0,-5,-3,-1,-2,-1,-2,-4,0.5625,0.5625,0.5625,-3.625,-3.625,-3.625,2.946017,2.903356,6.641673,6.945785,3.322913,8.903475,-0.1727917,-0.4178385,1.556864,0.3069872,-0.4347159,1.545628,0.0712453,0.42607,1.665317,-0.1154483,-0.3875507,1.533931,0.2721502,-0.4349227,1.526724,0.05192914,-0.02980773,1.660806,0.0459838,-0.3417327,1.63684,-0.1167014,0.1537506,1.632034,-0.0344866,-0.3320138,1.597454,-0.1753185,-0.1197074,1.646265,0.2951892,-0.1346068,1.671842,NA,NA,NotTracked,NotTracked,
0.9604492,-0.2363281,0.07128906,0.8505859,0.4467773,0.1645508,-2,-1,1,-2,-2,-2,-2,-8,-1,1,0,-1,-1,0,0,2,0.375,0.375,0.375,-2.25,-2.25,-2.25,2.93716,2.903202,6.651211,6.93707,3.320769,8.908091,-0.1727749,-0.4176044,1.555676,0.3045365,-0.434325,1.545589,0.07127581,0.4260544,1.665613,-0.1152849,-0.3890538,1.532987,0.2704537,-0.4345106,1.528041,0.0518261,-0.02982208,1.661135,0.04586771,-0.3417449,1.637071,-0.1167681,0.1537189,1.632348,-0.03459826,-0.3320184,1.597682,-0.1753182,-0.1197432,1.646591,0.2947242,-0.1344651,1.672608,NA,NA,NotTracked,NotTracked,
0.96875,-0.2285156,0.07617188,0.8554688,0.4487305,0.1606445,-1,-2,-2,-1,-2,-1,0,-8,-1,3,-1,-1,0,-2,0,0,-5.5625,-5.5625,-5.5625,0.9375,0.9375,0.9375,2.926459,2.899519,6.657372,6.925992,3.315759,8.921032,-0.1730911,-0.4178358,1.556631,0.302904,-0.4352006,1.54684,0.07122459,0.4260626,1.666097,-0.1158168,-0.3897686,1.534243,0.2689658,-0.4324408,1.528896,0.0517821,-0.02981458,1.661511,0.04581255,-0.3416973,1.637567,-0.1168472,0.1536999,1.632922,-0.03462766,-0.3319548,1.59816,-0.1753796,-0.1196761,1.646871,0.2943514,-0.1346402,1.673437,NA,NA,NotTracked,NotTracked,
0.9624023,-0.2329102,0.07519531,0.8549805,0.4521484,0.1665039,-5,-4,0,-1,-1,0,-1,-14,-1,-5,-1,-3,0,-3,-3,-1,-2.625,-2.625,-2.625,-0.8125,-0.8125,-0.8125,2.919392,2.896549,6.657362,6.918092,3.313284,8.929869,-0.1731783,-0.4179007,1.557736,0.3009956,-0.4353347,1.54877,0.07114805,0.4260583,1.666587,-0.1156103,-0.3921288,1.53434,0.2680625,-0.4331998,1.527011,0.05172878,-0.02987025,1.661895,0.04577955,-0.3418596,1.63791,-0.116894,0.1536771,1.633347,-0.03468143,-0.3322176,1.598841,-0.1754615,-0.1197023,1.647075,0.293354,-0.1345608,1.674637,NA,NA,NotTracked,NotTracked,
0.9609375,-0.2348633,0.08300781,0.8525391,0.4472656,0.1699219,-4,-2,-2,0,-2,-2,-1,-8,5,1,0,-1,-1,0,4,8,-0.4375,-0.4375,-0.4375,-1,-1,-1,2.921081,2.894847,6.652228,6.913922,3.311259,8.932745,-0.1732913,-0.41799,1.559718,0.3002282,-0.4362553,1.550316,0.07117356,0.4259529,1.667021,-0.1156907,-0.3897567,1.535182,0.2673042,-0.4334268,1.52997,0.05169663,-0.02986999,1.662107,0.04575669,-0.3418692,1.638084,-0.1169811,0.1536763,1.633724,-0.03469227,-0.3322108,1.598886,-0.1755646,-0.1196851,1.647662,0.2927343,-0.1346412,1.675531,NA,NA,NotTracked,NotTracked,
0.9765625,-0.2348633,0.08007813,0.8422852,0.4384766,0.1420898,-1,-2,-1,-1,0,1,-3,-6,-13,-28,4,3,1,1,1,35,2.9375,2.9375,2.9375,-0.5625,-0.5625,-0.5625,2.925932,2.894886,6.652384,6.920035,3.310798,8.925677,-0.1732509,-0.4178699,1.559582,0.3000592,-0.4356105,1.546653,0.07111181,0.4259506,1.667171,-0.1162039,-0.3881432,1.536291,0.2671663,-0.4339332,1.527026,0.05175295,-0.02992496,1.66236,0.04585931,-0.3418908,1.638382,-0.1170276,0.1536174,1.634087,-0.03457237,-0.3322279,1.599145,-0.1756084,-0.1197302,1.648243,0.2919662,-0.1348122,1.676449,NA,NA,NotTracked,NotTracked,
0.9897461,-0.2539063,0.04589844,1.182129,0.7617188,-0.05957031,-3,0,-2,-1,1,-1,0,-2,-32,-47,-3,-10,-6,-3,-6,-22,17.9375,17.9375,17.9375,-225.9375,-225.9375,-225.9375,2.935563,2.904461,6.667318,6.852694,3.377811,8.739412,-0.1732772,-0.4178529,1.560792,0.3216074,-0.421693,1.523895,0.07099144,0.4258975,1.667369,-0.1165437,-0.3874196,1.538339,0.2909175,-0.4291423,1.488929,0.05176187,-0.02987577,1.662586,0.04574734,-0.3417812,1.638688,-0.1170731,0.1535205,1.634473,-0.03468463,-0.3320943,1.599439,-0.1758018,-0.119854,1.649085,0.2908128,-0.1360464,1.678646,NA,NA,NotTracked,Lasso,
