ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9667969,-0.2192383,0.07373047,0.8798828,0.3852539,0.2202148,1,-2,-2,-2,-2,-1,-1,5,-3,0,0,-1,0,2,-2,-2,-0.0625,-0.0625,-0.0625,0.5625,0.5625,0.5625,2.977556,2.869651,6.233111,6.670745,3.242077,2.353786,-0.2546033,-0.4219972,1.518489,0.1747837,-0.4204655,1.507573,-0.008659445,0.4306562,1.619367,-0.197442,-0.3931589,1.488295,0.1265008,-0.40308,1.477671,-0.0235166,-0.02889526,1.609871,-0.02899813,-0.3423593,1.587137,-0.1982868,0.154628,1.589059,-0.1078042,-0.3329554,1.549057,-0.2562497,-0.1260142,1.605358,0.1981435,-0.1311222,1.614024,NA,NA,NotTracked,NotTracked,
0.9672852,-0.2260742,0.06982422,0.8852539,0.3916016,0.2099609,1,0,-2,-1,0,-1,2,8,8,-6,-15,-2,-2,-4,0,2,-2.6875,-2.6875,-2.6875,-0.5,-0.5,-0.5,2.972092,2.867017,6.235854,6.67129,3.241779,2.35325,-0.2551658,-0.4225764,1.518455,0.1738328,-0.419849,1.508055,-0.008726055,0.4306068,1.619214,-0.1964306,-0.4065777,1.486837,0.1264054,-0.4004599,1.478648,-0.02361557,-0.02894365,1.609747,-0.02905472,-0.3424015,1.587082,-0.1984043,0.1546517,1.588865,-0.1078549,-0.3329934,1.549019,-0.2565256,-0.1262575,1.605315,0.1979582,-0.1310422,1.614074,NA,NA,NotTracked,NotTracked,
0.9677734,-0.2275391,0.08154297,0.9575195,0.4277344,0.1508789,3,-1,-1,-1,1,-1,2,9,-9,-9,-8,-4,-2,-1,-1,-2,-2.3125,-2.3125,-2.3125,-3.6875,-3.6875,-3.6875,2.971503,2.866997,6.235298,6.668338,3.247281,2.356395,-0.2551719,-0.42214,1.518583,0.172748,-0.4189349,1.507676,-0.008974411,0.4305437,1.618772,-0.1966534,-0.4046516,1.485647,0.1246369,-0.4100959,1.478637,-0.02379534,-0.02900388,1.609561,-0.02912846,-0.3424363,1.587022,-0.1985994,0.1546044,1.588548,-0.1079383,-0.3330268,1.548947,-0.2567563,-0.1261848,1.605127,0.1977474,-0.1310062,1.614122,NA,NA,NotTracked,NotTracked,
0.9707031,-0.2211914,0.07861328,0.9418945,0.4125977,0.1884766,4,-2,-2,-2,-3,-2,-3,-11,0,3,4,1,0,0,0,-1,2.25,2.25,2.25,-23.1875,-23.1875,-23.1875,2.975117,2.868566,6.233113,6.642811,3.264942,2.365414,-0.255084,-0.4236795,1.518287,0.1702638,-0.4177172,1.504158,-0.00917802,0.4305085,1.618539,-0.1962465,-0.4064979,1.484681,0.1255088,-0.4050365,1.476676,-0.02407194,-0.02901147,1.609318,-0.0293278,-0.3424115,1.586867,-0.1987996,0.1546897,1.588452,-0.1082058,-0.3330168,1.548663,-0.2571226,-0.1261961,1.605018,0.1975809,-0.1308494,1.614328,NA,NA,NotTracked,NotTracked,
0.9594727,-0.215332,0.07666016,0.9204102,0.4223633,0.3271484,-2,-2,-1,-3,-1,-3,-4,-13,-1,1,3,-1,0,0,-9,-3,2.0625,2.0625,2.0625,-24.9375,-24.9375,-24.9375,2.97654,2.87194,6.234478,6.592349,3.295904,2.388907,-0.2555828,-0.4233678,1.518058,0.1658212,-0.4145046,1.498675,-0.009549717,0.4304004,1.618156,-0.1968792,-0.4002517,1.485616,0.1213312,-0.4102942,1.471662,-0.0243903,-0.02902894,1.609087,-0.02988658,-0.3423736,1.586521,-0.1990221,0.1546646,1.588282,-0.108809,-0.3329641,1.548306,-0.2575607,-0.1258974,1.604793,0.1973893,-0.1304825,1.614681,NA,NA,NotTracked,NotTracked,
0.9526367,-0.21875,0.08007813,0.8413086,0.4560547,0.3686523,-2,-2,-3,-3,-2,-2,-2,-2,-1,0,0,0,0,0,0,-4,-2.0625,-2.0625,-2.0625,-11.25,-11.25,-11.25,2.973612,2.875226,6.236761,6.536471,3.345319,2.43101,-0.2566923,-0.4236119,1.517814,0.1543346,-0.4032604,1.484787,-0.01016111,0.430371,1.617798,-0.1969702,-0.4060515,1.484783,0.1139037,-0.3719785,1.46896,-0.02557723,-0.02894275,1.608693,-0.03131141,-0.3421847,1.586051,-0.1996013,0.1545083,1.587948,-0.1102903,-0.3327134,1.547721,-0.2579483,-0.1255727,1.604801,0.1965226,-0.1284461,1.616928,NA,NA,NotTracked,NotTracked,
0.9609375,-0.2236328,0.08398438,0.7900391,0.4746094,0.3754883,-2,-1,-2,-2,-2,-3,-3,-6,16,1,4,-1,-2,-8,1,1,-3.1875,-3.1875,-3.1875,-7.125,-7.125,-7.125,2.973726,2.876927,6.233225,6.51128,3.374857,2.454944,-0.2578193,-0.4242568,1.516424,0.1478268,-0.3980906,1.478173,-0.01055282,0.4301953,1.617437,-0.1984779,-0.4131576,1.482978,0.108624,-0.3638917,1.46532,-0.02626248,-0.02896517,1.608421,-0.03214242,-0.3421499,1.585683,-0.1998158,0.1545236,1.587823,-0.1111531,-0.3326581,1.547433,-0.2581199,-0.1254841,1.604804,0.1962593,-0.1269659,1.617803,NA,NA,NotTracked,NotTracked,
1,-0.2143555,0.09814453,0.78125,0.4584961,0.3481445,2,0,0,-1,-2,-1,-1,9,-6,-19,-9,-8,-5,1,1,-2,0.4375,0.4375,0.4375,-3.1875,-3.1875,-3.1875,2.986076,2.878124,6.220454,6.491209,3.404863,2.476499,-0.2580713,-0.4239849,1.516743,0.1404975,-0.3935125,1.469616,-0.0110631,0.4300582,1.617096,-0.1975738,-0.4026777,1.485902,0.1002922,-0.369089,1.460393,-0.02689222,-0.02896042,1.608163,-0.0331693,-0.3419793,1.585257,-0.2000634,0.1545016,1.587701,-0.1122387,-0.3323853,1.547075,-0.2582932,-0.1252852,1.604737,0.1958,-0.1247782,1.618419,NA,NA,NotTracked,NotTracked,
0.9990234,-0.215332,0.09228516,0.84375,0.4638672,0.2749023,1,-1,1,2,0,2,2,27,-4,-9,24,4,2,-5,-1,0,1.3125,1.3125,1.3125,16.0625,16.0625,16.0625,2.990642,2.878033,6.216647,6.451537,3.494819,2.552131,-0.2590105,-0.4248425,1.515604,0.1324943,-0.3865739,1.461862,-0.01150801,0.4301696,1.617017,-0.1973078,-0.4054739,1.485319,0.09052321,-0.3687643,1.455429,-0.02785986,-0.02893682,1.607879,-0.03462474,-0.3418975,1.584819,-0.2004344,0.1544878,1.587467,-0.1138043,-0.332155,1.54678,-0.2585348,-0.1245479,1.604631,0.1958072,-0.1238976,1.61846,NA,NA,NotTracked,NotTracked,
0.9702148,-0.2114258,0.06738281,0.9785156,0.6166992,0.4541016,2,2,1,0,-1,-3,2,17,-4,-7,-55,-3,-3,-3,-2,-4,4.1875,4.1875,4.1875,-4.5,-4.5,-4.5,3.002971,2.881394,6.208445,6.419437,3.580163,2.598446,-0.2592542,-0.4244629,1.515413,0.1229298,-0.3718357,1.450309,-0.01210984,0.4302157,1.616936,-0.1978569,-0.4068674,1.484632,0.08263764,-0.3764991,1.456568,-0.02876763,-0.02889388,1.607646,-0.03634332,-0.3419057,1.584249,-0.2008484,0.154452,1.587346,-0.115654,-0.3318375,1.546226,-0.2587098,-0.1242161,1.604477,0.1961228,-0.1208847,1.618528,NA,NA,NotTracked,NotTracked,
