ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
1.000488,-0.2670898,0.0546875,0.9394531,0.3901367,0.168457,0,-1,0,-1,-1,0,-2,-2,-3,-1,0,-1,0,0,-1,-1,0.625,0.625,0.625,-3.4375,-3.4375,-3.4375,2.90778,3.053776,5.871208,6.859432,3.184847,4.475224,-0.2824195,-0.4232181,1.407642,0.2069693,-0.4436995,1.45297,-0.001021613,0.4135107,1.533267,-0.2494751,-0.4174701,1.381058,0.2355233,-0.4471944,1.43575,-0.02312196,-0.0582295,1.568228,-0.02606498,-0.3821442,1.557826,-0.1981847,0.1427099,1.540562,-0.1122063,-0.3716278,1.517802,-0.2446893,-0.1293017,1.531262,0.2013071,-0.1446804,1.560082,NA,NA,Unknown,NotTracked,
1.024902,-0.1230469,0.07910156,0.9331055,0.387207,0.1611328,-1,-2,-2,-2,-2,-2,-3,-2,-1,-2,1,1,-2,-5,-2,-1,-32.6875,-32.6875,-32.6875,10.4375,10.4375,10.4375,2.745642,3.035411,6.013195,6.90872,3.170988,4.434806,-0.2955141,-0.422692,1.406906,0.2100312,-0.4440291,1.452371,-0.00031315,0.4143224,1.532738,-0.2632516,-0.4150991,1.383177,0.2388463,-0.4471263,1.434432,-0.0226439,-0.05728357,1.566164,-0.02633509,-0.3813977,1.555408,-0.1972766,0.1435831,1.538709,-0.1123649,-0.3705602,1.515231,-0.2480757,-0.1276533,1.528959,0.2029211,-0.1432122,1.557214,NA,NA,Unknown,NotTracked,
1.006836,-0.1010742,0.09570313,0.9213867,0.3789063,0.15625,0,2,5,-2,0,-1,-1,-2,0,0,0,-1,-2,-3,-2,-1,-48.6875,-48.6875,-48.6875,8.6875,8.6875,8.6875,2.707242,3.027597,6.026386,6.917326,3.170602,4.430462,-0.3056999,-0.4216859,1.406665,0.2127143,-0.4435084,1.449879,0.0006982262,0.4156488,1.531788,-0.2730522,-0.4112517,1.385273,0.2399326,-0.4469152,1.429596,-0.02225573,-0.05593311,1.563462,-0.02661912,-0.380141,1.552184,-0.1959128,0.1446169,1.536333,-0.1126412,-0.3691432,1.512379,-0.2522131,-0.1255383,1.525455,0.2043099,-0.1420243,1.554647,NA,NA,Unknown,NotTracked,
0.949707,-0.1225586,0.1123047,0.8818359,0.3359375,0.1777344,1,0,-1,-3,-2,0,-2,-1,-1,0,0,-3,-6,-1,6,-1,-78.9375,-78.9375,-78.9375,18.125,18.125,18.125,2.646722,3.008854,6.0085,6.918923,3.174106,4.452114,-0.3111389,-0.4204973,1.407969,0.214594,-0.4437439,1.448802,0.001399103,0.4166843,1.531459,-0.2788441,-0.4065012,1.388016,0.2441532,-0.4469531,1.431108,-0.02213355,-0.05496084,1.56203,-0.02694748,-0.3792418,1.550058,-0.1951792,0.1461567,1.534721,-0.1129889,-0.3678408,1.51014,-0.2554702,-0.1231179,1.524028,0.2061724,-0.1413342,1.552198,NA,NA,Unknown,NotTracked,
0.9301758,-0.2602539,0.1875,0.859375,0.3466797,0.1762695,-1,0,-2,-1,-2,-1,-1,-1,1,0,-3,-1,-5,-1,0,1,-63.25,-63.25,-63.25,17.375,17.375,17.375,2.648077,2.986089,5.88126,6.91471,3.178135,4.466735,-0.3125952,-0.4154706,1.408471,0.2142536,-0.4402151,1.44185,0.002753589,0.4194307,1.530886,-0.2783205,-0.4034937,1.39175,0.2417901,-0.4400584,1.42271,-0.02109867,-0.05209265,1.558434,-0.02688271,-0.3766014,1.544779,-0.1944161,0.1486384,1.532101,-0.112932,-0.3652025,1.505461,-0.2603067,-0.1192822,1.522206,0.2088429,-0.1395068,1.548969,NA,NA,Unknown,NotTracked,
0.9360352,-0.2714844,0.1967773,0.8491211,0.3569336,0.1938477,0,0,-3,0,-2,-1,-2,-1,-1,-1,-1,0,5,3,0,-3,-45.3125,-45.3125,-45.3125,5.8125,5.8125,5.8125,2.688816,2.980084,5.814172,6.893573,3.19132,4.499837,-0.3093467,-0.414884,1.409741,0.2130189,-0.4393226,1.439004,0.003247581,0.4207403,1.531238,-0.2736483,-0.4064839,1.389549,0.2400081,-0.4396404,1.417915,-0.02072166,-0.05105043,1.557197,-0.02670591,-0.3758065,1.543074,-0.1940786,0.1495188,1.531071,-0.1127347,-0.3639541,1.503583,-0.2607855,-0.1181771,1.522057,0.209696,-0.1387848,1.547655,NA,NA,Unknown,NotTracked,
0.9326172,-0.2441406,0.1884766,0.8476563,0.3540039,0.2006836,-2,-1,-2,0,-3,0,0,-2,0,-3,-1,-3,-4,46,2,-1,-13.5625,-13.5625,-13.5625,0.5625,0.5625,0.5625,2.816947,2.968951,5.659783,6.877691,3.198797,4.516794,-0.3027497,-0.4123159,1.410746,0.210499,-0.4378774,1.436279,0.003732255,0.4220401,1.53197,-0.2676818,-0.4027719,1.391916,0.2515388,-0.4322631,1.443923,-0.02050116,-0.05016097,1.556203,-0.02672276,-0.3747974,1.541544,-0.1939003,0.1503155,1.530636,-0.1127229,-0.3629944,1.50199,-0.2608896,-0.1173099,1.521872,0.2105141,-0.1382416,1.546686,NA,NA,Unknown,NotTracked,
0.9042969,-0.284668,0.1689453,0.8476563,0.3540039,0.2006836,0,-2,-3,-1,1,-3,0,-2,1,0,0,0,0,-8,-1,1,23.5625,23.5625,23.5625,0.5625,0.5625,0.5625,3.052799,2.959452,5.431797,6.877691,3.198797,4.516794,-0.2933581,-0.4124502,1.412568,0.2073806,-0.4357398,1.432641,0.00430854,0.4233692,1.532973,-0.2572375,-0.403333,1.393813,0.2479193,-0.4366386,1.439855,-0.02023036,-0.04931558,1.55522,-0.02654633,-0.3738608,1.539894,-0.1934052,0.1509707,1.529948,-0.1125446,-0.3619503,1.500071,-0.2604471,-0.1166117,1.522251,0.2106836,-0.137747,1.545693,NA,NA,Unknown,NotTracked,
0.894043,-0.3203125,0.1665039,0.8754883,0.3642578,0.1914063,0,-1,-1,1,1,-2,-1,-1,2,0,1,-2,3,12,-9,1,39.625,39.625,39.625,-3.1875,-3.1875,-3.1875,3.138173,2.962869,5.36636,6.794745,3.236132,4.605552,-0.2817557,-0.4116606,1.415236,0.2039533,-0.4341331,1.432279,0.004702521,0.4247476,1.534453,-0.2455951,-0.4016729,1.3965,0.2432096,-0.4378546,1.435292,-0.02002777,-0.04854052,1.554605,-0.02617472,-0.373053,1.538609,-0.1933706,0.1513022,1.529766,-0.1121619,-0.3612156,1.498674,-0.2595284,-0.1164926,1.522585,0.210813,-0.1376183,1.545116,NA,NA,NotTracked,NotTracked,
0.9770508,-0.4580078,-0.09912109,0.8754883,0.3623047,0.1796875,-1,0,-1,-11,-4,1,-3,-1,0,0,-1,-1,0,32,3,-2,94.0625,94.0625,94.0625,-3.125,-3.125,-3.125,3.390907,2.984679,5.270904,6.777421,3.244311,4.622951,-0.2574518,-0.4132779,1.419944,0.1958381,-0.4305643,1.432048,0.005384438,0.4266693,1.537883,-0.2195256,-0.4064104,1.403676,0.2344866,-0.4259881,1.440167,-0.01981406,-0.04739429,1.553787,-0.02618113,-0.3718702,1.536492,-0.1930589,0.151454,1.529593,-0.1120631,-0.3602611,1.496999,-0.2536474,-0.1176662,1.523548,0.2094935,-0.1377985,1.544196,NA,NA,NotTracked,NotTracked,
