ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9555664,-0.2431641,0.1274414,0.8720703,0.3950195,0.1835938,-1,-2,-1,-1,-1,1,-3,0,-2,1,-2,0,0,1,4,-1,0.4375,0.4375,0.4375,0.8125,0.8125,0.8125,3.217028,2.938781,4.444367,6.802883,3.242083,4.999475,-0.2266039,-0.4173746,1.522155,0.2289974,-0.4293045,1.530416,0.01069727,0.4292437,1.631246,-0.1784372,-0.3910302,1.50932,0.2659459,-0.4275833,1.530125,-0.007355189,-0.04689005,1.629691,-0.01346418,-0.3758454,1.609573,-0.1751672,0.1455995,1.603383,-0.09777391,-0.3647423,1.571444,-0.2303805,-0.122757,1.616377,0.2271341,-0.1320275,1.640125,NA,NA,NotTracked,NotTracked,
0.9643555,-0.2373047,0.1289063,0.8798828,0.3920898,0.1889648,0,-1,-2,-3,-1,-2,-1,0,-1,-1,-2,0,0,0,-3,-1,-1.0625,-1.0625,-1.0625,0.125,0.125,0.125,3.213907,2.938443,4.447693,6.80161,3.24172,5.001295,-0.2274,-0.4172707,1.522227,0.2285965,-0.4293122,1.529579,0.01067196,0.4292397,1.631253,-0.1782985,-0.3912632,1.50865,0.269373,-0.4330216,1.534536,-0.007341511,-0.04690612,1.629632,-0.0134966,-0.3758202,1.609518,-0.1751935,0.1455869,1.603403,-0.0977899,-0.3647242,1.571439,-0.2303864,-0.1227762,1.616377,0.2271395,-0.1320397,1.640123,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2456055,0.1259766,0.875,0.3876953,0.1787109,-1,-1,0,0,0,-1,-1,0,0,-2,-2,0,-1,0,-1,0,0.25,0.25,0.25,-0.1875,-0.1875,-0.1875,3.209224,2.937979,4.451804,6.801904,3.241409,5.001097,-0.2271416,-0.4171764,1.522886,0.2287314,-0.4299376,1.530602,0.01067113,0.4292375,1.631244,-0.1784891,-0.3903008,1.50987,0.2693596,-0.4333915,1.535048,-0.007351022,-0.04690427,1.629629,-0.01349521,-0.375823,1.609513,-0.1752146,0.1455721,1.603422,-0.09778656,-0.3647366,1.571439,-0.2303799,-0.122797,1.616393,0.2271359,-0.1320523,1.640135,NA,NA,NotTracked,NotTracked,
0.949707,-0.2299805,0.1274414,0.8857422,0.3920898,0.1899414,6,-3,-1,0,-3,-2,-1,-1,-2,0,-1,-2,-1,-2,-1,-2,-0.375,-0.375,-0.375,1.5625,1.5625,1.5625,3.207714,2.937503,4.45433,6.800522,3.239687,5.003899,-0.2270783,-0.4174924,1.523965,0.2285941,-0.4303755,1.531631,0.01068035,0.4292206,1.631311,-0.1783291,-0.3885829,1.510581,0.2673875,-0.4258224,1.5378,-0.007307197,-0.04695675,1.629671,-0.01342384,-0.3758846,1.609557,-0.1752122,0.1455348,1.603488,-0.0976992,-0.3648237,1.571484,-0.230367,-0.1228406,1.616419,0.2270678,-0.1320931,1.64021,NA,NA,NotTracked,NotTracked,
0.9516602,-0.2456055,0.1313477,0.8793945,0.3901367,0.1831055,-2,-11,-6,-1,0,-3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2.125,2.125,2.125,3.203289,2.937731,4.458045,6.799941,3.23855,5.006025,-0.226686,-0.4178168,1.523507,0.2283562,-0.4303752,1.531911,0.01061776,0.42921,1.631449,-0.1784288,-0.3914439,1.508912,0.2696668,-0.4362853,1.539799,-0.007279832,-0.04703687,1.629704,-0.01341112,-0.3759329,1.609554,-0.1752439,0.1454969,1.60352,-0.09768112,-0.3648728,1.571514,-0.2303451,-0.1228884,1.616459,0.2270367,-0.1321728,1.64033,NA,NA,NotTracked,NotTracked,
1.019043,-0.253418,0.1044922,0.8730469,0.3989258,0.1831055,2,-18,-6,-2,-10,-4,-5,-3,-1,-3,-1,-1,-1,-1,1,1,-3.75,-3.75,-3.75,1.9375,1.9375,1.9375,3.201756,2.940011,4.457221,6.799702,3.236398,5.009976,-0.227452,-0.4191203,1.523259,0.2282553,-0.4308032,1.532285,0.01061731,0.42921,1.631449,-0.1781227,-0.4056053,1.509136,0.2671582,-0.4256688,1.536394,-0.007281697,-0.04704896,1.629716,-0.01340987,-0.3759623,1.609561,-0.175257,0.1453955,1.603505,-0.09768255,-0.3648969,1.571541,-0.2303509,-0.1229881,1.616461,0.2270396,-0.1322092,1.64034,NA,NA,NotTracked,NotTracked,
1.02002,-0.3115234,0.03564453,0.9477539,0.4438477,0.1523438,-4,-23,-12,-6,-16,-5,-11,-2,-1,8,12,-3,-1,2,4,0,-8.5,-8.5,-8.5,3.375,3.375,3.375,3.235457,2.961921,4.409941,6.797639,3.240384,5.01822,-0.2276392,-0.4171166,1.52383,0.2281411,-0.4301598,1.53246,0.01061274,0.4292097,1.631457,-0.1784025,-0.3893313,1.509516,0.2674221,-0.4190676,1.539895,-0.00728869,-0.04706028,1.629715,-0.01341558,-0.3759696,1.609559,-0.1752577,0.1454164,1.603561,-0.09769307,-0.3649056,1.571552,-0.230356,-0.1229568,1.616594,0.2270769,-0.1321722,1.640603,NA,NA,NotTracked,NotTracked,
1.115723,-0.2495117,0.2089844,0.902832,0.5146484,0.105957,-4,0,-2,-2,11,6,3,0,-1,-12,-5,3,0,-4,-3,-3,-32.0625,-32.0625,-32.0625,-45.6875,-45.6875,-45.6875,3.353927,3.009502,4.262164,6.763013,3.270305,5.027402,-0.2270979,-0.4160765,1.522067,0.2260774,-0.4293598,1.528467,0.0105841,0.4292001,1.63146,-0.1785819,-0.3829772,1.510846,0.268637,-0.441412,1.5404,-0.00728667,-0.04705837,1.629704,-0.01341942,-0.3759427,1.609547,-0.1752174,0.1454381,1.603511,-0.09769722,-0.3648773,1.571518,-0.2303718,-0.1228829,1.616876,0.2271175,-0.1321385,1.640731,NA,NA,NotTracked,NotTracked,
0.9970703,-0.4794922,0.3530273,1.076172,0.4746094,0.3408203,8,-36,-14,4,3,-4,5,1,1,18,20,3,0,0,-5,3,-86.5,-86.5,-86.5,-19.0625,-19.0625,-19.0625,3.428438,3.112518,4.092474,6.68153,3.328182,5.07916,-0.2166376,-0.3997528,1.501611,0.2161385,-0.4129294,1.502939,0.0105763,0.4292015,1.631541,-0.1741508,-0.3681608,1.5052,0.2521863,-0.4194776,1.500583,-0.007177135,-0.04702942,1.6297,-0.01291398,-0.37589,1.609479,-0.1753982,0.1455163,1.603684,-0.09721962,-0.3648949,1.571301,-0.231171,-0.1225554,1.61797,0.2286388,-0.1315458,1.642075,NA,NA,NotTracked,NotTracked,
0.9262695,-0.512207,0.3632813,0.9892578,0.6269531,0.3393555,-2,4,8,-10,-5,-1,1,-3,-1,-45,-11,-1,-6,-2,-1,-7,-60.5625,-60.5625,-60.5625,39.6875,39.6875,39.6875,3.47739,3.257847,3.954394,6.613374,3.428305,5.193763,-0.2067367,-0.3819039,1.48523,0.2047662,-0.3951194,1.480422,0.01057632,0.4292151,1.63155,-0.1703403,-0.3691116,1.471483,0.2220098,-0.3882875,1.4496,-0.007055445,-0.04703277,1.629691,-0.01249818,-0.375925,1.609258,-0.1712967,0.1434086,1.603333,-0.09694634,-0.3649746,1.571014,-0.2324643,-0.1232177,1.61918,0.2306128,-0.1310253,1.642509,NA,NA,NotTracked,NotTracked,
