ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9575195,0.2148438,-0.1391602,-1.054688,-0.2890625,0.1142578,-3,-3,-2,0,-1,-1,-2,-2,1,4,-32,-77,-7,-10,-11,0,-5.0625,-5.0625,-5.0625,34,34,34,8.433174,7.102201,7.549437,2.47113,7.089489,1.597287,-0.1665895,-0.5257027,1.587238,0.2020445,-0.503611,1.532872,0.01508219,0.2318486,1.677071,-0.2061333,-0.5395387,1.581357,0.1739086,-0.4895309,1.571477,0.01821075,-0.190447,1.674575,0.02042446,-0.4942427,1.661644,-0.1490741,-0.01736509,1.67018,-0.054857,-0.4831386,1.629471,-0.1812928,-0.2748074,1.674228,0.2200481,-0.2627342,1.67273,NA,NA,NotTracked,NotTracked,
-0.9750977,0.2070313,-0.1181641,-1.074707,-0.3227539,0.2041016,-1,0,-1,-2,-1,-1,-1,-1,-5,-13,-8,29,-10,1,-1,-2,0.8125,0.8125,0.8125,28.625,28.625,28.625,8.430715,7.098439,7.54814,2.762876,7.055288,1.862838,-0.1668834,-0.5257048,1.58827,0.2028758,-0.4806464,1.494658,0.01505215,0.2318709,1.677042,-0.2062032,-0.5314976,1.578027,0.1738559,-0.5117033,1.5015,0.01792868,-0.1903664,1.674326,0.02011958,-0.4941404,1.661145,-0.1490902,-0.01736047,1.67018,-0.05515773,-0.4830503,1.629068,-0.1814606,-0.2741399,1.67422,0.21988,-0.2584383,1.673719,NA,NA,NotTracked,NotTracked,
-0.9833984,0.1977539,-0.1113281,-1.146484,-0.3271484,0.2924805,-2,-1,-1,-1,-1,-1,-2,-2,-17,-13,-20,-6,-4,-10,-23,-12,7,7,7,39.4375,39.4375,39.4375,8.428514,7.094745,7.540036,3.131566,6.993108,2.20437,-0.1674114,-0.5264062,1.588462,0.197146,-0.4504904,1.462314,0.01504034,0.2318763,1.677034,-0.2068873,-0.5281417,1.580307,0.1630213,-0.4865191,1.464091,0.01786652,-0.1903373,1.674177,0.01955657,-0.4939865,1.660487,-0.1490903,-0.01742824,1.670086,-0.05577347,-0.4828856,1.628487,-0.1817329,-0.2729777,1.674362,0.2220233,-0.2469256,1.672995,NA,NA,NotTracked,NotTracked,
-0.9838867,0.2001953,-0.112793,-1.148926,-0.3842773,0.4125977,-2,-3,0,-1,-1,1,0,-2,-40,-58,-87,-72,-92,-78,-41,-35,9.75,9.75,9.75,45.4375,45.4375,45.4375,8.426205,7.09347,7.532153,3.510759,6.88587,2.551881,-0.1674936,-0.526729,1.589009,0.194447,-0.39968,1.425873,0.01506178,0.2318948,1.677023,-0.2099638,-0.5291523,1.585602,0.1899945,-0.4266258,1.464,0.01753292,-0.1902359,1.673872,0.01858352,-0.4935398,1.659706,-0.1490533,-0.01746443,1.669918,-0.05681494,-0.4823499,1.627673,-0.1819112,-0.2723383,1.674107,0.2223257,-0.2347555,1.669193,NA,NA,NotTracked,Unknown,
-0.9838867,0.2001953,-0.1298828,-1.099121,-0.3344727,0.5019531,0,1,0,-2,-1,0,-1,-1,27,17,33,76,26,21,19,15,10.75,10.75,10.75,38,38,38,8.422007,7.091429,7.521475,3.815174,6.734971,2.834772,-0.1671175,-0.52604,1.587366,0.1880298,-0.3404275,1.387522,0.01506211,0.2319303,1.677011,-0.2089893,-0.536598,1.583479,0.1547672,-0.3644782,1.379913,0.01745258,-0.1901987,1.673787,0.01828901,-0.4934807,1.65935,-0.1486378,-0.01754063,1.669197,-0.05710334,-0.4823228,1.627341,-0.1823848,-0.2710815,1.673626,0.2254285,-0.2243719,1.661694,NA,NA,NotTracked,Unknown,
-0.9682617,0.2070313,-0.144043,-1.028809,-0.3857422,0.6708984,-1,-3,-1,-1,-1,0,-1,-2,-1,19,18,6,28,7,-6,3,9.5625,9.5625,9.5625,15.625,15.625,15.625,8.403121,7.088706,7.490415,4.021071,6.532663,3.045963,-0.167466,-0.5274523,1.58633,0.1787443,-0.2730643,1.355854,0.01509399,0.2319786,1.677029,-0.20727,-0.5316235,1.579412,0.1438434,-0.2939214,1.352111,0.01745009,-0.1901913,1.673788,0.01820435,-0.4935491,1.659252,-0.1484259,-0.01757249,1.668967,-0.05723148,-0.4823608,1.627227,-0.1826985,-0.2694989,1.673195,0.2486702,-0.2193887,1.647961,NA,NA,NotTracked,Unknown,
-0.9741211,0.2075195,-0.1357422,-0.9824219,-0.3793945,0.6450195,-2,0,0,2,1,2,4,1,5,22,23,3,17,10,8,8,6.1875,6.1875,6.1875,15.375,15.375,15.375,8.337854,7.090081,7.408117,4.089295,6.420534,3.12031,-0.168616,-0.5261175,1.580728,0.1606657,-0.1284212,1.335166,0.01527323,0.2321817,1.677103,-0.208687,-0.530068,1.570077,0.1283596,-0.1052433,1.334,0.01747969,-0.1901028,1.673916,0.01805418,-0.4936255,1.659022,-0.1428728,-0.01736845,1.665102,-0.05748538,-0.4823675,1.626851,-0.1828686,-0.2688888,1.672446,0.2613554,-0.2033778,1.580164,NA,NA,NotTracked,Unknown,
-0.9775391,0.2026367,-0.1298828,-0.9448242,-0.3793945,0.6533203,0,-1,-3,-2,-2,-2,-2,2,5,-3,-24,-85,-57,-24,0,-1,10.875,10.875,10.875,19.6875,19.6875,19.6875,8.296849,7.093107,7.354006,4.193564,6.202062,3.232664,-0.1683382,-0.5257999,1.578675,0.1555214,-0.05522566,1.348082,0.01551089,0.2321902,1.677242,-0.206127,-0.5245509,1.568184,0.1182049,-0.04273242,1.367,0.01759331,-0.1900773,1.674177,0.01811545,-0.4936278,1.659044,-0.1403911,-0.01736099,1.663374,-0.05742449,-0.4824266,1.626919,-0.1829479,-0.2687263,1.671681,0.246434,-0.1959767,1.564079,NA,NA,NotTracked,Unknown,
-0.9765625,0.2011719,-0.1269531,-0.7646484,-0.375,0.546875,-2,-1,0,-1,-2,-2,-5,-3,-4,-12,-32,-86,-43,-14,-13,-7,10.6875,10.6875,10.6875,46.625,46.625,46.625,8.276841,7.094022,7.326961,4.307058,5.888349,3.320859,-0.1679224,-0.5252305,1.57383,0.152017,0.009829197,1.359944,0.01603895,0.2319147,1.677226,-0.20883,-0.5429873,1.573333,0.1427999,0.01840155,1.380571,0.01749685,-0.1910856,1.67438,0.01769214,-0.4967082,1.658771,-0.1384759,-0.01755944,1.662009,-0.05817412,-0.485125,1.627498,-0.1830534,-0.2690299,1.669944,0.2603842,-0.2025769,1.555423,NA,NA,NotTracked,Closed,
-0.9418945,0.2036133,-0.1416016,-0.5952148,-0.3740234,0.5976563,-1,-1,0,-1,-1,-2,-5,-3,-7,-18,-40,-97,-44,-19,-3,-5,1.9375,1.9375,1.9375,46.25,46.25,46.25,8.225098,7.097409,7.256533,4.398826,5.613667,3.366907,-0.1652542,-0.5239615,1.569839,0.1517793,0.09602098,1.412769,0.01621398,0.2320784,1.676953,-0.2002987,-0.5219021,1.55375,0.1489833,0.1368787,1.410357,0.01768544,-0.1909668,1.674406,0.01721981,-0.4964011,1.658178,-0.1369687,-0.01707128,1.661247,-0.05945449,-0.4845337,1.626728,-0.1817493,-0.2650809,1.666945,0.2669419,-0.1821947,1.520262,NA,NA,NotTracked,Closed,
