ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
1.011719,0.5268555,-0.1005859,0.9345703,-0.3852539,-0.09472656,-5,-4,1,2,-9,-3,-7,-4,-1,-1,2,8,0,-1,-2,0,-32.8125,-32.8125,-32.8125,-13.9375,-13.9375,-13.9375,7.911686,3.191899,5.790603,2.057166,3.135066,5.495657,-0.1108804,-0.4602942,1.312488,0.3268135,-0.4766341,1.282371,0.1039108,0.2616765,1.415625,-0.06439101,-0.4286039,1.314116,0.2922354,-0.4963095,1.314071,0.1010929,-0.154822,1.40799,0.1052824,-0.4530355,1.402017,-0.05119196,0.02331249,1.367633,0.02862443,-0.4425953,1.37018,-0.1203061,-0.2215166,1.371639,0.3144294,-0.2309902,1.377121,NA,NA,NotTracked,NotTracked,
1.036133,0.746582,0.1503906,0.8671875,-0.3994141,-0.08154297,3,-3,-8,-3,0,0,0,-1,-1,-1,-1,-4,-3,1,-1,0,-21.875,-21.875,-21.875,-29.5,-29.5,-29.5,7.615735,3.285257,6.059263,2.047928,3.129489,5.476763,-0.1103374,-0.461578,1.311351,0.3224951,-0.465978,1.267419,0.1040327,0.2617831,1.415624,-0.06733377,-0.4272131,1.316173,0.2931651,-0.4720525,1.309,0.1009637,-0.1546373,1.408096,0.1052902,-0.45302,1.402023,-0.0509074,0.02356427,1.367513,0.02863651,-0.4425666,1.370187,-0.1200744,-0.2213475,1.371331,0.3150296,-0.2302963,1.377906,NA,NA,NotTracked,NotTracked,
0.9467773,0.7231445,0.2709961,0.8974609,-0.409668,-0.06982422,12,3,2,-1,10,-2,-1,1,0,-1,-1,-1,-1,1,1,-1,4.125,4.125,4.125,-31.1875,-31.1875,-31.1875,7.380652,3.375422,6.322996,2.043079,3.127671,5.444694,-0.1104653,-0.461265,1.311497,0.3110839,-0.4535281,1.249202,0.1041782,0.2618311,1.415709,-0.06564461,-0.4336481,1.313637,0.2797648,-0.4461433,1.237154,0.1009354,-0.1546054,1.408144,0.1053362,-0.4530417,1.402027,-0.05223668,0.02258874,1.368067,0.02867239,-0.4425917,1.370161,-0.1198196,-0.2208921,1.370687,0.3155577,-0.2286166,1.378352,NA,NA,NotTracked,Unknown,
0.9082031,0.6704102,0.3911133,0.875,-0.3779297,-0.0703125,-3,6,24,-14,-13,-1,-4,-3,-1,-5,-9,-3,-2,-2,-2,-2,29.6875,29.6875,29.6875,-31.5625,-31.5625,-31.5625,7.26197,3.428536,6.481435,2.039499,3.119102,5.414013,-0.1095829,-0.4609129,1.310061,0.2931806,-0.4381615,1.229545,0.1043015,0.2619512,1.415731,-0.06494302,-0.4317073,1.314343,0.270312,-0.4134147,1.214298,0.1010346,-0.154601,1.40807,0.1052756,-0.452996,1.402024,-0.05190568,0.02288911,1.367942,0.0285784,-0.4424489,1.370066,-0.1194415,-0.2202873,1.370096,0.3162965,-0.2233352,1.378666,NA,NA,NotTracked,Unknown,
0.9404297,0.9086914,0.4726563,0.9213867,-0.3735352,-0.07421875,0,-12,3,-8,9,0,0,0,0,-1,-4,-4,-4,-2,-2,-1,140.25,140.25,140.25,-36.4375,-36.4375,-36.4375,7.040657,3.671145,6.992535,2.031491,3.114258,5.401403,-0.1083685,-0.4605754,1.308151,0.2616589,-0.4157432,1.206514,0.1044831,0.2619874,1.415724,-0.06479999,-0.4349938,1.313069,0.2357769,-0.4220296,1.241364,0.1009946,-0.154567,1.407988,0.1040686,-0.4525393,1.401814,-0.05133577,0.02341531,1.367458,0.02708044,-0.4415143,1.369541,-0.1187875,-0.2200544,1.368767,0.3154492,-0.2102804,1.376033,NA,NA,NotTracked,Unknown,
0.9145508,1.068848,0.5742188,0.9116211,-0.3657227,-0.07617188,4,4,25,-5,-16,-15,-1,0,-1,-1,-1,0,1,1,1,-2,99.875,99.875,99.875,-51.1875,-51.1875,-51.1875,6.922063,3.902305,7.342328,2.001524,3.104883,5.377675,-0.1060277,-0.4600824,1.303796,0.1779607,-0.3448807,1.176337,0.1047993,0.2623589,1.415943,-0.06744932,-0.4325564,1.316934,0.1445558,-0.3525995,1.225111,0.1007133,-0.15427,1.40782,0.1009792,-0.4507722,1.401622,-0.05041577,0.02434603,1.36667,0.02381912,-0.439064,1.368825,-0.1171443,-0.2164225,1.36283,0.3168149,-0.1813682,1.351648,NA,NA,NotTracked,Unknown,
0.8354492,0.9467773,0.5878906,0.9594727,-0.3374023,-0.07861328,-15,-1,22,5,-4,-4,-3,-2,-1,0,-2,-1,-3,-1,-1,-1,86.375,86.375,86.375,-54.3125,-54.3125,-54.3125,6.867647,4.037268,7.509398,1.964899,3.095928,5.320721,-0.1044847,-0.4593114,1.300316,0.1299585,-0.3000213,1.174786,0.1050164,0.2624238,1.416255,-0.06587088,-0.4539287,1.302926,0.1004481,-0.3282339,1.216867,0.1010867,-0.1536445,1.408935,0.10268,-0.4495362,1.403887,-0.04999065,0.02476467,1.366277,0.02609971,-0.4383034,1.37092,-0.1163918,-0.2153641,1.359188,0.3169645,-0.1793902,1.33981,NA,NA,NotTracked,Unknown,
0.6142578,0.8276367,0.5864258,0.9511719,-0.3178711,-0.1020508,13,9,5,8,15,13,2,6,0,0,-1,-3,0,1,1,0,95.25,95.25,95.25,-56.3125,-56.3125,-56.3125,6.811796,4.329463,7.824142,1.95984,3.094054,5.292952,-0.1017049,-0.4586392,1.295935,0.1041298,-0.2425481,1.191141,0.1053034,0.2626911,1.416643,-0.06806173,-0.4268021,1.319167,0.09023548,-0.3033805,1.221625,0.1018637,-0.1533699,1.409109,0.1036848,-0.4489211,1.404731,-0.04948874,0.02510495,1.365794,0.02740816,-0.4379715,1.371779,-0.1147744,-0.2147552,1.354777,0.3144086,-0.1747854,1.309745,NA,NA,NotTracked,Unknown,
0.4541016,0.7875977,0.5708008,0.9384766,-0.3061523,-0.1132813,2,1,-20,-9,-32,-10,-3,-3,-1,-1,1,0,0,-2,-1,-2,95.9375,95.9375,95.9375,-60.4375,-60.4375,-60.4375,6.811091,4.479877,7.967559,1.951233,3.091384,5.229972,-0.09927956,-0.4576216,1.291077,0.06886768,-0.1973965,1.192024,0.1055445,0.2629223,1.41696,-0.06700024,-0.4227687,1.318786,0.02724424,-0.2366394,1.222,0.1030797,-0.1525755,1.409401,0.1056556,-0.4471228,1.405756,-0.04994879,0.02493009,1.365327,0.02938693,-0.4368348,1.372779,-0.1124479,-0.2141871,1.349904,0.3208355,-0.1619979,1.25507,NA,NA,Unknown,Unknown,
0.144043,0.6967773,0.4750977,0.9038086,-0.2983398,-0.1176758,-2,2,1,-7,-8,-2,-1,2,-1,-2,-3,0,1,-3,0,-1,113.5625,113.5625,113.5625,-51.25,-51.25,-51.25,6.909485,4.898169,8.363214,1.933804,3.090128,5.183281,-0.09581923,-0.4571925,1.286526,0.0455411,-0.1386746,1.21323,0.106035,0.2636137,1.417514,-0.06537168,-0.4238441,1.315022,0.04133275,-0.08978921,1.250625,0.1039279,-0.152021,1.409604,0.1067801,-0.4458916,1.406477,-0.04944503,0.02531454,1.364833,0.03055662,-0.4359611,1.373504,-0.1098607,-0.2168801,1.342808,0.3088486,-0.1534245,1.255945,NA,NA,Unknown,Unknown,
0.02001953,0.6650391,0.4462891,0.9306641,-0.2900391,-0.1230469,-9,-4,6,-4,2,-1,-1,-4,-1,-2,-11,-1,-3,0,0,1,98.25,98.25,98.25,-44.25,-44.25,-44.25,7.018859,5.122476,8.595579,1.921788,3.088795,5.169755,-0.09183135,-0.4566314,1.282097,0.008216582,-0.09512684,1.214243,0.1063245,0.2638903,1.418008,-0.06046483,-0.4235985,1.309136,0.03369948,-0.05176715,1.251833,0.1059372,-0.1512246,1.4099,0.1086364,-0.4448085,1.407226,-0.04891535,0.02575797,1.36396,0.0323485,-0.4353174,1.373873,-0.1072587,-0.2168995,1.338982,0.298509,-0.1495379,1.245596,NA,NA,Unknown,Unknown,
-0.01464844,0.640625,0.3793945,0.9228516,-0.2436523,-0.1591797,-10,-6,-5,-1,-9,-5,1,-2,0,0,-1,0,-2,0,0,0,102.75,102.75,102.75,-37.375,-37.375,-37.375,7.085422,5.210941,8.703189,1.859366,3.076202,5.167902,-0.08843791,-0.4553481,1.279223,0.0004917183,-0.06679495,1.231033,0.1068456,0.2644277,1.418694,-0.05652536,-0.4210181,1.306765,0.02495347,-0.02237146,1.259,0.1074336,-0.1505009,1.410077,0.1100064,-0.4439946,1.407674,-0.04810402,0.02725595,1.362626,0.03374433,-0.4348151,1.374244,-0.1048516,-0.2156995,1.335531,0.2693951,-0.1358358,1.218888,NA,NA,Unknown,Unknown,
0.07763672,0.6757813,0.28125,0.9389648,-0.2216797,-0.1982422,-5,-3,0,1,-4,-1,-1,-1,0,-1,0,-4,-4,-2,-3,-3,78.375,78.375,78.375,-42.3125,-42.3125,-42.3125,7.211428,5.340981,8.891855,1.801147,3.066756,5.178932,-0.08465622,-0.4543649,1.277206,0.003266243,-0.05501563,1.240268,0.1077715,0.2652085,1.419371,-0.05208065,-0.4230413,1.3035,0.01993443,-0.00333515,1.259526,0.1089288,-0.1484467,1.410807,0.11138,-0.4432909,1.40811,-0.04661196,0.02830147,1.359972,0.03506225,-0.4344798,1.374607,-0.1017962,-0.2137917,1.331574,0.2605912,-0.1318053,1.213242,NA,NA,Unknown,Unknown,
0.1054688,0.6542969,0.1533203,0.9418945,-0.2167969,-0.2143555,7,0,6,-1,0,2,3,4,-1,-3,-9,-1,-2,-3,-1,0,16.875,16.875,16.875,-45.5625,-45.5625,-45.5625,7.313631,5.454714,9.072687,1.770888,3.063174,5.183198,-0.0813583,-0.4531941,1.275528,-0.007340877,-0.04181965,1.249305,0.1087339,0.2658781,1.420003,-0.04831409,-0.4224095,1.300067,0.02521088,0.01147494,1.259091,0.1102946,-0.1470093,1.41112,0.1127774,-0.4428454,1.408307,-0.04489842,0.0288474,1.356812,0.03636727,-0.4343195,1.374821,-0.09852876,-0.2122359,1.328461,0.2351406,-0.1185338,1.199335,NA,NA,Unknown,Unknown,
0.1904297,0.6938477,0.09814453,0.9267578,-0.2333984,-0.2314453,-5,0,-3,-5,1,-4,-5,-1,-2,-3,-5,-1,0,-1,0,-1,-0.625,-0.625,-0.625,-42.375,-42.375,-42.375,7.322994,5.466192,9.108786,1.719599,3.059462,5.182224,-0.07901663,-0.4526388,1.275095,-0.01919906,-0.01876664,1.256151,0.1100538,0.2666221,1.420582,-0.04451803,-0.4257401,1.298933,0.004306568,0.03134761,1.270478,0.1108905,-0.1468557,1.411023,0.1139803,-0.4424489,1.408397,-0.04394981,0.02887347,1.355126,0.03742337,-0.4342293,1.374921,-0.0965815,-0.2105082,1.32642,0.2164089,-0.1095463,1.193703,NA,NA,Unknown,Unknown,
0.2958984,0.7705078,0.07373047,0.9057617,-0.2456055,-0.2246094,-10,-5,-3,4,7,2,1,-2,0,0,-3,-4,-2,-6,-4,-2,-17.3125,-17.3125,-17.3125,-9.875,-9.875,-9.875,7.316902,5.440894,9.178432,1.694746,3.060562,5.164985,-0.07506152,-0.459118,1.274597,-0.03110679,-0.01009403,1.265107,0.1126045,0.2679484,1.422284,-0.03847792,-0.4391447,1.2876,-0.004680761,0.01983343,1.228305,0.1119343,-0.1464225,1.410811,0.1156752,-0.4415542,1.408327,-0.04223109,0.0290415,1.352126,0.03902041,-0.433815,1.374881,-0.09210635,-0.2095911,1.321332,0.2037271,-0.1042043,1.191927,NA,NA,Unknown,NotTracked,
0.2958984,0.7705078,0.07373047,0.9067383,-0.2524414,-0.2314453,7,1,0,-10,-3,5,7,5,0,-1,-2,-4,0,-1,-1,0,-17.3125,-17.3125,-17.3125,6.0625,6.0625,6.0625,7.316902,5.440894,9.178432,1.700044,3.063823,5.162184,-0.0755248,-0.4581675,1.274395,-0.03337808,-0.009665794,1.26807,0.113333,0.268293,1.423093,-0.03785188,-0.4385028,1.288765,-0.01137282,0.04296119,1.275293,0.1122233,-0.1463072,1.410708,0.116308,-0.441271,1.408227,-0.04179567,0.02914603,1.351339,0.03959245,-0.433713,1.374802,-0.09148358,-0.2093513,1.320992,0.2006787,-0.1036201,1.192147,NA,NA,Unknown,NotTracked,
0.09521484,0.9038086,-0.09814453,0.8823242,-0.2329102,-0.1879883,41,12,3,-4,12,8,4,15,-2,0,1,-1,1,1,1,0,-26.3125,-26.3125,-26.3125,19.1875,19.1875,19.1875,7.304576,5.414972,9.183195,1.705773,3.061701,5.175902,-0.07518529,-0.4585093,1.276012,-0.03344215,-0.01365524,1.270102,0.1141773,0.2684982,1.424063,-0.03751166,-0.4412599,1.287481,-0.01735511,0.04102859,1.27828,0.1124553,-0.1461392,1.410712,0.1167518,-0.4409508,1.408155,-0.04165949,0.02924945,1.351153,0.04010167,-0.4334168,1.37473,-0.09115223,-0.2091504,1.320858,0.1999283,-0.1040816,1.192809,NA,NA,Unknown,NotTracked,
0.09521484,0.9038086,-0.09814453,0.8999023,-0.3066406,-0.1396484,-7,-2,-3,6,4,-4,-1,-1,0,0,-2,-1,0,1,-1,-2,-26.3125,-26.3125,-26.3125,23.4375,23.4375,23.4375,7.304576,5.414972,9.183195,1.705777,3.062273,5.201697,-0.07625675,-0.458372,1.277346,-0.03070579,-0.01653321,1.270448,0.1146026,0.2688118,1.425039,-0.04166155,-0.4351525,1.29176,-0.02846228,0.03957302,1.28219,0.112809,-0.1449651,1.411182,0.117001,-0.4407614,1.408062,-0.04161369,0.02933024,1.351131,0.04033835,-0.4333085,1.374721,-0.09091051,-0.2089244,1.320907,0.2014328,-0.1061101,1.194242,NA,NA,Unknown,NotTracked,
-0.09228516,0.934082,0.1699219,0.9287109,-0.3139648,-0.1381836,4,-8,-18,-19,-16,-1,1,-1,0,-1,4,-1,-1,1,-1,0,-38,-38,-38,36.875,36.875,36.875,7.205979,5.359651,9.106504,1.72572,3.062789,5.221777,-0.07885414,-0.4566304,1.280319,-0.01992387,-0.01576807,1.265567,0.1149454,0.2689678,1.426238,-0.04134397,-0.4413701,1.292829,0.01610374,0.03218067,1.274875,0.1128211,-0.1449568,1.411187,0.1170063,-0.4406979,1.40806,-0.0414168,0.02993846,1.351416,0.04035509,-0.4332198,1.374815,-0.09117876,-0.2079682,1.321423,0.2086269,-0.115831,1.202139,NA,NA,Unknown,NotTracked,
