ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9130859,0.3217773,0.1420898,0.9780273,-0.2753906,0.1303711,0,-2,-1,-1,2,-1,-2,-1,0,0,3,-6,-7,-5,-2,-1,3.5,3.5,3.5,2.375,2.375,2.375,6.95848,3.063146,0.5641128,3.167886,2.986886,6.738694,-0.1544268,-0.4657299,1.663562,0.3066102,-0.4575614,1.609842,0.05830628,0.3426446,1.697365,-0.1828089,-0.4655544,1.671445,0.3430827,-0.4671451,1.608,0.06250341,-0.07591228,1.739242,0.06143433,-0.3610498,1.727271,-0.1064337,0.09764169,1.737684,-0.01755417,-0.3572049,1.704644,-0.1464109,-0.1611727,1.757102,0.2930877,-0.1681343,1.722846,NA,NA,NotTracked,NotTracked,
0.9321289,0.3217773,0.1337891,0.9672852,-0.2695313,0.1601563,-1,-1,-3,-1,-2,-1,0,0,-1,0,14,4,-1,-1,0,0,-1.1875,-1.1875,-1.1875,-2.125,-2.125,-2.125,6.948753,3.068131,0.5759901,3.222867,3.000424,6.681011,-0.1540617,-0.4655347,1.662836,0.3061624,-0.4580506,1.61053,0.05830917,0.342693,1.697639,-0.175524,-0.4780747,1.671417,0.3375283,-0.4569041,1.603129,0.06245641,-0.07588319,1.739313,0.06141708,-0.3610438,1.727304,-0.1065458,0.09768837,1.737896,-0.01756839,-0.357197,1.704664,-0.1463629,-0.1612519,1.757252,0.2931193,-0.1679454,1.723104,NA,NA,NotTracked,NotTracked,
0.9311523,0.3237305,0.1391602,0.9404297,-0.2807617,0.1943359,-1,0,0,0,-3,2,5,0,-2,-1,4,-3,-4,-1,-1,-1,5.6875,5.6875,5.6875,-3.25,-3.25,-3.25,6.931446,3.074471,0.6017189,3.28622,3.019345,6.611149,-0.1539544,-0.462821,1.661178,0.3060123,-0.456826,1.609314,0.05834045,0.3425883,1.697832,-0.1423037,-0.5109701,1.712,0.3349049,-0.4438171,1.597345,0.0624401,-0.07588705,1.73932,0.06140234,-0.3610461,1.727298,-0.1065428,0.09767101,1.737916,-0.01758642,-0.3572002,1.70465,-0.1464247,-0.160897,1.757289,0.2931314,-0.1684584,1.723311,NA,NA,NotTracked,NotTracked,
0.9130859,0.3388672,0.1499023,0.9228516,-0.2841797,0.2158203,0,-1,-1,-1,-4,3,-1,-4,-1,-5,-15,-3,-4,0,-1,0,3.875,3.875,3.875,-2.875,-2.875,-2.875,6.91467,3.083923,0.6243217,3.34862,3.041114,6.543062,-0.1525383,-0.4604564,1.657008,0.3056234,-0.45583,1.607847,0.05837262,0.3426298,1.697941,-0.1422876,-0.5033903,1.708329,0.3355862,-0.4439854,1.599885,0.06243129,-0.07588167,1.739318,0.0614127,-0.3610533,1.727261,-0.1065349,0.09767044,1.737915,-0.01757953,-0.3572152,1.704594,-0.1464429,-0.1608995,1.757296,0.2931995,-0.1683994,1.723483,NA,NA,NotTracked,NotTracked,
0.9072266,0.3369141,0.1430664,0.9360352,-0.2973633,0.2202148,-2,-1,0,-1,10,0,1,0,-1,1,4,1,6,-3,0,-1,2,2,2,-1.6875,-1.6875,-1.6875,6.903071,3.089165,0.6377418,3.376839,3.05218,6.512537,-0.1504045,-0.4576671,1.653088,0.3050972,-0.4555426,1.607665,0.05842406,0.3426591,1.698205,-0.1334314,-0.5043037,1.659667,0.3370831,-0.4459274,1.602765,0.06245622,-0.07587823,1.739362,0.06142465,-0.3610493,1.727258,-0.1065474,0.09764377,1.737988,-0.01756225,-0.3572093,1.704584,-0.1465696,-0.1604178,1.757664,0.2933085,-0.1679878,1.723862,NA,NA,NotTracked,NotTracked,
0.9160156,0.3447266,0.1708984,0.9326172,-0.2753906,0.199707,-1,-2,-2,-2,-4,2,-2,-4,0,-2,-4,-2,-2,-1,-4,-1,10.5625,10.5625,10.5625,2.375,2.375,2.375,6.867914,3.109502,0.68697,3.461163,3.083425,6.429273,-0.1446327,-0.4637057,1.639589,0.3035802,-0.4536853,1.604516,0.05845756,0.3427476,1.699137,-0.1231271,-0.4441632,1.623363,0.3366819,-0.4525723,1.596109,0.06244757,-0.07588959,1.739698,0.06143948,-0.3610618,1.727358,-0.1065266,0.09783932,1.73859,-0.01753559,-0.3571918,1.704659,-0.1467934,-0.1585056,1.758591,0.293719,-0.1679581,1.725493,NA,NA,NotTracked,NotTracked,
0.9111328,0.362793,0.1708984,0.9423828,-0.2978516,0.2109375,1,0,0,1,5,6,-1,-1,-1,-2,6,-5,-8,-7,0,-1,0.375,0.375,0.375,-7,-7,-7,6.839989,3.127532,0.7209758,3.507264,3.105676,6.373097,-0.1427203,-0.4578772,1.635319,0.3039397,-0.4509394,1.601709,0.05850676,0.3426865,1.699444,-0.1198673,-0.444123,1.618765,0.3381934,-0.4534316,1.601642,0.06244422,-0.07587202,1.739743,0.06144515,-0.3610462,1.72737,-0.1065032,0.09792972,1.738706,-0.01752638,-0.3571431,1.704668,-0.1469337,-0.1573715,1.758902,0.2939829,-0.1677704,1.725831,NA,NA,NotTracked,NotTracked,
0.9077148,0.3466797,0.1777344,0.9355469,-0.2895508,0.2387695,1,2,-5,1,-11,-6,-2,-2,-1,2,36,5,-2,-3,0,-2,-0.5625,-0.5625,-0.5625,-7.0625,-7.0625,-7.0625,6.820456,3.137146,0.7414696,3.555079,3.13063,6.313165,-0.1405177,-0.4561687,1.630771,0.3036413,-0.4478008,1.599688,0.05864038,0.3427954,1.699802,-0.1087598,-0.4599035,1.636,0.3328834,-0.4559834,1.589063,0.06247992,-0.07581341,1.739867,0.06147481,-0.3609808,1.727434,-0.106346,0.09804638,1.738845,-0.01750339,-0.3570604,1.704697,-0.1470221,-0.15646,1.758871,0.2944629,-0.1675745,1.726493,NA,NA,NotTracked,NotTracked,
0.9150391,0.3583984,0.2001953,0.9404297,-0.3027344,0.2607422,-1,-1,-1,-2,-6,2,0,0,-1,-1,6,-4,-1,-3,-2,-2,6.25,6.25,6.25,-11.8125,-11.8125,-11.8125,6.767005,3.170631,0.807259,3.600839,3.159454,6.250028,-0.1384109,-0.4499111,1.628954,0.3025784,-0.4452949,1.596535,0.0587502,0.3427896,1.700248,-0.099222,-0.4612502,1.639143,0.3068656,-0.4336658,1.564168,0.06253047,-0.0757997,1.740024,0.06160158,-0.3609555,1.727512,-0.1062932,0.09802451,1.739017,-0.01739607,-0.3570339,1.704729,-0.1467439,-0.1551071,1.759165,0.2949976,-0.1669126,1.727329,NA,NA,NotTracked,NotTracked,
0.887207,0.3725586,0.2275391,0.921875,-0.3242188,0.2788086,-1,-2,-2,-2,-8,-4,-3,-1,-3,-2,-85,-5,-2,-5,-3,-2,4.75,4.75,4.75,-8.0625,-8.0625,-8.0625,6.72824,3.200053,0.8546023,3.64683,3.193469,6.187922,-0.1300108,-0.4454527,1.620788,0.3018087,-0.4340487,1.59403,0.05892794,0.3430541,1.701062,-0.09083453,-0.4525064,1.638529,0.309151,-0.4223428,1.563364,0.06271426,-0.07575434,1.740403,0.06170016,-0.3609031,1.727717,-0.1061397,0.09826676,1.739473,-0.01727311,-0.3569387,1.704842,-0.1468445,-0.1532037,1.759408,0.2960259,-0.1658213,1.729674,NA,NA,NotTracked,NotTracked,
