ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8007813,0.5112305,0.6557617,0.9575195,-0.246582,0.1069336,-11,-18,-5,-20,-3,0,-4,-4,0,1,1,1,3,0,1,1,21.125,21.125,21.125,0.8125,0.8125,0.8125,6.084213,3.76743,1.192824,3.049759,2.93135,6.346807,-0.1540424,-0.4673569,1.679651,0.2150164,-0.320733,1.488418,0.05794103,0.3448717,1.6951,-0.1821821,-0.4748132,1.683222,0.1801909,-0.3255677,1.5066,0.06086966,-0.0745368,1.737094,0.05629235,-0.3589404,1.725982,-0.1051368,0.09736514,1.735801,-0.02225196,-0.3536547,1.702668,-0.1483284,-0.1607307,1.759099,0.2765436,-0.134533,1.742361,NA,NA,NotTracked,Unknown,
0.6855469,0.5239258,0.7241211,0.9575195,-0.246582,0.1069336,-1,4,22,24,-3,-4,-2,-1,0,1,1,1,3,0,1,1,31.875,31.875,31.875,0.8125,0.8125,0.8125,6.065226,3.968508,1.27176,3.049759,2.93135,6.346807,-0.1537189,-0.4696999,1.679354,0.2027008,-0.2832771,1.471957,0.05843131,0.3447278,1.695075,-0.1833311,-0.4639774,1.686687,0.166139,-0.2839235,1.456375,0.0605077,-0.07443994,1.737013,0.05443587,-0.3586859,1.725144,-0.1051084,0.09737837,1.735729,-0.02423992,-0.3532445,1.701565,-0.1486068,-0.155801,1.758374,0.2764487,-0.1272689,1.743671,NA,NA,NotTracked,Closed,
0.3710938,0.5883789,0.7509766,0.9575195,-0.246582,0.1069336,-13,-29,-24,-7,-1,0,1,-3,0,1,1,1,3,0,1,1,7,7,7,0.8125,0.8125,0.8125,6.042968,4.318491,1.370884,3.049759,2.93135,6.346807,-0.1543636,-0.4684956,1.679568,0.1909829,-0.2436214,1.458611,0.05918315,0.3448003,1.695221,-0.1774886,-0.4740838,1.694111,0.1901921,-0.2185284,1.456838,0.0603301,-0.07435423,1.736984,0.05367151,-0.3583964,1.724944,-0.1050935,0.09745032,1.735699,-0.02487536,-0.3528934,1.701314,-0.1487215,-0.1564856,1.758299,0.2756482,-0.1201641,1.743742,NA,NA,NotTracked,Closed,
0.3193359,0.5947266,0.7724609,0.9575195,-0.246582,0.1069336,-8,7,-19,5,1,-2,-12,-7,0,1,1,1,3,0,1,1,11.5625,11.5625,11.5625,0.8125,0.8125,0.8125,6.037512,4.442033,1.402642,3.049759,2.93135,6.346807,-0.1558374,-0.4670781,1.679286,0.1817817,-0.2016463,1.44866,0.0599251,0.3447706,1.695349,-0.180909,-0.4683929,1.687508,0.1415041,-0.1848458,1.48,0.06027376,-0.07428312,1.736967,0.05341044,-0.3582198,1.724917,-0.1050125,0.09753548,1.735605,-0.02504786,-0.3527412,1.701256,-0.1486291,-0.1572292,1.75811,0.275474,-0.1095649,1.742268,NA,NA,NotTracked,Unknown,
0.05273438,0.6357422,0.762207,0.9575195,-0.246582,0.1069336,-7,-13,-10,3,-10,-5,-2,1,0,1,1,1,3,0,1,1,8.6875,8.6875,8.6875,0.8125,0.8125,0.8125,6.03195,4.833772,1.509632,3.049759,2.93135,6.346807,-0.1557456,-0.4667198,1.678252,0.1709753,-0.1567802,1.44719,0.06094414,0.3447942,1.69548,-0.1843361,-0.4647899,1.6878,0.127417,-0.1537526,1.441,0.06030602,-0.07419248,1.737002,0.05343627,-0.3580545,1.724978,-0.1049418,0.09756328,1.735455,-0.02499927,-0.3525834,1.701288,-0.1487153,-0.1490176,1.757975,0.2776478,-0.1103913,1.738717,NA,NA,NotTracked,Unknown,
-0.105957,0.609375,0.7060547,0.9575195,-0.246582,0.1069336,-6,8,0,7,8,14,2,0,0,1,1,1,3,0,1,1,17,17,17,0.8125,0.8125,0.8125,6.044113,5.102572,1.593168,3.049759,2.93135,6.346807,-0.155651,-0.4656633,1.677822,0.1458163,-0.06194595,1.461024,0.06309722,0.3445276,1.696398,-0.1854077,-0.460917,1.682308,0.1061906,-0.03533835,1.4799,0.06059307,-0.07387631,1.737237,0.05361572,-0.3571109,1.725476,-0.1044937,0.09796174,1.735231,-0.02471218,-0.3517292,1.701562,-0.1488078,-0.1511665,1.757296,0.2746581,-0.1127458,1.691983,NA,NA,NotTracked,Closed,
-0.1557617,0.5649414,0.7329102,0.9575195,-0.246582,0.1069336,1,3,-15,-10,-19,-12,5,2,0,1,1,1,3,0,1,1,18.8125,18.8125,18.8125,0.8125,0.8125,0.8125,6.059914,5.233932,1.64397,3.049759,2.93135,6.346807,-0.1564611,-0.4657734,1.678815,0.1326204,-0.01447211,1.468367,0.06408963,0.3443548,1.696883,-0.1485644,-0.5019146,1.712667,0.1246863,0.02123559,1.485182,0.06067133,-0.0736564,1.737436,0.05367226,-0.3566867,1.725543,-0.1042342,0.0982139,1.735124,-0.0245801,-0.3513162,1.701443,-0.1487099,-0.1510622,1.757268,0.3177357,-0.1575215,1.708987,NA,NA,NotTracked,Closed,
-0.3999023,0.6074219,0.6992188,0.9575195,-0.246582,0.1069336,-2,-10,17,16,2,-25,4,-3,0,1,1,1,3,0,1,1,12.875,12.875,12.875,0.8125,0.8125,0.8125,6.130337,5.603023,1.829034,3.049759,2.93135,6.346807,-0.1556328,-0.4649909,1.677376,0.1265163,0.02187262,1.483802,0.06519465,0.3441346,1.697479,-0.1821346,-0.4655842,1.685,0.09644581,0.04613616,1.517143,0.06073523,-0.07350966,1.737718,0.05359829,-0.3565848,1.725593,-0.1041616,0.09850594,1.735111,-0.02465144,-0.3512301,1.701445,-0.1484842,-0.151469,1.757314,0.3139611,-0.1628139,1.708238,NA,NA,NotTracked,Closed,
-0.4833984,0.5341797,0.6396484,0.9575195,-0.246582,0.1069336,16,3,6,8,1,-31,0,6,0,1,1,1,3,0,1,1,8.75,8.75,8.75,0.8125,0.8125,0.8125,6.199194,5.818376,1.968449,3.049759,2.93135,6.346807,-0.1555288,-0.4636366,1.677129,0.1169504,0.08048455,1.516479,0.06618605,0.3442944,1.698613,-0.1455562,-0.5007812,1.6922,0.1112801,0.05048868,1.587,0.06148209,-0.07308752,1.73807,0.05359202,-0.3562336,1.72587,-0.1042182,0.09872338,1.73525,-0.02466545,-0.3509143,1.7019,-0.1483049,-0.1511688,1.757204,0.3068165,-0.1674842,1.666604,NA,NA,NotTracked,Unknown,
-0.5292969,0.5449219,0.6137695,0.9575195,-0.246582,0.1069336,-7,3,-5,4,7,0,6,4,0,1,1,1,3,0,1,1,7.8125,7.8125,7.8125,0.8125,0.8125,0.8125,6.290114,6.002401,2.120031,3.049759,2.93135,6.346807,-0.1554768,-0.4623443,1.677747,0.1123016,0.1060123,1.530026,0.06657168,0.3447462,1.699029,-0.1864174,-0.4639182,1.689091,0.09917521,0.08660484,1.570778,0.06162996,-0.07305077,1.737894,0.05347499,-0.3562056,1.72606,-0.104235,0.09871318,1.735265,-0.02482911,-0.3509476,1.702327,-0.1479872,-0.1519648,1.757148,0.3009957,-0.1587108,1.661322,NA,NA,NotTracked,Unknown,
-0.5258789,0.5283203,0.5546875,0.9575195,-0.246582,0.1069336,2,12,14,1,-5,36,3,5,0,1,1,1,3,0,1,1,0.25,0.25,0.25,0.8125,0.8125,0.8125,6.389591,6.150797,2.274572,3.049759,2.93135,6.346807,-0.1543035,-0.4631807,1.675588,0.1113774,0.1205499,1.542476,0.06683964,0.3455221,1.699769,-0.1814155,-0.4627919,1.671218,0.09670237,0.1055904,1.584778,0.0617297,-0.07300171,1.737609,0.05334292,-0.3561776,1.726153,-0.1042002,0.09877839,1.73534,-0.02504523,-0.3509999,1.702642,-0.1479103,-0.1519589,1.757089,0.2977715,-0.1531072,1.651145,NA,NA,NotTracked,Unknown,
-0.5410156,0.5336914,0.5263672,0.9575195,-0.246582,0.1069336,3,-10,-9,-11,-14,53,9,-15,0,1,1,1,3,0,1,1,-9.4375,-9.4375,-9.4375,0.8125,0.8125,0.8125,6.432861,6.210592,2.347071,3.049759,2.93135,6.346807,-0.1532236,-0.4662961,1.673883,0.1361867,0.07851224,1.576153,0.06695529,0.3462412,1.700525,-0.1837422,-0.4621502,1.680335,0.1346668,0.1340309,1.54575,0.06178445,-0.07300057,1.737292,0.05320515,-0.3561201,1.726266,-0.1041643,0.09886718,1.735417,-0.02526549,-0.3508987,1.703016,-0.1478905,-0.1519587,1.757051,0.3010803,-0.1509907,1.637408,NA,NA,NotTracked,Unknown,
-0.5957031,0.4853516,0.4892578,0.9575195,-0.246582,0.1069336,-5,-37,-18,-2,1,-28,3,1,0,1,1,1,3,0,1,1,-13.1875,-13.1875,-13.1875,0.8125,0.8125,0.8125,6.515828,6.303085,2.482271,3.049759,2.93135,6.346807,-0.1538091,-0.4647413,1.673356,0.1050056,0.1458999,1.563007,0.06703608,0.3463436,1.700649,-0.1841843,-0.4664222,1.681873,0.09314762,0.1261111,1.616286,0.06177165,-0.07305646,1.736893,0.05300131,-0.3560753,1.726308,-0.1040328,0.09893775,1.735504,-0.0255616,-0.3508585,1.70329,-0.1478717,-0.1519378,1.757045,0.2641661,-0.1006567,1.628185,NA,NA,NotTracked,Unknown,
-0.5957031,0.4853516,0.4892578,0.9575195,-0.246582,0.1069336,-5,-37,-18,-2,1,-28,3,1,0,1,1,1,3,0,1,1,-13.1875,-13.1875,-13.1875,0.8125,0.8125,0.8125,6.515828,6.303085,2.482271,3.049759,2.93135,6.346807,-0.1529579,-0.4637117,1.673523,0.1073757,0.1451414,1.572114,0.06721191,0.3464954,1.701268,-0.1845143,-0.4626301,1.684689,0.08818401,0.1376685,1.611786,0.06179648,-0.0731366,1.736596,0.05283565,-0.3560624,1.726405,-0.1039287,0.09896446,1.735645,-0.02582283,-0.3508707,1.70371,-0.1478129,-0.1518753,1.757075,0.2636465,-0.1006453,1.62784,NA,NA,NotTracked,Unknown,
-0.5957031,0.4853516,0.4892578,0.9575195,-0.246582,0.1069336,24,3,9,80,-15,48,14,0,0,1,1,1,3,0,1,1,-13.1875,-13.1875,-13.1875,0.8125,0.8125,0.8125,6.515828,6.303085,2.482271,3.049759,2.93135,6.346807,-0.1523775,-0.4636363,1.674337,0.1067319,0.1457096,1.576435,0.06734672,0.3465664,1.70152,-0.1395435,-0.4921565,1.689,0.08401811,0.145257,1.615909,0.06184974,-0.07322645,1.736329,0.05269897,-0.3560487,1.726428,-0.1038417,0.09894644,1.735768,-0.02598175,-0.3508607,1.703829,-0.1476604,-0.1517841,1.757057,0.2621027,-0.1004356,1.627123,NA,NA,NotTracked,Unknown,
