ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9160156,0.28125,0.1459961,0.956543,-0.2480469,0.1152344,0,-1,1,-1,-2,-2,0,0,0,0,7,-1,11,1,-1,0,1.625,1.625,1.625,-1.125,-1.125,-1.125,6.782562,3.022031,2.116904,3.174355,2.941949,5.969935,-0.1586843,-0.4833869,1.684805,0.2840385,-0.4791203,1.612818,0.05197171,0.3457775,1.696456,-0.1607632,-0.5021006,1.6371,0.2544637,-0.4811606,1.591837,0.05412445,-0.07415399,1.7379,0.05172209,-0.3590347,1.728795,-0.1122644,0.09776758,1.737825,-0.02624696,-0.3546348,1.706111,-0.1525044,-0.1588345,1.763788,0.270601,-0.1547218,1.723814,NA,NA,NotTracked,NotTracked,
0.9326172,0.2700195,0.140625,0.956543,-0.2480469,0.1152344,1,-1,0,-2,-2,0,-1,0,0,0,7,-1,11,1,-1,0,0.0625,0.0625,0.0625,-1.125,-1.125,-1.125,6.781525,3.021907,2.11795,3.174355,2.941949,5.969935,-0.1585401,-0.4807325,1.683076,0.2833622,-0.4789043,1.611523,0.05181975,0.3457314,1.696336,-0.1604031,-0.4885888,1.641012,0.2529454,-0.4740244,1.59642,0.05406475,-0.07418515,1.737759,0.05165521,-0.3590499,1.728629,-0.1128132,0.09760772,1.737675,-0.02631057,-0.3546338,1.705963,-0.1526,-0.1586906,1.763687,0.2705643,-0.1547492,1.723636,NA,NA,NotTracked,NotTracked,
0.9204102,0.2705078,0.1308594,0.956543,-0.2480469,0.1152344,2,1,0,-2,0,1,3,1,0,0,7,-1,11,1,-1,0,0.25,0.25,0.25,-1.125,-1.125,-1.125,6.781415,3.019814,2.118333,3.174355,2.941949,5.969935,-0.1580656,-0.4797341,1.681045,0.282855,-0.4782437,1.61196,0.05175189,0.3457452,1.696205,-0.1601542,-0.4892585,1.639953,0.2534266,-0.4786776,1.592554,0.05402283,-0.0741929,1.737532,0.05172561,-0.3590783,1.728314,-0.1131174,0.09748398,1.737467,-0.0262075,-0.3546635,1.70558,-0.1528223,-0.156948,1.762762,0.2704722,-0.1547712,1.723614,NA,NA,NotTracked,NotTracked,
0.9282227,0.2700195,0.1430664,0.956543,-0.2480469,0.1152344,3,0,-2,-1,-1,0,0,0,0,0,7,-1,11,1,-1,0,1.375,1.375,1.375,-1.125,-1.125,-1.125,6.777617,3.017354,2.123905,3.174355,2.941949,5.969935,-0.1581936,-0.4791386,1.681344,0.2830038,-0.4789832,1.613573,0.0517415,0.3457159,1.696047,-0.1608236,-0.4907673,1.64008,0.2537251,-0.4767492,1.592068,0.05394452,-0.07421806,1.737481,0.05168774,-0.359107,1.728239,-0.1131945,0.09743404,1.73731,-0.02623906,-0.3546985,1.705465,-0.1529627,-0.1574143,1.762024,0.2702871,-0.1546642,1.723673,NA,NA,NotTracked,NotTracked,
0.9277344,0.2807617,0.1469727,0.956543,-0.2480469,0.1152344,7,1,-2,0,-2,-9,-2,-1,0,0,7,-1,11,1,-1,0,-2.125,-2.125,-2.125,-1.125,-1.125,-1.125,6.773723,3.016499,2.127405,3.174355,2.941949,5.969935,-0.1582889,-0.4743153,1.680113,0.2822059,-0.4791189,1.613052,0.05173378,0.3457116,1.695953,-0.1614862,-0.4847663,1.639144,0.2527581,-0.4777647,1.593819,0.05399551,-0.07424869,1.737298,0.05191865,-0.3591753,1.727915,-0.1133498,0.0973261,1.737112,-0.02600327,-0.3547191,1.705092,-0.1529815,-0.1567799,1.76154,0.2701727,-0.1547823,1.723535,NA,NA,NotTracked,NotTracked,
0.9326172,0.2841797,0.1289063,0.956543,-0.2480469,0.1152344,-14,0,0,6,2,15,1,-3,0,0,7,-1,11,1,-1,0,3.3125,3.3125,3.3125,-1.125,-1.125,-1.125,6.777487,3.01414,2.125849,3.174355,2.941949,5.969935,-0.1591036,-0.476696,1.680281,0.2820894,-0.47797,1.613471,0.0517641,0.3456883,1.695602,-0.1312153,-0.4857376,1.653048,0.25135,-0.4832369,1.589247,0.05399927,-0.07430443,1.737033,0.05195752,-0.3592449,1.727553,-0.1134662,0.09722073,1.736862,-0.02594938,-0.3547581,1.704678,-0.1529904,-0.1566263,1.761216,0.2699557,-0.1550603,1.72355,NA,NA,NotTracked,NotTracked,
0.9833984,0.2490234,0.1103516,0.956543,-0.2480469,0.1152344,1,1,4,20,-2,-24,4,5,0,0,7,-1,11,1,-1,0,8.25,8.25,8.25,-1.125,-1.125,-1.125,6.762099,3.017515,2.15005,3.174355,2.941949,5.969935,-0.1591036,-0.476399,1.678686,0.2808323,-0.4771604,1.609095,0.05175137,0.3456749,1.695312,-0.1622608,-0.4814104,1.636125,0.2477097,-0.4884713,1.580826,0.05402005,-0.07429557,1.736647,0.05203443,-0.3592527,1.72703,-0.1093691,0.09787239,1.735772,-0.02589412,-0.3546757,1.704079,-0.1529166,-0.1563345,1.760959,0.2695108,-0.1563362,1.723658,NA,NA,NotTracked,NotTracked,
1.015625,0.3510742,0.1376953,0.956543,-0.2480469,0.1152344,-20,-5,-9,-18,-2,4,-4,-6,0,0,7,-1,11,1,-1,0,-17.1875,-17.1875,-17.1875,-1.125,-1.125,-1.125,6.674892,3.05883,2.232958,3.174355,2.941949,5.969935,-0.1596488,-0.4775435,1.679478,0.2778711,-0.4726353,1.595877,0.05184042,0.3456358,1.695148,-0.1606219,-0.4871403,1.636828,0.2440176,-0.4824862,1.563174,0.05408612,-0.07433181,1.736242,0.05214046,-0.3592823,1.726567,-0.1102005,0.09776402,1.735542,-0.0257483,-0.354665,1.703451,-0.153077,-0.1580974,1.760545,0.2694476,-0.1559215,1.724176,NA,NA,NotTracked,NotTracked,
1.075684,0.4111328,0.4116211,0.956543,-0.2480469,0.1152344,22,-5,-7,-13,3,7,-17,1,0,0,7,-1,11,1,-1,0,-34.5625,-34.5625,-34.5625,-1.125,-1.125,-1.125,6.445927,3.193818,2.428883,3.174355,2.941949,5.969935,-0.1580778,-0.4834166,1.679549,0.27255,-0.4423175,1.5593,0.05188148,0.3456098,1.695147,-0.1590458,-0.4747052,1.638625,0.2433627,-0.4373306,1.526046,0.05409625,-0.07433844,1.736173,0.05207771,-0.359277,1.726467,-0.1109884,0.09751651,1.735783,-0.02581326,-0.3546257,1.703324,-0.1530375,-0.1577047,1.760621,0.2692085,-0.1529637,1.728676,NA,NA,NotTracked,NotTracked,
0.9326172,0.6142578,0.5849609,0.956543,-0.2480469,0.1152344,-62,-23,-4,-41,6,-1,3,-5,0,0,7,-1,11,1,-1,0,5.375,5.375,5.375,-1.125,-1.125,-1.125,6.28533,3.459715,2.608192,3.174355,2.941949,5.969935,-0.1593291,-0.4803842,1.681778,0.267698,-0.3792523,1.500631,0.05204307,0.3454742,1.694974,-0.1620197,-0.4825895,1.639769,0.2393152,-0.3644148,1.463692,0.05401949,-0.07430288,1.73609,0.05154283,-0.3589177,1.726197,-0.1113723,0.09757876,1.73561,-0.02642109,-0.3543912,1.702882,-0.1530971,-0.1563328,1.760288,0.2683254,-0.1440906,1.734462,NA,NA,NotTracked,Unknown,
0.6113281,0.6816406,0.7666016,0.956543,-0.2480469,0.1152344,-28,4,-6,8,-7,-9,-2,1,0,0,7,-1,11,1,-1,0,8.6875,8.6875,8.6875,-1.125,-1.125,-1.125,6.17487,3.98551,2.74217,3.174355,2.941949,5.969935,-0.1596016,-0.4817569,1.684147,0.2659686,-0.2767654,1.454754,0.05276878,0.3449678,1.694696,-0.1616273,-0.4790059,1.642265,0.2358488,-0.2543193,1.418,0.05394945,-0.07420149,1.736214,0.05112607,-0.3583442,1.72629,-0.1117077,0.097637,1.735608,-0.02691288,-0.3539369,1.702834,-0.1534422,-0.154673,1.76067,0.2644262,-0.119934,1.742308,NA,NA,NotTracked,Unknown,
0.2182617,0.7592773,0.7817383,0.956543,-0.2480469,0.1152344,-69,-34,5,18,5,56,4,-6,0,0,7,-1,11,1,-1,0,18.9375,18.9375,18.9375,-1.125,-1.125,-1.125,6.183014,4.625821,2.815655,3.174355,2.941949,5.969935,-0.1624704,-0.4819072,1.683228,0.2564813,-0.1748881,1.420979,0.05368514,0.3443948,1.694598,-0.1347513,-0.4825649,1.658666,0.2318925,-0.1357237,1.395643,0.05381685,-0.0741616,1.736537,0.0504075,-0.3578038,1.726639,-0.1119857,0.09771556,1.73577,-0.02777537,-0.3533302,1.703014,-0.1540302,-0.1544955,1.761015,0.2691046,-0.1076616,1.736169,NA,NA,NotTracked,Unknown,
0.046875,0.7241211,0.7792969,0.956543,-0.2480469,0.1152344,83,40,17,-12,-24,15,-7,32,0,0,7,-1,11,1,-1,0,21.625,21.625,21.625,-1.125,-1.125,-1.125,6.201783,4.962056,2.853367,3.174355,2.941949,5.969935,-0.1624937,-0.4862787,1.681142,0.2494822,-0.04652785,1.407805,0.05562053,0.3429711,1.694764,-0.1651038,-0.4839755,1.639364,0.2190796,-0.009186836,1.398083,0.05344686,-0.07420037,1.737494,0.04980579,-0.3574398,1.726945,-0.1123673,0.09791653,1.736361,-0.02840303,-0.3530305,1.703151,-0.1544662,-0.1532317,1.761516,0.2530824,-0.1134708,1.713854,NA,NA,NotTracked,Unknown,
-0.3134766,0.6875,0.7016602,0.956543,-0.2480469,0.1152344,8,6,-16,14,54,30,0,-30,0,0,7,-1,11,1,-1,0,30.125,30.125,30.125,-1.125,-1.125,-1.125,6.312634,5.621244,2.974471,3.174355,2.941949,5.969935,-0.1631677,-0.4868813,1.67917,0.2320087,0.09347881,1.38972,0.05736405,0.3418886,1.695066,-0.1379701,-0.4740065,1.658143,0.2043935,0.1435619,1.412385,0.0533458,-0.07449567,1.739105,0.0491166,-0.3573556,1.727641,-0.1126695,0.09854439,1.737428,-0.02920658,-0.3530349,1.70376,-0.1546922,-0.1530474,1.761801,0.2889259,-0.1252736,1.652196,NA,NA,NotTracked,Open,
-0.5410156,0.7021484,0.5952148,0.956543,-0.2480469,0.1152344,-33,12,12,4,40,0,6,1,0,0,7,-1,11,1,-1,0,53.1875,53.1875,53.1875,-1.125,-1.125,-1.125,6.477026,6.056657,3.125211,3.174355,2.941949,5.969935,-0.1647063,-0.4873708,1.678747,0.2163957,0.1982543,1.419277,0.05916348,0.3405076,1.696406,-0.1387467,-0.4652309,1.662556,0.1953068,0.2364886,1.474,0.05362412,-0.07375591,1.739332,0.04862215,-0.3564775,1.728598,-0.1127272,0.09885645,1.739379,-0.03021234,-0.3521974,1.704715,-0.1550706,-0.1531096,1.762846,0.3063329,-0.08243514,1.57653,NA,NA,NotTracked,Open,
