ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9204102,0.3183594,0.1469727,0.9658203,-0.2133789,0.08105469,0,0,-1,1,-1,0,2,-1,0,-2,-7,-2,-7,-4,-1,-1,-0.75,-0.75,-0.75,-0.1875,-0.1875,-0.1875,6.777267,3.076716,4.767068,3.02825,2.883995,6.159585,-0.147254,-0.4861589,1.695683,0.2803758,-0.4713768,1.605265,0.03390648,0.3446208,1.717183,-0.1072338,-0.4657772,1.6714,0.2484763,-0.4802855,1.583688,0.04655802,-0.1171407,1.757863,0.03889095,-0.4338969,1.750504,-0.1187417,0.07455953,1.749928,-0.03650426,-0.4285613,1.72656,-0.160477,-0.1756085,1.774494,0.2698612,-0.1907075,1.71805,NA,NA,NotTracked,Unknown,
0.9335938,0.3178711,0.1455078,0.9692383,-0.2285156,0.08886719,-3,-2,-5,-3,-3,-1,-2,1,0,2,54,2,-1,-4,-1,1,-3.4375,-3.4375,-3.4375,-1.4375,-1.4375,-1.4375,6.76457,3.082813,4.777731,3.030611,2.88443,6.153809,-0.1471063,-0.4901747,1.696993,0.2801476,-0.4706212,1.605888,0.03388239,0.3445842,1.717408,-0.107241,-0.4665615,1.671978,0.2854555,-0.4530072,1.571342,0.04647974,-0.117187,1.75796,0.03872548,-0.4339989,1.750643,-0.118731,0.07455409,1.749965,-0.03666996,-0.4285529,1.726686,-0.1604548,-0.1757338,1.774686,0.269954,-0.1907274,1.71883,NA,NA,NotTracked,Unknown,
0.9458008,0.3383789,0.125,0.9711914,-0.222168,0.08789063,-1,-1,4,17,-2,-1,4,1,-3,-1,-2,1,1,0,-1,-1,-5.5,-5.5,-5.5,1.875,1.875,1.875,6.742483,3.094839,4.796738,3.031974,2.884367,6.153635,-0.1465104,-0.4880811,1.695916,0.2789585,-0.4690132,1.602829,0.03380026,0.3445789,1.717518,-0.1507423,-0.4897334,1.652067,0.2449492,-0.4838443,1.5792,0.04648677,-0.1171854,1.757983,0.0387366,-0.4339882,1.750651,-0.1187162,0.07453912,1.749972,-0.03665982,-0.4285415,1.726705,-0.160452,-0.1757455,1.774681,0.2698716,-0.1905465,1.719268,NA,NA,NotTracked,Unknown,
0.9750977,0.3657227,0.1777344,0.9736328,-0.215332,0.08789063,-2,6,10,-23,-3,0,-3,-2,0,-2,-14,0,-1,0,1,-2,-19.375,-19.375,-19.375,-0.3125,-0.3125,-0.3125,6.687411,3.123741,4.837249,3.031842,2.884175,6.153821,-0.1462181,-0.4879718,1.697755,0.2774481,-0.4630743,1.600883,0.03371635,0.3445539,1.717621,-0.1538909,-0.4848061,1.654631,0.2393405,-0.4895161,1.575141,0.04652002,-0.117186,1.758105,0.0388858,-0.4339297,1.750843,-0.1187181,0.07454183,1.750035,-0.03651811,-0.4285528,1.726864,-0.1603371,-0.1758333,1.774973,0.2696323,-0.1895966,1.720767,NA,NA,NotTracked,Unknown,
1.035645,0.4047852,0.2861328,0.9726563,-0.2241211,0.08154297,-2,-5,2,20,-18,1,2,-9,-2,0,-3,-2,0,1,0,-2,-24.9375,-24.9375,-24.9375,-0.5625,-0.5625,-0.5625,6.545029,3.221193,4.949243,3.030364,2.883282,6.155429,-0.1472224,-0.4859493,1.698284,0.2685748,-0.4518194,1.578238,0.03345488,0.3442822,1.717909,-0.109873,-0.485852,1.666,0.2296341,-0.4842934,1.572875,0.04620003,-0.1172307,1.758261,0.03796953,-0.4338217,1.750957,-0.1186859,0.07451598,1.750103,-0.03726912,-0.4284406,1.727024,-0.16061,-0.1760757,1.775162,0.268926,-0.1872896,1.72499,NA,NA,NotTracked,Unknown,
1.041016,0.4282227,0.375,0.9599609,-0.2226563,0.09521484,-8,-11,-33,25,2,4,3,-3,-1,-2,-3,-1,-2,-3,-1,0,-27.6875,-27.6875,-27.6875,-5.4375,-5.4375,-5.4375,6.480678,3.276548,5.003097,3.024196,2.882961,6.157217,-0.1465853,-0.4905104,1.696914,0.2674519,-0.42427,1.566822,0.03337981,0.3442058,1.718121,-0.1463482,-0.4797851,1.660373,0.2207874,-0.4462167,1.552572,0.04609804,-0.1172441,1.75832,0.03784147,-0.4338122,1.750937,-0.1186934,0.07450838,1.750132,-0.03745977,-0.428466,1.727027,-0.1607072,-0.1759309,1.775175,0.2682259,-0.1851538,1.728866,NA,NA,NotTracked,Unknown,
0.9550781,0.5517578,0.590332,0.9667969,-0.2319336,0.09570313,0,-7,-26,-7,19,9,2,0,-2,-3,-3,-4,-2,-3,-2,0,0.375,0.375,0.375,-6.5,-6.5,-6.5,6.311955,3.521094,5.187243,3.01151,2.882825,6.162944,-0.1541638,-0.4733666,1.700969,0.260807,-0.4048859,1.544507,0.0333438,0.3440909,1.718228,-0.1268126,-0.4847232,1.669087,0.2619821,-0.4318396,1.56725,0.04606669,-0.1172376,1.75837,0.03781125,-0.4337442,1.750987,-0.1186682,0.07449781,1.750164,-0.03748824,-0.4283903,1.727073,-0.1607584,-0.1758037,1.775239,0.2674416,-0.181969,1.73312,NA,NA,NotTracked,Unknown,
0.8657227,0.637207,0.6279297,0.9682617,-0.2226563,0.08251953,3,8,49,-5,15,-12,3,-2,-1,-1,-2,-1,-3,-2,-2,-1,-15.375,-15.375,-15.375,-6.5625,-6.5625,-6.5625,6.263597,3.629336,5.238337,2.999289,2.882,6.16868,-0.1507048,-0.4748708,1.703029,0.2548528,-0.3751457,1.516508,0.03332308,0.3439859,1.71836,-0.157254,-0.4862923,1.656579,0.2269106,-0.4179823,1.511364,0.04587414,-0.117087,1.758475,0.03716009,-0.4331076,1.751161,-0.1186455,0.07448774,1.750219,-0.03808153,-0.4277799,1.726967,-0.1608173,-0.1755181,1.775326,0.2651554,-0.1765521,1.73909,NA,NA,NotTracked,Unknown,
0.7460938,0.6865234,0.6987305,0.9589844,-0.2333984,0.09570313,-2,-6,0,-19,49,-17,-5,-2,-2,0,24,-2,-1,-1,0,-2,-45.5625,-45.5625,-45.5625,-8.9375,-8.9375,-8.9375,6.165599,3.875105,5.314868,2.988582,2.883596,6.17004,-0.1505241,-0.4749088,1.702257,0.2492141,-0.3324316,1.493247,0.0333752,0.3438576,1.718492,-0.118849,-0.4862329,1.673341,0.2243451,-0.3715492,1.483909,0.045718,-0.1170896,1.758602,0.03643371,-0.4330747,1.751336,-0.118625,0.07448372,1.750246,-0.03883218,-0.4278619,1.727127,-0.160961,-0.1753334,1.775397,0.2635982,-0.1729063,1.741765,NA,NA,NotTracked,Unknown,
0.3950195,0.6420898,0.7583008,0.9580078,-0.2280273,0.09765625,1,7,-24,-1,96,-4,0,4,-1,1,-8,0,-3,-4,-1,-1,-45.75,-45.75,-45.75,-4.25,-4.25,-4.25,6.050135,4.303746,5.392907,2.98768,2.886774,6.165167,-0.1497945,-0.4812422,1.700886,0.2343391,-0.2277543,1.447401,0.03364221,0.3436288,1.718858,-0.1135033,-0.4745422,1.672235,0.2035426,-0.2497874,1.438792,0.04539661,-0.1170474,1.758856,0.03562235,-0.4328615,1.751617,-0.1186193,0.07448348,1.750346,-0.03970081,-0.4277266,1.727263,-0.161461,-0.1752059,1.775841,0.2563449,-0.1580118,1.745487,NA,NA,NotTracked,Unknown,
