ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.953125,0.2241211,0.04785156,0.9521484,-0.3017578,0.09033203,-1,1,-1,-3,-1,-1,0,-2,6,-2,-2,0,0,-3,-1,1,-0.25,-0.25,-0.25,0.1875,0.1875,0.1875,7.302675,2.867087,4.026733,2.893904,3.015805,4.702016,-0.09501656,-0.3813572,1.092803,0.2956983,-0.4083179,1.083379,0.1143077,0.5135714,1.172795,-0.04930762,-0.3477462,1.073474,0.2511427,-0.3790123,1.075539,0.1120551,0.02709922,1.196854,0.1116142,-0.3079365,1.190655,-0.07224081,0.2086995,1.190778,0.02428679,-0.2958964,1.15765,-0.1089595,-0.06647617,1.193475,0.328095,-0.06405045,1.17275,NA,NA,NotTracked,NotTracked,
0.934082,0.2246094,0.04882813,0.9433594,-0.2998047,0.08544922,1,-1,-2,0,-2,-2,0,-2,-2,-2,-1,-1,-2,-2,-2,-1,0.9375,0.9375,0.9375,-0.25,-0.25,-0.25,7.309042,2.864663,4.019898,2.894189,3.01511,4.701292,-0.09523218,-0.38151,1.092513,0.2968757,-0.4100023,1.083667,0.1143935,0.5135528,1.172699,-0.05022714,-0.3734681,1.07075,0.2523784,-0.390464,1.076294,0.1120548,0.02709747,1.196828,0.1116081,-0.3079342,1.190648,-0.07220961,0.2087723,1.190835,0.02427893,-0.295888,1.157652,-0.1088924,-0.0664311,1.193498,0.3282092,-0.06367923,1.172791,NA,NA,NotTracked,NotTracked,
0.9536133,0.2280273,0.05126953,0.9448242,-0.3032227,0.09082031,-1,-1,0,-1,0,0,-2,0,-3,-2,0,0,-1,0,-2,-3,-1.125,-1.125,-1.125,1.3125,1.3125,1.3125,7.318405,2.864082,4.008753,2.89593,3.015676,4.699209,-0.09456934,-0.3827035,1.091753,0.2969649,-0.4106444,1.084639,0.1145046,0.5136161,1.172582,-0.04925165,-0.3772751,1.0706,0.2594659,-0.4222298,1.061174,0.1120613,0.02711219,1.1968,0.1116089,-0.3079078,1.190635,-0.07222562,0.2088557,1.190915,0.02427441,-0.2958489,1.157638,-0.108861,-0.06640136,1.193454,0.3281885,-0.0636481,1.17281,NA,NA,NotTracked,NotTracked,
0.9467773,0.2260742,0.06494141,0.9487305,-0.3032227,0.09277344,0,-2,-1,1,0,-1,0,-2,1,0,-2,-1,-1,-4,-2,3,-2.3125,-2.3125,-2.3125,0.375,0.375,0.375,7.317393,2.865679,4.006667,2.89697,3.017061,4.70013,-0.09475413,-0.3824986,1.090657,0.2967222,-0.408971,1.084096,0.1145876,0.5136552,1.17256,-0.05234909,-0.3961593,1.064769,0.2523159,-0.4119099,1.075342,0.1120782,0.02711083,1.196734,0.1116166,-0.3079152,1.190556,-0.07217076,0.2089861,1.190972,0.02429297,-0.295858,1.157562,-0.108885,-0.06644952,1.193426,0.3282253,-0.06364109,1.172904,NA,NA,NotTracked,NotTracked,
0.9541016,0.2197266,0.05957031,0.9399414,-0.3012695,0.09521484,0,-2,-2,-4,1,1,-2,0,-2,-2,0,-1,-1,-1,0,0,-1.9375,-1.9375,-1.9375,1.125,1.125,1.125,7.312795,2.867712,4.004838,2.903438,3.020873,4.697732,-0.09456062,-0.3823611,1.090201,0.2971648,-0.4095162,1.084406,0.1146696,0.5136853,1.172571,-0.04900749,-0.3500735,1.071833,0.2516223,-0.4045127,1.075438,0.112084,0.0271206,1.196679,0.1116152,-0.3079019,1.190523,-0.0721306,0.2090398,1.190976,0.02428776,-0.2958415,1.157531,-0.1088404,-0.0664327,1.193402,0.3280092,-0.06384697,1.172847,NA,NA,NotTracked,NotTracked,
0.9589844,0.2246094,0.06054688,0.9492188,-0.3051758,0.08984375,1,0,-1,1,1,1,0,9,10,1,-1,1,-4,1,-3,2,0.5625,0.5625,0.5625,1.3125,1.3125,1.3125,7.307159,2.86749,4.009364,2.906716,3.022404,4.697121,-0.09483285,-0.3823546,1.089791,0.2967994,-0.4090452,1.083919,0.114779,0.5137948,1.172521,-0.04946567,-0.3666793,1.070447,0.2506237,-0.3811409,1.074375,0.1120795,0.02713321,1.196614,0.1115973,-0.307894,1.190435,-0.0720675,0.2090949,1.191043,0.02425319,-0.2958191,1.157399,-0.1087854,-0.06641938,1.193328,0.3279944,-0.06375185,1.17289,NA,NA,NotTracked,NotTracked,
0.9482422,0.222168,0.02978516,0.9370117,-0.3027344,0.08935547,-5,-3,-4,-4,0,-1,-4,-1,-29,-3,0,-1,2,-1,-1,-5,1.4375,1.4375,1.4375,-0.5,-0.5,-0.5,7.304096,2.868556,4.013814,2.907687,3.022524,4.696162,-0.09317843,-0.3820126,1.087873,0.2955166,-0.4079329,1.082085,0.1148635,0.513845,1.172515,-0.04659955,-0.3781033,1.066762,0.2523922,-0.3966161,1.074394,0.1121008,0.02714533,1.196433,0.1115934,-0.3079152,1.190214,-0.07197117,0.2091505,1.19097,0.02421377,-0.2958239,1.157186,-0.1086653,-0.06641962,1.193138,0.327977,-0.06368548,1.172804,NA,NA,NotTracked,NotTracked,
0.9702148,0.2397461,0.02685547,0.9370117,-0.3027344,0.08935547,3,2,0,1,-1,-3,-2,-6,23,0,0,0,-1,0,-1,1,-0.4375,-0.4375,-0.4375,-0.5,-0.5,-0.5,7.30522,2.869769,4.012543,2.907687,3.022524,4.696162,-0.09376332,-0.3827986,1.088377,0.2952091,-0.4082395,1.080495,0.114964,0.5138987,1.172517,-0.04565021,-0.3832211,1.065688,0.250425,-0.4085219,1.0731,0.1121151,0.02715785,1.196272,0.1116102,-0.3078861,1.190052,-0.07188901,0.2093015,1.190976,0.02420481,-0.2957893,1.157063,-0.108371,-0.06641153,1.192639,0.3278001,-0.06385048,1.172632,NA,NA,NotTracked,NotTracked,
1.503906,0.3793945,0.3769531,0.9648438,-0.3100586,0.08203125,-1,2,1,3,-6,-2,4,3,-2,-1,2,-2,-2,0,-1,0,52.375,52.375,52.375,9.8125,9.8125,9.8125,6.571563,3.073426,4.659707,2.914849,3.026678,4.702734,-0.09326216,-0.3825792,1.087715,0.2842612,-0.3913463,1.063274,0.1150826,0.5139427,1.172469,-0.04674619,-0.3606524,1.068609,0.248538,-0.3837139,1.06863,0.1120831,0.02719158,1.196151,0.1115138,-0.3078509,1.189912,-0.07194146,0.2094521,1.191125,0.02411367,-0.2957447,1.156918,-0.1082513,-0.06636451,1.192418,0.3291804,-0.06346242,1.174728,NA,NA,NotTracked,NotTracked,
1.004395,1.052246,1.051758,0.9370117,-0.2978516,0.08398438,2,-5,-8,5,3,-3,0,-4,-2,-1,-1,1,-4,-2,-2,-1,143.5,143.5,143.5,8.9375,8.9375,8.9375,6.310515,3.578241,5.210964,2.942439,3.033348,4.696539,-0.0926427,-0.3843867,1.086214,0.2356541,-0.3054497,1.029077,0.1150993,0.5139859,1.172467,-0.04644973,-0.372527,1.067304,0.1953105,-0.3000497,0.9967333,0.1118981,0.02720566,1.196264,0.1108038,-0.3078493,1.191073,-0.07210325,0.2097121,1.191439,0.02316739,-0.2951894,1.157934,-0.1081835,-0.06611994,1.192654,0.3410825,-0.04747977,1.185614,NA,NA,NotTracked,Unknown,
