ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9311523,0.2739258,0.128418,0.934082,-0.3154297,0.1230469,1,0,0,2,0,3,1,-2,-1,-1,-3,1,-1,-2,-2,-1,0.25,0.25,0.25,-3.3125,-3.3125,-3.3125,6.990908,2.981728,1.329977,3.075164,3.050176,4.105129,-0.1256217,-0.4018095,1.096221,0.2646925,-0.4027934,1.069759,0.07727391,0.5114813,1.17326,-0.1744711,-0.4116843,1.0894,0.3025056,-0.4156177,1.056748,0.07821828,0.02572578,1.199769,0.07972091,-0.3088241,1.1926,-0.1062214,0.2056365,1.196062,-0.006597915,-0.2973748,1.158321,-0.1404962,-0.07261272,1.204246,0.2999272,-0.06014994,1.179049,NA,NA,NotTracked,NotTracked,
0.9262695,0.2705078,0.1289063,0.9423828,-0.3188477,0.1323242,0,1,-1,-1,1,0,0,-2,-2,0,1,-1,0,0,0,-2,-1.125,-1.125,-1.125,-2.3125,-2.3125,-2.3125,6.985399,2.984725,1.333245,3.060894,3.052919,4.113223,-0.1264619,-0.4018998,1.096473,0.2647151,-0.4019791,1.069095,0.07764884,0.5113924,1.173493,-0.1722301,-0.3993171,1.089095,0.2945752,-0.4060887,1.041333,0.07854247,0.02569726,1.19999,0.07998386,-0.3088318,1.192788,-0.1061103,0.205735,1.196173,-0.006335624,-0.2973774,1.15848,-0.1406004,-0.07238586,1.204363,0.3002128,-0.06030304,1.179129,NA,NA,NotTracked,NotTracked,
0.9277344,0.2749023,0.1240234,0.9389648,-0.3129883,0.1245117,2,-2,-1,-2,-2,-2,0,2,-1,-1,0,-2,0,-1,0,0,1.6875,1.6875,1.6875,-4,-4,-4,6.98,2.9855,1.33914,3.05078,3.054279,4.119618,-0.1274233,-0.4021429,1.096051,0.2646513,-0.4018516,1.069421,0.07793261,0.5113198,1.173728,-0.1729525,-0.3978621,1.0873,0.3055982,-0.4184953,1.0598,0.0787292,0.02571261,1.20019,0.08019609,-0.3088205,1.192962,-0.1060093,0.2057587,1.196261,-0.006156159,-0.2973875,1.158564,-0.1406936,-0.07233732,1.204461,0.300348,-0.06093654,1.179212,NA,NA,NotTracked,NotTracked,
0.9306641,0.277832,0.1230469,0.9379883,-0.3081055,0.1342773,-2,1,0,-1,-1,0,-2,-1,-1,-2,0,0,-2,-1,-2,-1,0.9375,0.9375,0.9375,-1.8125,-1.8125,-1.8125,6.974017,2.983381,1.345917,3.046672,3.056444,4.120145,-0.1298408,-0.4006629,1.09659,0.2646188,-0.4023281,1.068745,0.07813665,0.5112134,1.173883,-0.1753712,-0.3978399,1.09027,0.3004999,-0.4165453,1.051666,0.07890883,0.02572787,1.200342,0.08032065,-0.3088125,1.193104,-0.1058937,0.2058132,1.196303,-0.006026783,-0.2973904,1.158687,-0.1408213,-0.07240058,1.204464,0.3004494,-0.06115656,1.179307,NA,NA,NotTracked,NotTracked,
0.9287109,0.2802734,0.1166992,0.9345703,-0.3061523,0.1240234,0,0,-5,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,1,1,1,-1,-1,-1,6.97104,2.98174,1.350128,3.040086,3.057801,4.124166,-0.130029,-0.3998459,1.096314,0.2633302,-0.4024058,1.068577,0.07829363,0.5111203,1.174014,-0.179002,-0.4045013,1.089418,0.3028327,-0.4374841,1.059,0.07904192,0.02572052,1.200432,0.08039993,-0.3088201,1.19321,-0.1058982,0.205834,1.196321,-0.00596158,-0.2974076,1.15875,-0.1409806,-0.07258207,1.204408,0.3005178,-0.06156337,1.179295,NA,NA,NotTracked,NotTracked,
0.9223633,0.2797852,0.1210938,0.940918,-0.315918,0.125,-2,0,2,-1,0,1,-1,-4,0,-2,-1,-3,1,-1,1,-1,1.5,1.5,1.5,-0.8125,-0.8125,-0.8125,6.967591,2.980966,1.355044,3.037555,3.058529,4.125272,-0.1305764,-0.400464,1.095586,0.2626776,-0.4020934,1.06911,0.0785054,0.5111766,1.174306,-0.1778828,-0.394038,1.08998,0.3042859,-0.4262339,1.059056,0.0790734,0.02573496,1.200471,0.08042821,-0.3088103,1.193257,-0.1058617,0.2058674,1.196324,-0.005934558,-0.2973961,1.158789,-0.141367,-0.0725714,1.204358,0.3004283,-0.06224865,1.179284,NA,NA,NotTracked,NotTracked,
1.07373,0.3544922,0.004882813,0.965332,-0.3173828,0.1108398,-6,-2,-1,-1,-4,-4,-9,-74,9,1,0,-5,-5,-12,-14,-5,-20,-20,-20,0.6875,0.6875,0.6875,6.970356,2.988447,1.342371,3.038396,3.05842,4.125815,-0.1309486,-0.40003,1.095789,0.2629652,-0.4026252,1.069242,0.07861617,0.5111525,1.174449,-0.1781976,-0.3981612,1.086555,0.3095832,-0.4369598,1.069668,0.07916551,0.02573467,1.200536,0.08052707,-0.3088126,1.193354,-0.1058752,0.205992,1.19633,-0.005824079,-0.2974063,1.158878,-0.1417617,-0.07293469,1.204398,0.3004749,-0.06226995,1.17928,NA,NA,NotTracked,NotTracked,
1.360352,0.53125,-0.03955078,1.305664,-0.3813477,0.02392578,28,-7,-2,7,14,-7,3,44,-12,30,18,6,-22,-52,-99,-22,-151.375,-151.375,-151.375,33.125,33.125,33.125,6.73863,3.144447,1.425841,3.108804,3.090897,4.076096,-0.1333162,-0.3976502,1.089514,0.2616505,-0.4002729,1.062509,0.07863191,0.511094,1.174503,-0.1828493,-0.391589,1.083045,0.2918341,-0.3984534,1.036067,0.07914656,0.02573888,1.200592,0.08049496,-0.3088344,1.193403,-0.1058782,0.2060085,1.196317,-0.005859873,-0.2974268,1.158942,-0.1425266,-0.07413059,1.205513,0.300431,-0.06259854,1.180066,NA,NA,NotTracked,NotTracked,
1.240234,0.7675781,0.5458984,1.467773,-0.4921875,0.3383789,-5,-89,34,28,0,7,5,-4,-6,-7,3,8,1,-6,-13,-3,69.25,69.25,69.25,121.5625,121.5625,121.5625,6.581648,3.490048,1.593789,3.41142,3.332381,3.918341,-0.1393548,-0.3766496,1.048608,0.2565119,-0.3687552,1.021825,0.07863678,0.5111022,1.17449,-0.1854029,-0.3837453,1.031238,0.2954905,-0.3764208,1.003273,0.0789327,0.02580048,1.200549,0.08005606,-0.3087647,1.193386,-0.1060233,0.2062556,1.196374,-0.006440128,-0.2972425,1.158897,-0.1485151,-0.0689716,1.2169,0.3037467,-0.06060613,1.190702,NA,NA,NotTracked,Unknown,
0.2539063,0.7402344,0.4477539,0.6557617,-0.8061523,0.6547852,-3,82,22,8,10,5,-20,-27,-23,-12,4,-4,-2,-12,14,-5,-22.9375,-22.9375,-22.9375,-68.3125,-68.3125,-68.3125,6.580937,4.185978,1.583596,3.521904,3.700826,3.767165,-0.1462899,-0.2628939,0.9913054,0.2582603,-0.2611959,0.9665169,0.07859395,0.511228,1.173731,-0.1910682,-0.2940149,0.9695,0.2665891,-0.242697,0.9223845,0.07846823,0.02596841,1.200181,0.07927953,-0.3085067,1.19318,-0.1063484,0.2073133,1.196748,-0.007575842,-0.2967226,1.15853,-0.154633,-0.05317399,1.231607,0.3129345,-0.04806346,1.202604,NA,NA,Unknown,Unknown,
0.0703125,0.46875,0.4233398,0.1616211,-0.859375,0.4912109,13,-61,-18,16,-48,-128,-29,-12,39,12,22,-2,-35,-30,3,-8,49.875,49.875,49.875,41.8125,41.8125,41.8125,6.640232,4.689994,1.538902,3.538251,4.205606,3.753135,-0.1551402,-0.1318858,0.951703,0.2712746,-0.126504,0.9193646,0.07835978,0.5110583,1.172208,-0.2040348,-0.137381,0.9326923,0.3089781,-0.1493027,0.8950667,0.07859825,0.02632445,1.199896,0.0801466,-0.3076139,1.193127,-0.1066352,0.2101468,1.197538,-0.006853974,-0.2960446,1.15818,-0.1589428,-0.0188089,1.241109,0.3237611,-0.02061018,1.206018,NA,NA,Unknown,Unknown,
