ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9111328,-0.3901367,0.1074219,0.9052734,0.3330078,0.1220703,-1,-3,-2,0,-2,-3,0,-2,-1,-1,-1,-2,-1,0,-1,0,0.75,0.75,0.75,2.25,2.25,2.25,2.88776,3.166494,7.101987,7.060256,3.080489,0.7181923,-0.1305513,-0.3820257,1.221172,0.2125454,-0.4052497,1.210658,0.05653118,0.5026637,1.32881,-0.07802497,-0.3560553,1.192886,0.2587696,-0.4214585,1.196476,0.0514248,0.0217645,1.340357,0.05364104,-0.3114467,1.327274,-0.1311194,0.2014992,1.326663,-0.03076329,-0.3014576,1.290495,-0.1656507,-0.06662866,1.328505,0.2662476,-0.06355059,1.314034,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.9111328,0.3344727,0.1210938,-1,-3,-2,0,-2,-3,0,-2,-1,2,-2,-3,-2,-2,0,-1,0.75,0.75,0.75,0.0625,0.0625,0.0625,2.88776,3.166494,7.101987,7.06152,3.079259,0.7173185,-0.1305868,-0.3829207,1.220915,0.2130148,-0.4054522,1.211126,0.0565272,0.5026137,1.328261,-0.07803582,-0.3513206,1.192933,0.2601803,-0.4029024,1.197893,0.05143977,0.02170435,1.340128,0.05359641,-0.3115275,1.326949,-0.1306049,0.2013919,1.327529,-0.03082076,-0.3015206,1.290186,-0.1656944,-0.06715707,1.328414,0.2665027,-0.0631047,1.313988,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.9145508,0.3349609,0.1201172,-1,-3,-2,0,-2,-3,0,-2,-1,1,-1,2,0,-1,-1,0,0.75,0.75,0.75,-2.1875,-2.1875,-2.1875,2.88776,3.166494,7.101987,7.056993,3.077517,0.7178006,-0.1303335,-0.3824277,1.221676,0.213187,-0.4056164,1.211638,0.05652988,0.5026063,1.327797,-0.07780241,-0.3549853,1.193452,0.2603737,-0.4342293,1.199,0.05149093,0.02165395,1.33995,0.05372774,-0.3115615,1.326679,-0.1300818,0.2013301,1.329111,-0.03072145,-0.3015514,1.289986,-0.1656745,-0.06718064,1.328403,0.2665669,-0.06304642,1.313928,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.9067383,0.3359375,0.1206055,-1,-3,-2,0,-2,-3,0,-2,0,-1,-1,-1,0,1,-3,-2,0.75,0.75,0.75,1.1875,1.1875,1.1875,2.88776,3.166494,7.101987,7.05656,3.077255,0.7175105,-0.1298674,-0.3828017,1.220307,0.2132222,-0.4057946,1.210467,0.05651919,0.5025153,1.327482,-0.07762488,-0.3568709,1.19224,0.2611479,-0.4353242,1.2,0.0515841,0.021416,1.339473,0.0537292,-0.3117081,1.3263,-0.1305942,0.2011115,1.327231,-0.0307301,-0.3016839,1.289603,-0.1656469,-0.06723057,1.328386,0.2665653,-0.06322398,1.313757,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.918457,0.3300781,0.1240234,-1,-3,-2,0,-2,-3,0,-2,0,-1,-3,-2,-1,-1,-1,0,0.75,0.75,0.75,1,1,1,2.88776,3.166494,7.101987,7.054636,3.077095,0.719105,-0.1306671,-0.3832934,1.220287,0.2133439,-0.4058774,1.209786,0.05650477,0.5024901,1.327188,-0.07646102,-0.3671324,1.191429,0.2566869,-0.4256016,1.192896,0.05159703,0.02131648,1.339302,0.05371655,-0.3118758,1.325983,-0.1307745,0.2010742,1.326155,-0.03075291,-0.3018282,1.289285,-0.1655225,-0.06763545,1.328324,0.2665952,-0.06331034,1.313631,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.9150391,0.3300781,0.1245117,-1,-3,-2,0,-2,-3,0,-2,-1,-1,0,0,0,3,-2,0,0.75,0.75,0.75,1.5,1.5,1.5,2.88776,3.166494,7.101987,7.054327,3.076343,0.7212287,-0.1303606,-0.3829214,1.220394,0.2136077,-0.4054435,1.210158,0.05653185,0.5024827,1.326997,-0.07696346,-0.3751981,1.190588,0.2595618,-0.4222476,1.197606,0.05171195,0.02126031,1.339082,0.0538908,-0.311965,1.325595,-0.1307647,0.2010783,1.325273,-0.0305953,-0.3019049,1.288896,-0.165444,-0.06771228,1.328276,0.2666061,-0.06337718,1.313576,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.9130859,0.3305664,0.1171875,-1,-3,-2,0,-2,-3,0,-2,1,-1,-1,-1,-1,-4,-1,0,0.75,0.75,0.75,-1.25,-1.25,-1.25,2.88776,3.166494,7.101987,7.052512,3.074715,0.7223017,-0.1307103,-0.3825161,1.220893,0.2135687,-0.4049885,1.210335,0.05653447,0.5024903,1.326693,-0.07828917,-0.3392534,1.191476,0.259231,-0.435459,1.198445,0.05178055,0.02118734,1.338879,0.0539129,-0.3120012,1.325449,-0.1308098,0.2011287,1.324943,-0.03057368,-0.3019271,1.288744,-0.165403,-0.06779569,1.328247,0.2666189,-0.06338239,1.313539,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.9116211,0.3330078,0.1245117,-1,-3,-2,0,-2,-3,0,-2,1,-1,-1,-1,-2,-1,-1,3,0.75,0.75,0.75,-1,-1,-1,2.88776,3.166494,7.101987,7.052149,3.073267,0.7207951,-0.1302129,-0.3825982,1.221163,0.2142344,-0.4054724,1.211127,0.05650672,0.5025451,1.326566,-0.07481784,-0.3755936,1.191684,0.2647932,-0.4320115,1.2108,0.05179551,0.02116354,1.338784,0.05390987,-0.312013,1.325413,-0.1308796,0.2011093,1.324677,-0.03057775,-0.3019313,1.288706,-0.1653951,-0.06788493,1.328276,0.266609,-0.06343083,1.313549,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,0.9526367,0.3369141,0.09765625,-1,-3,-2,0,-2,-3,0,-2,6,1,-5,1,-2,0,3,7,0.75,0.75,0.75,-1.75,-1.75,-1.75,2.88776,3.166494,7.101987,7.057931,3.071329,0.7167585,-0.128967,-0.3816674,1.217005,0.2133643,-0.4050198,1.209684,0.05650689,0.5025537,1.326393,-0.07764803,-0.3487362,1.190759,0.2594964,-0.4240376,1.198864,0.05185106,0.02113097,1.338645,0.05391582,-0.3120196,1.325372,-0.1301709,0.2009965,1.327669,-0.03056685,-0.3019336,1.288664,-0.1654524,-0.06816614,1.327984,0.2666516,-0.06339969,1.313586,NA,NA,NotTracked,NotTracked,
0.9111328,-0.3901367,0.1074219,1.20166,0.4545898,0.0234375,-1,-3,-2,0,-2,-3,0,-2,-4,9,5,-2,3,-5,-2,0,0.75,0.75,0.75,-82.5625,-82.5625,-82.5625,2.88776,3.166494,7.101987,6.897856,3.153157,0.7636935,-0.1187658,-0.3691219,1.192394,0.2064122,-0.3972276,1.196004,0.05647959,0.5025612,1.326263,-0.06885307,-0.3145887,1.190167,0.2449754,-0.4100382,1.171687,0.05193457,0.02112736,1.338487,0.05409749,-0.311987,1.325247,-0.1302072,0.2012615,1.327042,-0.03039298,-0.3019027,1.288582,-0.1673547,-0.06657048,1.324873,0.2674008,-0.06333559,1.31514,NA,NA,Unknown,NotTracked,
