ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9384766,0.2597656,0.09472656,0.9370117,-0.3300781,0.1240234,-4,0,-2,-5,0,-3,2,-3,2,1,1,-1,0,-2,-2,0,-0.4375,-0.4375,-0.4375,0.3125,0.3125,0.3125,7.089231,2.951384,3.037365,3.012231,3.072024,2.42529,-0.1063691,-0.3981505,1.070873,0.2591206,-0.402057,1.060732,0.09465019,0.5107668,1.168538,-0.0590761,-0.3768525,1.060369,0.2158809,-0.4099766,1.038539,0.09216334,0.02610864,1.19446,0.09299514,-0.3082949,1.187279,-0.08760699,0.2072534,1.189774,0.006073232,-0.2968565,1.15315,-0.1287851,-0.06992985,1.181702,0.302815,-0.05915651,1.164875,NA,NA,Unknown,NotTracked,
0.9306641,0.2626953,0.1064453,0.934082,-0.331543,0.1201172,-1,-2,-1,-1,-1,-2,2,2,-2,-3,-3,-1,1,-1,-2,-1,3.3125,3.3125,3.3125,0.8125,0.8125,0.8125,7.088307,2.951581,3.041068,3.013078,3.072034,2.424491,-0.1056295,-0.3984485,1.070435,0.2591368,-0.4019536,1.060729,0.09468254,0.5107276,1.168518,-0.05902762,-0.3687874,1.062556,0.2157079,-0.4026959,1.047157,0.09217265,0.02611323,1.194435,0.09304082,-0.3082771,1.18719,-0.08734239,0.2071459,1.189953,0.006148985,-0.2968479,1.152968,-0.1287754,-0.06998774,1.181641,0.3028222,-0.05920782,1.164887,NA,NA,Unknown,NotTracked,
0.9301758,0.269043,0.09912109,0.9306641,-0.3300781,0.125,-2,2,0,-1,-2,-2,-5,-4,-1,-2,0,-1,-1,-2,-2,1,0.5625,0.5625,0.5625,-0.6875,-0.6875,-0.6875,7.092364,2.952124,3.038682,3.016127,3.072621,2.423924,-0.1057577,-0.3970698,1.071159,0.2588685,-0.4019097,1.06057,0.09475277,0.5106037,1.1685,-0.05870328,-0.3732282,1.060705,0.2155397,-0.4064764,1.044619,0.09221007,0.02609499,1.19437,0.09310509,-0.3083141,1.18709,-0.08653685,0.2070401,1.190873,0.006200702,-0.296877,1.152866,-0.1287615,-0.06997451,1.18164,0.3028311,-0.05908005,1.164915,NA,NA,Unknown,NotTracked,
0.9414063,0.2675781,0.09277344,0.9389648,-0.3237305,0.1181641,3,0,1,1,-1,-1,-1,1,-2,-1,-2,-1,0,0,1,1,-3.8125,-3.8125,-3.8125,0.125,0.125,0.125,7.098821,2.952509,3.029582,3.01374,3.07098,2.426297,-0.1058988,-0.3981686,1.071887,0.2591648,-0.4022147,1.061234,0.09475487,0.5105997,1.168499,-0.06009538,-0.3981239,1.05716,0.2164839,-0.3917533,1.053345,0.09222793,0.02608433,1.194348,0.09313004,-0.3083327,1.187062,-0.0861046,0.2070308,1.191337,0.00622853,-0.2968937,1.152798,-0.1287831,-0.06994008,1.181659,0.3028488,-0.0587569,1.16503,NA,NA,Unknown,NotTracked,
0.9277344,0.2651367,0.09228516,0.9335938,-0.3374023,0.128418,-1,-3,-1,-1,-1,1,0,0,0,-1,-2,-3,0,-1,1,1,-0.9375,-0.9375,-0.9375,-0.8125,-0.8125,-0.8125,7.096123,2.951557,3.028802,3.014012,3.070843,2.426292,-0.1064933,-0.3971633,1.072434,0.2593249,-0.4024086,1.061313,0.09476275,0.5106032,1.16852,-0.06351589,-0.4094113,1.051682,0.2162442,-0.4085317,1.045177,0.09222629,0.02608319,1.194336,0.09313177,-0.3083342,1.187057,-0.08796016,0.2073411,1.189881,0.0062377,-0.2968916,1.152784,-0.1287032,-0.06993531,1.181664,0.3028646,-0.05840095,1.165061,NA,NA,Unknown,NotTracked,
0.9350586,0.262207,0.1010742,0.9365234,-0.3291016,0.1264648,2,0,-1,-2,1,0,-2,-2,0,-1,-1,-2,0,-1,-1,-3,0.9375,0.9375,0.9375,-0.6875,-0.6875,-0.6875,7.099016,2.949711,3.025482,3.014744,3.070868,2.42551,-0.1056731,-0.397973,1.072628,0.2595869,-0.4019552,1.061736,0.09479491,0.5105732,1.168484,-0.05757731,-0.3824489,1.061647,0.216492,-0.3889984,1.056385,0.09223235,0.02606939,1.19432,0.09316611,-0.3083468,1.187046,-0.08683365,0.2071833,1.191073,0.006280897,-0.2969061,1.152773,-0.1286912,-0.06992599,1.181723,0.3029373,-0.05836593,1.165044,NA,NA,Unknown,NotTracked,
0.9350586,0.262207,0.1010742,0.9365234,-0.3291016,0.1264648,2,0,-1,-2,1,0,-2,-2,0,-1,-1,-2,0,-1,-1,-3,0.9375,0.9375,0.9375,-0.6875,-0.6875,-0.6875,7.099016,2.949711,3.025482,3.014744,3.070868,2.42551,-0.1059194,-0.3975472,1.072731,0.2596442,-0.402059,1.062229,0.09482461,0.5106607,1.168579,-0.05833786,-0.370656,1.062632,0.2161198,-0.3904174,1.055928,0.09223054,0.02606499,1.194327,0.09316652,-0.3083533,1.187065,-0.08700988,0.2072762,1.19108,0.006278153,-0.2969077,1.152792,-0.1286744,-0.07008389,1.181779,0.3030575,-0.05839052,1.165122,NA,NA,Unknown,NotTracked,
0.9438477,0.2666016,0.09277344,0.9345703,-0.3266602,0.1220703,-3,-2,-3,-2,0,-2,1,2,-2,-1,0,-1,-1,-1,-1,0,0.8125,0.8125,0.8125,0.9375,0.9375,0.9375,7.103377,2.948568,3.021391,3.017053,3.070562,2.422363,-0.1060323,-0.3971288,1.07162,0.2594981,-0.4018212,1.061617,0.09481071,0.5106879,1.1686,-0.05910371,-0.3723031,1.061692,0.2163282,-0.4086905,1.045588,0.09221707,0.02605492,1.194309,0.0931588,-0.3083586,1.187054,-0.08651892,0.2071923,1.191481,0.006273136,-0.296907,1.15278,-0.1286872,-0.0699259,1.181755,0.3031053,-0.05836728,1.165164,NA,NA,Unknown,NotTracked,
1.044922,0.3632813,0.08789063,0.9360352,-0.3276367,0.1201172,11,-14,-12,-13,-6,-2,8,34,0,0,-3,-2,0,-2,-2,-1,-24.3125,-24.3125,-24.3125,1.375,1.375,1.375,7.078142,2.959372,3.029875,3.019097,3.071195,2.421682,-0.105986,-0.397123,1.072345,0.2593901,-0.4008516,1.061871,0.0947783,0.5107132,1.168631,-0.06163334,-0.4081136,1.05345,0.2163145,-0.4010613,1.049649,0.09220675,0.02607878,1.194318,0.0932079,-0.3083113,1.187051,-0.08846898,0.207629,1.189945,0.006328056,-0.296884,1.152769,-0.1287398,-0.06991648,1.18177,0.3032665,-0.05829212,1.165289,NA,NA,Unknown,NotTracked,
1.088379,0.4477539,0.1035156,0.9370117,-0.3452148,0.1303711,-6,-10,-22,-6,5,-9,1,-22,-2,-2,-1,0,0,-2,-4,-1,-63.9375,-63.9375,-63.9375,4.25,4.25,4.25,6.868556,3.036765,3.137158,3.02299,3.073884,2.422265,-0.1064012,-0.3971418,1.071865,0.2566701,-0.3947716,1.053855,0.09474318,0.5106436,1.16865,-0.05902546,-0.3776993,1.061002,0.2110559,-0.4014951,1.032187,0.09219376,0.02608335,1.19432,0.09318516,-0.3082798,1.187032,-0.08788772,0.2074347,1.190835,0.006305174,-0.2968641,1.152768,-0.1287612,-0.07000303,1.1819,0.3033399,-0.05859343,1.16559,NA,NA,Unknown,NotTracked,
