ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9316406,0.262207,0.1254883,0.9370117,-0.3408203,0.1513672,-2,-2,-4,-2,-1,0,1,-2,-1,-1,0,-2,1,-1,0,-1,-0.3125,-0.3125,-0.3125,-1.4375,-1.4375,-1.4375,6.943595,2.958066,4.066866,3.159725,3.091721,1.908783,-0.1047943,-0.3995912,1.08173,0.2641085,-0.3989182,1.081046,0.09374426,0.5116032,1.181803,-0.1499801,-0.3997103,1.076937,0.3030361,-0.4336483,1.072,0.09233059,0.02654516,1.205732,0.09491579,-0.3076268,1.197564,-0.09278173,0.2077061,1.203928,0.007826129,-0.2966775,1.163498,-0.1261367,-0.07493939,1.197171,0.30977,-0.05889895,1.186336,NA,NA,Unknown,NotTracked,
0.9301758,0.2607422,0.1235352,0.9272461,-0.3359375,0.1601563,1,-1,-2,0,0,-2,-4,0,-2,-1,-1,1,0,1,-2,-2,1.5,1.5,1.5,-1,-1,-1,6.940835,2.957825,4.069533,3.158126,3.088575,1.908523,-0.1044421,-0.3997053,1.081012,0.2644224,-0.3968387,1.081189,0.09369989,0.5116352,1.181408,-0.1498842,-0.3988692,1.077028,0.307353,-0.4157493,1.082571,0.09236018,0.02654381,1.205536,0.09495632,-0.3075883,1.19744,-0.09284575,0.2077122,1.203444,0.007844027,-0.2966148,1.16332,-0.1258973,-0.0755129,1.197144,0.3099012,-0.05871676,1.186446,NA,NA,Unknown,NotTracked,
0.9331055,0.2646484,0.1313477,0.925293,-0.3417969,0.1582031,-1,-2,-2,0,-1,0,0,1,-3,-2,-1,-2,-1,-1,-2,-1,3.6875,3.6875,3.6875,1,1,1,6.932447,2.955795,4.082597,3.158089,3.089859,1.909392,-0.105621,-0.3993764,1.08152,0.2641144,-0.3964088,1.081396,0.09365392,0.5115958,1.181194,-0.1507749,-0.3950971,1.080893,0.307957,-0.4224696,1.0846,0.09237559,0.02652219,1.205375,0.09498157,-0.3075886,1.197327,-0.09283272,0.2076751,1.202873,0.00785496,-0.2966121,1.163209,-0.1259686,-0.07513525,1.197106,0.3098982,-0.05872903,1.186451,NA,NA,Unknown,NotTracked,
0.9370117,0.2607422,0.1196289,0.9350586,-0.3408203,0.144043,-4,-2,-1,-2,-3,-4,-22,-15,-1,-1,0,-1,-2,-1,-1,-1,2.0625,2.0625,2.0625,-2.75,-2.75,-2.75,6.935213,2.955542,4.085406,3.153726,3.09093,1.909371,-0.1057772,-0.397001,1.081348,0.2631936,-0.3961418,1.08015,0.09363944,0.5115982,1.180872,-0.1518579,-0.4046755,1.077828,0.294388,-0.4087173,1.060522,0.092376,0.02655849,1.205154,0.09500204,-0.3075679,1.19724,-0.09271985,0.2076786,1.203064,0.007873869,-0.2965968,1.163166,-0.1260281,-0.07501902,1.196992,0.3098581,-0.05873122,1.18641,NA,NA,Unknown,NotTracked,
0.9379883,0.2602539,0.1186523,0.9282227,-0.3286133,0.1416016,1,-2,-1,1,-4,-2,-1,-1,-2,0,2,-1,-1,0,0,-1,-0.875,-0.875,-0.875,3.125,3.125,3.125,6.937726,2.95698,4.082019,3.156729,3.093008,1.908223,-0.1056285,-0.3970705,1.080936,0.2632427,-0.3962652,1.079646,0.09363314,0.5115278,1.180621,-0.1554277,-0.3953166,1.0883,0.2959012,-0.4089049,1.064269,0.09243017,0.02653304,1.204894,0.09504203,-0.3075857,1.197056,-0.0929902,0.2076007,1.20249,0.007924852,-0.2966086,1.16299,-0.1260834,-0.07516091,1.196829,0.3098231,-0.05870974,1.186258,NA,NA,Unknown,NotTracked,
0.9375,0.2578125,0.1196289,0.9257813,-0.3291016,0.152832,-1,-1,1,1,0,-1,1,-1,0,-1,-2,-1,0,-1,-2,1,-1.625,-1.625,-1.625,2.125,2.125,2.125,6.941305,2.960045,4.073841,3.164147,3.092602,1.905428,-0.1055366,-0.3970726,1.080866,0.2636793,-0.3966098,1.079463,0.09363677,0.5114555,1.180332,-0.1509197,-0.4005877,1.073458,0.308014,-0.4225836,1.0848,0.09250054,0.02648493,1.20464,0.09517116,-0.3076277,1.196763,-0.09305842,0.2074865,1.202244,0.008052039,-0.2966452,1.162641,-0.1261573,-0.07498521,1.196665,0.3098853,-0.05866164,1.186058,NA,NA,Unknown,NotTracked,
0.940918,0.2583008,0.1201172,0.9301758,-0.3349609,0.1508789,-2,-7,-2,-3,0,0,0,2,-2,-1,0,0,-2,0,0,-2,-1.3125,-1.3125,-1.3125,-1.4375,-1.4375,-1.4375,6.948266,2.962439,4.062353,3.16459,3.091793,1.904556,-0.1060005,-0.3978178,1.081271,0.2637711,-0.3962305,1.079113,0.09358748,0.5113721,1.180092,-0.1513069,-0.3991793,1.074647,0.3060867,-0.4202777,1.080248,0.09236485,0.0264781,1.204333,0.09484292,-0.307611,1.196179,-0.09295266,0.2075208,1.202499,0.007747633,-0.2965764,1.162169,-0.1262253,-0.07490212,1.196468,0.309888,-0.05856144,1.18593,NA,NA,Unknown,NotTracked,
0.9545898,0.2514648,0.1049805,0.9262695,-0.3251953,0.1459961,0,3,2,-1,-1,0,-3,-3,0,-2,-1,-2,0,-2,0,0,-4.6875,-4.6875,-4.6875,-1.4375,-1.4375,-1.4375,6.955655,2.962327,4.049291,3.167053,3.091904,1.900676,-0.1054632,-0.3973483,1.079671,0.2634129,-0.398062,1.07766,0.09347147,0.5113598,1.179577,-0.1509405,-0.400824,1.074325,0.304534,-0.4182848,1.075577,0.09239703,0.02646354,1.204008,0.09494133,-0.3076091,1.195776,-0.09288745,0.2075511,1.202683,0.007856777,-0.2965886,1.161615,-0.1263813,-0.07466795,1.196121,0.309862,-0.0586628,1.18568,NA,NA,Unknown,NotTracked,
0.9853516,0.2475586,0.07275391,0.9326172,-0.331543,0.1503906,-2,-3,-5,-3,1,-4,0,-7,0,0,-1,0,-1,-1,0,-3,-7.3125,-7.3125,-7.3125,-4.125,-4.125,-4.125,6.957724,2.959071,4.040238,3.164394,3.091151,1.898521,-0.1048539,-0.3970658,1.08037,0.2637681,-0.3979732,1.078423,0.09340692,0.511369,1.179415,-0.1507384,-0.4012801,1.076395,0.303671,-0.4242845,1.075753,0.09237663,0.02647598,1.203838,0.09494457,-0.3075957,1.195568,-0.09317437,0.2075091,1.202192,0.007843158,-0.2965952,1.161337,-0.1264388,-0.0745524,1.195948,0.3098506,-0.05856004,1.185522,NA,NA,Unknown,NotTracked,
1.092285,0.387207,-0.06787109,0.9291992,-0.3261719,0.1254883,-12,50,-2,-2,-3,0,-29,-16,-1,-3,0,-1,-3,-2,1,-2,-44.5625,-44.5625,-44.5625,6.0625,6.0625,6.0625,6.919529,2.973439,4.031199,3.162794,3.092138,1.903618,-0.1050522,-0.3970391,1.080097,0.263226,-0.3968582,1.077122,0.09326744,0.5113615,1.179209,-0.1501987,-0.4009826,1.073943,0.3027586,-0.4208398,1.073598,0.0922672,0.02650315,1.203574,0.09479988,-0.3075651,1.195257,-0.09339112,0.2074731,1.201838,0.007659702,-0.2965579,1.161008,-0.1264724,-0.07462076,1.195873,0.3099433,-0.05825363,1.185547,NA,NA,Unknown,NotTracked,
