ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9350586,0.2792969,0.1425781,0.9360352,-0.3144531,0.1289063,0,-1,-1,-1,-2,-1,0,0,0,-1,0,-1,0,-1,0,0,2.125,2.125,2.125,0.5625,0.5625,0.5625,6.791855,3.021079,1.892525,3.118006,3.06009,1.037481,-0.1316619,-0.4088841,1.14834,0.2342658,-0.4120508,1.137636,0.05903944,0.5112861,1.260678,-0.09086189,-0.4061192,1.131146,0.1966745,-0.4133871,1.120058,0.05889454,0.02549334,1.278873,0.0600873,-0.307612,1.269115,-0.1250365,0.2012539,1.277415,-0.02545196,-0.2970062,1.233846,-0.1522055,-0.0668342,1.261162,0.2704537,-0.06688769,1.248616,NA,NA,Unknown,NotTracked,
0.9199219,0.28125,0.1352539,0.9423828,-0.3222656,0.125,-1,-2,0,-3,-1,-1,-1,0,-2,-1,0,0,1,1,-1,-1,0.125,0.125,0.125,0.0625,0.0625,0.0625,6.791855,3.021079,1.892525,3.117462,3.060005,1.038155,-0.1319666,-0.4089813,1.148789,0.2341151,-0.411506,1.138118,0.0589479,0.511353,1.261099,-0.09087014,-0.4137686,1.130095,0.196939,-0.4130082,1.119222,0.0588819,0.02550163,1.27905,0.06008507,-0.307619,1.269152,-0.1250338,0.2015282,1.276529,-0.02545883,-0.2970197,1.233899,-0.1521884,-0.06702626,1.261361,0.2704863,-0.06711389,1.248729,NA,NA,Unknown,NotTracked,
0.9194336,0.2788086,0.1474609,0.9306641,-0.3164063,0.1279297,-2,-1,-2,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,2.125,2.125,2.125,2.0625,2.0625,2.0625,6.789078,3.020254,1.897175,3.120847,3.059164,1.037623,-0.1323978,-0.4087379,1.148774,0.2337859,-0.4118916,1.137679,0.05890494,0.5114084,1.261316,-0.08952365,-0.4023132,1.133605,0.1964956,-0.4134985,1.119876,0.05895663,0.02549701,1.279189,0.06013995,-0.3076326,1.269251,-0.124998,0.2009889,1.278441,-0.02539617,-0.2970523,1.234043,-0.1521277,-0.06706247,1.261509,0.2704244,-0.06715956,1.248737,NA,NA,Unknown,NotTracked,
0.9316406,0.28125,0.1430664,0.9438477,-0.3227539,0.1298828,0,-1,1,0,-2,-1,0,0,0,-1,-2,-3,-2,0,0,-2,0.25,0.25,0.25,0.375,0.375,0.375,6.790675,3.019063,1.897186,3.122678,3.057913,1.038126,-0.1316729,-0.4092889,1.149389,0.2342184,-0.4120474,1.13786,0.05879633,0.5114394,1.261477,-0.08959634,-0.4125295,1.131755,0.2038721,-0.4094467,1.11175,0.05894871,0.02552625,1.279335,0.06012898,-0.3076223,1.269331,-0.1249511,0.2009861,1.278325,-0.02541745,-0.2970228,1.234264,-0.1520702,-0.06710431,1.261814,0.2706963,-0.06689171,1.248855,NA,NA,Unknown,NotTracked,
0.9331055,0.2763672,0.1445313,0.9467773,-0.3139648,0.1357422,-1,0,-3,-1,-1,-1,-3,-1,0,-1,0,-1,0,-2,-2,-2,1.8125,1.8125,1.8125,-0.4375,-0.4375,-0.4375,6.790992,3.017586,1.897903,3.124148,3.057546,1.037653,-0.132054,-0.4090927,1.14977,0.2344931,-0.4126486,1.138247,0.05869845,0.5114401,1.261632,-0.09044549,-0.4130924,1.130978,0.1983545,-0.4124165,1.118239,0.05894534,0.02556395,1.279483,0.06010452,-0.3075684,1.269518,-0.1250487,0.2013196,1.277218,-0.02545655,-0.2969654,1.234529,-0.1520085,-0.06723057,1.261987,0.2706433,-0.06693865,1.24889,NA,NA,Unknown,NotTracked,
0.9194336,0.2792969,0.1362305,0.9301758,-0.3164063,0.1347656,0,-1,-2,0,-2,3,-2,0,-1,0,-1,-2,0,0,-2,0,1.625,1.625,1.625,-0.8125,-0.8125,-0.8125,6.79741,3.015749,1.895097,3.125272,3.057338,1.036182,-0.1323687,-0.4094325,1.149884,0.2340438,-0.4095266,1.140218,0.05865591,0.5114287,1.26169,-0.09078129,-0.4067527,1.131842,0.1987986,-0.412086,1.117899,0.05897519,0.0255908,1.27959,0.06016251,-0.3075062,1.269642,-0.1249652,0.2017788,1.276339,-0.02541761,-0.2969119,1.234651,-0.1519351,-0.06736472,1.26214,0.2706527,-0.06695486,1.248932,NA,NA,Unknown,NotTracked,
0.9296875,0.2773438,0.1362305,0.9350586,-0.3203125,0.1328125,-1,-3,-1,-2,-1,-1,-1,-2,-2,-1,-1,1,0,-2,-2,-3,0.625,0.625,0.625,-0.75,-0.75,-0.75,6.80422,3.015428,1.889219,3.125882,3.055461,1.033057,-0.132639,-0.4092261,1.150041,0.2347819,-0.4094481,1.140085,0.05861346,0.5113909,1.261658,-0.09048802,-0.4178481,1.130188,0.1967581,-0.4126557,1.122199,0.05899482,0.02559743,1.279668,0.06018943,-0.3075106,1.269758,-0.1249555,0.2018713,1.275677,-0.02539589,-0.2969282,1.234775,-0.1518421,-0.06753005,1.262221,0.270681,-0.06704427,1.248956,NA,NA,Unknown,NotTracked,
0.9990234,0.3989258,0.03173828,0.9414063,-0.3183594,0.1308594,-6,9,-9,-9,-5,-2,-2,-1,0,-1,-1,-1,-1,-1,-2,0,-31.875,-31.875,-31.875,-0.875,-0.875,-0.875,6.800369,3.026148,1.874823,3.126919,3.054007,1.029964,-0.1319628,-0.4095539,1.150388,0.2350873,-0.4094974,1.140203,0.05856371,0.5113848,1.261717,-0.09340941,-0.4071209,1.130135,0.1967212,-0.4121887,1.129945,0.05906051,0.02563458,1.279844,0.06032661,-0.3074767,1.270042,-0.1248482,0.201678,1.27654,-0.0252861,-0.2969061,1.234953,-0.1519409,-0.06748696,1.262566,0.2707629,-0.0671197,1.249202,NA,NA,Unknown,NotTracked,
1.15625,0.449707,0.3129883,0.9433594,-0.3242188,0.1362305,-4,-11,2,-10,-10,-2,-3,-6,1,-1,-1,-2,-3,-1,-1,-1,-97.3125,-97.3125,-97.3125,3.1875,3.1875,3.1875,6.540023,3.187878,1.913156,3.131244,3.056033,1.028393,-0.132112,-0.4093083,1.150393,0.2316508,-0.4042844,1.128567,0.05851981,0.5114042,1.261814,-0.08974396,-0.4069963,1.13467,0.1920895,-0.4061998,1.107765,0.05907268,0.02567604,1.280094,0.06038435,-0.307474,1.270285,-0.1249036,0.2012524,1.27843,-0.02523007,-0.296911,1.235175,-0.1520348,-0.06730389,1.262959,0.2712184,-0.0678359,1.250138,NA,NA,Unknown,NotTracked,
1.149902,0.6264648,0.7114258,0.9428711,-0.3110352,0.1254883,1,0,-7,15,13,1,0,3,-1,-1,-1,-2,-1,0,-1,0,-53.9375,-53.9375,-53.9375,7.8125,7.8125,7.8125,6.40804,3.385979,1.986392,3.142708,3.061759,1.029219,-0.1315609,-0.4087496,1.148953,0.2188169,-0.3575224,1.076354,0.05840186,0.5113449,1.261951,-0.08982851,-0.407105,1.133463,0.1851258,-0.3555033,1.1023,0.05896924,0.02571467,1.280296,0.06027021,-0.3074668,1.270498,-0.1250159,0.2009488,1.279523,-0.02536535,-0.2968599,1.235348,-0.1521089,-0.06735875,1.26309,0.2727375,-0.07057028,1.254664,NA,NA,Unknown,Unknown,
