ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9389648,0.2416992,0.06201172,0.9428711,-0.3188477,0.1162109,-1,-1,-3,-2,-2,-2,-2,-1,-3,-2,-2,0,-2,-3,-1,-1,0.6875,0.6875,0.6875,-2,-2,-2,7.177456,2.903925,1.45818,3.052198,3.051091,0.8220422,-0.1272102,-0.3940374,1.161484,0.2569845,-0.4254364,1.164703,0.07066669,0.5090786,1.267858,-0.08153929,-0.3861782,1.146634,0.2176842,-0.4210436,1.156746,0.06896593,0.02453224,1.287066,0.07150124,-0.3080081,1.276782,-0.1262231,0.1995457,1.280107,-0.01402556,-0.2978235,1.240681,-0.1453374,-0.06878542,1.272547,0.2764975,-0.06732871,1.263918,NA,NA,Unknown,NotTracked,
0.9443359,0.2426758,0.05810547,0.9321289,-0.3154297,0.1074219,-2,-1,-3,-2,-1,0,-2,-1,-6,-3,-1,-1,-1,-2,-2,-1,-0.1875,-0.1875,-0.1875,-0.125,-0.125,-0.125,7.176471,2.903736,1.459088,3.04939,3.051579,0.8229492,-0.1265862,-0.3946824,1.160546,0.2568187,-0.4247396,1.163908,0.07069021,0.5091026,1.267916,-0.08096079,-0.373482,1.146601,0.2190543,-0.4288133,1.15,0.06897564,0.02452244,1.287086,0.07150438,-0.3080135,1.276784,-0.1227273,0.1998414,1.279533,-0.01402913,-0.2978291,1.240683,-0.1453146,-0.06889281,1.272569,0.2765197,-0.06735234,1.263956,NA,NA,Unknown,NotTracked,
0.9453125,0.2387695,0.05810547,0.9384766,-0.3212891,0.1166992,-1,0,-2,2,0,0,0,0,0,-1,1,-4,0,0,0,1,0.8125,0.8125,0.8125,1.0625,1.0625,1.0625,7.175171,2.903998,1.460479,3.050943,3.050782,0.8220713,-0.1267371,-0.3931638,1.161427,0.2561546,-0.4254898,1.163646,0.07071572,0.5090821,1.267935,-0.08114583,-0.3831299,1.146764,0.2154901,-0.4154565,1.162529,0.06899347,0.02452248,1.287142,0.0715098,-0.3080212,1.276817,-0.1245099,0.1994515,1.279799,-0.01402745,-0.2978406,1.240701,-0.1452751,-0.06888489,1.272583,0.2766446,-0.06712373,1.264106,NA,NA,Unknown,NotTracked,
0.9404297,0.2363281,0.0546875,0.940918,-0.3198242,0.1113281,1,-2,-2,-2,0,-2,0,-1,-1,-1,-2,-2,-1,-2,-1,-1,-0.0625,-0.0625,-0.0625,2.1875,2.1875,2.1875,7.177281,2.904052,1.459355,3.054191,3.050563,0.8220245,-0.126962,-0.3933801,1.161653,0.2564118,-0.4250488,1.163899,0.07071503,0.509072,1.267933,-0.0804977,-0.3778292,1.147068,0.217366,-0.3991855,1.173632,0.06898308,0.02453278,1.287186,0.0714973,-0.3080093,1.276821,-0.1254176,0.1992406,1.279908,-0.0140435,-0.297839,1.240705,-0.1452893,-0.06883523,1.272596,0.2765909,-0.06714477,1.264077,NA,NA,Unknown,NotTracked,
0.9482422,0.2348633,0.06152344,0.9394531,-0.3168945,0.1206055,-2,-3,1,0,0,-2,-1,-1,-2,-3,-2,-3,-1,-1,-2,-3,-0.1875,-0.1875,-0.1875,-0.9375,-0.9375,-0.9375,7.176227,2.904529,1.460258,3.055433,3.050344,0.821677,-0.1272905,-0.3947135,1.162499,0.256206,-0.4255071,1.163732,0.07063613,0.5090689,1.268064,-0.08110084,-0.3784738,1.148909,0.2181019,-0.4031427,1.17269,0.06902151,0.02454003,1.287221,0.07150989,-0.3079957,1.276846,-0.1274757,0.1988396,1.280107,-0.01402706,-0.2978523,1.240729,-0.1452406,-0.06886307,1.272591,0.2766102,-0.06706808,1.264077,NA,NA,Unknown,NotTracked,
0.9433594,0.2382813,0.05810547,0.9443359,-0.3154297,0.1137695,-2,-3,-1,-3,-1,1,2,0,2,-2,-3,0,-2,-1,-2,-2,1.6875,1.6875,1.6875,1.625,1.625,1.625,7.185519,2.901725,1.455529,3.042686,3.046545,0.8255942,-0.1266235,-0.3935107,1.162115,0.2561087,-0.4232168,1.164772,0.07018822,0.5091199,1.268308,-0.08576392,-0.4014031,1.140077,0.2133975,-0.3947897,1.171583,0.06901217,0.02452285,1.287261,0.071407,-0.3080078,1.27692,-0.1231998,0.1997176,1.27878,-0.01417501,-0.2978749,1.24087,-0.1451174,-0.06908794,1.272475,0.2766683,-0.06696007,1.264079,NA,NA,Unknown,NotTracked,
1.009277,0.2480469,0.01806641,0.949707,-0.3085938,0.1123047,-9,-6,-4,-5,-7,-1,-6,0,-3,-1,0,-2,-2,-2,-1,-3,0.1875,0.1875,0.1875,-0.4375,-0.4375,-0.4375,7.199204,2.902712,1.443093,3.049061,3.046351,0.8200929,-0.1262353,-0.3929139,1.161573,0.2559769,-0.4248851,1.163379,0.06997221,0.509189,1.268332,-0.08128641,-0.3618631,1.149,0.217145,-0.4007306,1.173,0.06901231,0.02453884,1.287295,0.07139918,-0.307975,1.276968,-0.1250094,0.1992854,1.279171,-0.01418318,-0.2978465,1.240924,-0.1449856,-0.06921345,1.272429,0.2767563,-0.06660747,1.263998,NA,NA,Unknown,NotTracked,
1.255859,0.375,-0.09375,0.9375,-0.3339844,0.1142578,3,-21,-15,-10,-11,-6,0,19,1,1,-1,-1,-2,-4,-2,-5,-30.3125,-30.3125,-30.3125,5.25,5.25,5.25,6.99514,2.950927,1.61412,3.051361,3.05105,0.8234927,-0.1267527,-0.3937587,1.161477,0.2536074,-0.4215823,1.159444,0.06982443,0.5092511,1.268384,-0.08104095,-0.375849,1.147137,0.2165271,-0.4230415,1.14817,0.06902358,0.02455524,1.287274,0.07140464,-0.3079495,1.276948,-0.1272686,0.1987564,1.279448,-0.01416906,-0.2978567,1.240917,-0.1449901,-0.06923399,1.272433,0.2768014,-0.06652352,1.264253,NA,NA,Unknown,NotTracked,
1.350586,0.8691406,0.5229492,0.9223633,-0.3349609,0.08544922,7,-12,-7,-4,34,18,5,4,-9,-3,-2,-2,0,-1,1,-2,134.125,134.125,134.125,13.75,13.75,13.75,6.535542,3.307347,2.361376,3.057794,3.058595,0.8352048,-0.1270106,-0.394728,1.16042,0.2292115,-0.3682202,1.140446,0.06974182,0.5092956,1.268385,-0.08125497,-0.3751791,1.147449,0.186912,-0.3735043,1.115077,0.06870151,0.0246546,1.28724,0.07038277,-0.3077401,1.276954,-0.1240053,0.1998093,1.279139,-0.01543549,-0.2974071,1.240876,-0.1449631,-0.06924333,1.272431,0.2832794,-0.06262385,1.273099,NA,NA,Unknown,NotTracked,
1.350586,0.8691406,0.5229492,0.9321289,-0.3300781,0.1005859,7,-12,-7,-4,34,18,5,4,-9,-3,-2,-2,0,-1,1,-2,134.125,134.125,134.125,15.625,15.625,15.625,6.535542,3.307347,2.361376,3.065938,3.060598,0.8362678,-0.1282011,-0.3948164,1.160736,0.1793687,-0.2670868,1.113024,0.06963923,0.5093094,1.268388,-0.08183974,-0.3830551,1.14589,0.1280038,-0.2185394,1.1193,0.06539401,0.02491464,1.286718,0.06152289,-0.3073564,1.275834,-0.1224478,0.2001952,1.278756,-0.02570561,-0.2941675,1.238671,-0.1453037,-0.06556304,1.273741,0.3135861,-0.02523132,1.283401,NA,NA,Unknown,Unknown,
