ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9589844,-0.1220703,0.2060547,0.9619141,0.2436523,-0.02392578,0,0,-1,-1,0,-1,1,-1,-1,0,1,-1,-2,-1,0,-4,-2,-2,-2,0.6875,0.6875,0.6875,4.081697,2.866185,6.222864,7.675877,2.903595,1.059784,-0.1441313,-0.4469135,1.347233,0.2264973,-0.4392789,1.327325,0.04028954,0.3790431,1.404124,-0.1017096,-0.4120217,1.322465,0.1825958,-0.410397,1.310778,0.0381097,-0.0641743,1.440125,0.03969435,-0.3602894,1.419877,-0.1288472,0.09485409,1.426755,-0.03416377,-0.3538691,1.387364,-0.1732962,-0.160164,1.428677,0.2453727,-0.1475399,1.433179,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9633789,0.2392578,-0.02685547,0,0,-1,-1,0,-1,1,-1,-1,-1,0,-3,2,-2,-2,-2,-2,-2,-2,0.8125,0.8125,0.8125,4.081697,2.866185,6.222864,7.679194,2.903326,1.057105,-0.1438994,-0.4465682,1.346854,0.2267673,-0.4370071,1.328877,0.04025073,0.3790712,1.404017,-0.1020358,-0.4107928,1.321645,0.1839264,-0.4406215,1.307314,0.03797872,-0.06417301,1.439956,0.03947747,-0.3602657,1.419699,-0.1289682,0.09492166,1.426576,-0.03436759,-0.3537986,1.387153,-0.1732977,-0.1603012,1.42846,0.2451159,-0.1474281,1.432917,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9638672,0.2412109,-0.02636719,0,0,-1,-1,0,-1,1,-1,-1,-2,-1,0,-2,-1,-2,-1,-2,-2,-2,2.375,2.375,2.375,4.081697,2.866185,6.222864,7.694204,2.901568,1.048391,-0.1412106,-0.4624266,1.343198,0.226377,-0.4365651,1.328636,0.04022724,0.3790493,1.403993,-0.09710323,-0.4493223,1.318912,0.1827869,-0.4160965,1.309082,0.03793897,-0.06420093,1.439865,0.03937678,-0.3602982,1.419623,-0.129088,0.09492205,1.42651,-0.03445224,-0.353817,1.387065,-0.1734764,-0.160328,1.428427,0.2450657,-0.1475568,1.432806,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9638672,0.2412109,-0.02636719,0,0,-1,-1,0,-1,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,2.375,2.375,2.375,4.081697,2.866185,6.222864,7.694204,2.901568,1.048391,-0.1427727,-0.456144,1.345094,0.2262925,-0.4364564,1.327844,0.0401413,0.3790064,1.403813,-0.09832871,-0.4521143,1.317423,0.1821061,-0.4079567,1.306343,0.0378464,-0.06419653,1.439779,0.03931684,-0.3602981,1.419578,-0.1291765,0.09494005,1.426378,-0.03451468,-0.3538249,1.387021,-0.1737054,-0.1601586,1.428238,0.2450581,-0.1476148,1.432733,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9594727,0.2412109,-0.03027344,0,0,-1,-1,0,-1,1,-1,0,-1,-1,-2,-2,-1,-1,1,-2,-2,-2,-0.125,-0.125,-0.125,4.081697,2.866185,6.222864,7.702689,2.900987,1.042232,-0.1427123,-0.4562945,1.345604,0.2268701,-0.4374128,1.328642,0.04003372,0.3790008,1.403591,-0.09821523,-0.4257429,1.3217,0.1831606,-0.4078116,1.308862,0.03777193,-0.06414219,1.439703,0.03926491,-0.3602829,1.41954,-0.1293413,0.09489139,1.426162,-0.0345582,-0.3538082,1.386998,-0.1738107,-0.1602679,1.428223,0.2449866,-0.147702,1.432578,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9594727,0.2412109,-0.03027344,0,0,-1,-1,0,-1,1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,-0.125,-0.125,-0.125,4.081697,2.866185,6.222864,7.702689,2.900987,1.042232,-0.1434073,-0.4533284,1.346408,0.2250846,-0.443037,1.327511,0.03991862,0.379021,1.403371,-0.1017616,-0.4565978,1.323697,0.1812015,-0.422198,1.310232,0.03774554,-0.06411925,1.439609,0.03924804,-0.3602776,1.419509,-0.1294589,0.09495025,1.426055,-0.0345701,-0.3538165,1.386992,-0.1738613,-0.1602445,1.428185,0.2449666,-0.1476923,1.432532,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9594727,0.2475586,-0.02539063,0,0,-1,-1,0,-1,1,-1,0,-1,-2,-1,-1,-2,-1,-1,-2,-2,-2,-0.1875,-0.1875,-0.1875,4.081697,2.866185,6.222864,7.702708,2.900447,1.042446,-0.1436738,-0.4499618,1.347553,0.2257599,-0.4372286,1.329495,0.03989339,0.3790295,1.40336,-0.1013772,-0.4115269,1.3205,0.1814711,-0.4150645,1.310421,0.03769053,-0.06412993,1.439623,0.03911508,-0.3602762,1.41959,-0.1294943,0.09497598,1.426013,-0.03469929,-0.3538064,1.387056,-0.1739657,-0.1604811,1.428068,0.244936,-0.1477211,1.432483,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9614258,0.2431641,-0.02929688,0,0,-1,-1,0,-1,1,-1,-1,0,0,0,-1,1,-1,-10,-2,-2,-2,0.125,0.125,0.125,4.081697,2.866185,6.222864,7.70472,2.901125,1.040254,-0.1437446,-0.4498625,1.34798,0.2267163,-0.4376169,1.329557,0.03982276,0.3789643,1.403339,-0.1039817,-0.3930915,1.324032,0.1813303,-0.4211446,1.309542,0.03762637,-0.06416883,1.439604,0.03906028,-0.3603282,1.419573,-0.129595,0.09497271,1.425903,-0.03476238,-0.3538731,1.387011,-0.1740046,-0.1604855,1.427933,0.2448701,-0.1479109,1.432452,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,1.067383,0.2919922,-0.05029297,0,0,-1,-1,0,-1,1,-1,6,-1,-2,0,-2,-2,2,49,-2,-2,-2,-30.125,-30.125,-30.125,4.081697,2.866185,6.222864,7.732114,2.922479,0.9852245,-0.1434201,-0.4502127,1.34626,0.2291713,-0.4358094,1.323447,0.03971179,0.37896,1.403378,-0.1010786,-0.4233668,1.326558,0.1823027,-0.4214514,1.304923,0.03760285,-0.06415658,1.439581,0.03905142,-0.3603263,1.419546,-0.1296427,0.09505703,1.425854,-0.03477564,-0.353879,1.386982,-0.1741216,-0.16052,1.42793,0.244821,-0.1479803,1.432936,NA,NA,NotTracked,NotTracked,
0.9589844,-0.1220703,0.2060547,0.9072266,0.5541992,-0.2822266,0,0,-1,-1,0,-1,1,-1,7,4,-6,-1,2,-1,-1,13,-2,-2,-2,-245.8125,-245.8125,-245.8125,4.081697,2.866185,6.222864,7.454712,3.043275,0.9962761,-0.1414559,-0.4620664,1.343291,0.2519746,-0.446413,1.299552,0.0394352,0.3791178,1.403403,-0.1007733,-0.4657343,1.314949,0.2097585,-0.4445328,1.24835,0.03760274,-0.06408294,1.439516,0.03895852,-0.3602993,1.419499,-0.1278379,0.09573089,1.425701,-0.03491541,-0.3537958,1.386943,-0.1743544,-0.1606208,1.427981,0.2448933,-0.1495135,1.436568,NA,NA,NotTracked,NotTracked,
