ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.8500977,-0.7241211,0.4873047,0.1518555,0.7280273,0.6674805,8,-3,-1,3,3,6,1,26,1,-1,-8,7,2,-2,-2,2,0.0625,0.0625,0.0625,-2.0625,-2.0625,-2.0625,3.813936,5.306936,3.449726,6.298794,4.73953,7.383558,0.05477469,-0.1219909,1.254794,-0.03914716,-0.1583894,1.245008,0.006815867,0.3728514,1.434479,0.07481592,-0.05978442,1.2137,-0.02414741,-0.2120455,1.273074,0.02511328,-0.04469363,1.432035,0.03201727,-0.3284529,1.399279,-0.13105,0.1051692,1.412323,-0.04012115,-0.3245315,1.371261,-0.1544057,-0.08599152,1.281406,0.1740087,-0.07499298,1.259023,NA,NA,NotTracked,NotTracked,
-0.4907227,-0.5302734,0.3144531,0.1557617,0.7182617,0.684082,0,0,-5,-7,-6,-4,2,5,0,-7,0,19,-9,-1,1,-1,2.75,2.75,2.75,-0.3125,-0.3125,-0.3125,3.814718,5.303463,3.4482,6.295771,4.738957,7.381439,0.06590933,-0.1442087,1.248871,-0.0392759,-0.1573282,1.244663,0.006860752,0.37284,1.434512,0.1224636,-0.1184946,1.214462,-0.02529245,-0.2115337,1.273722,0.02510735,-0.0446918,1.432042,0.03198319,-0.3284561,1.399248,-0.1310238,0.1051443,1.41231,-0.04014352,-0.3245379,1.371262,-0.154253,-0.08579606,1.281343,0.1739187,-0.07479594,1.258939,NA,NA,NotTracked,NotTracked,
-0.4980469,-0.9438477,0.9575195,0.1533203,0.7197266,0.6938477,-3,-2,1,-1,0,0,6,1,-1,-2,0,7,-6,-3,-3,-1,-1.25,-1.25,-1.25,1,1,1,3.815008,5.305142,3.44919,6.297406,4.738614,7.378279,0.06604218,-0.1231235,1.258256,-0.03934567,-0.1556019,1.244269,0.006963339,0.3727454,1.434836,0.07862047,-0.06126816,1.223772,-0.02297989,-0.2107738,1.273482,0.02517801,-0.04469905,1.432197,0.03204,-0.3284329,1.399313,-0.1310306,0.1051506,1.412415,-0.04008384,-0.3245308,1.371275,-0.1543141,-0.08510689,1.281349,0.1737444,-0.07459107,1.259041,NA,NA,NotTracked,NotTracked,
-0.3100586,-0.9345703,1.041504,0.1484375,0.71875,0.6923828,-2,-1,-3,-2,1,-1,-1,-9,-2,2,7,0,-1,2,0,-1,-1.75,-1.75,-1.75,0.9375,0.9375,0.9375,3.817163,5.298681,3.449833,6.296335,4.738554,7.377008,0.06602401,-0.123068,1.258367,-0.03943109,-0.1562555,1.244798,0.006983045,0.372752,1.434985,0.08038941,-0.06079819,1.218449,-0.02370669,-0.2103622,1.273832,0.02519918,-0.04466857,1.432293,0.03206119,-0.3284219,1.399324,-0.1310389,0.1051483,1.412464,-0.0400349,-0.324512,1.371352,-0.1544377,-0.08457171,1.281739,0.1736421,-0.07443252,1.259071,NA,NA,NotTracked,NotTracked,
0.4663086,-0.515625,1.106934,0.1591797,0.7114258,0.6933594,-1,1,-2,-2,0,-2,-2,-7,0,-6,-19,-18,-1,0,2,-1,1.3125,1.3125,1.3125,-0.4375,-0.4375,-0.4375,3.856873,5.229749,3.456906,6.296703,4.738773,7.376593,0.06597409,-0.1223694,1.258067,-0.03950708,-0.1567646,1.245132,0.007063698,0.3727258,1.435201,0.08165092,-0.06078766,1.216724,-0.02560221,-0.2096387,1.274954,0.02535485,-0.044674,1.432455,0.03216243,-0.328426,1.399428,-0.1310236,0.1051372,1.412484,-0.03994119,-0.3245213,1.371429,-0.1544628,-0.08477528,1.281833,0.1735697,-0.0744906,1.259117,NA,NA,NotTracked,NotTracked,
-0.1518555,-0.90625,1.166016,0.1333008,0.7216797,0.6948242,-3,-6,-3,2,4,4,-4,-1,2,6,3,-11,22,6,0,1,1,1,1,-0.5625,-0.5625,-0.5625,3.901634,5.163852,3.463456,6.293839,4.739186,7.375831,0.06488656,-0.1456449,1.251012,-0.03901684,-0.1553892,1.244323,0.007048373,0.3727001,1.435505,0.1244221,-0.1206017,1.214889,-0.02317442,-0.2102525,1.273521,0.02533293,-0.04468638,1.432647,0.03218463,-0.3284139,1.399555,-0.1310442,0.1052323,1.412734,-0.03988812,-0.3245143,1.371625,-0.1543006,-0.08462955,1.282053,0.1739205,-0.07440142,1.259498,NA,NA,NotTracked,NotTracked,
0.1787109,-0.3769531,0.6313477,0.09716797,0.7436523,0.6435547,2,1,-1,-1,2,0,-3,1,-1,-3,-15,-2,-10,-3,-3,-4,1.375,1.375,1.375,2.5,2.5,2.5,3.879634,5.199661,3.461936,6.312704,4.739591,7.367521,0.06434306,-0.1233838,1.258074,-0.03921004,-0.15547,1.244402,0.007039404,0.3726619,1.435639,0.07615323,-0.05724321,1.217701,-0.02360679,-0.209426,1.274052,0.02527709,-0.0446933,1.432825,0.03212051,-0.3284415,1.399691,-0.1310378,0.1052258,1.412775,-0.03995812,-0.32454,1.371828,-0.1542895,-0.08455211,1.282136,0.1739162,-0.07439554,1.259513,NA,NA,NotTracked,NotTracked,
-0.1347656,-0.4624023,0.3242188,0.1479492,0.7109375,0.7016602,-3,-1,1,1,-2,2,-4,-16,0,0,-3,-2,-5,-3,-2,-1,1.3125,1.3125,1.3125,-3,-3,-3,3.877118,5.209386,3.46092,6.307444,4.740073,7.367445,0.06473789,-0.1232725,1.257792,-0.03889649,-0.1553652,1.244186,0.006973494,0.3725521,1.435868,0.07623003,-0.05720492,1.214829,-0.02324677,-0.2098508,1.274062,0.02529054,-0.04472695,1.433015,0.03214454,-0.3284586,1.399768,-0.1310114,0.1052291,1.41287,-0.03991617,-0.3245716,1.371932,-0.1546041,-0.08428391,1.282447,0.1741974,-0.07449407,1.259996,NA,NA,NotTracked,NotTracked,
-0.1542969,-0.4643555,0.2988281,0.1582031,0.7241211,0.699707,1,-2,-2,0,-3,-3,-8,4,1,-1,-6,0,-2,-2,0,1,2.9375,2.9375,2.9375,-3.25,-3.25,-3.25,3.87957,5.216865,3.460176,6.298966,4.740195,7.370405,0.06480413,-0.1237473,1.256772,-0.0386511,-0.156867,1.243653,0.006878335,0.3724991,1.43629,0.07575066,-0.05709748,1.219645,-0.02335578,-0.2110334,1.273347,0.02529511,-0.04475586,1.433157,0.03219185,-0.3284402,1.399813,-0.1310151,0.1051964,1.412909,-0.03985775,-0.3245921,1.372104,-0.1542262,-0.08462361,1.2827,0.1741991,-0.07446735,1.260007,NA,NA,NotTracked,NotTracked,
-0.159668,-0.4599609,0.3198242,0.1635742,0.7138672,0.6928711,-1,1,-3,-2,-3,1,-2,8,-1,-4,-11,-11,3,2,0,-1,3.625,3.625,3.625,-3.75,-3.75,-3.75,3.88293,5.224658,3.460034,6.28984,4.73831,7.371519,0.0656402,-0.1276507,1.257324,-0.03858746,-0.1557743,1.244197,0.006840574,0.3723072,1.436542,0.0756275,-0.0707229,1.254775,-0.02343327,-0.2103877,1.27383,0.02529709,-0.04478901,1.433409,0.03225891,-0.3284257,1.399926,-0.1310011,0.105187,1.412938,-0.03975316,-0.3245849,1.372366,-0.1542279,-0.0841212,1.282819,0.1741359,-0.07435293,1.259995,NA,NA,NotTracked,NotTracked,
