ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9321289,-0.3081055,0.1572266,0.9345703,0.277832,0.07519531,-1,-1,-2,-1,0,0,0,-2,-3,-2,-1,0,-1,-2,-3,0,0.625,0.625,0.625,0.8125,0.8125,0.8125,3.219542,3.067911,6.721823,7.2143,2.963646,1.071443,-0.137062,-0.4623536,1.287202,0.2562205,-0.4447573,1.247857,0.05777269,0.3794017,1.353966,-0.1750578,-0.4636328,1.269292,0.2933121,-0.4572471,1.225706,0.06686391,-0.07034411,1.391352,0.06704015,-0.3712194,1.369798,-0.103385,0.093127,1.389549,-0.006918474,-0.3638041,1.341408,-0.1507491,-0.1703108,1.389897,0.2825668,-0.1553825,1.362672,NA,NA,NotTracked,NotTracked,
0.9389648,-0.315918,0.1586914,0.9350586,0.2724609,0.07763672,-1,-1,1,-1,-1,-1,-2,0,0,-2,-5,-1,-2,2,1,-1,0,0,0,0.8125,0.8125,0.8125,3.220483,3.067919,6.721023,7.213488,2.963325,1.073007,-0.137142,-0.4635597,1.288513,0.2559107,-0.4450034,1.248656,0.05774965,0.3794623,1.354043,-0.1781362,-0.4612539,1.275804,0.2942773,-0.4473076,1.229074,0.06681111,-0.07031619,1.39139,0.06698324,-0.3712103,1.369811,-0.1033788,0.0931295,1.389554,-0.006982763,-0.3637858,1.341425,-0.150764,-0.1701962,1.389928,0.2825485,-0.1553915,1.362673,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3051758,0.1533203,0.9316406,0.2749023,0.07861328,-1,-1,-1,0,-2,-1,0,0,0,0,-1,-1,-2,0,-1,-1,0.4375,0.4375,0.4375,0.3125,0.3125,0.3125,3.220483,3.067919,6.721023,7.214046,2.964065,1.072353,-0.1384903,-0.4616696,1.28781,0.2560762,-0.4442201,1.247697,0.05772965,0.3795064,1.354048,-0.1794898,-0.4642282,1.2764,0.2947603,-0.4477669,1.2292,0.06679013,-0.07030453,1.391363,0.06693614,-0.3711647,1.369784,-0.1033546,0.09318631,1.389532,-0.007045461,-0.3637393,1.341397,-0.1507526,-0.1700438,1.389961,0.2825337,-0.1553874,1.362652,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3134766,0.1625977,0.9311523,0.2729492,0.07373047,-1,-1,-1,2,-1,-1,0,-1,-1,1,1,-2,0,-2,0,0,-0.625,-0.625,-0.625,0.1875,0.1875,0.1875,3.221115,3.067982,6.720389,7.214154,2.964318,1.072027,-0.1377127,-0.4633968,1.289105,0.2558165,-0.4451433,1.248013,0.05769291,0.3794982,1.354069,-0.1789091,-0.4661708,1.274957,0.2931274,-0.460807,1.225667,0.06677795,-0.07032499,1.391375,0.066931,-0.371184,1.369791,-0.1033488,0.09318493,1.389569,-0.007052945,-0.3637756,1.341408,-0.1507812,-0.1700641,1.390092,0.2824799,-0.155424,1.362692,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3120117,0.1606445,0.9282227,0.2705078,0.07714844,-1,-1,1,-1,-1,-2,-1,-3,-1,-2,-1,0,-1,-2,0,-1,-0.375,-0.375,-0.375,0.3125,0.3125,0.3125,3.221115,3.067982,6.720389,7.212678,2.964165,1.073195,-0.1374769,-0.4614554,1.288063,0.2555869,-0.4437565,1.248079,0.05768614,0.379511,1.354072,-0.1698809,-0.4683638,1.262534,0.2959979,-0.4455661,1.232326,0.06675907,-0.07032119,1.391375,0.06691846,-0.3711806,1.369781,-0.1033658,0.09319267,1.389575,-0.007066122,-0.3637735,1.341397,-0.1507691,-0.1700926,1.390103,0.2824489,-0.1554178,1.362665,NA,NA,NotTracked,NotTracked,
0.9375,-0.3037109,0.1660156,0.9326172,0.2753906,0.07958984,-2,0,-2,0,-2,2,-1,-1,1,0,-1,-3,0,-1,-1,-2,-0.0625,-0.0625,-0.0625,0.6875,0.6875,0.6875,3.221622,3.06847,6.720024,7.212289,2.96422,1.073857,-0.1375906,-0.4621297,1.289987,0.2560171,-0.4448154,1.248157,0.05762123,0.3795566,1.354147,-0.1784318,-0.4677496,1.273465,0.2969269,-0.4497036,1.23406,0.0667445,-0.07030851,1.391392,0.06691296,-0.3711773,1.369797,-0.1033737,0.09319279,1.38958,-0.007068935,-0.3637744,1.341402,-0.1508316,-0.1696981,1.390329,0.2824532,-0.155424,1.362688,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3066406,0.1616211,0.9345703,0.2802734,0.07617188,-2,-1,0,-1,0,-2,0,-2,-2,0,-3,-1,-1,-2,-1,-2,-0.5625,-0.5625,-0.5625,0.125,0.125,0.125,3.222055,3.067991,6.719588,7.212227,2.965033,1.07354,-0.1368184,-0.4633879,1.28859,0.2557757,-0.4441824,1.247332,0.05753514,0.3795511,1.354182,-0.1826904,-0.4672116,1.284,0.299375,-0.4488288,1.236047,0.06668338,-0.07032826,1.39141,0.06682367,-0.3712067,1.369831,-0.1035148,0.09306868,1.389763,-0.007170904,-0.3638142,1.341456,-0.1508547,-0.169597,1.390417,0.2823527,-0.1554605,1.362648,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3149414,0.1645508,0.9370117,0.2749023,0.07568359,-1,-2,-2,-1,-2,-1,-1,-2,-1,0,-1,-1,-1,-2,-1,0,-0.8125,-0.8125,-0.8125,0.125,0.125,0.125,3.222687,3.068054,6.718956,7.212304,2.964856,1.073454,-0.1374311,-0.4626936,1.289682,0.2557078,-0.4456273,1.248273,0.05743782,0.3796329,1.35439,-0.1794908,-0.4596555,1.278712,0.3005981,-0.449679,1.239556,0.06660657,-0.07032251,1.391507,0.06680238,-0.3712007,1.369874,-0.1035868,0.09312799,1.389969,-0.007191611,-0.3638036,1.341526,-0.1508853,-0.1697059,1.390626,0.2823427,-0.1555827,1.362651,NA,NA,NotTracked,NotTracked,
0.9418945,-0.3100586,0.1694336,0.9355469,0.2749023,0.0703125,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,-3,-1,-1,-1,-1,0,0.0625,0.0625,0.0625,0.625,0.625,0.625,3.223349,3.068473,6.718297,7.213065,2.965464,1.07255,-0.1367605,-0.4631998,1.288265,0.2554621,-0.4449769,1.247442,0.05738033,0.3796316,1.354419,-0.1752529,-0.4657467,1.269184,0.2966811,-0.4527369,1.23254,0.06659915,-0.070315,1.391509,0.06678626,-0.3711914,1.36987,-0.1035855,0.0931177,1.389988,-0.007208799,-0.3638005,1.341532,-0.1508962,-0.1697138,1.390624,0.2822787,-0.1555051,1.362654,NA,NA,NotTracked,NotTracked,
0.9394531,-0.315918,0.1616211,0.9257813,0.2749023,0.0703125,-2,0,-2,-1,-2,0,0,-2,-1,-2,0,0,-1,0,-1,1,-0.9375,-0.9375,-0.9375,-0.25,-0.25,-0.25,3.224289,3.068481,6.717497,7.214627,2.966074,1.0709,-0.1384205,-0.4634834,1.288828,0.2545879,-0.4442757,1.247483,0.05729768,0.3796139,1.354454,-0.1793731,-0.4630554,1.275963,0.2996354,-0.4497117,1.237765,0.06656491,-0.07031687,1.391494,0.06677982,-0.3711832,1.369858,-0.1036257,0.09310179,1.389985,-0.007216062,-0.3637943,1.34152,-0.1508949,-0.1697019,1.390623,0.2821961,-0.1555417,1.362615,NA,NA,NotTracked,NotTracked,
0.9428711,-0.3125,0.1601563,0.9326172,0.2758789,0.06689453,-2,-2,-1,0,0,-3,-2,-1,0,-3,0,0,-1,0,0,-1,0.25,0.25,0.25,0.875,0.875,0.875,3.224251,3.067786,6.716977,7.217443,2.966649,1.067928,-0.1368824,-0.4629234,1.28807,0.2545163,-0.4448261,1.246808,0.05724928,0.3795829,1.354431,-0.178153,-0.4664111,1.27489,0.2998063,-0.4498683,1.238354,0.06652598,-0.07030738,1.391477,0.06674094,-0.3711772,1.369839,-0.1036442,0.09309886,1.389984,-0.007257395,-0.3637877,1.341499,-0.1508971,-0.1698911,1.390616,0.2821244,-0.1555585,1.36258,NA,NA,NotTracked,NotTracked,
0.9306641,-0.3027344,0.1606445,0.9277344,0.2836914,0.06884766,0,0,-2,-1,-3,-1,-4,-1,-2,0,0,0,-2,-1,-1,-1,-0.125,-0.125,-0.125,0.25,0.25,0.25,3.224883,3.067849,6.716344,7.218166,2.966828,1.06727,-0.1369576,-0.4632524,1.288474,0.2544719,-0.4432847,1.247651,0.05721284,0.3795908,1.354455,-0.1777561,-0.4654328,1.274654,0.2978553,-0.4504542,1.234584,0.0664948,-0.07030281,1.391455,0.06669093,-0.3711958,1.369796,-0.103692,0.09307839,1.390015,-0.007312689,-0.3637947,1.341453,-0.1509127,-0.1700449,1.390611,0.2820409,-0.1555703,1.362545,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3066406,0.1542969,0.9321289,0.269043,0.07519531,1,-1,1,-1,-1,-2,-2,-2,1,-1,-2,1,0,-1,-1,0,-0.6875,-0.6875,-0.6875,-0.3125,-0.3125,-0.3125,3.225191,3.067795,6.716176,7.21734,2.966202,1.066861,-0.1374589,-0.4624972,1.28957,0.254744,-0.4450052,1.247672,0.05710144,0.3796811,1.354555,-0.1783942,-0.4676976,1.275658,0.2957844,-0.4441897,1.232085,0.06641284,-0.07030042,1.391495,0.06665267,-0.3712156,1.369808,-0.1037897,0.09309381,1.390195,-0.007360953,-0.3638302,1.341504,-0.1508988,-0.1702167,1.390663,0.2819994,-0.155539,1.362587,NA,NA,NotTracked,NotTracked,
0.9375,-0.3139648,0.1630859,0.9365234,0.2792969,0.07568359,0,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,0,0,1.125,1.125,1.125,3.225544,3.068268,6.715686,7.217904,2.966101,1.066765,-0.1373248,-0.4625698,1.289915,0.2543784,-0.4447918,1.248662,0.05704151,0.3796873,1.354579,-0.1745062,-0.4819843,1.2682,0.2974252,-0.4543458,1.234902,0.06637412,-0.07026847,1.391546,0.06655452,-0.3711943,1.36987,-0.1038691,0.09307775,1.390273,-0.00745394,-0.3638097,1.341561,-0.1509044,-0.1702109,1.390729,0.2819737,-0.1555283,1.36259,NA,NA,NotTracked,NotTracked,
0.9375,-0.3139648,0.1630859,0.9365234,0.2792969,0.07568359,0,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,0,0,1.125,1.125,1.125,3.225544,3.068268,6.715686,7.217904,2.966101,1.066765,-0.1376166,-0.4627764,1.288805,0.25511,-0.4440767,1.24621,0.05697482,0.3797464,1.354629,-0.1775326,-0.4744989,1.272123,0.295726,-0.456101,1.231895,0.06632306,-0.07023869,1.391532,0.06639758,-0.3711366,1.369855,-0.1038964,0.09308072,1.390288,-0.007588619,-0.363742,1.341547,-0.1509046,-0.1702074,1.390728,0.2819226,-0.1554821,1.362558,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3100586,0.1645508,0.9345703,0.2773438,0.07226563,0,0,-2,-3,1,-2,-2,0,0,0,0,1,-1,-1,1,-1,-1.6875,-1.6875,-1.6875,-0.6875,-0.6875,-0.6875,3.224931,3.068294,6.7156,7.219995,2.965986,1.063875,-0.137427,-0.4625491,1.288929,0.2546164,-0.4447539,1.248176,0.05679425,0.3797708,1.35486,-0.1794354,-0.4654712,1.276019,0.2980686,-0.4600441,1.233985,0.06623004,-0.07021095,1.39157,0.06634545,-0.371115,1.369867,-0.1039984,0.09309288,1.390367,-0.007642786,-0.3637275,1.341574,-0.1508959,-0.170285,1.39072,0.281869,-0.155606,1.362515,NA,NA,NotTracked,NotTracked,
