ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9360352,-0.2519531,0.2001953,0.9477539,0.2836914,0.01904297,-1,-1,-1,-1,-2,0,-1,-1,-1,-2,-1,-2,-3,-1,-2,-2,-0.625,-0.625,-0.625,-0.1875,-0.1875,-0.1875,3.496523,2.994958,9.90222,7.395591,2.971531,3.770312,-0.1500069,-0.4489484,1.346572,0.2441986,-0.4378674,1.325083,0.05454253,0.3776726,1.406798,-0.09891761,-0.4237692,1.327134,0.1933371,-0.3933384,1.307295,0.05704181,-0.07986865,1.446123,0.05511401,-0.3877865,1.425755,-0.1116199,0.09164728,1.441736,-0.02197783,-0.37949,1.394608,-0.1630523,-0.1716769,1.449165,0.2719656,-0.1597453,1.43015,NA,NA,NotTracked,NotTracked,
0.9350586,-0.2446289,0.2045898,0.9570313,0.2832031,0.01513672,0,-3,0,-1,0,0,0,0,-2,-1,-1,-2,0,-1,-2,-1,-0.25,-0.25,-0.25,-0.8125,-0.8125,-0.8125,3.495244,2.995131,9.904477,7.395102,2.971634,3.770603,-0.1509822,-0.4494311,1.347807,0.2444521,-0.4385249,1.326078,0.05494338,0.3775392,1.406401,-0.09852837,-0.4204507,1.326914,0.1941419,-0.3978164,1.310656,0.05709345,-0.07985707,1.44616,0.05515116,-0.3877344,1.425839,-0.1115255,0.0916876,1.441703,-0.02193069,-0.37944,1.394675,-0.1631112,-0.1715728,1.449184,0.2719101,-0.1597148,1.430285,NA,NA,NotTracked,NotTracked,
0.9399414,-0.2446289,0.1923828,0.9462891,0.2797852,0.01367188,0,-1,-1,0,-1,-1,-1,-1,-1,-3,-1,-1,-2,-2,-2,0,-1.5625,-1.5625,-1.5625,-4.875,-4.875,-4.875,3.493631,2.992824,9.905532,7.392045,2.970713,3.764198,-0.1505247,-0.4491064,1.34669,0.2443231,-0.4382109,1.326769,0.05533519,0.3774194,1.406035,-0.09811056,-0.4185812,1.325957,0.1940331,-0.393998,1.309188,0.05712365,-0.07985134,1.446162,0.05513314,-0.3877003,1.425885,-0.1113564,0.09177534,1.441565,-0.0219541,-0.3793932,1.394696,-0.1631191,-0.1714359,1.449227,0.2719614,-0.1600192,1.430425,NA,NA,NotTracked,NotTracked,
0.9399414,-0.2578125,0.2045898,0.9492188,0.2797852,0.02001953,-2,-2,-1,-3,-3,-1,-2,-1,0,-4,0,-2,-2,-2,0,-1,-1.375,-1.375,-1.375,-1.1875,-1.1875,-1.1875,3.490478,2.993373,9.904196,7.389671,2.967662,3.759114,-0.1501154,-0.4497819,1.347973,0.2438108,-0.4365675,1.327985,0.05562792,0.3773313,1.405791,-0.0978272,-0.4213122,1.326077,0.1940238,-0.4082145,1.311577,0.05712096,-0.07984943,1.446179,0.05507163,-0.3876691,1.425994,-0.1113083,0.0918427,1.441504,-0.02200527,-0.3793497,1.394732,-0.1631213,-0.1713807,1.449262,0.2719242,-0.1600723,1.430683,NA,NA,NotTracked,NotTracked,
0.9375,-0.2412109,0.2006836,0.9575195,0.2807617,0.01464844,-1,-1,-1,0,-1,1,1,1,-1,2,0,-1,-1,-1,1,-3,-0.4375,-0.4375,-0.4375,-2.3125,-2.3125,-2.3125,3.492635,2.994141,9.902649,7.390095,2.965062,3.756646,-0.1505932,-0.449271,1.346657,0.2441446,-0.4349287,1.328894,0.05594547,0.3771569,1.405347,-0.09926841,-0.4071015,1.325308,0.1947638,-0.4047014,1.312248,0.05714868,-0.07988778,1.446211,0.05516522,-0.3877122,1.426106,-0.1112536,0.09185374,1.441491,-0.02194599,-0.3793563,1.394801,-0.1631363,-0.1713922,1.449257,0.271799,-0.1600767,1.431156,NA,NA,NotTracked,NotTracked,
0.9375,-0.2558594,0.1977539,0.9545898,0.293457,0.02734375,0,1,0,-1,-1,2,0,-3,-3,1,-2,0,-1,0,0,-1,-2.3125,-2.3125,-2.3125,-1.1875,-1.1875,-1.1875,3.486724,2.995142,9.904749,7.385409,2.96381,3.759269,-0.1509833,-0.4499886,1.346764,0.2445426,-0.4361126,1.327945,0.05616985,0.3771,1.405162,-0.0983471,-0.4042116,1.327833,0.1962017,-0.3828489,1.309647,0.05721251,-0.07990919,1.446266,0.0551993,-0.3877273,1.426229,-0.1111465,0.09194671,1.441421,-0.0219661,-0.3793307,1.394837,-0.1631922,-0.1712167,1.449244,0.2718496,-0.1601501,1.431365,NA,NA,NotTracked,NotTracked,
0.9516602,-0.2514648,0.1948242,0.9506836,0.2792969,0.01806641,-1,-1,-1,-2,-1,1,-2,-2,-3,2,13,-5,-1,-1,-1,-1,1.875,1.875,1.875,0.4375,0.4375,0.4375,3.485817,2.997414,9.909069,7.389246,2.963548,3.753209,-0.1501047,-0.4492877,1.346708,0.2429527,-0.4313633,1.324815,0.05633041,0.3770518,1.404949,-0.09853725,-0.4148123,1.327542,0.1956123,-0.4054329,1.312371,0.05721626,-0.07989832,1.446264,0.05510948,-0.3876458,1.426312,-0.111154,0.09197021,1.441432,-0.02204541,-0.3792449,1.394907,-0.1630972,-0.1713781,1.449105,0.2719119,-0.1602611,1.431879,NA,NA,NotTracked,NotTracked,
0.9458008,-0.2480469,0.1938477,1.316406,0.6000977,0.1772461,-2,-2,1,-1,0,-3,0,-1,1,0,-17,-50,3,-2,-3,-3,2,2,2,-44.1875,-44.1875,-44.1875,3.488359,3.001413,9.913179,7.052745,3.119594,3.980725,-0.1518414,-0.4483892,1.345737,0.2306659,-0.4070486,1.301967,0.05640936,0.3769488,1.404851,-0.09920608,-0.3978181,1.323083,0.1827514,-0.4421507,1.294,0.05715393,-0.079918,1.446341,0.0548467,-0.3875653,1.426468,-0.1111667,0.09201835,1.441388,-0.02234162,-0.3791582,1.395022,-0.1631503,-0.1712821,1.449144,0.272764,-0.1596357,1.434553,NA,NA,NotTracked,NotTracked,
0.9155273,-0.2529297,0.1962891,1.125,0.9448242,0.6577148,2,-3,-1,-2,-2,-2,-2,-1,-18,-3,-3,40,-16,-19,-16,-9,-15.3125,-15.3125,-15.3125,-35.3125,-35.3125,-35.3125,3.472872,3.001313,9.914534,6.677881,3.603081,4.297983,-0.1526496,-0.4479506,1.345202,0.1919739,-0.3571462,1.257219,0.05663172,0.3767777,1.404537,-0.100463,-0.3897782,1.3268,0.1450661,-0.3794701,1.298849,0.05607989,-0.07975897,1.4463,0.04999821,-0.3866486,1.426503,-0.1112039,0.09214453,1.44134,-0.0276729,-0.3778312,1.394679,-0.1631636,-0.1707628,1.449145,0.2769243,-0.1513871,1.442621,NA,NA,NotTracked,Closed,
0.9067383,-0.2646484,0.2041016,0.8549805,1.189941,0.6977539,0,1,-1,0,2,-1,-3,-1,-17,7,35,44,-13,9,6,15,-21.5,-21.5,-21.5,-59.875,-59.875,-59.875,3.424559,2.995375,9.928714,6.57359,3.997403,4.362669,-0.1526887,-0.4452307,1.346664,0.1856128,-0.1936149,1.161893,0.05712692,0.3762431,1.403914,-0.1004023,-0.4052286,1.327735,0.1676572,-0.2218255,1.154928,0.0544453,-0.07954259,1.446539,0.04436902,-0.3855824,1.427112,-0.1110403,0.09236684,1.441161,-0.03291265,-0.3764456,1.395074,-0.1631194,-0.1702082,1.44905,0.2877795,-0.1496766,1.37934,NA,NA,NotTracked,Unknown,
