ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9228516,-0.3867188,0.1123047,-0.9882813,-0.2573242,0.1010742,-1,-2,-1,1,-3,-1,0,-1,0,1,0,1,0,-1,-1,0,-2.5,-2.5,-2.5,-0.375,-0.375,-0.375,2.904939,3.144825,0.7896926,3.219026,7.052383,5.280385,-0.1448526,-0.4619492,1.421994,0.2139445,-0.4380489,1.387885,0.04401303,0.3779502,1.486755,-0.1810473,-0.4699488,1.421974,0.1719375,-0.4072329,1.375896,0.04030606,-0.07815845,1.521486,0.03594286,-0.3832236,1.501569,-0.1236656,0.08742303,1.510861,-0.03918406,-0.3754051,1.470421,-0.1648881,-0.1712437,1.508814,0.2506744,-0.1565095,1.496639,NA,NA,NotTracked,NotTracked,
0.9199219,-0.3818359,0.1088867,-0.9882813,-0.2573242,0.1010742,-4,-1,-1,0,0,-1,0,1,0,1,0,1,0,-1,-1,0,-3.1875,-3.1875,-3.1875,-0.375,-0.375,-0.375,2.902453,3.144795,0.7881718,3.219026,7.052383,5.280385,-0.1443893,-0.4616375,1.420673,0.2142847,-0.4382074,1.387263,0.04402254,0.3779579,1.486461,-0.1775027,-0.4610529,1.418,0.1715907,-0.4130466,1.375762,0.0402935,-0.07819761,1.521169,0.0359239,-0.3832875,1.501407,-0.1236318,0.08738342,1.510566,-0.03920998,-0.3754528,1.470304,-0.1649224,-0.1711339,1.50848,0.250714,-0.1566017,1.496398,NA,NA,NotTracked,NotTracked,
0.9194336,-0.3813477,0.1152344,-0.9882813,-0.2573242,0.1010742,1,0,-1,-1,-3,-2,-2,-3,0,1,0,1,0,-1,-1,0,-1.1875,-1.1875,-1.1875,-0.375,-0.375,-0.375,2.900819,3.145857,0.786412,3.219026,7.052383,5.280385,-0.1435788,-0.4618911,1.420441,0.2141191,-0.4380372,1.387207,0.04404428,0.378031,1.486361,-0.1796855,-0.4668065,1.421111,0.1711011,-0.4194386,1.376987,0.04033894,-0.07820461,1.52095,0.03595358,-0.383314,1.501198,-0.1234681,0.08750497,1.510151,-0.0391854,-0.3754849,1.4701,-0.1649076,-0.1710905,1.508224,0.25073,-0.1566554,1.496166,NA,NA,NotTracked,NotTracked,
0.9174805,-0.3774414,0.1108398,-0.9882813,-0.2573242,0.1010742,-1,-2,-3,-1,-1,-1,-1,-2,0,1,0,1,0,-1,-1,0,1.1875,1.1875,1.1875,-0.375,-0.375,-0.375,2.901664,3.146216,0.7860926,3.219026,7.052383,5.280385,-0.1438793,-0.4621618,1.420402,0.2142169,-0.4380308,1.385528,0.04406612,0.3780658,1.485951,-0.1787365,-0.460289,1.419739,0.1720334,-0.4096624,1.374993,0.04034911,-0.07820383,1.520552,0.03601013,-0.3833759,1.500869,-0.123308,0.08740481,1.509242,-0.03913953,-0.3755429,1.469762,-0.1648158,-0.1712321,1.507691,0.2506267,-0.1567201,1.495706,NA,NA,NotTracked,NotTracked,
0.9248047,-0.3754883,0.1054688,-0.9882813,-0.2573242,0.1010742,-1,-1,-2,-1,-2,-2,-2,-2,0,1,0,1,0,-1,-1,0,1.25,1.25,1.25,-0.375,-0.375,-0.375,2.902388,3.145753,0.7861142,3.219026,7.052383,5.280385,-0.1441151,-0.4620099,1.421036,0.2134754,-0.4420685,1.38555,0.0441798,0.3782285,1.485562,-0.1768061,-0.4714168,1.414633,0.1716672,-0.4066458,1.375064,0.04035749,-0.07815456,1.520216,0.03605962,-0.3833726,1.500554,-0.1230252,0.08753269,1.508574,-0.03909111,-0.3755111,1.469377,-0.1647414,-0.1710552,1.507402,0.2506377,-0.1567688,1.495399,NA,NA,NotTracked,NotTracked,
0.9194336,-0.3720703,0.1054688,-0.9882813,-0.2573242,0.1010742,-3,-1,-2,-1,-3,-2,0,1,0,1,0,1,0,-1,-1,0,0.9375,0.9375,0.9375,-0.375,-0.375,-0.375,2.903358,3.144216,0.7879748,3.219026,7.052383,5.280385,-0.1440434,-0.4612797,1.419817,0.2140235,-0.4399717,1.385093,0.04419421,0.3782492,1.48543,-0.1772373,-0.4543805,1.413378,0.1699047,-0.4223084,1.37365,0.04040814,-0.07811808,1.519808,0.03610193,-0.3833838,1.500253,-0.1228424,0.08761197,1.508216,-0.03906199,-0.3755023,1.469122,-0.1646778,-0.1708181,1.507052,0.2507059,-0.1567597,1.495023,NA,NA,NotTracked,NotTracked,
0.921875,-0.3745117,0.1113281,-0.9882813,-0.2573242,0.1010742,-2,-3,-1,-1,-2,-1,-1,-1,0,1,0,1,0,-1,-1,0,-0.8125,-0.8125,-0.8125,-0.375,-0.375,-0.375,2.904299,3.143917,0.7871403,3.219026,7.052383,5.280385,-0.1437989,-0.4615992,1.419682,0.2154724,-0.4377041,1.3848,0.04432478,0.3782785,1.485094,-0.179694,-0.4699406,1.421147,0.1729776,-0.4075662,1.373297,0.04050657,-0.07813776,1.51925,0.03615095,-0.3834444,1.499787,-0.1227671,0.08755454,1.507701,-0.03904063,-0.3755279,1.468588,-0.1645889,-0.1707441,1.50681,0.2507262,-0.1567505,1.494484,NA,NA,NotTracked,NotTracked,
0.9619141,-0.3212891,0.1289063,-0.9882813,-0.2573242,0.1010742,-2,-4,-9,-2,-2,-2,0,2,0,1,0,1,0,-1,-1,0,-2.5625,-2.5625,-2.5625,-0.375,-0.375,-0.375,2.911278,3.141404,0.7770383,3.219026,7.052383,5.280385,-0.143411,-0.4612902,1.418989,0.215787,-0.4377939,1.384826,0.04434561,0.3783619,1.484874,-0.1747587,-0.4665672,1.409667,0.1717614,-0.4121239,1.373904,0.04055103,-0.07805162,1.518677,0.03624305,-0.3833872,1.499402,-0.1225659,0.0875501,1.507198,-0.03893693,-0.3755149,1.468173,-0.1644455,-0.1706642,1.506277,0.250813,-0.1567603,1.494181,NA,NA,NotTracked,NotTracked,
0.9858398,-0.3686523,0.09570313,-0.9882813,-0.2573242,0.1010742,-6,0,6,-7,-6,2,-5,-17,0,1,0,1,0,-1,-1,0,-25.1875,-25.1875,-25.1875,-0.375,-0.375,-0.375,2.935699,3.155316,0.722645,3.219026,7.052383,5.280385,-0.1437332,-0.4616075,1.418431,0.2184454,-0.4359759,1.3808,0.04440525,0.378541,1.484485,-0.1793111,-0.4687801,1.4182,0.17408,-0.4113456,1.368181,0.04070137,-0.07799752,1.518157,0.03639205,-0.3834047,1.499034,-0.1225109,0.08757747,1.506855,-0.03879913,-0.3755265,1.467818,-0.1644441,-0.1700818,1.50587,0.2508487,-0.1568733,1.494217,NA,NA,NotTracked,NotTracked,
1.043457,-0.2958984,0.2890625,-0.9882813,-0.2573242,0.1010742,-2,-9,-46,-6,2,8,1,0,0,1,0,1,0,-1,-1,0,-101.25,-101.25,-101.25,-0.375,-0.375,-0.375,3.066933,3.231941,0.4415199,3.219026,7.052383,5.280385,-0.1440383,-0.4612242,1.419444,0.2299318,-0.4290103,1.372845,0.04444016,0.3786942,1.483837,-0.1814248,-0.4465182,1.425923,0.1824374,-0.4200046,1.363927,0.04107894,-0.07801123,1.517735,0.03685831,-0.3835402,1.4988,-0.1224609,0.08761629,1.506728,-0.03835946,-0.3756804,1.467548,-0.1643099,-0.1700481,1.505824,0.2514788,-0.1576382,1.4954,NA,NA,NotTracked,NotTracked,
