ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9624023,-0.1230469,0.21875,0.9448242,0.2836914,0.02685547,1,2,-1,0,-2,-1,0,-1,-1,-2,-3,-1,-2,0,-1,-1,13.5625,13.5625,13.5625,0.125,0.125,0.125,4.067349,2.874839,4.789035,7.336847,2.973266,2.745535,-0.1405964,-0.4531754,1.377079,0.2284258,-0.4210427,1.360243,0.03746995,0.3812794,1.444145,-0.08974125,-0.4391035,1.357177,0.2690587,-0.4323512,1.348382,0.04291742,-0.07895745,1.481553,0.04409896,-0.388449,1.46274,-0.1248881,0.08641919,1.463757,-0.03304607,-0.3819022,1.429759,-0.1709567,-0.1728997,1.467024,0.2642498,-0.150757,1.468518,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,0.9487305,0.2875977,0.02929688,1,2,-1,0,-2,-1,0,-1,0,-2,-3,-1,-1,-2,-5,-2,13.5625,13.5625,13.5625,0.625,0.625,0.625,4.067349,2.874839,4.789035,7.336801,2.973185,2.74572,-0.1384729,-0.4675025,1.372914,0.2251029,-0.4278753,1.358513,0.03743334,0.3812807,1.444122,-0.08961625,-0.4369701,1.356782,0.2709946,-0.4401628,1.348248,0.04278359,-0.07896537,1.481318,0.04401246,-0.3884822,1.462487,-0.1250238,0.08645364,1.463539,-0.03313826,-0.3819305,1.429503,-0.1713485,-0.1726728,1.466603,0.2641069,-0.1507364,1.468304,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,0.9482422,0.2895508,0.01953125,1,2,-1,0,-2,-1,0,-1,-3,-1,-3,-2,-4,-1,-2,0,13.5625,13.5625,13.5625,0.125,0.125,0.125,4.067349,2.874839,4.789035,7.337494,2.97311,2.744887,-0.1386177,-0.4667319,1.374728,0.228067,-0.4205173,1.360455,0.03736546,0.3813163,1.444087,-0.09058396,-0.4408473,1.357308,0.2717093,-0.4318352,1.352175,0.04270006,-0.07898261,1.481185,0.04396687,-0.3885285,1.462354,-0.1252158,0.08632655,1.463342,-0.03320026,-0.381953,1.42926,-0.1715631,-0.1730008,1.466382,0.2640412,-0.1506262,1.468114,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,0.9501953,0.2841797,0.02197266,1,2,-1,0,-2,-1,0,-1,-2,-1,-1,-1,0,0,-1,0,13.5625,13.5625,13.5625,-0.3125,-0.3125,-0.3125,4.067349,2.874839,4.789035,7.338406,2.972638,2.743975,-0.138676,-0.467571,1.373933,0.2288196,-0.4215892,1.359246,0.03722494,0.3813593,1.444075,-0.08885095,-0.4380742,1.350454,0.2713394,-0.4345254,1.351422,0.04252136,-0.07898314,1.480998,0.04380769,-0.3885867,1.462069,-0.1253842,0.08620612,1.463116,-0.03333269,-0.381983,1.428957,-0.171652,-0.1729658,1.466298,0.2638747,-0.1506381,1.467951,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,0.9511719,0.2890625,0.01953125,1,2,-1,0,-2,-1,0,-1,0,-2,-2,-2,-1,-2,-1,-2,13.5625,13.5625,13.5625,0.3125,0.3125,0.3125,4.067349,2.874839,4.789035,7.338398,2.973093,2.743984,-0.1386508,-0.4668335,1.374413,0.2284685,-0.4212161,1.360502,0.03707366,0.3813699,1.444156,-0.09030023,-0.4403599,1.356578,0.2703405,-0.4369955,1.349277,0.04240441,-0.07897293,1.480943,0.04369968,-0.3885962,1.462008,-0.125555,0.08612828,1.463028,-0.03345864,-0.3819748,1.428902,-0.1716519,-0.1729682,1.46628,0.2637672,-0.1506387,1.46792,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,0.9511719,0.2817383,0.02148438,1,2,-1,0,-2,-1,0,-1,-1,-2,-1,-1,0,0,-2,-3,13.5625,13.5625,13.5625,1.25,1.25,1.25,4.067349,2.874839,4.789035,7.339543,2.97241,2.74367,-0.1402516,-0.4532905,1.37929,0.2286074,-0.4213447,1.360155,0.0369015,0.3813275,1.444132,-0.08936241,-0.4439948,1.354945,0.2708239,-0.435555,1.350232,0.04222054,-0.07901675,1.480953,0.04354317,-0.3886579,1.461943,-0.1256146,0.08608276,1.462978,-0.03362012,-0.3820347,1.428831,-0.1717366,-0.1730308,1.466223,0.2637549,-0.1505848,1.467917,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,0.9482422,0.3071289,0.01660156,1,2,-1,0,-2,-1,0,-1,-1,-2,-1,-2,-2,-3,-1,-3,13.5625,13.5625,13.5625,1.875,1.875,1.875,4.067349,2.874839,4.789035,7.350208,2.971539,2.741616,-0.140666,-0.4536702,1.379076,0.228193,-0.4215835,1.360252,0.03652006,0.3813757,1.444181,-0.08795034,-0.4459031,1.349545,0.2697834,-0.4370824,1.347557,0.04204348,-0.07902752,1.480905,0.0434264,-0.3886974,1.461875,-0.1257234,0.08599889,1.463,-0.03372584,-0.3820947,1.428789,-0.1718306,-0.1730004,1.466302,0.2637688,-0.1505358,1.46794,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,1.069336,0.3525391,-0.03808594,1,2,-1,0,-2,-1,0,-1,2,3,-3,4,2,2,1,-1,13.5625,13.5625,13.5625,-7.25,-7.25,-7.25,4.067349,2.874839,4.789035,7.31909,2.983566,2.764585,-0.1411068,-0.4538676,1.379091,0.2231023,-0.4129108,1.353164,0.0362048,0.3812903,1.444173,-0.08914268,-0.4397512,1.355481,0.2580942,-0.4301566,1.328619,0.04189041,-0.07901993,1.480838,0.04322934,-0.3886959,1.4618,-0.1259071,0.08590776,1.463101,-0.03395262,-0.3820913,1.428721,-0.1718929,-0.1728292,1.466511,0.2645934,-0.1499184,1.468055,NA,NA,NotTracked,NotTracked,
0.9624023,-0.1230469,0.21875,1.250977,0.6186523,0.1938477,1,2,-1,0,-2,-1,0,-1,0,0,21,0,2,10,2,1,13.5625,13.5625,13.5625,7.0625,7.0625,7.0625,4.067349,2.874839,4.789035,6.994896,3.184317,3.10256,-0.1386873,-0.4663185,1.376462,0.2099053,-0.3803561,1.334179,0.03585941,0.381239,1.443756,-0.08951828,-0.4386658,1.355132,0.2389056,-0.3873127,1.298973,0.04136103,-0.07897498,1.48069,0.04135475,-0.3882241,1.461464,-0.1261441,0.08592059,1.463282,-0.03596044,-0.3814466,1.428429,-0.1720309,-0.1724653,1.466573,0.2708148,-0.1460025,1.469437,NA,NA,NotTracked,Unknown,
0.9624023,-0.1230469,0.21875,1.097656,0.8217773,0.3085938,1,2,-1,0,-2,-1,0,-1,0,-1,-8,60,9,-6,-1,1,13.5625,13.5625,13.5625,32.375,32.375,32.375,4.067349,2.874839,4.789035,6.831069,3.477245,3.335754,-0.1390063,-0.4673504,1.377901,0.1595711,-0.3310751,1.317533,0.03571589,0.3808798,1.443115,-0.08996415,-0.4392785,1.35578,0.1583655,-0.3076585,1.25425,0.03980316,-0.07877179,1.480613,0.0360107,-0.3871933,1.461496,-0.1262368,0.0858989,1.463287,-0.04150067,-0.3795445,1.42815,-0.1723385,-0.1715137,1.466814,0.2930142,-0.1107055,1.475048,NA,NA,NotTracked,Unknown,
