ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9238281,-0.2167969,0.2875977,0.918457,0.359375,0.1157227,-1,0,-1,-4,-1,-1,-2,-1,-1,-3,-1,0,-1,1,-1,0,0,0,0,-1.0625,-1.0625,-1.0625,3.984284,3.103566,6.146688,6.975101,3.117189,2.991158,-0.1418039,-0.4268337,1.417348,0.2358767,-0.4019282,1.40409,0.03875674,0.3575028,1.489738,-0.1018118,-0.404799,1.397907,0.1951725,-0.3665094,1.380963,0.04436073,-0.06517421,1.510639,0.04472303,-0.3608978,1.488909,-0.1228057,0.0945685,1.499876,-0.02690125,-0.3545057,1.458345,-0.1733919,-0.1541575,1.50851,0.2634109,-0.1362701,1.504888,NA,NA,NotTracked,NotTracked,
0.9223633,-0.2128906,0.2988281,0.918457,0.3540039,0.1171875,-3,-1,0,0,2,1,-2,-2,-2,0,1,3,0,-7,-1,-2,0,0,0,0.0625,0.0625,0.0625,3.984284,3.103566,6.146688,6.975737,3.117145,2.990523,-0.1415377,-0.4277504,1.416979,0.2354951,-0.4013589,1.404381,0.03875727,0.3574678,1.489932,-0.09821133,-0.4374032,1.391445,0.1943996,-0.3777115,1.382182,0.04432847,-0.06517709,1.510762,0.04471414,-0.3608865,1.488971,-0.1227821,0.09466329,1.499805,-0.02693523,-0.3545091,1.458465,-0.1734242,-0.1540272,1.508551,0.2634482,-0.1362801,1.504885,NA,NA,NotTracked,NotTracked,
0.925293,-0.2138672,0.2915039,0.921875,0.3549805,0.1206055,-1,0,-2,-1,0,-1,0,-1,0,0,-2,-1,-2,0,0,0,-0.625,-0.625,-0.625,0.625,0.625,0.625,3.984903,3.103478,6.146063,6.97486,3.117119,2.99126,-0.1422357,-0.4282806,1.416898,0.236035,-0.4015754,1.405066,0.03877728,0.3575199,1.49007,-0.0991621,-0.4182338,1.393324,0.1935378,-0.400234,1.38255,0.04434036,-0.0651741,1.510792,0.04466715,-0.3608993,1.488985,-0.1227977,0.0946268,1.499861,-0.02696806,-0.3545144,1.458474,-0.1734095,-0.1540297,1.508524,0.2633754,-0.1363368,1.504931,NA,NA,NotTracked,NotTracked,
0.9208984,-0.21875,0.2949219,0.921875,0.3544922,0.1166992,3,-3,-3,-1,-3,0,1,3,-1,-2,0,-1,-1,0,-1,-1,0,0,0,-0.5625,-0.5625,-0.5625,3.984903,3.103478,6.146063,6.975495,3.117075,2.990625,-0.1411457,-0.4278414,1.417704,0.2357499,-0.4021147,1.405683,0.03879583,0.3575484,1.490098,-0.1021133,-0.3907014,1.393367,0.1916652,-0.4011947,1.383546,0.04435396,-0.06513332,1.510833,0.04467399,-0.3608528,1.48902,-0.122815,0.0946626,1.499874,-0.02695329,-0.354478,1.458522,-0.1734303,-0.1540219,1.50857,0.2633568,-0.1363509,1.504976,NA,NA,NotTracked,NotTracked,
0.9238281,-0.2143555,0.2978516,0.9189453,0.3540039,0.1235352,-1,-2,-1,0,0,-1,0,-1,-2,-2,-1,1,0,-1,-3,-3,-0.3125,-0.3125,-0.3125,-0.5625,-0.5625,-0.5625,3.985274,3.10342,6.14583,6.975495,3.117075,2.990625,-0.1511862,-0.4002293,1.427698,0.2358566,-0.3989512,1.406414,0.03879671,0.357482,1.490166,-0.1113366,-0.3860397,1.406766,0.1949936,-0.3794156,1.386619,0.04435289,-0.06514846,1.510878,0.04460528,-0.3608543,1.489059,-0.122856,0.09467123,1.499919,-0.02702521,-0.3544747,1.458538,-0.1734256,-0.1540852,1.50864,0.2633427,-0.136325,1.505071,NA,NA,NotTracked,NotTracked,
0.9223633,-0.2128906,0.2910156,0.9189453,0.3569336,0.121582,0,-3,-3,-1,0,-1,-1,0,0,-1,-2,-1,0,1,0,-2,-0.5625,-0.5625,-0.5625,-0.625,-0.625,-0.625,3.985523,3.103391,6.145438,6.975387,3.117012,2.990873,-0.1420847,-0.4275824,1.418644,0.2364758,-0.3988378,1.40657,0.0387821,0.3575153,1.490152,-0.1042315,-0.3939797,1.399346,0.1952407,-0.3737632,1.384252,0.04431786,-0.06515234,1.510889,0.04456796,-0.3608739,1.489108,-0.1229086,0.09463433,1.499959,-0.02705966,-0.354495,1.458552,-0.1734725,-0.154105,1.508668,0.2633204,-0.1364003,1.505078,NA,NA,NotTracked,NotTracked,
0.9243164,-0.2094727,0.293457,0.9272461,0.3564453,0.1186523,0,-2,-2,-1,-2,-3,-3,-1,0,1,-1,-1,1,-1,-1,-2,0.125,0.125,0.125,0.3125,0.3125,0.3125,3.985894,3.103332,6.145205,6.976043,3.116634,2.990216,-0.1422679,-0.4236535,1.417814,0.2355932,-0.3975449,1.404392,0.03876084,0.3575017,1.490159,-0.1011588,-0.4015308,1.396208,0.195838,-0.3577905,1.3856,0.04427211,-0.06514439,1.510902,0.0445573,-0.360846,1.4891,-0.1229573,0.0946401,1.499979,-0.0270755,-0.354476,1.458544,-0.1734527,-0.1540691,1.508614,0.2633028,-0.1364021,1.505062,NA,NA,NotTracked,NotTracked,
0.921875,-0.2148438,0.2885742,0.9106445,0.3442383,0.1044922,1,-1,-2,-1,-1,-2,-2,0,-2,-1,-1,0,0,-2,-1,0,0.125,0.125,0.125,-1.625,-1.625,-1.625,3.985894,3.103332,6.145205,6.975708,3.117063,2.989151,-0.1422234,-0.4275602,1.417472,0.2356273,-0.3981186,1.405771,0.0387173,0.3574979,1.490161,-0.1003386,-0.4261206,1.39525,0.191726,-0.4034051,1.384833,0.04426225,-0.06516159,1.510898,0.04457178,-0.3608712,1.489109,-0.1229548,0.09462002,1.499953,-0.02706365,-0.3545153,1.458542,-0.1734387,-0.1540575,1.508607,0.2632411,-0.1363093,1.505052,NA,NA,NotTracked,NotTracked,
0.9277344,-0.2109375,0.2924805,0.918457,0.3544922,0.1171875,-2,-1,1,1,0,-2,0,1,-2,-2,1,-2,1,0,-1,-1,0,0,0,-1.5625,-1.5625,-1.5625,3.986143,3.103303,6.144812,6.975552,3.117109,2.988607,-0.1418349,-0.4282028,1.417802,0.2359333,-0.4021287,1.404652,0.03868079,0.3575965,1.490121,-0.1021645,-0.3964454,1.397813,0.192194,-0.4020916,1.380158,0.04425766,-0.06514532,1.510874,0.04455719,-0.3608712,1.489126,-0.1229973,0.09458558,1.499944,-0.02708146,-0.3545213,1.458563,-0.1734964,-0.1540961,1.508629,0.2631733,-0.1361136,1.5051,NA,NA,NotTracked,NotTracked,
0.9331055,-0.215332,0.2993164,0.9199219,0.3657227,0.1098633,-3,-1,0,-1,-2,-1,-4,-3,-2,1,-2,-4,2,-2,0,-1,-0.1875,-0.1875,-0.1875,-1.0625,-1.0625,-1.0625,3.986514,3.103244,6.144579,6.974381,3.118904,2.987395,-0.1428951,-0.4275411,1.416372,0.2356367,-0.4017166,1.403026,0.03864064,0.3575799,1.490128,-0.104755,-0.3727952,1.390182,0.1973974,-0.3617196,1.380028,0.04423034,-0.0651563,1.510842,0.04455023,-0.3608734,1.489069,-0.1230229,0.0946072,1.499885,-0.0270703,-0.3545339,1.458547,-0.173505,-0.154183,1.508597,0.2631813,-0.1361102,1.505,NA,NA,NotTracked,NotTracked,
