ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9287109,0.3300781,-0.05175781,0.5566406,-0.3696289,0.7719727,-2,-2,1,1,1,1,-2,-1,-2,-1,-7,-3,-2,0,0,-1,-3.8125,-3.8125,-3.8125,-0.4375,-0.4375,-0.4375,7.73945,3.048084,2.054178,4.275037,4.040495,4.84496,0.01408514,-0.2947661,1.339481,0.2274178,-0.3996024,1.381236,0.03173308,0.3756005,1.467125,0.05875447,-0.269944,1.297948,0.259128,-0.4144431,1.378486,0.04044279,-0.06326901,1.493125,0.05634156,-0.3557383,1.468087,-0.1212072,0.09917191,1.439924,-0.01630959,-0.3499866,1.423411,-0.152049,-0.1103795,1.379504,0.2444413,-0.1307871,1.487801,NA,NA,Unknown,Unknown,
0.9331055,0.3286133,-0.05078125,0.5629883,-0.3720703,0.7646484,-2,-4,0,2,3,-2,-2,-1,-2,-6,-16,-4,-3,-2,-3,-1,-1.75,-1.75,-1.75,-1.5625,-1.5625,-1.5625,7.736834,3.047546,2.050797,4.274935,4.040555,4.841838,0.01342632,-0.2950779,1.34035,0.2276965,-0.4004521,1.382318,0.03154726,0.3756349,1.467451,0.05694172,-0.274118,1.298901,0.2568013,-0.4348664,1.372579,0.04038765,-0.06324086,1.493421,0.05626999,-0.355729,1.468283,-0.1213544,0.09922596,1.44014,-0.01638,-0.3499671,1.423579,-0.1519561,-0.1103311,1.379561,0.2443244,-0.1309992,1.488263,NA,NA,Unknown,Unknown,
0.9291992,0.3354492,-0.05517578,0.5625,-0.3710938,0.7695313,1,-2,0,0,7,4,-1,0,0,2,8,-2,0,-2,1,0,-1.625,-1.625,-1.625,0.5,0.5,0.5,7.738317,3.048752,2.046499,4.278307,4.039713,4.836797,0.01171859,-0.2959934,1.340682,0.2272522,-0.400006,1.381489,0.03139758,0.3756815,1.467728,0.05703662,-0.2776951,1.299503,0.2584448,-0.4215837,1.37737,0.04024918,-0.06316608,1.493647,0.05616892,-0.3556954,1.468407,-0.1215032,0.09931906,1.440301,-0.01646997,-0.3499137,1.42368,-0.1520152,-0.1102772,1.379562,0.2441953,-0.1309761,1.488708,NA,NA,Unknown,Unknown,
0.9287109,0.3427734,-0.0546875,0.5673828,-0.3657227,0.7734375,-1,-2,-3,-2,5,5,-1,-2,-2,-4,-2,-3,-2,-2,-1,0,-0.75,-0.75,-0.75,0.25,0.25,0.25,7.73729,3.049395,2.047101,4.280308,4.039633,4.835226,0.01321508,-0.2958097,1.341223,0.2272804,-0.4002658,1.383072,0.03126249,0.3755894,1.467849,0.06589862,-0.2847335,1.298913,0.2594618,-0.4248745,1.383,0.04016119,-0.06316285,1.493839,0.05611765,-0.3556643,1.468621,-0.1215964,0.09934618,1.440354,-0.01649736,-0.3498926,1.423872,-0.1520722,-0.1102816,1.379614,0.2440646,-0.1309339,1.489121,NA,NA,Unknown,NotTracked,
0.9316406,0.3486328,-0.04785156,0.5698242,-0.3745117,0.7675781,-1,0,-2,0,1,1,-1,0,0,0,0,-3,-2,-4,-2,-1,0.5625,0.5625,0.5625,1.0625,1.0625,1.0625,7.737191,3.049572,2.047067,4.281194,4.039356,4.837104,0.01313253,-0.2945913,1.340754,0.2270104,-0.4000713,1.382797,0.03114628,0.3756469,1.467921,0.05452248,-0.263739,1.300238,0.2596185,-0.4152104,1.387,0.04009342,-0.06309114,1.493999,0.05609889,-0.3555762,1.468794,-0.1217505,0.09941156,1.440449,-0.01651125,-0.3498017,1.424031,-0.1520879,-0.1102884,1.379648,0.2438734,-0.1307515,1.489516,NA,NA,Unknown,NotTracked,
0.9257813,0.3417969,-0.05712891,0.5678711,-0.3735352,0.762207,-1,3,3,1,-2,2,-1,-2,0,-2,2,-2,0,-1,0,-1,1.4375,1.4375,1.4375,0.6875,0.6875,0.6875,7.739033,3.051958,2.046572,4.280832,4.039188,4.838298,0.01391131,-0.2946354,1.340768,0.2272133,-0.3999108,1.382357,0.03096247,0.3756182,1.468009,0.05739579,-0.271515,1.298835,0.257526,-0.4391542,1.376111,0.04001274,-0.0630436,1.494104,0.05604716,-0.3555337,1.468877,-0.1220085,0.09944615,1.440503,-0.01656907,-0.3497841,1.424127,-0.1521395,-0.1103203,1.379631,0.2436766,-0.1306663,1.489735,NA,NA,Unknown,NotTracked,
0.9575195,0.3632813,-0.08837891,0.5585938,-0.3745117,0.7709961,-1,-3,1,-12,3,4,-1,-1,-1,-1,-9,0,0,-1,-2,-1,-5.5,-5.5,-5.5,-2.625,-2.625,-2.625,7.710237,3.049577,2.07402,4.278058,4.040393,4.844716,0.0126753,-0.2952113,1.340258,0.2270307,-0.3991492,1.380398,0.0305425,0.375621,1.468314,0.05865441,-0.2742633,1.297508,0.259056,-0.4449356,1.373625,0.03987935,-0.06298852,1.494235,0.05595489,-0.355461,1.468911,-0.122178,0.09950238,1.440621,-0.01666779,-0.3497216,1.424151,-0.1523145,-0.1102851,1.37968,0.2434897,-0.1305219,1.48993,NA,NA,Unknown,NotTracked,
1.071289,0.7670898,0.001464844,0.5703125,-0.375,0.7783203,2,7,4,1,2,3,0,1,2,4,30,5,0,0,1,1,-15.0625,-15.0625,-15.0625,-7.5625,-7.5625,-7.5625,7.477047,3.156799,2.328306,4.26527,4.03927,4.848833,0.01400393,-0.2941611,1.33978,0.224492,-0.3956818,1.37426,0.03019441,0.3756258,1.468634,0.05614074,-0.2689996,1.299154,0.2575806,-0.3704576,1.376377,0.03969986,-0.06295349,1.49443,0.05546846,-0.355427,1.469023,-0.1223543,0.09949336,1.440717,-0.01713992,-0.3496543,1.424247,-0.1523641,-0.1103017,1.379499,0.2435675,-0.1305444,1.489907,NA,NA,Unknown,Unknown,
0.9824219,0.7382813,0.2192383,0.5429688,-0.3813477,0.7626953,5,21,-5,-16,-9,-4,-2,-5,-1,1,0,-2,-2,-2,0,-1,6.875,6.875,6.875,-5.75,-5.75,-5.75,7.210287,3.333419,2.604432,4.252621,4.041728,4.846423,0.01299729,-0.2950476,1.341677,0.2125609,-0.3805861,1.350706,0.02986683,0.3756162,1.469339,0.05689506,-0.271919,1.299131,0.2376252,-0.3536395,1.336923,0.03911423,-0.06296159,1.494607,0.05396733,-0.3553166,1.468898,-0.1224734,0.09945682,1.440776,-0.01887796,-0.3494216,1.424121,-0.1525814,-0.1102267,1.379441,0.2449262,-0.1278275,1.488852,NA,NA,Unknown,Unknown,
0.9672852,0.9111328,0.409668,0.5488281,-0.3730469,0.7880859,-4,-9,-9,-8,-8,-2,-4,-3,-2,-3,24,2,2,-1,1,1,28.375,28.375,28.375,-3.5625,-3.5625,-3.5625,7.070822,3.622258,2.824203,4.254649,4.041279,4.833902,0.01317284,-0.2952471,1.341756,0.1823921,-0.3471099,1.300621,0.02985107,0.3756027,1.469827,0.06025779,-0.2740072,1.299726,0.2173065,-0.3171082,1.28437,0.03718159,-0.0626323,1.494735,0.04827495,-0.3545016,1.467883,-0.1225834,0.09953468,1.440883,-0.02546347,-0.3476824,1.422825,-0.1528351,-0.1099478,1.37964,0.2485399,-0.1204901,1.483826,NA,NA,NotTracked,Unknown,
