ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9506836,0.2802734,-0.04589844,0.953125,-0.1269531,0.2348633,-2,0,-1,-1,-5,-2,-2,-1,1,0,3,-1,-2,0,-1,-1,0.5,0.5,0.5,-0.125,-0.125,-0.125,7.758947,2.962259,1.605296,4.136172,2.897069,4.767181,-0.1484891,-0.4416565,1.324656,0.2176145,-0.419604,1.30682,0.02967247,0.3800057,1.38,-0.1067099,-0.4233012,1.304021,0.2527303,-0.4237854,1.304,0.03093723,-0.06346817,1.417778,0.03428367,-0.3593337,1.399645,-0.1371111,0.09421113,1.395686,-0.03989879,-0.3530013,1.365707,-0.1856709,-0.1555568,1.40302,0.2427888,-0.1403712,1.407735,NA,NA,NotTracked,NotTracked,
0.9482422,0.2797852,-0.03955078,0.9516602,-0.1298828,0.2246094,-1,0,-1,-2,-8,-1,-1,-1,-2,-1,-2,-2,2,0,1,-1,1.4375,1.4375,1.4375,-0.75,-0.75,-0.75,7.759308,2.962558,1.606499,4.13101,2.896828,4.771522,-0.1488046,-0.4417628,1.32404,0.2175517,-0.4196272,1.305879,0.02971729,0.379986,1.380113,-0.1026705,-0.4475437,1.298857,0.253607,-0.4216128,1.306902,0.03090566,-0.06346634,1.41783,0.03428223,-0.3593028,1.399682,-0.1371409,0.0942379,1.395771,-0.03989781,-0.3529835,1.365746,-0.1856244,-0.1553644,1.403006,0.2427472,-0.1403624,1.407846,NA,NA,NotTracked,NotTracked,
0.9536133,0.2724609,-0.04833984,0.9501953,-0.1279297,0.2314453,-2,-2,-4,-3,-3,0,1,-1,0,1,-6,-2,-4,-3,-1,-2,0.4375,0.4375,0.4375,-0.125,-0.125,-0.125,7.762918,2.962382,1.605583,4.129285,2.896425,4.772645,-0.1487582,-0.4411188,1.32438,0.2176144,-0.4196982,1.305813,0.02972946,0.3799765,1.380104,-0.1073246,-0.4140576,1.307694,0.2537409,-0.4186126,1.307546,0.03090391,-0.06344575,1.417835,0.03427444,-0.3592612,1.39969,-0.1371146,0.09433962,1.395849,-0.03990916,-0.3529544,1.365761,-0.1857104,-0.155212,1.403012,0.2427113,-0.1403419,1.407875,NA,NA,NotTracked,NotTracked,
0.9550781,0.2797852,-0.03759766,0.9492188,-0.1289063,0.2260742,-2,-3,0,-2,-1,-2,-1,-2,-1,0,-3,-2,-4,-3,-2,-1,0.4375,0.4375,0.4375,-0.0625,-0.0625,-0.0625,7.761982,2.962333,1.606511,4.12765,2.896304,4.774852,-0.1488832,-0.4414718,1.324215,0.2173302,-0.4191971,1.306604,0.02973512,0.3799883,1.380116,-0.1095043,-0.3976417,1.301,0.252084,-0.4217873,1.303035,0.03087932,-0.06343713,1.417881,0.03423985,-0.359255,1.3997,-0.1371095,0.09430111,1.395806,-0.03994552,-0.3529468,1.365752,-0.1856682,-0.1552456,1.402994,0.2427083,-0.1403476,1.407919,NA,NA,NotTracked,NotTracked,
0.9511719,0.2749023,-0.04638672,0.9511719,-0.1279297,0.2348633,-1,-1,-3,-1,-3,-2,-1,-1,-1,-1,1,-2,-2,0,-2,0,-0.625,-0.625,-0.625,0.8125,0.8125,0.8125,7.761171,2.962615,1.607095,4.128202,2.896562,4.775713,-0.1484229,-0.4410434,1.323602,0.2175748,-0.4197869,1.30569,0.02976214,0.3799563,1.380135,-0.103201,-0.4463905,1.299143,0.2537608,-0.4198365,1.308382,0.03086559,-0.06343828,1.41788,0.03425141,-0.359246,1.399697,-0.1370884,0.0943179,1.395835,-0.039942,-0.3529442,1.365745,-0.1856377,-0.1552689,1.402997,0.2426829,-0.1404011,1.407915,NA,NA,NotTracked,NotTracked,
0.9511719,0.2768555,-0.04296875,0.9467773,-0.1274414,0.2314453,-2,-1,-1,-2,-1,0,-1,-1,-3,-3,-3,-2,-1,0,0,-1,-1.375,-1.375,-1.375,-0.9375,-0.9375,-0.9375,7.760677,2.962479,1.606155,4.131964,2.89602,4.771441,-0.1483742,-0.4407323,1.323089,0.2171116,-0.4192321,1.306088,0.02980921,0.3798842,1.380117,-0.1051597,-0.4284429,1.301353,0.2522599,-0.4283851,1.303032,0.03085989,-0.06345019,1.417874,0.03422327,-0.359244,1.399678,-0.1370855,0.09427053,1.395787,-0.03996226,-0.352936,1.365702,-0.1856331,-0.1552969,1.402978,0.2426453,-0.1403971,1.407937,NA,NA,NotTracked,NotTracked,
0.949707,0.2817383,-0.04589844,0.9516602,-0.1308594,0.2319336,0,-1,-3,-3,0,0,-1,1,-1,-1,0,-1,-1,0,-1,-1,-0.625,-0.625,-0.625,-1.5,-1.5,-1.5,7.760157,2.962124,1.604883,4.132574,2.895587,4.768171,-0.1488681,-0.4415433,1.324121,0.2172159,-0.4194556,1.305612,0.02981302,0.3798617,1.380093,-0.1043781,-0.4357677,1.300527,0.2538987,-0.4154632,1.307891,0.03086801,-0.06343529,1.417863,0.03425214,-0.3592105,1.399652,-0.1371098,0.09426899,1.395803,-0.03993047,-0.3529116,1.365657,-0.1856063,-0.1553215,1.402928,0.2425975,-0.1404078,1.407981,NA,NA,NotTracked,NotTracked,
0.9711914,0.2822266,-0.06542969,0.953125,-0.128418,0.2363281,0,-3,-1,1,6,1,-2,-1,-1,-4,-2,-2,-1,1,-1,-3,-3.125,-3.125,-3.125,0,0,0,7.753501,2.963407,1.609661,4.133749,2.895942,4.765926,-0.1486218,-0.4412022,1.324301,0.2172589,-0.4194539,1.306556,0.02982101,0.3798627,1.380084,-0.1049819,-0.4280169,1.300567,0.2557949,-0.4176536,1.316091,0.03086526,-0.06343289,1.417855,0.03427637,-0.35918,1.399626,-0.1371422,0.09425057,1.395834,-0.03988937,-0.3528857,1.36561,-0.1856079,-0.1553037,1.40289,0.2425388,-0.1403734,1.408055,NA,NA,NotTracked,NotTracked,
1.032715,0.3540039,-0.09912109,0.9575195,-0.1289063,0.2275391,-1,3,-1,0,0,0,-2,-1,0,-2,-2,1,-1,0,-2,1,-38.75,-38.75,-38.75,1.1875,1.1875,1.1875,7.64149,2.986242,1.686462,4.133766,2.895842,4.768172,-0.1486713,-0.4411263,1.323939,0.2174522,-0.4194498,1.305175,0.02984588,0.3798692,1.380084,-0.1063329,-0.4139964,1.301433,0.2532493,-0.4251402,1.306407,0.03080035,-0.06344825,1.417822,0.03422631,-0.3591844,1.399604,-0.1371426,0.0942505,1.395827,-0.03993041,-0.3528824,1.365587,-0.1856299,-0.1553016,1.402858,0.2425053,-0.1403386,1.4082,NA,NA,NotTracked,NotTracked,
1.084473,0.6616211,-0.01513672,0.9575195,-0.1352539,0.2236328,6,-4,-14,-9,6,4,4,12,-2,-2,4,-1,-1,0,0,0,-67.8125,-67.8125,-67.8125,2.6875,2.6875,2.6875,7.392694,3.076241,1.861424,4.120789,2.896845,4.785273,-0.1487638,-0.4415664,1.322858,0.2139592,-0.4142944,1.295201,0.02987311,0.3798207,1.380078,-0.1062054,-0.4188551,1.301687,0.2508484,-0.4133867,1.29755,0.03076983,-0.06346691,1.417768,0.03412069,-0.3591643,1.399559,-0.1371201,0.09423596,1.395797,-0.04005052,-0.3528458,1.36552,-0.1856635,-0.1552291,1.402715,0.2427517,-0.1402255,1.408641,NA,NA,NotTracked,NotTracked,
