ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9121094,-0.3774414,0.04150391,-0.4570313,0.7670898,0.4042969,0,-2,1,0,-1,-1,-1,-1,5,-7,-5,-2,0,-3,-2,-1,-3.4375,-3.4375,-3.4375,-0.0625,-0.0625,-0.0625,2.522543,3.090642,7.419167,6.74312,5.75445,7.603693,-0.08474406,-0.4618051,1.175096,0.106311,0.02835989,1.130135,0.1328143,0.3726462,1.255126,-0.1268944,-0.4714702,1.168674,0.05413203,0.001309036,1.11287,0.1127673,-0.1011099,1.280661,0.1208546,-0.4268392,1.27321,-0.05117952,0.07850054,1.248088,0.0376644,-0.4166616,1.237427,-0.1111924,-0.1768754,1.257073,0.3220715,-0.1856874,1.255599,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.4150391,0.7563477,0.3725586,0,-2,1,0,-1,-1,-1,-1,-22,-9,-4,-1,-1,2,0,0,-3.4375,-3.4375,-3.4375,-1.75,-1.75,-1.75,2.522543,3.090642,7.419167,6.729283,5.739996,7.572067,-0.08515317,-0.4614056,1.176448,0.1053397,0.02767326,1.129443,0.1328431,0.3726971,1.255366,-0.1263569,-0.4651586,1.170682,0.06177705,0.001587264,1.104946,0.1127925,-0.1011322,1.280785,0.1208967,-0.4268596,1.273392,-0.05114555,0.07858554,1.24837,0.03769146,-0.4166644,1.237568,-0.1111925,-0.1768748,1.257073,0.3220672,-0.1856788,1.255605,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.3427734,0.753418,0.4106445,0,-2,1,0,-1,-1,-1,-1,-8,5,5,1,0,0,-2,-4,-3.4375,-3.4375,-3.4375,-8.4375,-8.4375,-8.4375,2.522543,3.090642,7.419167,6.709082,5.704284,7.541942,-0.08606508,-0.4609493,1.175862,0.1045462,0.02433071,1.127594,0.1328798,0.3727049,1.255469,-0.1256032,-0.4559807,1.169038,0.06539261,-0.007998236,1.102675,0.1127823,-0.1011166,1.280862,0.120919,-0.4268272,1.273574,-0.05118351,0.07861015,1.248493,0.03771191,-0.4166328,1.237766,-0.1111685,-0.1768948,1.257097,0.3220793,-0.1856841,1.255612,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.3486328,0.7905273,0.4477539,0,-2,1,0,-1,-1,-1,-1,0,-2,2,-1,-2,-2,-2,-1,-3.4375,-3.4375,-3.4375,-6.5,-6.5,-6.5,2.522543,3.090642,7.419167,6.686036,5.655824,7.508095,-0.0853387,-0.4623623,1.176613,0.1027752,0.02311769,1.124668,0.1328655,0.3726631,1.255507,-0.1259658,-0.4601223,1.171715,0.06909435,-0.003471992,1.0842,0.1127637,-0.101084,1.280937,0.1208404,-0.4267401,1.273754,-0.05130875,0.07863642,1.248733,0.03764224,-0.4165291,1.238018,-0.1111901,-0.1768012,1.257192,0.32209,-0.1855861,1.255745,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.3427734,0.7646484,0.4155273,0,-2,1,0,-1,-1,-1,-1,0,-2,2,-1,-2,-2,-2,-1,-3.4375,-3.4375,-3.4375,-7.875,-7.875,-7.875,2.522543,3.090642,7.419167,6.664451,5.593992,7.470665,-0.08527172,-0.4622013,1.176595,0.09927538,0.02085746,1.12121,0.1328419,0.3726511,1.255538,-0.1258809,-0.4614263,1.171458,0.06517214,-0.009628876,1.07985,0.1127767,-0.1010458,1.280981,0.1208036,-0.426507,1.273961,-0.05169534,0.07865873,1.249234,0.03763162,-0.4163424,1.238173,-0.1111632,-0.1766901,1.257367,0.322086,-0.18549,1.255867,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.2919922,0.7612305,0.421875,0,-2,1,0,-1,-1,-1,-1,-2,-3,-1,-2,0,0,0,0,-3.4375,-3.4375,-3.4375,-8.25,-8.25,-8.25,2.522543,3.090642,7.419167,6.640574,5.512531,7.422391,-0.08562733,-0.4624479,1.178065,0.09181696,0.0003194613,1.108862,0.1327183,0.3726045,1.255601,-0.1290156,-0.4661675,1.173739,0.0817236,-0.03972454,1.060241,0.112698,-0.1009442,1.281187,0.1206905,-0.4261085,1.274574,-0.05500272,0.07924291,1.250544,0.03761468,-0.4160019,1.238624,-0.1111912,-0.1766097,1.25773,0.3231953,-0.1871147,1.258725,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.25,0.7871094,0.46875,0,-2,1,0,-1,-1,-1,-1,-2,-3,0,-1,0,-2,-1,-2,-3.4375,-3.4375,-3.4375,-1.6875,-1.6875,-1.6875,2.522543,3.090642,7.419167,6.610119,5.358486,7.330267,-0.0860124,-0.4622937,1.179614,0.159047,-0.04832488,1.116804,0.1325732,0.3726274,1.255628,-0.1257921,-0.4612991,1.170576,0.1148496,-0.07743689,1.077,0.1126437,-0.1007558,1.281448,0.1209291,-0.4254473,1.275538,-0.05975668,0.07993297,1.251812,0.03802928,-0.415401,1.239546,-0.1112372,-0.1766401,1.257935,0.3239008,-0.1862857,1.259557,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.2011719,0.7705078,0.4902344,0,-2,1,0,-1,-1,-1,-1,-2,-1,-2,0,-1,0,-1,-1,-3.4375,-3.4375,-3.4375,-0.4375,-0.4375,-0.4375,2.522543,3.090642,7.419167,6.603046,5.297201,7.296695,-0.085667,-0.4624408,1.179734,0.08810408,-0.04263092,1.092563,0.1323899,0.3725988,1.2556,-0.1296156,-0.4683333,1.177282,0.0467709,-0.07916097,1.102941,0.1125877,-0.1006645,1.281602,0.1209923,-0.4250978,1.276191,-0.06235269,0.08031351,1.252456,0.0381706,-0.4151287,1.239981,-0.1113751,-0.1764996,1.258162,0.3259227,-0.1872366,1.261524,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.1147461,0.7802734,0.5117188,0,-2,1,0,-1,-1,-1,-1,-1,-3,0,-1,-1,2,-4,0,-3.4375,-3.4375,-3.4375,-0.25,-0.25,-0.25,2.522543,3.090642,7.419167,6.589304,5.093468,7.193933,-0.086179,-0.4614364,1.180879,0.1108574,-0.07952344,1.09164,0.1321885,0.3725966,1.255508,-0.1261149,-0.4616978,1.171161,0.0964006,-0.1034394,1.039722,0.1125095,-0.1005482,1.281803,0.1209423,-0.4247729,1.276728,-0.06407645,0.08047422,1.253251,0.03820364,-0.4149086,1.240275,-0.1114981,-0.1763276,1.258639,0.3284288,-0.1847488,1.264973,NA,NA,NotTracked,Unknown,
0.9121094,-0.3774414,0.04150391,-0.06542969,0.8051758,0.5175781,0,-2,1,0,-1,-1,-1,-1,-5,-10,-6,-2,-1,0,0,-2,-3.4375,-3.4375,-3.4375,-3.25,-3.25,-3.25,2.522543,3.090642,7.419167,6.58636,4.937747,7.132075,-0.08690871,-0.4624403,1.181085,0.1110338,-0.1000395,1.082752,0.1317934,0.3725921,1.255479,-0.1263956,-0.4626605,1.172312,0.1225161,-0.1229314,1.032266,0.1122778,-0.1004419,1.282103,0.1208287,-0.4245886,1.277217,-0.06549195,0.08056713,1.253649,0.03818399,-0.4147825,1.240553,-0.1115083,-0.1764337,1.258866,0.3290857,-0.1815514,1.264428,NA,NA,NotTracked,Unknown,
