ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9052734,-0.4399414,0.2412109,0.2924805,0.8037109,0.2490234,1,-2,0,-3,-4,-2,-1,0,1,-3,0,-6,-6,4,2,1,-12.875,-12.875,-12.875,11.1875,11.1875,11.1875,3.258418,3.223346,5.575757,7.016552,4.497682,6.371325,-0.03831167,-0.4519311,1.432102,0.1456438,-0.1643291,1.301852,0.1739739,0.3654177,1.519729,-0.002261288,-0.447029,1.415157,0.1551207,-0.225788,1.363316,0.1577482,-0.08901459,1.531722,0.1515313,-0.4042758,1.520743,-0.01829232,0.08069016,1.538495,0.07265677,-0.397026,1.496711,-0.06287276,-0.1638227,1.552258,0.4202152,-0.1345865,1.44304,NA,NA,NotTracked,Unknown,
0.8803711,-0.5371094,0.2495117,0.2026367,0.8129883,0.2670898,-1,-1,1,-1,-1,-3,3,0,-2,-3,-4,-6,-15,-2,-1,-1,-17.1875,-17.1875,-17.1875,17.1875,17.1875,17.1875,3.23363,3.385335,5.559554,7.029348,4.768009,6.470443,-0.03487887,-0.4441841,1.406427,0.142951,-0.1229932,1.295066,0.1754486,0.3656972,1.52314,0.001307465,-0.4426868,1.390067,0.1495437,-0.08118057,1.3567,0.1588598,-0.08809955,1.532377,0.1527758,-0.4024772,1.520109,-0.01744671,0.08067517,1.539661,0.07402494,-0.3958652,1.496408,-0.06233995,-0.1627517,1.549578,0.3797225,-0.1136403,1.429677,NA,NA,NotTracked,Unknown,
0.8837891,-0.625,0.265625,0.09765625,0.8666992,0.2788086,-1,1,2,-2,-1,-5,-2,-1,1,-1,3,5,22,4,3,2,-11.1875,-11.1875,-11.1875,21.75,21.75,21.75,3.21466,3.534079,5.557218,7.056793,4.898902,6.523901,-0.03419317,-0.4318869,1.371715,0.1398003,-0.097109,1.289248,0.1769852,0.3656402,1.525726,0.004299294,-0.4179852,1.412437,0.1499349,-0.1551135,1.369062,0.1595637,-0.08771236,1.532805,0.1536834,-0.4015611,1.519501,-0.01663583,0.08017085,1.541506,0.0751942,-0.3953829,1.495988,-0.06148076,-0.1628794,1.544286,0.3798473,-0.1114414,1.420908,NA,NA,Unknown,Unknown,
0.8286133,-0.7553711,0.3320313,0.04882813,0.8647461,0.2661133,-2,-2,-5,8,-14,-7,-2,-2,-2,1,0,-5,-4,1,0,2,-40.5625,-40.5625,-40.5625,17.25,17.25,17.25,3.171283,3.800174,5.540394,7.091511,4.979251,6.585814,-0.03461543,-0.4035758,1.327985,0.1311244,-0.08039723,1.28667,0.1789635,0.3654205,1.529635,0.0005970569,-0.3896236,1.32128,0.1422307,-0.04194899,1.357667,0.1605586,-0.08726297,1.533308,0.1546561,-0.4006476,1.518816,-0.01576837,0.07952908,1.543691,0.07641408,-0.394841,1.495759,-0.06098196,-0.1623411,1.537866,0.3777039,-0.1092677,1.410232,NA,NA,Unknown,Unknown,
0.6787109,-1.019531,0.4067383,0.03417969,0.8852539,0.2602539,-2,-2,-2,2,-5,9,0,0,-2,-3,-4,-4,-8,-1,0,-1,-35.9375,-35.9375,-35.9375,19.875,19.875,19.875,3.114674,4.081967,5.515296,7.117764,4.987869,6.625106,-0.03063958,-0.3539783,1.276614,0.1289374,-0.07615276,1.285337,0.1805892,0.3656941,1.533002,0.001589212,-0.330972,1.291064,0.1504171,-0.1303135,1.3605,0.1613104,-0.08688707,1.533722,0.1555824,-0.3996127,1.517945,-0.01430805,0.07933353,1.54529,0.07751563,-0.3941268,1.495351,-0.06119642,-0.1528962,1.53169,0.3722578,-0.1031912,1.39115,NA,NA,Unknown,Unknown,
0.6020508,-1.029297,0.4394531,0.03808594,0.8916016,0.2626953,-3,-2,-2,-3,-4,2,-6,-4,-1,0,1,-1,-4,-1,-3,-1,-22.5625,-22.5625,-22.5625,18.1875,18.1875,18.1875,3.107644,4.191927,5.50527,7.126117,4.982084,6.636706,-0.02346605,-0.2713587,1.227333,0.1273981,-0.07936788,1.286657,0.1817546,0.3658625,1.536101,0.009505203,-0.2500083,1.228714,0.1512389,-0.1321637,1.3605,0.1619637,-0.08662654,1.534141,0.1560276,-0.3993062,1.5172,-0.01290187,0.07942435,1.546036,0.07828676,-0.3937936,1.494864,-0.06701811,-0.1302546,1.52135,0.3725803,-0.1029883,1.388103,NA,NA,Unknown,Unknown,
0.2509766,-1.001953,0.581543,0.008789063,0.9643555,0.2436523,-4,-1,-4,-6,-19,-2,-5,-5,-2,-5,-2,-2,-2,-2,0,3,26.4375,26.4375,26.4375,17.9375,17.9375,17.9375,3.150098,4.827046,5.45186,7.168363,4.932787,6.690118,-0.01468881,-0.1640422,1.185788,0.1304567,-0.0862663,1.289517,0.1825901,0.3658634,1.538775,-0.008544181,-0.1306881,1.175938,0.1321004,-0.06411946,1.349,0.162007,-0.08649661,1.534519,0.1552881,-0.3992071,1.516919,-0.008358674,0.08023299,1.54548,0.07796293,-0.3935629,1.494702,-0.09887151,-0.1163077,1.517929,0.3760894,-0.1005699,1.383718,NA,NA,NotTracked,Unknown,
-0.09033203,-0.8461914,0.5581055,-0.008300781,0.9604492,0.2250977,2,-3,-8,-3,-1,-1,-10,-4,-4,-4,0,1,6,-4,-1,-1,54.75,54.75,54.75,15.625,15.625,15.625,3.254264,5.424675,5.407024,7.188043,4.900777,6.725352,-0.01993893,-0.05116008,1.191524,0.1488216,-0.09777669,1.291927,0.1830042,0.3660786,1.540639,-0.03237636,-0.02252627,1.15075,0.156748,-0.06089734,1.363429,0.1618961,-0.08610774,1.535051,0.1545419,-0.3986033,1.516736,-0.001491345,0.08805368,1.54451,0.07724386,-0.3922592,1.49398,-0.103764,-0.1693128,1.468801,0.3777682,-0.09919341,1.38132,NA,NA,NotTracked,NotTracked,
-0.3564453,-0.6665039,0.5141602,0.02099609,0.9746094,0.1835938,-2,-6,-10,-2,-2,6,24,8,-1,-1,-3,-4,-11,1,-2,-1,48.4375,48.4375,48.4375,17.625,17.625,17.625,3.334577,5.894962,5.374688,7.214408,4.869215,6.75656,-0.01632929,0.07314338,1.202142,0.143236,-0.1082485,1.306732,0.182789,0.3662716,1.542532,-0.03493592,0.09422252,1.174214,0.1252919,-0.06454208,1.364812,0.161936,-0.08582575,1.535567,0.1539569,-0.3983752,1.516668,0.01124461,0.1045044,1.543516,0.07672836,-0.3915902,1.493186,-0.06079964,-0.1013824,1.3897,0.3778987,-0.1003174,1.38037,NA,NA,Lasso,NotTracked,
-0.4780273,-0.543457,0.3608398,0.07470703,0.9921875,0.1674805,-3,1,-1,-7,-4,-5,-4,-3,-3,1,0,9,5,2,1,4,43.25,43.25,43.25,17.8125,17.8125,17.8125,3.417661,6.317527,5.375042,7.249846,4.828469,6.791904,-0.02065206,0.1523308,1.24414,0.1217305,-0.1118193,1.300815,0.1826842,0.3663414,1.543679,-0.04282027,0.1642272,1.21678,0.1380077,-0.07449779,1.367,0.1616608,-0.08514383,1.536027,0.1528649,-0.3969475,1.516251,0.01640151,0.1044983,1.539686,0.07540385,-0.3896783,1.492148,-0.05174289,-0.06926915,1.388061,0.3784548,-0.09899537,1.378676,NA,NA,Unknown,Unknown,
