ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8955078,-0.4155273,0.0625,-0.9008789,0.265625,-0.2045898,-1,-1,-1,-2,-1,-2,0,-2,-5,0,1,-1,-1,-1,0,-2,-2.5625,-2.5625,-2.5625,3.625,3.625,3.625,2.600594,3.159094,6.435941,8.485422,6.928468,0.4696627,-0.111263,-0.4486859,1.180459,0.1733415,0.2521175,1.179842,0.1093265,0.3655728,1.279149,-0.1544745,-0.4538143,1.176567,0.1880315,0.2163782,1.210254,0.09974469,-0.09659154,1.295186,0.09275863,-0.4227097,1.278606,-0.08801427,0.0830887,1.286308,0.00869694,-0.4108777,1.242051,-0.1368096,-0.1729576,1.276015,0.3834105,-0.0159679,1.07656,NA,NA,Unknown,NotTracked,
0.8955078,-0.4155273,0.0625,-0.7280273,0.2792969,-0.1938477,-1,-1,-1,-2,-1,-2,0,-2,-2,0,0,0,0,-1,0,0,-2.5625,-2.5625,-2.5625,-1.625,-1.625,-1.625,2.600594,3.159094,6.435941,8.426836,6.932966,0.4043117,-0.1117409,-0.4487333,1.180778,0.1733716,0.2521368,1.178408,0.1092093,0.3654732,1.279196,-0.1539134,-0.4502885,1.177481,0.200894,0.2125537,1.211278,0.1000768,-0.09634452,1.295124,0.09282777,-0.4224841,1.278546,-0.08769216,0.08319942,1.285659,0.008758545,-0.4106407,1.242008,-0.1367743,-0.173006,1.275951,0.3829193,-0.01857591,1.078131,NA,NA,Unknown,NotTracked,
0.8955078,-0.4155273,0.0625,-0.7060547,0.3115234,-0.1479492,-1,-1,-1,-2,-1,-2,0,-2,-3,-3,-1,0,0,-1,0,0,-2.5625,-2.5625,-2.5625,-6.375,-6.375,-6.375,2.600594,3.159094,6.435941,8.303988,6.91889,0.2780972,-0.1113786,-0.4495194,1.179336,0.1732488,0.2533583,1.175712,0.1090068,0.3654488,1.279215,-0.1472948,-0.4627714,1.160852,0.1584111,0.216311,1.191114,0.1001851,-0.09627852,1.295053,0.09275357,-0.4223924,1.278406,-0.08746897,0.08321045,1.285169,0.008659913,-0.4105219,1.241833,-0.1367841,-0.172994,1.275906,0.3807558,-0.02849023,1.083335,NA,NA,Unknown,NotTracked,
0.8955078,-0.4155273,0.0625,-0.6694336,0.3173828,-0.07421875,-1,-1,-1,-2,-1,-2,0,-2,-1,-5,-1,-1,0,-2,0,-2,-2.5625,-2.5625,-2.5625,-18.5,-18.5,-18.5,2.600594,3.159094,6.435941,8.080143,6.87387,0.05682204,-0.1111792,-0.4489085,1.18008,0.1770468,0.2516312,1.169739,0.1086649,0.3654812,1.279316,-0.1549592,-0.4629824,1.178445,0.2066949,0.1887388,1.2059,0.09884936,-0.09618685,1.295241,0.09264618,-0.4222819,1.278304,-0.0874176,0.08317479,1.284804,0.008546585,-0.4103873,1.241772,-0.1369002,-0.1723871,1.275858,0.3850171,-0.0633548,1.122114,NA,NA,Unknown,NotTracked,
0.8955078,-0.4155273,0.0625,-0.6201172,0.3481445,0.01318359,-1,-1,-1,-2,-1,-2,0,-2,-2,-2,-3,-4,-3,1,0,-1,-2.5625,-2.5625,-2.5625,-22.75,-22.75,-22.75,2.600594,3.159094,6.435941,7.802312,6.780703,9.779461,-0.1108015,-0.4505041,1.179996,0.1904677,0.2330665,1.160769,0.1079524,0.365633,1.279392,-0.1497943,-0.4638598,1.168828,0.1252461,0.2292933,1.173364,0.09750267,-0.09601814,1.295405,0.09251332,-0.4220137,1.278184,-0.08752797,0.0830708,1.284597,0.00845919,-0.4102475,1.241721,-0.1369963,-0.1723112,1.275887,0.3883878,-0.08333182,1.163279,NA,NA,Unknown,NotTracked,
0.8955078,-0.4155273,0.0625,-0.6030273,0.4814453,0.2104492,-1,-1,-1,-2,-1,-2,0,-2,1,-1,-1,-1,0,-2,-2,-1,-2.5625,-2.5625,-2.5625,-49.75,-49.75,-49.75,2.600594,3.159094,6.435941,7.396685,6.508711,9.384483,-0.1114916,-0.44917,1.18124,0.2206682,0.1704096,1.114065,0.1050768,0.367231,1.279693,-0.1531298,-0.4598172,1.174718,0.1859356,0.1650349,1.185714,0.0927512,-0.09561215,1.295282,0.09056349,-0.4210533,1.277339,-0.09073427,0.08279479,1.288011,0.006851548,-0.4095702,1.241279,-0.1370862,-0.1728875,1.275958,0.3703317,-0.1073524,1.224375,NA,NA,Unknown,Unknown,
0.8955078,-0.4155273,0.0625,-0.5859375,0.5473633,0.2954102,-1,-1,-1,-2,-1,-2,0,-2,0,-1,0,1,-1,-1,-1,-1,-2.5625,-2.5625,-2.5625,-84.25,-84.25,-84.25,2.600594,3.159094,6.435941,7.179122,6.228275,9.211395,-0.1109256,-0.450452,1.181118,0.2209882,0.1334115,1.09187,0.102305,0.3686134,1.279739,-0.1532781,-0.460263,1.173753,0.1751663,0.1317998,1.183143,0.09055691,-0.09642562,1.294977,0.08965111,-0.4217909,1.276763,-0.09128014,0.0825057,1.287486,0.00611067,-0.4103298,1.241324,-0.1371621,-0.1740806,1.276178,0.3523441,-0.116805,1.245191,NA,NA,Unknown,Unknown,
0.8955078,-0.4155273,0.0625,-0.5683594,0.6245117,0.3115234,-1,-1,-1,-2,-1,-2,0,-2,-2,-1,-1,-1,-1,0,0,-1,-2.5625,-2.5625,-2.5625,-90.125,-90.125,-90.125,2.600594,3.159094,6.435941,7.001981,5.878397,9.091326,-0.1117938,-0.45061,1.183144,0.2206802,0.09319032,1.070881,0.1000711,0.369804,1.280417,-0.1557871,-0.4619288,1.179896,0.2572536,0.1360579,1.130667,0.08896862,-0.09816173,1.294425,0.08843487,-0.4237478,1.27641,-0.09323906,0.08169993,1.287339,0.004792535,-0.4131905,1.241747,-0.1375612,-0.1765682,1.27644,0.3581539,-0.1424876,1.233278,NA,NA,Unknown,Unknown,
0.8955078,-0.4155273,0.0625,-0.5166016,0.6782227,0.3222656,-1,-1,-1,-2,-1,-2,0,-2,-2,-2,-2,-4,-2,-1,-3,-2,-2.5625,-2.5625,-2.5625,-82.5,-82.5,-82.5,2.600594,3.159094,6.435941,6.935815,5.684995,9.049627,-0.1131272,-0.4507966,1.184238,0.2141152,0.02918138,1.042401,0.09916667,0.3702677,1.280758,-0.1569599,-0.4488923,1.178381,0.1873478,0.06409015,1.076,0.08753052,-0.09904793,1.29389,0.08761775,-0.4243991,1.27611,-0.09464528,0.08142912,1.290321,0.004257488,-0.4139929,1.24164,-0.1378186,-0.1779792,1.276762,0.3475851,-0.1524307,1.259912,NA,NA,Unknown,Closed,
0.8955078,-0.4155273,0.0625,-0.4628906,0.7792969,0.1943359,-1,-1,-1,-2,-1,-2,0,-2,-1,-5,-2,-2,0,0,-2,-2,-2.5625,-2.5625,-2.5625,-70.1875,-70.1875,-70.1875,2.600594,3.159094,6.435941,6.835388,5.278944,8.975326,-0.1128396,-0.4500431,1.185357,0.2137236,-0.04307547,1.023576,0.09808827,0.3708184,1.281071,-0.1525543,-0.4745091,1.172286,0.1901197,-0.01547004,1.055,0.08659579,-0.09921823,1.293566,0.08727492,-0.4244045,1.275876,-0.09562457,0.08092456,1.289933,0.004110203,-0.4141948,1.241503,-0.1381393,-0.180683,1.277122,0.3468341,-0.1630056,1.276261,NA,NA,NotTracked,Closed,
