ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.06445313,0.7050781,0.6821289,0.8701172,-0.390625,0.3061523,6,4,1,2,13,-2,9,3,1,1,1,-1,0,3,7,2,0.9375,0.9375,0.9375,1.0625,1.0625,1.0625,6.29726,5.066045,1.504178,3.445973,3.278871,6.742174,-0.2263708,-0.4721873,1.238701,0.3110742,0.1575905,0.7635923,0.0780585,0.3716585,1.356263,-0.2572421,-0.4213597,1.213309,0.3319585,0.1246092,0.7493547,0.07373817,-0.09526506,1.355652,0.07208587,-0.4045126,1.344327,-0.09160899,0.08364631,1.350584,-0.006447679,-0.399601,1.318633,-0.1440528,-0.1842028,1.345345,0.2811621,0.09305693,1.033554,NA,NA,Open,Closed,
-0.04833984,0.7104492,0.6777344,0.8735352,-0.3901367,0.2905273,13,6,-3,-1,-11,-5,-11,-16,2,-1,0,0,1,0,9,0,3.6875,3.6875,3.6875,-2.3125,-2.3125,-2.3125,6.299015,5.064707,1.503561,3.456005,3.284362,6.729661,-0.2260843,-0.4711706,1.236515,0.3121673,0.1533156,0.7671996,0.07815263,0.3717252,1.356251,-0.2567365,-0.4205289,1.212636,0.3395976,0.1305752,0.748818,0.0736206,-0.09522805,1.355502,0.07173515,-0.40441,1.343698,-0.09160914,0.08364442,1.350577,-0.006494428,-0.3995334,1.318495,-0.1440535,-0.1842062,1.345306,0.2804756,0.09331477,1.033112,NA,NA,Open,Closed,
-0.06542969,0.71875,0.6943359,0.8706055,-0.3925781,0.2958984,14,15,-1,1,5,3,7,13,0,-3,-2,0,0,-1,8,0,1.25,1.25,1.25,-1.5625,-1.5625,-1.5625,6.300479,5.063102,1.502214,3.460113,3.286936,6.724315,-0.2252225,-0.4699022,1.234459,0.3130099,0.1523649,0.7673717,0.07824716,0.3717904,1.356216,-0.2574642,-0.421664,1.21225,0.3425863,0.1341612,0.7473915,0.07350287,-0.09523141,1.355345,0.07143925,-0.404458,1.34328,-0.09161057,0.08364425,1.350577,-0.006730352,-0.3995332,1.318287,-0.1439744,-0.184228,1.345199,0.2803369,0.09319274,1.032829,NA,NA,Open,Closed,
-0.06542969,0.7304688,0.6816406,0.8706055,-0.3847656,0.2871094,0,-4,-2,-1,21,0,18,12,0,0,-3,0,-1,3,4,4,-1,-1,-1,-2.0625,-2.0625,-2.0625,6.299974,5.062221,1.500935,3.467687,3.292244,6.714418,-0.2254181,-0.4717963,1.23214,0.3129002,0.1522211,0.7672338,0.07830533,0.3718687,1.356275,-0.2569054,-0.4212144,1.210971,0.3639029,0.155891,0.7558,0.0734702,-0.09522803,1.355253,0.0713376,-0.4044908,1.342926,-0.0916234,0.08363546,1.350575,-0.006805261,-0.3995416,1.31812,-0.1439091,-0.1842586,1.345076,0.27935,0.09052439,1.032414,NA,NA,Open,Closed,
-0.05859375,0.734375,0.6972656,0.8735352,-0.3964844,0.2875977,-15,-10,0,1,-4,6,2,11,-2,-2,-1,-1,-1,0,0,-2,2.6875,2.6875,2.6875,-3.0625,-3.0625,-3.0625,6.3015,5.061777,1.499673,3.473031,3.297359,6.705163,-0.2252717,-0.4708959,1.230379,0.3129577,0.1509394,0.767694,0.0783935,0.3720075,1.356344,-0.2655953,-0.4404775,1.21675,0.3601007,0.1603072,0.7533334,0.07343358,-0.09525155,1.35516,0.07125039,-0.4045815,1.342666,-0.09164182,0.08362262,1.350584,-0.006919021,-0.3996367,1.317965,-0.1439636,-0.1842692,1.344979,0.2656045,0.09494681,1.100673,NA,NA,Open,Closed,
-0.06152344,0.737793,0.6870117,0.8647461,-0.3930664,0.2709961,11,8,-7,-6,5,-2,6,-17,-6,-3,-1,-2,-2,-3,-1,-5,2.9375,2.9375,2.9375,-3.625,-3.625,-3.625,6.303301,5.061519,1.498676,3.475206,3.301052,6.698781,-0.2251,-0.469546,1.227433,0.3127588,0.150576,0.7676368,0.07844351,0.3720715,1.356369,-0.2587951,-0.4230154,1.204327,0.3341529,0.119663,0.7514422,0.07337615,-0.09526677,1.35503,0.07116012,-0.4046562,1.342384,-0.09169574,0.08358931,1.350563,-0.007021169,-0.3997085,1.317747,-0.1439396,-0.1843322,1.344665,0.2651355,0.09379645,1.100383,NA,NA,Open,Closed,
-0.04052734,0.7211914,0.6381836,0.8701172,-0.3950195,0.2719727,2,1,2,4,-29,-5,-6,-11,-2,-2,-1,-3,-4,-2,0,0,2.25,2.25,2.25,-3.375,-3.375,-3.375,6.309697,5.061276,1.497332,3.475179,3.302504,6.696548,-0.2247419,-0.4695063,1.226507,0.3131745,0.1503387,0.7680662,0.078443,0.3721217,1.356433,-0.2607199,-0.4232083,1.204648,0.3379291,0.1244604,0.7504762,0.07331944,-0.09529878,1.354865,0.07108595,-0.4047378,1.342,-0.09172722,0.08357471,1.350531,-0.007102075,-0.3997791,1.317444,-0.1439826,-0.1843555,1.344404,0.2651759,0.09377448,1.100243,NA,NA,Open,Closed,
-0.06103516,0.7226563,0.6469727,0.8686523,-0.3896484,0.2792969,-24,-19,-3,-6,-19,-1,-4,0,3,-2,-2,0,-1,-2,-5,0,5.1875,5.1875,5.1875,-3.375,-3.375,-3.375,6.313062,5.063196,1.497247,3.47468,3.304009,6.69324,-0.2250635,-0.4690669,1.225224,0.3129244,0.1500649,0.7686309,0.0784568,0.3721485,1.356408,-0.2569517,-0.4177797,1.202366,0.3544909,0.1447263,0.7531667,0.07325986,-0.09530571,1.35478,0.07098582,-0.4047844,1.341805,-0.09176665,0.08356293,1.350516,-0.007183945,-0.3998072,1.317332,-0.1442243,-0.1843456,1.343983,0.2652261,0.09361443,1.100159,NA,NA,Open,Closed,
-0.04736328,0.7094727,0.6313477,0.8662109,-0.394043,0.284668,20,9,1,7,28,2,4,19,1,-1,-1,-1,-1,1,7,2,11.5,11.5,11.5,-4.375,-4.375,-4.375,6.320192,5.064329,1.496854,3.471658,3.303721,6.691564,-0.22491,-0.4688528,1.223742,0.3133178,0.150485,0.7670109,0.0784678,0.372222,1.356373,-0.259521,-0.422062,1.201954,0.3393456,0.1224377,0.7497272,0.07315468,-0.09533387,1.35458,0.07081272,-0.4048917,1.341423,-0.09180906,0.0835556,1.350429,-0.007317778,-0.3999072,1.317116,-0.1445667,-0.1843224,1.343235,0.2654961,0.09353729,1.100099,NA,NA,Open,Closed,
-0.04785156,0.7338867,0.5732422,0.8754883,-0.3837891,0.2797852,10,5,0,-2,-23,-2,6,17,-1,-2,1,0,-1,-1,2,1,12.875,12.875,12.875,-3.25,-3.25,-3.25,6.350605,5.070076,1.497728,3.467822,3.301129,6.692102,-0.2252297,-0.4685014,1.223201,0.3112589,0.1360485,0.7857444,0.07846557,0.3723508,1.356368,-0.2583574,-0.4193001,1.201416,0.3344671,0.1102301,0.7616206,0.07291416,-0.09535555,1.354326,0.07049206,-0.4050036,1.340967,-0.09192977,0.08348117,1.350219,-0.007575083,-0.399951,1.316791,-0.1450641,-0.1843645,1.341964,0.2723413,0.08551293,1.101588,NA,NA,Open,Unknown,
