ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9248047,0.296875,0.03271484,0.9379883,-0.3398438,0.078125,-2,-2,1,-1,0,-1,-1,0,-1,0,-2,-1,0,-1,-1,-1,1.625,1.625,1.625,-0.6875,-0.6875,-0.6875,7.352166,2.993892,5.615168,2.850083,3.074012,6.981287,-0.1306572,-0.447182,1.576137,0.2714898,-0.4350972,1.543002,0.07933307,0.40117,1.649794,-0.08290383,-0.4293934,1.549724,0.3212645,-0.416699,1.561857,0.0830542,-0.0675312,1.669061,0.08156727,-0.3898852,1.64556,-0.09586387,0.1110367,1.660153,0.005156878,-0.3810202,1.614146,-0.1453677,-0.1465294,1.66417,0.295502,-0.1424834,1.627527,NA,NA,NotTracked,NotTracked,
0.9262695,0.2973633,0.02880859,0.9379883,-0.3398438,0.078125,-1,-2,-1,0,-2,-2,1,0,-1,0,-2,-1,0,-1,-1,-1,1.9375,1.9375,1.9375,-0.6875,-0.6875,-0.6875,7.353534,2.993697,5.614089,2.850083,3.074012,6.981287,-0.1296867,-0.4474139,1.576668,0.2715547,-0.4361789,1.543822,0.07942826,0.4012078,1.649573,-0.08278817,-0.4295155,1.549546,0.3158217,-0.4259676,1.551373,0.08317098,-0.06747828,1.668993,0.08167952,-0.3898053,1.645499,-0.09584879,0.1110336,1.660092,0.005263846,-0.3809455,1.614046,-0.1450208,-0.1432606,1.665167,0.2955186,-0.142392,1.627482,NA,NA,NotTracked,NotTracked,
0.9326172,0.2958984,0.0234375,0.9379883,-0.3398438,0.078125,-1,0,0,-1,-1,0,0,1,-1,0,-2,-1,0,-1,-1,-1,1.625,1.625,1.625,-0.6875,-0.6875,-0.6875,7.358675,2.992015,5.611119,2.850083,3.074012,6.981287,-0.1297201,-0.44741,1.576219,0.2718004,-0.4358832,1.543667,0.07953192,0.4012377,1.649425,-0.08243781,-0.4408087,1.548731,0.3164659,-0.4260092,1.552491,0.0832146,-0.06747395,1.668913,0.08176132,-0.3897951,1.645401,-0.09578788,0.1110498,1.659985,0.005332017,-0.3809152,1.613933,-0.1448366,-0.1423504,1.665022,0.2954804,-0.1423647,1.627451,NA,NA,NotTracked,NotTracked,
0.9785156,0.3081055,-0.008789063,0.9379883,-0.3398438,0.078125,2,-2,-5,4,1,0,0,0,-1,0,-2,-1,0,-1,-1,-1,3.75,3.75,3.75,-0.6875,-0.6875,-0.6875,7.346304,2.995169,5.629107,2.850083,3.074012,6.981287,-0.1315385,-0.4350497,1.580035,0.2773542,-0.4311873,1.543409,0.07959289,0.4012235,1.649343,-0.08327106,-0.4134471,1.552323,0.3216816,-0.4223885,1.5628,0.08330864,-0.06745176,1.668836,0.08183597,-0.3897567,1.645339,-0.09579179,0.1110457,1.659936,0.005411032,-0.3808728,1.613828,-0.1446788,-0.141258,1.665323,0.295511,-0.1424062,1.627419,NA,NA,NotTracked,NotTracked,
0.9775391,0.3251953,0.02294922,0.9379883,-0.3398438,0.078125,-1,3,2,2,-1,-1,-2,2,-1,0,-2,-1,0,-1,-1,-1,23.0625,23.0625,23.0625,-0.6875,-0.6875,-0.6875,7.297107,3.011756,5.702469,2.850083,3.074012,6.981287,-0.1276642,-0.453284,1.575463,0.2676022,-0.4370621,1.539716,0.07972325,0.4011449,1.64914,-0.08143793,-0.440115,1.54772,0.3119209,-0.4331201,1.54705,0.08338398,-0.06745309,1.668729,0.08189695,-0.3897684,1.645227,-0.09578341,0.1110294,1.659891,0.00546158,-0.3808526,1.61369,-0.1450908,-0.1470842,1.664217,0.2957219,-0.1426486,1.627348,NA,NA,NotTracked,NotTracked,
0.9829102,0.3857422,0.08642578,0.9379883,-0.3398438,0.078125,-5,1,-23,-3,1,0,0,-12,-1,0,-2,-1,0,-1,-1,-1,24.375,24.375,24.375,-0.6875,-0.6875,-0.6875,7.197266,3.051981,5.837442,2.850083,3.074012,6.981287,-0.1273252,-0.4530345,1.573897,0.2642154,-0.4342549,1.532479,0.0797352,0.4010715,1.649073,-0.08155145,-0.4367023,1.547201,0.3048494,-0.432811,1.535708,0.08341181,-0.06744288,1.668629,0.08190554,-0.3897113,1.645,-0.09578562,0.1110014,1.659842,0.005447824,-0.3808153,1.613405,-0.1445191,-0.1437016,1.664956,0.2960832,-0.142522,1.627276,NA,NA,NotTracked,NotTracked,
0.9624023,0.4643555,0.1503906,0.9379883,-0.3398438,0.078125,15,-4,1,0,0,-2,-3,-11,-1,0,-2,-1,0,-1,-1,-1,29.5,29.5,29.5,-0.6875,-0.6875,-0.6875,7.073633,3.12141,6.003016,2.850083,3.074012,6.981287,-0.1270241,-0.4527757,1.575233,0.25868,-0.4295385,1.525303,0.07976186,0.4010312,1.64904,-0.0808797,-0.4375887,1.546713,0.2990975,-0.4416786,1.531769,0.08343808,-0.06742001,1.668584,0.08192811,-0.389656,1.644901,-0.09576555,0.1110148,1.659797,0.005452126,-0.3807513,1.613268,-0.1444146,-0.1427218,1.665251,0.2970689,-0.141457,1.628018,NA,NA,NotTracked,NotTracked,
0.9467773,0.5131836,0.21875,0.9379883,-0.3398438,0.078125,-13,-15,-44,-5,-2,-1,-2,-8,-1,0,-2,-1,0,-1,-1,-1,19.9375,19.9375,19.9375,-0.6875,-0.6875,-0.6875,6.950407,3.223331,6.163905,2.850083,3.074012,6.981287,-0.1269463,-0.4527608,1.574978,0.2501644,-0.4192521,1.514135,0.07986038,0.4010257,1.6489,-0.08033794,-0.4390996,1.546225,0.287752,-0.4355806,1.518895,0.08344133,-0.06738712,1.668524,0.08188377,-0.3895752,1.644787,-0.0957517,0.1110147,1.659778,0.005374203,-0.3806641,1.613154,-0.1442605,-0.1423268,1.665419,0.2990494,-0.1375864,1.628441,NA,NA,NotTracked,NotTracked,
0.8828125,0.5600586,0.2661133,0.9379883,-0.3398438,0.078125,0,-2,1,-4,0,0,0,3,-1,0,-2,-1,0,-1,-1,-1,14,14,14,-0.6875,-0.6875,-0.6875,6.844416,3.353946,6.301831,2.850083,3.074012,6.981287,-0.1271112,-0.452621,1.574535,0.2398271,-0.4060087,1.501462,0.07995149,0.4010535,1.648808,-0.08126915,-0.4354722,1.547579,0.2707696,-0.4281001,1.49345,0.08340719,-0.0673359,1.66842,0.08173635,-0.3894283,1.644472,-0.09572861,0.1110075,1.659756,0.005074595,-0.3803839,1.612722,-0.1441748,-0.1497231,1.664147,0.3017024,-0.1296187,1.628465,NA,NA,NotTracked,NotTracked,
0.8608398,0.5849609,0.2875977,0.9379883,-0.3398438,0.078125,0,-3,10,4,3,-2,-2,-4,-1,0,-2,-1,0,-1,-1,-1,13.625,13.625,13.625,-0.6875,-0.6875,-0.6875,6.803478,3.426107,6.359142,2.850083,3.074012,6.981287,-0.1294111,-0.4391053,1.578944,0.210087,-0.4153676,1.482859,0.08011043,0.4011434,1.648821,-0.08095717,-0.4307014,1.548212,0.2373529,-0.423763,1.456073,0.08325551,-0.06728034,1.668347,0.08098099,-0.3892773,1.644258,-0.09572634,0.1110069,1.659753,0.00407652,-0.3799754,1.612494,-0.1438957,-0.1460393,1.665207,0.3025264,-0.127166,1.628915,NA,NA,NotTracked,Unknown,
