ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9223633,0.2988281,0.06347656,0.9243164,-0.34375,0.07666016,0,-1,-2,-3,-4,-3,-3,1,-3,-2,-2,3,-1,1,-1,-1,0.625,0.625,0.625,-4.75,-4.75,-4.75,7.148319,3.007464,6.370598,2.872713,3.086039,7.220086,-0.1738027,-0.4420521,1.408778,0.2376539,-0.4266079,1.376745,0.04621718,0.415024,1.48623,-0.2192509,-0.4307693,1.422931,0.1916129,-0.4076605,1.354268,0.04449626,-0.05791732,1.492628,0.03972376,-0.3824874,1.466944,-0.1371785,0.118733,1.489548,-0.03762944,-0.3723878,1.437683,-0.1836836,-0.150318,1.49989,0.2645359,-0.1439255,1.459151,NA,NA,NotTracked,NotTracked,
0.9189453,0.3081055,0.06494141,0.9389648,-0.3818359,0.07373047,-2,-1,0,0,0,-2,-3,-1,-7,1,-3,7,-4,-4,0,1,2.75,2.75,2.75,-12.8125,-12.8125,-12.8125,7.149708,3.008706,6.37272,2.856358,3.089351,7.224296,-0.1737321,-0.4447852,1.408355,0.237077,-0.4265657,1.376658,0.04613668,0.4149896,1.486366,-0.2184305,-0.4465783,1.418621,0.1914826,-0.4108845,1.353891,0.04442396,-0.05785518,1.492891,0.03971632,-0.3824501,1.467058,-0.1372831,0.1187432,1.489722,-0.03763383,-0.37235,1.437801,-0.1837958,-0.150329,1.500086,0.2644804,-0.1440733,1.459232,NA,NA,NotTracked,NotTracked,
0.9296875,0.3237305,0.06445313,0.9331055,-0.4238281,0.04736328,0,-1,-1,-1,-1,-1,2,1,-1,-6,-6,-21,-35,-5,0,-1,1.9375,1.9375,1.9375,0.1875,0.1875,0.1875,7.151309,3.011962,6.373728,2.846064,3.095964,7.228046,-0.1731547,-0.4444337,1.407962,0.2371327,-0.42652,1.376521,0.04606992,0.4148537,1.486513,-0.2185771,-0.4442435,1.419326,0.1914624,-0.3959376,1.355596,0.04435315,-0.05789825,1.493079,0.03972461,-0.3824489,1.46711,-0.1372778,0.1187249,1.489854,-0.03762997,-0.3723466,1.437827,-0.1838066,-0.1503272,1.500101,0.2644841,-0.144105,1.459274,NA,NA,NotTracked,NotTracked,
0.9667969,0.3227539,0.02587891,0.9785156,-0.4316406,0.05371094,-4,-3,-1,2,4,37,-1,-3,-17,-20,0,12,29,2,1,-15,1.375,1.375,1.375,-0.5625,-0.5625,-0.5625,7.15091,3.018511,6.376364,2.850988,3.102844,7.221754,-0.1735499,-0.4383388,1.409847,0.2364854,-0.4289121,1.375486,0.04597706,0.4147555,1.486868,-0.2178508,-0.4323243,1.423238,0.1910634,-0.4116431,1.353644,0.04436279,-0.05790414,1.493266,0.03972726,-0.3824164,1.467205,-0.1373246,0.118717,1.490242,-0.03762437,-0.3723165,1.437927,-0.183917,-0.1500639,1.500333,0.2645214,-0.1440991,1.459316,NA,NA,NotTracked,NotTracked,
0.9804688,0.4331055,0.01464844,1.033691,-0.4648438,0.08935547,-8,-4,-13,-2,-16,-53,-26,19,12,19,3,-12,-10,-4,0,7,6.3125,6.3125,6.3125,8.6875,8.6875,8.6875,7.141112,3.052679,6.398757,2.905342,3.135858,7.170774,-0.1729175,-0.4342464,1.409285,0.2353686,-0.4270143,1.373249,0.04587941,0.4145669,1.487134,-0.215697,-0.4421357,1.420306,0.1906255,-0.4117938,1.353038,0.04435157,-0.05789039,1.493337,0.03972356,-0.3824046,1.467206,-0.1373551,0.1187638,1.490432,-0.03763081,-0.3723059,1.437921,-0.1839703,-0.1500454,1.500394,0.2645243,-0.1440391,1.459364,NA,NA,NotTracked,NotTracked,
0.9799805,0.6538086,0.07910156,1.029785,-0.4501953,0.2041016,0,5,22,5,26,33,17,-13,-1,3,0,-11,-39,-11,1,-1,-63.9375,-63.9375,-63.9375,-3.1875,-3.1875,-3.1875,7.063736,3.14098,6.429176,3.024649,3.19886,7.045172,-0.1728851,-0.4283749,1.407512,0.2340134,-0.423643,1.368764,0.04582721,0.4144857,1.487461,-0.2129129,-0.4486522,1.42,0.1887808,-0.4332473,1.346652,0.04435404,-0.05789695,1.493418,0.03970589,-0.3824095,1.467215,-0.1373806,0.1186943,1.49073,-0.0376596,-0.3723218,1.43795,-0.1842083,-0.149976,1.500832,0.264657,-0.1438277,1.459628,NA,NA,NotTracked,NotTracked,
1.043945,0.4438477,0.175293,1.001465,-0.5478516,0.2333984,-1,-4,-18,2,-31,1,5,6,1,3,1,-2,-39,-22,0,1,-97.8125,-97.8125,-97.8125,-0.625,-0.625,-0.625,6.903237,3.248842,6.485508,3.141049,3.307577,6.911465,-0.1720508,-0.4230798,1.403656,0.2320952,-0.4154226,1.36272,0.04581224,0.4143851,1.487815,-0.2144257,-0.4404701,1.419479,0.188856,-0.4176725,1.348668,0.04429594,-0.05791654,1.493574,0.03967153,-0.3823872,1.467248,-0.1374267,0.1187289,1.49133,-0.03769908,-0.3722872,1.437989,-0.1850764,-0.1484722,1.502035,0.2649438,-0.1431649,1.460134,NA,NA,NotTracked,NotTracked,
1.04834,0.3251953,0.2172852,0.9794922,-0.5688477,0.2705078,-2,-8,6,-7,3,21,9,-4,0,-3,-1,-11,26,14,-1,-11,-59.125,-59.125,-59.125,1.8125,1.8125,1.8125,6.840367,3.316505,6.519404,3.191497,3.377971,6.85462,-0.1707681,-0.4181289,1.395298,0.2305806,-0.4024384,1.353583,0.04570236,0.4142755,1.488604,-0.210389,-0.4366266,1.405833,0.1899864,-0.3760271,1.356945,0.04426143,-0.0578208,1.493868,0.03964291,-0.3823283,1.467265,-0.1375147,0.1190014,1.492296,-0.0377445,-0.3722236,1.438054,-0.1859641,-0.1469802,1.503184,0.265747,-0.1416114,1.461431,NA,NA,NotTracked,NotTracked,
1.011719,0.4301758,0.2373047,0.8652344,-0.6469727,0.3227539,-4,-9,2,10,12,-5,1,0,1,3,1,0,-8,-10,-4,-4,-19.3125,-19.3125,-19.3125,18.5625,18.5625,18.5625,6.808962,3.398993,6.54247,3.304682,3.630289,6.746161,-0.1603933,-0.3961153,1.356183,0.2285984,-0.367036,1.306481,0.04578367,0.4141485,1.489359,-0.2051902,-0.4077921,1.368045,0.1868804,-0.3770544,1.315209,0.04426135,-0.0577874,1.493971,0.03952688,-0.3821889,1.467142,-0.137343,0.1193936,1.493413,-0.03789104,-0.3721186,1.437962,-0.1879409,-0.1427511,1.504423,0.2677864,-0.1355944,1.464059,NA,NA,NotTracked,Unknown,
0.9306641,0.7143555,0.2573242,0.7915039,-0.6806641,0.4238281,20,27,-15,-1,-8,3,0,-1,4,4,0,8,1,-1,4,0,-30,-30,-30,26.6875,26.6875,26.6875,6.772972,3.600277,6.562429,3.32996,3.732148,6.732352,-0.1577807,-0.3721977,1.32326,0.2223627,-0.3408558,1.280914,0.04588131,0.4141285,1.489723,-0.1213731,-0.3829288,1.348572,0.1782319,-0.3548029,1.293595,0.04413453,-0.05764193,1.494295,0.03937325,-0.3820239,1.467173,-0.1372418,0.119815,1.494386,-0.03810706,-0.3719462,1.438031,-0.1888793,-0.1387686,1.505371,0.268362,-0.1305599,1.465773,NA,NA,NotTracked,Unknown,
