ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.934082,0.2978516,0.07080078,0.9160156,-0.3535156,0.1025391,-1,1,-3,0,-3,-1,-1,-1,-2,-1,-3,0,-1,-2,-3,0,-1.1875,-1.1875,-1.1875,-2.125,-2.125,-2.125,7.13109,3.024588,6.247254,2.94547,3.10356,6.910257,-0.1605956,-0.4523979,1.415119,0.2353556,-0.4344462,1.394482,0.05067441,0.4144669,1.515486,-0.2070111,-0.4698045,1.429667,0.1894778,-0.4165411,1.37449,0.04639905,-0.05755113,1.518946,0.04138234,-0.3813196,1.491544,-0.1318911,0.119769,1.516678,-0.03567845,-0.371246,1.461805,-0.1740222,-0.1478041,1.519862,0.2696332,-0.1439042,1.480655,NA,NA,NotTracked,NotTracked,
0.9311523,0.2978516,0.06640625,0.9262695,-0.3540039,0.09863281,-3,-1,-4,-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-2,1,-4,-0.75,-0.75,-0.75,-2.1875,-2.1875,-2.1875,7.131001,3.024726,6.247009,2.938324,3.102584,6.91518,-0.1607765,-0.4517509,1.414309,0.2351958,-0.4338395,1.394281,0.05066933,0.4144007,1.51512,-0.2060602,-0.4594439,1.434009,0.1899514,-0.4270078,1.372298,0.04639573,-0.05754561,1.518884,0.04134166,-0.3813005,1.491528,-0.130208,0.1210849,1.515641,-0.03574647,-0.3711853,1.461756,-0.1739873,-0.1477063,1.519794,0.2696022,-0.1439079,1.480599,NA,NA,NotTracked,NotTracked,
0.9262695,0.3081055,0.06103516,0.9345703,-0.3540039,0.1030273,-2,-1,-1,-1,0,0,-1,-1,-1,-1,-6,-3,-1,-1,-1,-1,2.125,2.125,2.125,0.75,0.75,0.75,7.133193,3.02486,6.24943,2.936778,3.10155,6.916586,-0.1610117,-0.4526178,1.416352,0.2352021,-0.4344182,1.395485,0.05061327,0.4143887,1.514944,-0.2058305,-0.4579546,1.43227,0.1909839,-0.4335591,1.371461,0.04639478,-0.05753445,1.518885,0.04132197,-0.3812892,1.491529,-0.1307088,0.1208257,1.515864,-0.03576085,-0.3711782,1.461757,-0.1740451,-0.1477018,1.519783,0.2695506,-0.143911,1.480614,NA,NA,NotTracked,NotTracked,
0.9169922,0.2963867,0.06982422,0.9331055,-0.3481445,0.09960938,-2,0,0,0,-1,-2,-1,-2,-1,-1,-1,2,-2,-2,-2,0,-2.4375,-2.4375,-2.4375,-0.75,-0.75,-0.75,7.128104,3.025941,6.253064,2.938303,3.101562,6.915904,-0.1610945,-0.452613,1.415245,0.2348794,-0.4338238,1.394455,0.05055565,0.4142701,1.514647,-0.2064691,-0.4591399,1.435801,0.1894129,-0.4272117,1.372151,0.04639024,-0.05756083,1.518845,0.04127896,-0.3813138,1.491506,-0.130914,0.1204961,1.51594,-0.03580659,-0.3711987,1.461736,-0.1740991,-0.1476748,1.519807,0.2695526,-0.1439095,1.480618,NA,NA,NotTracked,NotTracked,
0.9223633,0.2954102,0.06347656,0.9257813,-0.3579102,0.09814453,0,-1,-1,0,0,1,-1,0,-3,-3,0,1,-1,-2,-1,-1,-1.4375,-1.4375,-1.4375,-2.1875,-2.1875,-2.1875,7.127131,3.025685,6.253268,2.936195,3.10113,6.915352,-0.1609048,-0.4527338,1.414494,0.2344925,-0.434257,1.393809,0.05046262,0.4142664,1.51446,-0.2059402,-0.451473,1.435356,0.1894344,-0.4303638,1.371367,0.04636074,-0.05755267,1.518785,0.04125242,-0.3813116,1.491456,-0.1312408,0.1202923,1.515924,-0.0358234,-0.3711943,1.461712,-0.1741374,-0.1477964,1.519736,0.269503,-0.1439045,1.4806,NA,NA,NotTracked,NotTracked,
0.9204102,0.3066406,0.07324219,0.9233398,-0.3486328,0.09375,-1,0,-1,-3,-3,0,1,-1,-1,-3,-5,-6,-2,0,-2,-3,1.125,1.125,1.125,0.0625,0.0625,0.0625,7.128451,3.025018,6.253024,2.936288,3.101047,6.915121,-0.1612334,-0.4511868,1.41557,0.2345316,-0.4343042,1.394364,0.05041129,0.4142505,1.51435,-0.205134,-0.4456832,1.436069,0.1890234,-0.4330671,1.370151,0.04629029,-0.0575759,1.518732,0.04118889,-0.3813322,1.491426,-0.1316607,0.1199985,1.516106,-0.0358702,-0.371202,1.461685,-0.1740458,-0.1473281,1.519711,0.2694902,-0.1439062,1.480608,NA,NA,NotTracked,NotTracked,
0.9301758,0.3046875,0.06689453,0.9326172,-0.3476563,0.1049805,-1,0,0,0,-1,0,-2,-2,-1,-2,0,-8,-2,-1,-3,-3,0.9375,0.9375,0.9375,0.875,0.875,0.875,7.129596,3.024624,6.252291,2.936805,3.101149,6.915445,-0.1615056,-0.4500134,1.415163,0.2346534,-0.4340362,1.39427,0.05035983,0.414219,1.514203,-0.2064161,-0.457169,1.434859,0.1899129,-0.422709,1.372345,0.04625264,-0.05761842,1.518655,0.04109953,-0.3813969,1.491322,-0.1319479,0.1197312,1.516075,-0.03596137,-0.3712726,1.46158,-0.1741227,-0.1475294,1.519628,0.2694672,-0.1438939,1.480618,NA,NA,NotTracked,NotTracked,
0.9243164,0.3139648,0.06396484,0.934082,-0.3535156,0.1079102,1,1,-1,-1,-2,-2,1,0,-1,-1,-3,1,-1,-2,1,1,0.6875,0.6875,0.6875,1.125,1.125,1.125,7.131478,3.024399,6.251667,2.938383,3.101732,6.914569,-0.1615636,-0.4505217,1.415698,0.2346047,-0.4348328,1.394537,0.05031301,0.4141265,1.514098,-0.206847,-0.4704833,1.429734,0.1883156,-0.4374171,1.368278,0.04621235,-0.05766864,1.518596,0.04104454,-0.3814527,1.491205,-0.1320785,0.1195861,1.516056,-0.03600796,-0.3713072,1.461465,-0.1741415,-0.1475374,1.519597,0.2693217,-0.1439066,1.480641,NA,NA,NotTracked,NotTracked,
0.9228516,0.3085938,0.06982422,0.9189453,-0.3510742,0.09912109,-3,2,1,-1,0,0,0,1,0,-2,2,-1,-1,0,0,-1,0.4375,0.4375,0.4375,2.5,2.5,2.5,7.131478,3.024399,6.251667,2.939455,3.101906,6.91615,-0.1616928,-0.453157,1.41527,0.2346961,-0.4347141,1.394835,0.05024816,0.414093,1.514063,-0.2062282,-0.4556524,1.436545,0.1896421,-0.4344681,1.369761,0.04618115,-0.05769064,1.518586,0.04102493,-0.3814753,1.491173,-0.1322552,0.1194378,1.516173,-0.03602475,-0.3713193,1.461434,-0.1741185,-0.1475584,1.51967,0.2692538,-0.1439243,1.480657,NA,NA,NotTracked,NotTracked,
0.9272461,0.3066406,0.07519531,0.9243164,-0.3579102,0.09179688,-2,-1,-3,-2,-3,-2,-2,-2,0,-3,-1,2,-2,0,-1,0,1.3125,1.3125,1.3125,-0.6875,-0.6875,-0.6875,7.130397,3.02512,6.253177,2.939455,3.101906,6.91615,-0.1614332,-0.4530557,1.414912,0.2349168,-0.4324224,1.395533,0.05015896,0.4140063,1.514022,-0.2065443,-0.4540614,1.436178,0.1889145,-0.4173355,1.372604,0.04614455,-0.05772713,1.518547,0.04096744,-0.3815406,1.491098,-0.1324784,0.1192081,1.516391,-0.03607859,-0.3713633,1.461362,-0.1741116,-0.1475753,1.519687,0.2691909,-0.1439407,1.480671,NA,NA,NotTracked,NotTracked,
0.9257813,0.3100586,0.06884766,0.9204102,-0.3598633,0.09472656,-3,-2,-2,0,1,1,2,-2,-1,-1,-2,-7,-3,-3,-3,-2,2.125,2.125,2.125,1.75,1.75,1.75,7.131408,3.025725,6.253871,2.938531,3.102651,6.918051,-0.1614718,-0.452488,1.415099,0.2344361,-0.4342629,1.393814,0.05007156,0.413913,1.513955,-0.2064612,-0.4491832,1.438467,0.1892473,-0.4343567,1.368804,0.04611952,-0.05778502,1.518492,0.04090169,-0.3815808,1.490992,-0.1325703,0.1190832,1.516467,-0.03613176,-0.3714085,1.461291,-0.1741397,-0.1479552,1.519751,0.2691619,-0.1439362,1.48068,NA,NA,NotTracked,NotTracked,
0.9174805,0.2963867,0.07617188,0.9238281,-0.3613281,0.105957,-1,-2,-2,-1,0,1,0,-2,-1,-1,1,-4,-1,0,1,-1,4.75,4.75,4.75,0.125,0.125,0.125,7.129542,3.025889,6.260322,2.938509,3.102309,6.918069,-0.1614104,-0.4508961,1.415817,0.2342062,-0.4341972,1.393712,0.05001865,0.4139001,1.51393,-0.2061089,-0.4496994,1.441423,0.189444,-0.4260782,1.371538,0.04610318,-0.05781132,1.518461,0.04088202,-0.381595,1.490943,-0.1327838,0.1188924,1.516647,-0.03614854,-0.3714286,1.461262,-0.1742093,-0.1480016,1.51978,0.2691147,-0.1439048,1.480692,NA,NA,NotTracked,NotTracked,
0.9174805,0.2963867,0.07617188,0.9238281,-0.3613281,0.105957,-1,-2,-2,-1,0,1,0,-2,-1,-5,-9,-4,0,0,0,-1,4.75,4.75,4.75,0.125,0.125,0.125,7.129542,3.025889,6.260322,2.938509,3.102309,6.918069,-0.1617696,-0.4511484,1.416456,0.2345789,-0.4330404,1.394858,0.05000627,0.4138814,1.513925,-0.2062527,-0.4556956,1.435328,0.1888227,-0.4316047,1.369802,0.04607802,-0.0578264,1.51846,0.0408471,-0.3816119,1.490891,-0.1329494,0.1187878,1.516787,-0.03618766,-0.3714388,1.461204,-0.1743389,-0.1480637,1.519875,0.2689581,-0.1438507,1.480773,NA,NA,NotTracked,NotTracked,
0.9262695,0.3120117,0.05908203,0.9257813,-0.3632813,0.1064453,1,-1,-3,0,2,-2,-1,-1,1,-3,-4,7,0,0,-1,-1,5.5,5.5,5.5,0.5,0.5,0.5,7.135584,3.028003,6.260703,2.938244,3.102359,6.918191,-0.161183,-0.4525225,1.416029,0.2342245,-0.4319457,1.394625,0.04994748,0.4138424,1.513955,-0.2060602,-0.4528279,1.437532,0.1900636,-0.4165007,1.372919,0.04599294,-0.05788178,1.518471,0.04078548,-0.3816424,1.490861,-0.1330426,0.1186947,1.516983,-0.0362498,-0.371464,1.461172,-0.1744183,-0.1479496,1.52004,0.2688669,-0.1438753,1.480832,NA,NA,NotTracked,NotTracked,
0.9306641,0.3061523,0.05419922,0.9291992,-0.378418,0.105957,-1,1,-1,-1,0,-4,0,-2,-4,6,4,2,-2,-2,-4,-5,-0.875,-0.875,-0.875,0.8125,0.8125,0.8125,7.13766,3.028745,6.25988,2.937017,3.103806,6.92025,-0.1615495,-0.4508991,1.416478,0.2341951,-0.4320979,1.394372,0.04984523,0.413762,1.513943,-0.2053993,-0.4652427,1.429353,0.1893655,-0.4256643,1.371162,0.04593392,-0.05793181,1.518488,0.0407261,-0.3817028,1.490801,-0.1332478,0.118427,1.517224,-0.03629554,-0.3715138,1.461137,-0.1743985,-0.1482395,1.520235,0.2688245,-0.1437581,1.480842,NA,NA,NotTracked,NotTracked,
