ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9511719,0.934082,0.487793,0.9853516,-0.2583008,0.1499023,-30,3,-33,-5,-5,-2,-4,-7,-1,-6,-4,-1,-3,-2,20,13,7.125,7.125,7.125,-19.8125,-19.8125,-19.8125,6.727881,3.611332,4.486095,2.946994,2.876101,3.668584,-0.1685295,-0.4151365,1.426858,0.211782,-0.3470685,1.273956,0.03171168,0.4467408,1.536264,-0.1315119,-0.4136597,1.394556,0.2393472,-0.3373162,1.251436,0.0258054,-0.01045916,1.542367,0.02654764,-0.3219516,1.521657,-0.1572252,0.1680077,1.538741,-0.05006037,-0.3135124,1.48562,-0.1945209,-0.1115489,1.5317,0.2517981,-0.09170675,1.516785,NA,NA,NotTracked,Unknown,
0.7607422,0.9648438,0.6240234,0.9853516,-0.2583008,0.1499023,1,-1,90,16,-1,-2,-2,2,-1,-6,-4,-1,-3,-2,20,13,53,53,53,-19.8125,-19.8125,-19.8125,6.741778,4.114141,4.54602,2.946994,2.876101,3.668584,-0.1689904,-0.4139809,1.426377,0.2093975,-0.2028618,1.183724,0.03142731,0.4467469,1.536338,-0.1335817,-0.4147613,1.392855,0.1948191,-0.1803074,1.153852,0.02558189,-0.0104807,1.542355,0.02596698,-0.3219771,1.521495,-0.157327,0.167927,1.538764,-0.05065671,-0.313282,1.485325,-0.194666,-0.1112262,1.531604,0.2605544,-0.05911547,1.511257,NA,NA,NotTracked,Unknown,
0.3920898,0.9624023,0.5854492,0.9853516,-0.2583008,0.1499023,-54,-17,-2,7,0,-1,-2,-11,-1,-6,-4,-1,-3,-2,20,13,32.5,32.5,32.5,-19.8125,-19.8125,-19.8125,6.784228,4.699593,4.612929,2.946994,2.876101,3.668584,-0.1684251,-0.4180515,1.424004,0.2005408,-0.03209013,1.150384,0.03117248,0.4468873,1.536817,-0.1295713,-0.4079873,1.396886,0.1720148,-0.0228704,1.189,0.02535356,-0.01040874,1.542528,0.0258507,-0.3219342,1.521506,-0.157321,0.1679203,1.538826,-0.05073227,-0.3132724,1.48532,-0.1948868,-0.1107049,1.531309,0.3110456,-0.03014197,1.45518,NA,NA,NotTracked,Unknown,
-0.09375,0.7236328,0.465332,0.9853516,-0.2583008,0.1499023,-16,-8,-8,-5,-2,5,0,-6,-1,-6,-4,-1,-3,-2,20,13,38.1875,38.1875,38.1875,-19.8125,-19.8125,-19.8125,6.829786,5.312553,4.711128,2.946994,2.876101,3.668584,-0.1682465,-0.4142969,1.423461,0.1979523,0.1222364,1.204299,0.03116701,0.4470892,1.537463,-0.1304728,-0.4073894,1.396403,0.1502117,0.148732,1.2302,0.02496581,-0.01096888,1.542693,0.0253912,-0.324041,1.521076,-0.1545662,0.1690907,1.534552,-0.05128856,-0.3153442,1.484918,-0.1950285,-0.1103883,1.531224,0.3319304,-0.08660835,1.443151,NA,NA,NotTracked,Unknown,
-0.3344727,0.6416016,0.3388672,0.9853516,-0.2583008,0.1499023,-42,-4,3,0,-2,-2,3,27,-1,-6,-4,-1,-3,-2,20,13,56.875,56.875,56.875,-19.8125,-19.8125,-19.8125,7.043414,6.016892,4.910583,2.946994,2.876101,3.668584,-0.1666394,-0.4243423,1.422311,0.1626005,0.2623895,1.253636,0.03059819,0.4472591,1.538506,-0.1282105,-0.4078222,1.397129,0.1143084,0.2606942,1.297762,0.02604171,-0.009213356,1.542762,0.02501898,-0.3223869,1.520973,-0.1531674,0.1688217,1.534389,-0.05224794,-0.3132735,1.485152,-0.1941716,-0.1036873,1.532437,0.2975565,-0.004589236,1.395126,NA,NA,NotTracked,Unknown,
-0.5634766,0.4433594,0.175293,0.9853516,-0.2583008,0.1499023,-44,-7,9,0,1,-2,-3,-7,-1,-6,-4,-1,-3,-2,20,13,21.6875,21.6875,21.6875,-19.8125,-19.8125,-19.8125,7.272538,6.389688,5.166052,2.946994,2.876101,3.668584,-0.171249,-0.400178,1.430855,0.1510835,0.3309153,1.309218,0.02919895,0.4472445,1.540394,-0.1307577,-0.3961677,1.400805,0.1337156,0.3157726,1.363792,0.02734664,-0.007164458,1.542519,0.02457387,-0.3200099,1.520527,-0.1498769,0.1700352,1.532427,-0.05318302,-0.3105268,1.484909,-0.1937996,-0.1005087,1.533715,0.3067107,0.0187234,1.377849,NA,NA,NotTracked,Open,
-0.5859375,0.4267578,0.09130859,0.9853516,-0.2583008,0.1499023,32,-7,-7,-2,1,-6,-6,-10,-1,-6,-4,-1,-3,-2,20,13,1.4375,1.4375,1.4375,-19.8125,-19.8125,-19.8125,7.565991,6.589333,5.501331,2.946994,2.876101,3.668584,-0.1688249,-0.4145835,1.426601,0.1480716,0.3484288,1.34401,0.02941835,0.4462107,1.540569,-0.1261727,-0.4027989,1.398845,0.108158,0.3087514,1.378216,0.02840004,-0.005670775,1.542189,0.0244012,-0.3181418,1.519889,-0.1476264,0.1706546,1.531329,-0.05367066,-0.3084528,1.484333,-0.1936579,-0.09855881,1.534612,0.3089666,0.03901692,1.361688,NA,NA,NotTracked,Open,
-0.7084961,0.4399414,-0.05957031,0.9853516,-0.2583008,0.1499023,-22,-9,-5,-2,-3,-1,-2,-29,-1,-6,-4,-1,-3,-2,20,13,-1.75,-1.75,-1.75,-19.8125,-19.8125,-19.8125,7.799282,6.654076,5.780171,2.946994,2.876101,3.668584,-0.17167,-0.4008375,1.432712,0.1389358,0.3713871,1.362206,0.03006348,0.4452209,1.540462,-0.1278821,-0.3747464,1.407484,0.09692273,0.3237594,1.394667,0.02881356,-0.005084396,1.542235,0.02420164,-0.3174951,1.519391,-0.1466325,0.1709264,1.531051,-0.05398869,-0.3077869,1.484217,-0.1933805,-0.09770776,1.535312,0.3078602,0.05690253,1.347717,NA,NA,NotTracked,Open,
-0.7685547,0.4482422,-0.09082031,0.9853516,-0.2583008,0.1499023,-6,2,2,5,1,0,-3,-16,-1,-6,-4,-1,-3,-2,20,13,-7.3125,-7.3125,-7.3125,-19.8125,-19.8125,-19.8125,7.898158,6.661147,5.910005,2.946994,2.876101,3.668584,-0.1659807,-0.4276778,1.421137,0.1392387,0.3579854,1.367271,0.03119921,0.4442944,1.540159,-0.1271898,-0.4221635,1.392029,0.09808447,0.3148076,1.400629,0.0293999,-0.004532999,1.542027,0.02424546,-0.3170607,1.519086,-0.14595,0.1710359,1.530779,-0.05403722,-0.3073825,1.484108,-0.1932636,-0.09661516,1.535793,0.30839,0.06180933,1.344652,NA,NA,NotTracked,Open,
-0.8291016,0.4775391,-0.1142578,0.9853516,-0.2583008,0.1499023,-8,7,-3,-3,-1,13,3,-16,-1,-6,-4,-1,-3,-2,20,13,-0.9375,-0.9375,-0.9375,-19.8125,-19.8125,-19.8125,7.928106,6.658878,5.95024,2.946994,2.876101,3.668584,-0.1686812,-0.4008956,1.430027,0.1381005,0.3587694,1.367974,0.03151673,0.4439303,1.540137,-0.1257704,-0.3921749,1.401726,0.1026227,0.3178847,1.405316,0.03008114,-0.004108429,1.541813,0.02447707,-0.3167573,1.518747,-0.1453578,0.1711714,1.530568,-0.05394885,-0.3071268,1.483988,-0.1929591,-0.09573022,1.536148,0.3082097,0.06552015,1.342057,NA,NA,NotTracked,Open,
