ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9316406,0.2763672,0.09667969,0.9282227,-0.3295898,0.09130859,0,-1,0,-2,-2,-5,0,-1,-1,0,0,-1,-1,1,-1,-3,0.4375,0.4375,0.4375,9.625,9.625,9.625,6.966287,2.983432,5.703005,2.923192,3.045381,6.408546,-0.1466813,-0.4100969,1.436532,0.246253,-0.4077115,1.421284,0.05577723,0.4446236,1.536664,-0.1861931,-0.414131,1.461836,0.286316,-0.4035892,1.419874,0.05115195,-0.01242706,1.550176,0.05255659,-0.3242374,1.530172,-0.1284567,0.1676769,1.547399,-0.02405021,-0.3151727,1.495462,-0.1688458,-0.1104021,1.545867,0.2667234,-0.1029107,1.523875,NA,NA,NotTracked,NotTracked,
0.9331055,0.2768555,0.09667969,0.9282227,-0.3295898,0.09130859,-2,-2,0,0,-1,0,-1,-1,-1,0,0,-1,-1,1,-1,-3,0.3125,0.3125,0.3125,9.625,9.625,9.625,6.965937,2.983799,5.70313,2.923192,3.045381,6.408546,-0.1465562,-0.410643,1.43626,0.2464893,-0.4073601,1.42119,0.05582057,0.4445929,1.536576,-0.1873259,-0.4059988,1.467202,0.2870313,-0.419036,1.420739,0.05118793,-0.01246809,1.550063,0.05259411,-0.3242772,1.530067,-0.1289988,0.1674481,1.547285,-0.02400282,-0.3152159,1.49532,-0.1688052,-0.1102476,1.545742,0.2667664,-0.1028222,1.523837,NA,NA,NotTracked,NotTracked,
0.9335938,0.2773438,0.09619141,0.9282227,-0.3295898,0.09130859,-4,0,0,-2,0,4,-6,-4,-1,0,0,-1,-1,1,-1,-3,0.625,0.625,0.625,9.625,9.625,9.625,6.966057,2.98356,5.703411,2.923192,3.045381,6.408546,-0.1463995,-0.4107056,1.436916,0.2461679,-0.4074752,1.42199,0.05585038,0.4446286,1.536561,-0.1869218,-0.406668,1.466883,0.288666,-0.4232226,1.425375,0.0512028,-0.01245169,1.55003,0.05258131,-0.3242679,1.530037,-0.1292345,0.1673775,1.547385,-0.02402069,-0.3152058,1.495287,-0.1687703,-0.1102184,1.545715,0.2668267,-0.102944,1.523708,NA,NA,NotTracked,NotTracked,
0.9316406,0.2783203,0.09716797,0.9282227,-0.3295898,0.09130859,0,0,-2,0,-2,5,0,1,-1,0,0,-1,-1,1,-1,-3,0.75,0.75,0.75,9.625,9.625,9.625,6.966057,2.98356,5.703411,2.923192,3.045381,6.408546,-0.1468674,-0.4102083,1.436731,0.2465325,-0.4072716,1.421424,0.05587789,0.4446571,1.536505,-0.1874863,-0.3977637,1.464413,0.2878115,-0.420768,1.421935,0.0512003,-0.01244882,1.549933,0.05255913,-0.3242363,1.529926,-0.1293264,0.1673981,1.547371,-0.02406522,-0.3151695,1.495099,-0.1687618,-0.1103026,1.545573,0.2668323,-0.1028681,1.523647,NA,NA,NotTracked,NotTracked,
0.9316406,0.2758789,0.09033203,0.9282227,-0.3295898,0.09130859,-4,0,-1,-2,-2,0,1,5,-1,0,0,-1,-1,1,-1,-3,-0.1875,-0.1875,-0.1875,9.625,9.625,9.625,6.965937,2.983799,5.70313,2.923192,3.045381,6.408546,-0.1467585,-0.4104983,1.436909,0.2466908,-0.4073006,1.42172,0.05588445,0.4446455,1.536498,-0.1862001,-0.4274828,1.461333,0.2868389,-0.3964858,1.421429,0.05122316,-0.01244808,1.549922,0.05261403,-0.324248,1.52985,-0.1296834,0.1673163,1.547418,-0.0240053,-0.3151918,1.495045,-0.1686253,-0.1103048,1.545535,0.2668525,-0.1028041,1.523593,NA,NA,NotTracked,NotTracked,
0.9291992,0.2817383,0.08837891,0.9282227,-0.3295898,0.09130859,-2,0,-1,-4,-4,1,1,1,-1,0,0,-1,-1,1,-1,-3,0.4375,0.4375,0.4375,9.625,9.625,9.625,6.965937,2.983799,5.70313,2.923192,3.045381,6.408546,-0.1460454,-0.4103899,1.435818,0.2467015,-0.4073833,1.421055,0.0558721,0.4445821,1.536418,-0.1860241,-0.4106601,1.463286,0.2873769,-0.4108262,1.42158,0.05123715,-0.01248155,1.549788,0.05259698,-0.3242594,1.529757,-0.1298631,0.167281,1.547352,-0.02403502,-0.3151793,1.494918,-0.1684852,-0.1105876,1.545368,0.2668666,-0.1028242,1.523503,NA,NA,NotTracked,NotTracked,
0.9365234,0.3139648,0.07763672,0.9282227,-0.3295898,0.09130859,-1,1,-1,-12,1,-5,-3,-3,-1,0,0,-1,-1,1,-1,-3,-2,-2,-2,9.625,9.625,9.625,6.965003,2.9803,5.703938,2.923192,3.045381,6.408546,-0.1461609,-0.4102189,1.435914,0.2469781,-0.4071794,1.42142,0.05587365,0.4445406,1.536347,-0.1854914,-0.4109125,1.462476,0.2879317,-0.4204062,1.422357,0.05128782,-0.01253142,1.549734,0.05259731,-0.3242622,1.529721,-0.130095,0.1671515,1.547392,-0.02403561,-0.3151837,1.494882,-0.1684341,-0.1103003,1.545221,0.2668818,-0.1027267,1.523429,NA,NA,NotTracked,NotTracked,
1.027344,0.6020508,0.1210938,0.9282227,-0.3295898,0.09130859,11,11,20,12,10,3,4,1,-1,0,0,-1,-1,1,-1,-3,63.5625,63.5625,63.5625,9.625,9.625,9.625,6.966034,3.011479,5.785784,2.923192,3.045381,6.408546,-0.1461848,-0.4099888,1.43609,0.2456119,-0.4054572,1.415516,0.05587544,0.4445404,1.536311,-0.185214,-0.4124625,1.46048,0.2893509,-0.4165028,1.422569,0.05130357,-0.01252855,1.549708,0.05263433,-0.3242387,1.529679,-0.1302448,0.1671839,1.547326,-0.02397506,-0.3151504,1.494814,-0.1683929,-0.110348,1.545068,0.2672106,-0.1023014,1.522655,NA,NA,NotTracked,NotTracked,
1.152832,0.4648438,0.1953125,0.9282227,-0.3295898,0.09130859,-8,5,-4,36,-11,-2,-5,3,-1,0,0,-1,-1,1,-1,-3,52.4375,52.4375,52.4375,9.625,9.625,9.625,6.806172,3.145348,6.01791,2.923192,3.045381,6.408546,-0.1463798,-0.4100347,1.436149,0.2147852,-0.3866379,1.380922,0.05595643,0.444545,1.536246,-0.1855106,-0.4110506,1.461534,0.2439268,-0.4008044,1.344906,0.05117757,-0.01252516,1.549693,0.05219164,-0.3241886,1.529647,-0.1227435,0.1689565,1.546737,-0.02465916,-0.3147865,1.494646,-0.1684012,-0.1103391,1.54497,0.2697933,-0.09623028,1.51983,NA,NA,NotTracked,Unknown,
1.026855,0.7382813,0.7348633,0.9282227,-0.3295898,0.09130859,-17,-9,31,19,-17,4,2,-12,-1,0,0,-1,-1,1,-1,-3,130.5625,130.5625,130.5625,9.625,9.625,9.625,6.65086,3.641793,6.494253,2.923192,3.045381,6.408546,-0.1463386,-0.4092479,1.435084,0.1335321,-0.3047676,1.334285,0.05624355,0.444495,1.535981,-0.1825745,-0.4346929,1.450909,0.1623498,-0.3364322,1.347111,0.0511975,-0.01248614,1.549652,0.05174338,-0.3238158,1.529674,-0.124848,0.1684753,1.546224,-0.02523798,-0.313759,1.49428,-0.1685373,-0.1098027,1.54478,0.2783362,-0.06276705,1.510486,NA,NA,NotTracked,Closed,
