ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9433594,-0.3041992,0.1083984,0.9277344,0.284668,0.1054688,-1,-1,-1,-1,-1,0,-3,-2,-1,0,-2,-1,-1,-2,0,-1,0.5,0.5,0.5,-0.5625,-0.5625,-0.5625,3.019539,3.030325,4.690856,7.055526,2.986502,9.32624,-0.1632177,-0.4263436,1.42961,0.2307505,-0.4134588,1.425987,0.02938899,0.4463432,1.536448,-0.1151786,-0.4108466,1.398973,0.1806501,-0.4104866,1.390707,0.02485784,-0.02402792,1.545153,0.0295083,-0.3491736,1.521578,-0.1571396,0.1644161,1.536726,-0.05529302,-0.3399427,1.482609,-0.1939529,-0.1105048,1.533858,0.2436712,-0.1055909,1.525447,NA,NA,NotTracked,NotTracked,
0.9462891,-0.3056641,0.1054688,0.9262695,0.2797852,0.1069336,0,0,-2,-3,-1,0,-1,-1,-2,-2,0,-1,1,-2,0,-1,-0.1875,-0.1875,-0.1875,0.625,0.625,0.625,3.019595,3.030346,4.690451,7.054425,2.985019,9.326984,-0.1634968,-0.4266027,1.429927,0.2302891,-0.4128646,1.426135,0.02936297,0.4463844,1.536509,-0.1158106,-0.399864,1.4006,0.1809892,-0.4052538,1.390986,0.02494373,-0.02403002,1.545196,0.02952826,-0.34918,1.521586,-0.1570811,0.1644005,1.536718,-0.05526321,-0.339944,1.482616,-0.1938609,-0.1105378,1.533873,0.2436842,-0.1055047,1.525491,NA,NA,NotTracked,NotTracked,
0.9477539,-0.3115234,0.1049805,0.9311523,0.2822266,0.1083984,-1,0,0,0,-1,0,0,-2,0,-1,0,0,-1,-1,0,-1,-0.4375,-0.4375,-0.4375,1.25,1.25,1.25,3.019595,3.030346,4.690451,7.053018,2.984701,9.329288,-0.1629713,-0.427108,1.430268,0.2310067,-0.4131546,1.427175,0.02937846,0.4463764,1.536556,-0.1159105,-0.3950472,1.402316,0.1814202,-0.3990752,1.391072,0.02498977,-0.02405691,1.545211,0.02954368,-0.3491896,1.521574,-0.1571156,0.1642903,1.536811,-0.05525169,-0.3399517,1.482604,-0.1937396,-0.1103363,1.534007,0.2437077,-0.1055007,1.525578,NA,NA,NotTracked,NotTracked,
0.9750977,-0.3911133,0.1201172,0.9428711,0.2861328,0.1083984,0,0,-2,-2,-1,-1,2,1,3,-2,0,0,-2,-2,-4,16,-4.8125,-4.8125,-4.8125,-1.375,-1.375,-1.375,3.018462,3.033619,4.686338,7.049507,2.98696,9.330001,-0.1623056,-0.4313908,1.428529,0.2302906,-0.4130107,1.425781,0.0293928,0.4463575,1.536602,-0.1133516,-0.4290368,1.396705,0.1820287,-0.3860768,1.391579,0.02503696,-0.02406731,1.54521,0.02957571,-0.3492034,1.521541,-0.1570791,0.1642473,1.536895,-0.05521911,-0.3399627,1.482583,-0.1936746,-0.110355,1.533986,0.2436834,-0.1054468,1.525559,NA,NA,NotTracked,NotTracked,
0.9589844,-0.425293,0.1181641,1.03125,0.2944336,0.07568359,-1,1,0,-2,-5,-6,-10,-6,11,15,-9,-7,-3,-1,-6,-1,10.625,10.625,10.625,-15.3125,-15.3125,-15.3125,3.051371,3.058686,4.66245,7.034109,3.000196,9.333375,-0.1632809,-0.4266874,1.429265,0.2302744,-0.4155047,1.421191,0.02942375,0.4463565,1.536773,-0.1152905,-0.4014332,1.400952,0.1802706,-0.4295348,1.393394,0.02507701,-0.02408987,1.545328,0.02958294,-0.3492057,1.521605,-0.1570251,0.1643447,1.537029,-0.0552158,-0.3399569,1.482641,-0.1936643,-0.110406,1.534057,0.244121,-0.10546,1.526264,NA,NA,NotTracked,NotTracked,
0.9223633,-0.6689453,0.1582031,1.114258,0.5600586,0.1162109,0,-1,-2,5,-9,2,-2,-1,0,-4,-5,3,15,5,-14,6,-23,-23,-23,-20.4375,-20.4375,-20.4375,3.058349,3.17454,4.620604,6.812333,3.159214,9.531317,-0.1595793,-0.421257,1.415142,0.2195871,-0.4006823,1.392849,0.02944179,0.4464142,1.536941,-0.1167797,-0.4006868,1.391068,0.1749794,-0.3960238,1.393088,0.02507019,-0.02407591,1.545342,0.02957376,-0.3492056,1.521577,-0.1570482,0.1644101,1.537021,-0.05523739,-0.3399335,1.482539,-0.1943166,-0.109151,1.533072,0.2464677,-0.1034658,1.530999,NA,NA,NotTracked,NotTracked,
0.8847656,-0.7138672,0.2773438,1.023438,0.7597656,0.5859375,1,1,5,13,5,-14,4,1,-6,-10,-24,1,-39,-14,-2,-2,-38.1875,-38.1875,-38.1875,-2.6875,-2.6875,-2.6875,3.094288,3.370169,4.528312,6.647188,3.616566,9.691754,-0.1493336,-0.4071505,1.375421,0.2054781,-0.3132587,1.339144,0.02966191,0.4464254,1.537401,-0.136779,-0.3864969,1.322535,0.1722037,-0.3498919,1.347917,0.02505149,-0.0241063,1.545479,0.02940351,-0.3492583,1.521582,-0.1571044,0.1647858,1.537022,-0.0554651,-0.3398261,1.482346,-0.1967065,-0.1021502,1.527344,0.2528638,-0.09090044,1.542881,NA,NA,Unknown,Unknown,
0.8144531,-0.8466797,0.362793,0.6518555,0.9604492,0.6767578,4,3,7,13,3,11,3,0,-31,-37,0,0,7,7,-11,-8,-68.5625,-68.5625,-68.5625,8.3125,8.3125,8.3125,3.082161,3.62829,4.414592,6.629158,4.151766,9.755292,-0.131469,-0.3548543,1.294768,0.1842382,-0.1751062,1.265262,0.03022352,0.4465823,1.538367,-0.1139093,-0.3262975,1.253083,0.1412662,-0.1754684,1.278818,0.02528887,-0.02410011,1.54585,0.0297138,-0.349318,1.521743,-0.1571367,0.1655039,1.536851,-0.05505741,-0.3402364,1.482438,-0.202299,-0.08773847,1.511668,0.2540274,-0.06763035,1.551109,NA,NA,Unknown,Closed,
0.6645508,-0.8598633,0.4570313,-0.04052734,0.6816406,0.5205078,2,3,-2,-39,0,2,0,6,-32,-31,-6,-7,-9,-9,-4,-6,-81.6875,-81.6875,-81.6875,-28.25,-28.25,-28.25,3.029384,4.049325,4.246229,6.563095,4.806089,9.811284,-0.09711901,-0.275782,1.222146,0.1681599,-0.008407995,1.249089,0.03135551,0.446648,1.539805,-0.08446392,-0.2443986,1.1838,0.1555147,0.01658242,1.240385,0.02621053,-0.02406634,1.547324,0.03066719,-0.3491489,1.522991,-0.1560732,0.1666823,1.535672,-0.05389992,-0.3414409,1.48435,-0.2078279,-0.06635084,1.491008,0.2641687,-0.06075756,1.491953,NA,NA,Unknown,Unknown,
0.5698242,-0.7973633,0.390625,-0.4501953,0.6381836,0.3735352,1,-13,-4,-6,2,3,4,4,7,0,-6,22,-37,-18,-3,0,-79.375,-79.375,-79.375,43.875,43.875,43.875,2.950651,4.350414,4.1445,6.634824,5.632357,9.873302,-0.05185594,-0.1872464,1.162372,0.1691706,0.1288811,1.295228,0.03291919,0.4464559,1.542373,-0.05041046,-0.1475539,1.133625,0.1225427,0.1497484,1.308667,0.02627672,-0.02476533,1.550327,0.03026736,-0.3503212,1.52639,-0.1544227,0.1661816,1.530026,-0.05356422,-0.3427947,1.487583,-0.2411441,-0.04924772,1.403938,0.2951245,-0.1178037,1.520718,NA,NA,Unknown,Unknown,
