ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9667969,-0.6845703,0.1044922,0.7861328,1.077637,0.7041016,-2,0,1,-3,-7,-7,-8,-3,10,-3,39,5,-7,-2,2,1,-175.375,-175.375,-175.375,11.3125,11.3125,11.3125,2.619478,3.31167,3.220381,6.751207,4.134914,8.273803,-0.1344966,-0.397176,1.364483,0.1500326,-0.1550979,1.200583,0.0325936,0.446255,1.546461,-0.1012785,-0.3607504,1.398091,0.1531471,-0.1497907,1.158692,0.02715656,-0.0233485,1.550216,0.03170807,-0.3488026,1.525595,-0.1536384,0.170062,1.535776,-0.05318237,-0.3399433,1.48661,-0.2048435,-0.07881925,1.504858,0.2584233,-0.05733282,1.50871,NA,NA,Unknown,Unknown,
0.9194336,-0.7636719,0.1523438,0.4951172,1.033691,0.715332,1,-1,0,4,14,10,7,-2,-8,8,4,4,-3,-3,-3,0,-181.9375,-181.9375,-181.9375,-4.25,-4.25,-4.25,2.565424,3.424152,3.048523,6.734217,4.577184,8.307489,-0.1150566,-0.3859313,1.34151,0.14021,-0.06021108,1.186435,0.03363914,0.4462566,1.549034,-0.08361308,-0.3658188,1.365167,0.1454118,-0.05591321,1.139556,0.02811593,-0.02298744,1.551515,0.03370584,-0.348498,1.526264,-0.1534353,0.1701449,1.535621,-0.05124232,-0.340654,1.487534,-0.2066674,-0.07513249,1.498956,0.2797688,-0.04238918,1.472052,NA,NA,Unknown,Unknown,
0.8564453,-0.7744141,0.2060547,-0.1411133,0.809082,0.6191406,-2,-2,-5,-7,7,-4,-7,-3,25,-5,6,0,-6,3,1,6,-173.25,-173.25,-173.25,-31.1875,-31.1875,-31.1875,2.521775,3.555875,2.864929,6.686532,5.324665,8.333026,-0.09109616,-0.3626139,1.32002,0.130127,0.04393948,1.171939,0.03558592,0.4462527,1.551291,-0.06636806,-0.3359148,1.351867,0.1505249,0.0339205,1.147471,0.02938958,-0.02276369,1.553028,0.0350647,-0.3479495,1.527019,-0.150744,0.1718607,1.533632,-0.04987263,-0.3408583,1.488017,-0.2128213,-0.0611553,1.484507,0.2644722,-0.04238819,1.424544,NA,NA,Unknown,Unknown,
0.7753906,-0.8369141,0.2084961,-0.2617188,0.7109375,0.5751953,-1,1,-2,-14,-2,-5,-2,-4,3,1,23,-5,-1,-2,2,4,-182.8125,-182.8125,-182.8125,-34.625,-34.625,-34.625,2.462886,3.705926,2.683303,6.666988,5.574139,8.336925,-0.05206779,-0.3133429,1.339381,0.1409401,0.1351043,1.197439,0.03650049,0.4456557,1.553344,0.002057185,-0.3167728,1.375143,0.1479761,0.1231432,1.155167,0.02911595,-0.02460507,1.554205,0.03559539,-0.3531858,1.528398,-0.1497605,0.1714776,1.53265,-0.04975089,-0.3491483,1.492925,-0.2163195,-0.04968856,1.470154,0.2592631,-0.03823232,1.420331,NA,NA,Unknown,Unknown,
0.6557617,-0.8637695,0.1733398,-0.4672852,0.5966797,0.5761719,-1,0,-5,-27,-4,9,-11,-3,-14,-2,-4,-5,7,-3,0,-4,-165.5625,-165.5625,-165.5625,-13.0625,-13.0625,-13.0625,2.401808,3.873394,2.500704,6.638358,6.045041,8.327826,-0.02690254,-0.2847864,1.321695,0.1487215,0.2190487,1.219269,0.03694002,0.4459353,1.554865,-0.01329075,-0.3137152,1.371125,0.1079177,0.2490135,1.2288,0.03030009,-0.0230138,1.556003,0.03423976,-0.3515442,1.529244,-0.1492006,0.171998,1.532276,-0.05178517,-0.3463947,1.493429,-0.2223296,-0.04391351,1.457086,0.2470812,-0.01104133,1.390601,NA,NA,Unknown,Unknown,
0.621582,-0.8134766,0.1337891,-0.4541016,0.5024414,0.4589844,1,2,7,-6,2,8,21,7,6,2,0,-5,0,1,-2,1,-139.1875,-139.1875,-139.1875,-25.125,-25.125,-25.125,2.344615,4.045743,2.334608,6.551863,6.632976,8.255318,0.003563295,-0.247439,1.320707,0.1617815,0.2760575,1.259047,0.037196,0.4460273,1.557259,-0.0311485,-0.296942,1.367072,0.1531976,0.2795461,1.276909,0.03022274,-0.02224343,1.556301,0.03394557,-0.3493414,1.530012,-0.1462771,0.1736588,1.531099,-0.05240367,-0.3417637,1.493085,-0.2273416,-0.03549779,1.443678,0.2452458,-0.007429965,1.385174,NA,NA,Unknown,Unknown,
0.4677734,-0.8037109,0.0859375,-0.4189453,0.4233398,0.4257813,0,-2,-2,-2,-5,-2,-17,3,1,9,-1,-5,-5,-1,1,1,-112,-112,-112,-36.5625,-36.5625,-36.5625,2.295421,4.220042,2.178178,6.480345,6.792472,8.197616,0.04593273,-0.1707885,1.339763,0.1788149,0.3808288,1.335114,0.03906389,0.4455333,1.564327,0.07784931,-0.140603,1.377,0.1482563,0.3727795,1.364167,0.02954043,-0.02127542,1.557077,0.03286787,-0.3468213,1.530701,-0.1409008,0.1788157,1.529199,-0.05327219,-0.3371209,1.492663,-0.2258892,-0.01572453,1.412159,0.2353775,0.101708,1.309322,NA,NA,Unknown,Unknown,
0.4482422,-0.7822266,-0.02099609,-0.465332,0.2514648,0.2705078,-3,-4,-7,3,3,-9,-8,-5,-2,-1,-7,3,4,1,-5,-2,-83.5,-83.5,-83.5,-51.3125,-51.3125,-51.3125,2.252104,4.386576,2.05106,6.229002,7.060822,7.987687,0.04740507,-0.1279476,1.350059,0.1918701,0.3766291,1.357434,0.03955308,0.4455862,1.5663,0.03131653,-0.1796351,1.377425,0.1681108,0.3820784,1.417,0.02912658,-0.02082015,1.557297,0.03219407,-0.3457752,1.530727,-0.139787,0.1801813,1.528555,-0.05374757,-0.3360057,1.492656,-0.2206654,-0.01006927,1.400853,0.236529,0.1007796,1.309178,NA,NA,Unknown,Closed,
0.4155273,-0.8115234,-0.05517578,-0.5039063,0.1586914,0.1621094,2,0,1,11,4,7,21,0,5,-11,-3,5,1,-3,-5,-2,-62.875,-62.875,-62.875,-39.125,-39.125,-39.125,2.21371,4.536033,1.948283,5.685721,7.244415,7.480835,0.02463521,-0.08508178,1.355018,0.1983651,0.3818767,1.374999,0.03972342,0.4456689,1.568039,0.01980528,-0.1388718,1.378184,0.1738186,0.3901021,1.4325,0.02876967,-0.0202933,1.55746,0.03178146,-0.3443885,1.530659,-0.1390081,0.1810696,1.527677,-0.05389434,-0.3346646,1.492483,-0.2182659,-0.00339347,1.389941,0.2362227,0.102897,1.308351,NA,NA,Unknown,Closed,
0.3833008,-0.7529297,-0.1206055,-0.6328125,0.1147461,0.07373047,3,0,4,-7,0,1,9,3,3,2,2,8,5,-1,5,3,-37.875,-37.875,-37.875,-29.625,-29.625,-29.625,2.185001,4.660172,1.879245,4.73022,7.319841,6.550503,0.0481758,-0.06398969,1.343012,0.2050454,0.3827869,1.391855,0.03977035,0.4460192,1.569702,0.07970781,-0.05237952,1.367222,0.180855,0.3902311,1.447333,0.02849136,-0.01993113,1.557678,0.03149135,-0.343635,1.530663,-0.1359363,0.1840345,1.526264,-0.05409573,-0.3339486,1.492528,-0.2125825,0.005687643,1.378519,0.2346917,0.1140163,1.304615,NA,NA,Unknown,Closed,
