ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.921875,0.3081055,0.125,0.9282227,-0.3295898,0.09130859,-1,-1,-2,-1,-1,-5,-5,-2,-1,0,0,-1,-1,1,-1,-3,-2.375,-2.375,-2.375,9.625,9.625,9.625,6.851235,3.066243,5.505414,2.923192,3.045381,6.408546,-0.1506044,-0.3941011,1.434723,0.242911,-0.4130963,1.414925,0.05247675,0.4441657,1.537827,-0.1899096,-0.3873356,1.465786,0.28326,-0.3897793,1.416941,0.047174,-0.01269203,1.543968,0.05187665,-0.3244217,1.522312,-0.1342537,0.1659527,1.54188,-0.02483094,-0.3156529,1.486296,-0.17171,-0.1095229,1.534239,0.2647791,-0.1006569,1.525008,NA,NA,NotTracked,NotTracked,
0.9169922,0.3144531,0.1362305,0.9282227,-0.3295898,0.09130859,0,-2,0,1,-1,4,-8,1,-1,0,0,-1,-1,1,-1,-3,-3.375,-3.375,-3.375,9.625,9.625,9.625,6.843089,3.066726,5.507918,2.923192,3.045381,6.408546,-0.1498949,-0.3918828,1.434258,0.2430641,-0.4134256,1.414582,0.05249114,0.4441883,1.537871,-0.1844589,-0.404759,1.457223,0.280067,-0.3961961,1.409788,0.04717501,-0.01271168,1.54399,0.0518626,-0.3244455,1.522301,-0.134394,0.1657833,1.541716,-0.02485243,-0.3156717,1.486302,-0.171634,-0.109555,1.534316,0.2647988,-0.1006664,1.524968,NA,NA,NotTracked,NotTracked,
0.9160156,0.3085938,0.1376953,0.9282227,-0.3295898,0.09130859,0,-2,-2,-1,-5,2,-1,1,-1,0,0,-1,-1,1,-1,-3,-1.5,-1.5,-1.5,9.625,9.625,9.625,6.836364,3.067137,5.511254,2.923192,3.045381,6.408546,-0.1498546,-0.3917617,1.434284,0.2430192,-0.4128139,1.414504,0.05250994,0.4441734,1.53787,-0.1825086,-0.418479,1.452875,0.2792809,-0.3965711,1.407413,0.04719189,-0.01273504,1.543986,0.05187901,-0.3245265,1.522233,-0.1343704,0.1655592,1.541352,-0.02484915,-0.3157328,1.486241,-0.1715734,-0.1095891,1.534305,0.2648072,-0.1006582,1.524962,NA,NA,NotTracked,NotTracked,
0.9194336,0.3183594,0.1308594,0.9282227,-0.3295898,0.09130859,-2,0,-2,2,2,-1,-1,-2,-1,0,0,-1,-1,1,-1,-3,-0.9375,-0.9375,-0.9375,9.625,9.625,9.625,6.83096,3.067145,5.514469,2.923192,3.045381,6.408546,-0.150378,-0.3916688,1.434587,0.2429805,-0.4135028,1.413915,0.05258272,0.4441146,1.537804,-0.1826821,-0.4228275,1.454333,0.2832477,-0.376175,1.412783,0.04724272,-0.01276428,1.543914,0.05192979,-0.3245664,1.522163,-0.1343126,0.1653548,1.541056,-0.02479848,-0.3157547,1.486146,-0.1714494,-0.1097403,1.534219,0.2648818,-0.1007217,1.52485,NA,NA,NotTracked,NotTracked,
0.9135742,0.3149414,0.1420898,0.9282227,-0.3295898,0.09130859,-1,-1,-1,1,-2,2,-2,-3,-1,0,0,-1,-1,1,-1,-3,-0.8125,-0.8125,-0.8125,9.625,9.625,9.625,6.828429,3.068237,5.515718,2.923192,3.045381,6.408546,-0.1504715,-0.3929122,1.434916,0.2435679,-0.4134395,1.41472,0.05275355,0.4441628,1.537741,-0.1840736,-0.4131514,1.455518,0.2826233,-0.3787634,1.410855,0.04729678,-0.01274644,1.543889,0.05195762,-0.3245485,1.522146,-0.134296,0.1652936,1.540835,-0.02476699,-0.3157251,1.486118,-0.1713199,-0.1097282,1.534266,0.2649376,-0.1006138,1.524858,NA,NA,NotTracked,NotTracked,
0.9418945,0.3310547,0.1411133,0.9282227,-0.3295898,0.09130859,-10,-8,6,3,-1,-5,1,5,-1,0,0,-1,-1,1,-1,-3,-0.75,-0.75,-0.75,9.625,9.625,9.625,6.827347,3.072804,5.516895,2.923192,3.045381,6.408546,-0.1498162,-0.3927431,1.434652,0.2430675,-0.4134573,1.413742,0.05291528,0.4441649,1.537766,-0.1846724,-0.4065736,1.458124,0.2811406,-0.4177929,1.41175,0.0473462,-0.01274248,1.543877,0.05200488,-0.3245341,1.522132,-0.1342535,0.1652929,1.540778,-0.02471675,-0.3156958,1.486092,-0.1711597,-0.1099306,1.534315,0.2650751,-0.1005948,1.524916,NA,NA,NotTracked,NotTracked,
1.155273,0.3491211,0.1313477,0.9282227,-0.3295898,0.09130859,-2,-1,4,0,2,-1,-9,5,-1,0,0,-1,-1,1,-1,-3,-11.25,-11.25,-11.25,9.625,9.625,9.625,6.684901,3.152773,5.646837,2.923192,3.045381,6.408546,-0.1499634,-0.3913319,1.435478,0.2368539,-0.4148506,1.400711,0.05302415,0.4442134,1.537715,-0.1834484,-0.4148607,1.455737,0.2678292,-0.404785,1.379061,0.04740866,-0.01274644,1.543797,0.05202034,-0.3245456,1.522054,-0.134232,0.1652559,1.540674,-0.02470619,-0.31569,1.48596,-0.1709572,-0.1099147,1.534267,0.2656403,-0.1002644,1.525698,NA,NA,NotTracked,NotTracked,
1.065918,0.7539063,0.4853516,0.9282227,-0.3295898,0.09130859,0,-5,-3,-4,-4,2,18,-3,-1,0,0,-1,-1,1,-1,-3,33.5625,33.5625,33.5625,9.625,9.625,9.625,6.567837,3.409688,5.842239,2.923192,3.045381,6.408546,-0.1498756,-0.3922648,1.43413,0.2079678,-0.3638853,1.356961,0.05319858,0.4442514,1.537522,-0.1838171,-0.4141759,1.4572,0.2150952,-0.3594778,1.310365,0.04729409,-0.0127205,1.543604,0.05116245,-0.3245144,1.521628,-0.1341711,0.1652862,1.540551,-0.02589342,-0.315082,1.485098,-0.1707484,-0.1100102,1.534232,0.2711739,-0.08795292,1.53166,NA,NA,NotTracked,Unknown,
0.9936523,0.7753906,0.5297852,0.9282227,-0.3295898,0.09130859,1,3,18,11,6,5,15,12,-1,0,0,-1,-1,1,-1,-3,18.1875,18.1875,18.1875,9.625,9.625,9.625,6.53784,3.539954,5.890785,2.923192,3.045381,6.408546,-0.1501251,-0.3929963,1.434555,0.1412982,-0.2502541,1.326864,0.05356304,0.4442791,1.537348,-0.182817,-0.4145963,1.454468,0.1873756,-0.2099936,1.296211,0.04726498,-0.01269858,1.543568,0.0507775,-0.3244806,1.52152,-0.1339526,0.1652333,1.540137,-0.02633542,-0.3147706,1.484821,-0.1706456,-0.1098152,1.534129,0.2755136,-0.06799828,1.536653,NA,NA,NotTracked,Unknown,
0.04833984,0.6884766,0.5507813,0.9282227,-0.3295898,0.09130859,6,14,2,6,15,4,4,1,-1,0,0,-1,-1,1,-1,-3,-10.0625,-10.0625,-10.0625,9.625,9.625,9.625,6.478415,4.70298,6.12247,2.923192,3.045381,6.408546,-0.1503896,-0.3905594,1.433673,0.09663552,-0.08870646,1.242203,0.05472933,0.4441871,1.536624,-0.1841825,-0.4090825,1.454583,0.1116437,-0.0740756,1.20825,0.047804,-0.0127186,1.5436,0.05129483,-0.3243709,1.521686,-0.1334549,0.1651559,1.539441,-0.02540202,-0.3148892,1.484886,-0.1705186,-0.109635,1.53361,0.3439587,-0.08142076,1.500195,NA,NA,NotTracked,Unknown,
