ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9199219,0.2998047,0.1391602,0.9375,-0.3266602,0.09521484,-2,-1,-2,-3,-2,-2,-14,-4,-1,-1,1,0,0,-1,-1,-3,-1.0625,-1.0625,-1.0625,0,0,0,6.774857,3.047667,5.304867,2.9234,3.0497,6.459664,-0.1472887,-0.4073931,1.437045,0.2520165,-0.4120941,1.423356,0.05536913,0.4456385,1.534683,-0.1119307,-0.3918267,1.405543,0.2074067,-0.3950906,1.398036,0.05013671,-0.01193284,1.544765,0.05340537,-0.3234845,1.524768,-0.132472,0.167049,1.540728,-0.02332878,-0.3148695,1.488091,-0.1719094,-0.1083585,1.540112,0.2687234,-0.1035141,1.532017,NA,NA,NotTracked,NotTracked,
0.9277344,0.2944336,0.1416016,0.9355469,-0.3188477,0.09570313,0,-3,-3,-3,-1,5,1,0,-2,-2,3,0,-2,-2,-3,-2,0.3125,0.3125,0.3125,-0.25,-0.25,-0.25,6.774745,3.047392,5.305323,2.926511,3.051116,6.457071,-0.147338,-0.4078149,1.437622,0.2520806,-0.4123088,1.424015,0.05541215,0.445602,1.534663,-0.1097245,-0.3933626,1.405335,0.2073479,-0.4037991,1.398386,0.05013824,-0.01191531,1.544753,0.05343903,-0.323487,1.524746,-0.1324691,0.1670502,1.54072,-0.02328551,-0.3148698,1.488024,-0.1717567,-0.108608,1.540053,0.268767,-0.1035371,1.531986,NA,NA,NotTracked,NotTracked,
0.9174805,0.3037109,0.1489258,0.9399414,-0.324707,0.1000977,2,1,0,0,2,5,2,3,0,-7,1,-2,0,-1,-3,-2,0.0625,0.0625,0.0625,2.1875,2.1875,2.1875,6.774978,3.047411,5.305076,2.930023,3.053033,6.456384,-0.1469065,-0.4078058,1.437391,0.2527673,-0.4095099,1.424694,0.05545675,0.4455926,1.534518,-0.1107148,-0.398664,1.402741,0.2075921,-0.3999048,1.398373,0.05017165,-0.01193191,1.544703,0.0535397,-0.3235048,1.524706,-0.1324981,0.1669582,1.540839,-0.02318566,-0.3148965,1.487965,-0.1716431,-0.1088996,1.539971,0.2688415,-0.1034657,1.532017,NA,NA,NotTracked,NotTracked,
0.918457,0.3374023,0.1416016,0.9370117,-0.3300781,0.1015625,7,-3,-1,-2,0,1,0,-4,-2,-5,-6,-1,-1,-2,-2,-1,4.1875,4.1875,4.1875,1.125,1.125,1.125,6.785617,3.051194,5.301705,2.929259,3.054264,6.460364,-0.1476143,-0.407465,1.437624,0.2527804,-0.4088589,1.423208,0.05549636,0.4455908,1.534545,-0.112619,-0.4081878,1.397621,0.2074378,-0.4012013,1.398048,0.05026418,-0.01194673,1.544685,0.05363208,-0.3235212,1.524651,-0.1324831,0.1669094,1.540905,-0.02308175,-0.3149106,1.48788,-0.171567,-0.1090117,1.540002,0.2689696,-0.1034203,1.532017,NA,NA,NotTracked,NotTracked,
0.8989258,0.3720703,0.1850586,0.9482422,-0.3261719,0.1010742,2,-6,-5,1,1,0,3,2,-1,-6,-5,-1,-1,0,-1,0,-5.5,-5.5,-5.5,2.3125,2.3125,2.3125,6.795753,3.068405,5.287622,2.933323,3.05745,6.460747,-0.1467881,-0.4072798,1.436051,0.252948,-0.4115148,1.419858,0.05550299,0.4455718,1.534578,-0.1113638,-0.406352,1.397763,0.2075065,-0.4022141,1.397639,0.05034177,-0.01195674,1.544725,0.05367306,-0.3235485,1.524678,-0.1300165,0.1668715,1.541684,-0.02305555,-0.3149226,1.487906,-0.1715032,-0.1090106,1.540002,0.2690402,-0.1034467,1.531734,NA,NA,NotTracked,NotTracked,
1.026855,0.590332,0.09960938,0.9267578,-0.3291016,0.09375,9,24,-21,-5,4,-1,4,10,0,-9,-1,-1,-1,-1,0,-2,-0.5625,-0.5625,-0.5625,3.3125,3.3125,3.3125,6.831001,3.115746,5.251206,2.937464,3.061447,6.460307,-0.1466551,-0.4083312,1.437284,0.2534409,-0.4152763,1.411289,0.05549768,0.4455241,1.534885,-0.1101304,-0.3957009,1.403817,0.207477,-0.4027624,1.398312,0.05041679,-0.01201747,1.544792,0.05371304,-0.3235707,1.524663,-0.1302845,0.1668137,1.541952,-0.02300547,-0.3149494,1.487857,-0.1714111,-0.1094264,1.540316,0.2693135,-0.1033681,1.530685,NA,NA,NotTracked,NotTracked,
1.154297,0.7333984,0.2895508,0.9360352,-0.3149414,0.08837891,-10,-23,-84,-9,-23,-17,-31,-6,-2,2,0,-1,-2,-1,-1,-3,-4.5,-4.5,-4.5,-5.4375,-5.4375,-5.4375,6.753548,3.389001,5.299489,2.941335,3.060539,6.454205,-0.1460054,-0.4078914,1.437669,0.2574307,-0.3881723,1.347286,0.05558727,0.4455144,1.535132,-0.1095221,-0.3968125,1.403774,0.2179251,-0.4052998,1.365,0.05040746,-0.01198411,1.544971,0.05375046,-0.3235891,1.524754,-0.1305195,0.1667427,1.542226,-0.02296256,-0.3149519,1.487846,-0.1713081,-0.1094592,1.540411,0.2708395,-0.1015767,1.528013,NA,NA,NotTracked,NotTracked,
0.96875,1.013672,0.6054688,0.9370117,-0.3530273,0.1162109,-3,-12,13,13,-3,1,2,5,-1,6,-4,-3,-2,1,0,-1,16.125,16.125,16.125,-13.6875,-13.6875,-13.6875,6.71599,3.833032,5.370135,2.926732,3.055091,6.442114,-0.1467037,-0.4087414,1.437288,0.2417903,-0.2802593,1.242533,0.05584398,0.4453656,1.535349,-0.1108209,-0.4016164,1.401381,0.211342,-0.3441497,1.29375,0.0503315,-0.01205819,1.545274,0.05367825,-0.3236089,1.524885,-0.1306611,0.1667298,1.54226,-0.02304291,-0.3148846,1.487798,-0.1712662,-0.1092779,1.54064,0.2752715,-0.07627156,1.522354,NA,NA,NotTracked,Unknown,
0.5717773,0.9580078,0.6435547,0.9238281,-0.3271484,0.09863281,4,-1,0,10,15,2,2,3,-1,-7,-1,0,-1,0,0,1,23.875,23.875,23.875,-9.5,-9.5,-9.5,6.723523,4.44046,5.434148,2.912193,3.055434,6.438138,-0.1496403,-0.3848708,1.445365,0.2223815,-0.1185881,1.16282,0.05705678,0.4448405,1.535529,-0.1084931,-0.3701156,1.415958,0.1869751,-0.1074391,1.173154,0.05028843,-0.01214635,1.545943,0.05350651,-0.3235954,1.525225,-0.1306549,0.1667105,1.542288,-0.02316508,-0.3147736,1.487803,-0.171274,-0.1088568,1.540828,0.3188543,-0.04666024,1.487715,NA,NA,NotTracked,Unknown,
-0.1386719,0.7260742,0.4321289,0.9355469,-0.2993164,0.09765625,1,10,9,9,0,-2,-1,2,1,-3,2,0,-1,1,0,-2,43.25,43.25,43.25,-2.8125,-2.8125,-2.8125,6.783374,5.315866,5.541497,2.907975,3.059334,6.435368,-0.1459636,-0.407487,1.437319,0.213828,0.06834745,1.170138,0.05960839,0.4438705,1.536131,-0.1100416,-0.4038869,1.401836,0.1816037,0.07724436,1.1602,0.05031119,-0.01219048,1.546883,0.05341125,-0.323276,1.526035,-0.1304975,0.1667299,1.542347,-0.02320969,-0.3146031,1.488186,-0.1715817,-0.1074462,1.541124,0.299684,-0.04871741,1.426876,NA,NA,NotTracked,Unknown,
-0.2734375,0.6523438,0.3901367,0.9550781,-0.293457,0.08154297,-15,-16,-8,-3,-3,-2,-4,-11,0,3,-5,-1,-1,-1,-3,-2,42.875,42.875,42.875,3.25,3.25,3.25,6.904645,5.870784,5.658566,2.907057,3.060522,6.439217,-0.1472457,-0.4064627,1.437655,0.1966177,0.2071888,1.222358,0.0616188,0.4431066,1.536078,-0.1110282,-0.399496,1.403667,0.1551231,0.2213172,1.275857,0.05070344,-0.01263212,1.547636,0.05302532,-0.3238192,1.526703,-0.1278674,0.1667697,1.542894,-0.0239974,-0.314714,1.48873,-0.1716943,-0.103933,1.541622,0.3216671,-0.06029273,1.421503,NA,NA,NotTracked,Lasso,
-0.4194336,0.5766602,0.2993164,0.9321289,-0.3295898,0.07910156,2,-1,-7,0,0,-2,-5,-7,-2,-2,0,-1,0,-2,-1,-3,40.8125,40.8125,40.8125,7.5,7.5,7.5,7.088929,6.28848,5.844847,2.902056,3.058666,6.456555,-0.1483608,-0.3996842,1.441268,0.1865511,0.2803756,1.286818,0.06275742,0.4426104,1.536502,-0.114714,-0.4048609,1.400246,0.1661107,0.2555814,1.361692,0.05243132,-0.01072507,1.548638,0.05254884,-0.321305,1.527412,-0.1223776,0.1671709,1.543974,-0.02536294,-0.3110995,1.489486,-0.1699665,-0.08867703,1.544878,0.3287176,-0.0280674,1.383349,NA,NA,NotTracked,Lasso,
-0.5737305,0.4243164,0.1225586,0.9204102,-0.347168,0.1000977,6,11,15,5,2,1,6,13,-1,-4,0,2,0,0,0,-3,10.25,10.25,10.25,7.8125,7.8125,7.8125,7.429479,6.630214,6.218971,2.898475,3.060611,6.47443,-0.149455,-0.399691,1.441921,0.1788706,0.3199528,1.329299,0.06403755,0.4417763,1.536426,-0.1103171,-0.3846084,1.409525,0.1688396,0.2788472,1.381542,0.05302663,-0.01048688,1.548444,0.05219287,-0.3209859,1.527319,-0.1182103,0.167721,1.543589,-0.02630508,-0.3104131,1.489476,-0.1699412,-0.08391096,1.545703,0.3219894,0.0008169053,1.359587,NA,NA,NotTracked,Unknown,
-0.6489258,0.4301758,0.0078125,0.9277344,-0.3413086,0.1098633,1,6,4,2,0,-1,-1,-20,-1,12,0,-4,-2,-5,-1,-2,3.875,3.875,3.875,2.8125,2.8125,2.8125,7.701491,6.739313,6.517202,2.908251,3.066741,6.479828,-0.1535619,-0.3729717,1.450918,0.1755625,0.3316742,1.354526,0.06517926,0.4408494,1.535833,-0.1109377,-0.3472855,1.423423,0.1667062,0.2927451,1.404909,0.05338334,-0.01059065,1.548592,0.05189525,-0.3209743,1.527231,-0.1157198,0.1686323,1.543522,-0.0269775,-0.3103048,1.48969,-0.1697603,-0.08200819,1.54671,0.3075375,0.06671725,1.333032,NA,NA,NotTracked,Unknown,
-0.7788086,0.4008789,-0.08691406,0.9306641,-0.3447266,0.1103516,-1,-1,-5,-7,-2,1,8,20,0,7,-4,-2,-2,-1,-1,0,-8.5625,-8.5625,-8.5625,0.8125,0.8125,0.8125,7.897163,6.775645,6.749729,2.916715,3.0716,6.474308,-0.1537122,-0.3735712,1.450508,0.1680385,0.3437882,1.371361,0.06608368,0.4399183,1.535396,-0.1109189,-0.3503543,1.42229,0.1523899,0.3095278,1.414556,0.05352376,-0.01060661,1.548497,0.05133042,-0.3209975,1.52709,-0.1149258,0.169178,1.543757,-0.0279357,-0.3102851,1.490075,-0.1698468,-0.08020056,1.547996,0.3087583,0.07091132,1.329973,NA,NA,NotTracked,Closed,
-0.8447266,0.4086914,-0.1279297,0.9331055,-0.3476563,0.09326172,15,-2,-4,1,-1,0,6,0,0,-2,-1,-3,-2,-1,0,1,-2.5625,-2.5625,-2.5625,-3.625,-3.625,-3.625,8.026212,6.781996,6.905627,2.91805,3.074724,6.468597,-0.1534773,-0.3734004,1.450405,0.1637499,0.3479939,1.379289,0.06639327,0.439241,1.535038,-0.1116405,-0.3765238,1.416636,0.1468424,0.3125606,1.414833,0.05366577,-0.01064445,1.548392,0.05099535,-0.3210092,1.526913,-0.1144918,0.1692371,1.543906,-0.02842298,-0.3102538,1.490182,-0.1699885,-0.07952794,1.548433,0.3097308,0.07512948,1.327363,NA,NA,NotTracked,Closed,
-0.8623047,0.4072266,-0.1503906,0.9360352,-0.3286133,0.09521484,-3,0,-2,0,-2,-10,-3,2,1,-23,-45,-5,-2,-1,-1,0,0.5625,0.5625,0.5625,-6.75,-6.75,-6.75,8.060095,6.782966,6.943925,2.917209,3.074797,6.457901,-0.1513964,-0.3769099,1.447128,0.140962,0.3772076,1.403137,0.06664928,0.4386711,1.534926,-0.1111334,-0.3390806,1.424076,0.09546512,0.3376279,1.44152,0.0538321,-0.01061816,1.548305,0.0506958,-0.3209759,1.52678,-0.1141945,0.169624,1.544086,-0.02882501,-0.3101907,1.490318,-0.1701544,-0.08030989,1.548465,0.3100179,0.07875024,1.325115,NA,NA,NotTracked,Unknown,
-0.8774414,0.4140625,-0.1455078,0.9355469,-0.328125,0.1000977,-1,-2,-1,0,-3,-1,-3,-3,-2,-3,4,1,-2,-4,-4,-7,0.625,0.625,0.625,-5.75,-5.75,-5.75,8.060917,6.783276,6.944037,2.916811,3.072602,6.447849,-0.152237,-0.3771082,1.44804,0.1562425,0.3591627,1.390931,0.06683828,0.4384773,1.53495,-0.1088946,-0.3797955,1.414187,0.1029512,0.3346899,1.443726,0.0539297,-0.01056907,1.548226,0.05053708,-0.3209182,1.526696,-0.1141989,0.1696699,1.54413,-0.02906042,-0.3101344,1.490462,-0.1703865,-0.08276061,1.548045,0.3103578,0.08028104,1.324066,NA,NA,NotTracked,Closed,
-0.8515625,0.4169922,-0.1357422,1.04834,-0.4560547,0.1264648,-4,-2,0,0,-1,-3,-8,8,0,2,1,-1,-11,10,-6,3,3.0625,3.0625,3.0625,13.3125,13.3125,13.3125,8.044314,6.783542,6.920394,2.939827,3.078844,6.426705,-0.1520538,-0.37648,1.448009,0.154356,0.3630536,1.394645,0.06690793,0.438274,1.535044,-0.1085686,-0.3581607,1.420048,0.09841689,0.3352948,1.444921,0.05399697,-0.01056519,1.548187,0.05048018,-0.3209203,1.526658,-0.114131,0.1697452,1.544111,-0.02914902,-0.310152,1.490493,-0.1702735,-0.08372476,1.547757,0.3106868,0.08107745,1.323743,NA,NA,NotTracked,Closed,
