ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.925293,0.2890625,0.1132813,0.940918,-0.3310547,0.1015625,1,1,1,-1,2,0,3,-10,-1,-2,-3,-1,-3,0,3,-1,0.4375,0.4375,0.4375,0.3125,0.3125,0.3125,6.916633,3.014394,5.79283,2.968901,3.067453,4.668088,-0.1539558,-0.3898234,1.440976,0.2452274,-0.4032587,1.42504,0.05211529,0.4447179,1.535597,-0.1217068,-0.3995776,1.396138,0.2014393,-0.3984403,1.397048,0.0470583,-0.01141673,1.545977,0.05041252,-0.3230154,1.524594,-0.1338844,0.1668195,1.541552,-0.02667089,-0.3144161,1.488783,-0.1726735,-0.1078735,1.537708,0.2639384,-0.09929147,1.524712,NA,NA,NotTracked,NotTracked,
0.9321289,0.2866211,0.1210938,0.940918,-0.3310547,0.1015625,1,-1,0,-2,8,-4,3,5,-1,-2,-3,-1,-3,0,3,-1,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,6.915787,3.014346,5.793608,2.968901,3.067453,4.668088,-0.1542923,-0.3891022,1.441546,0.2459052,-0.4026234,1.42528,0.05218219,0.4447206,1.535544,-0.1217109,-0.3994271,1.396287,0.2000487,-0.4066724,1.395978,0.0471202,-0.01142312,1.545906,0.05041899,-0.3229926,1.524555,-0.1340137,0.1668015,1.541497,-0.02666826,-0.3144027,1.488759,-0.1726047,-0.1080042,1.537708,0.2639207,-0.09937797,1.52465,NA,NA,NotTracked,NotTracked,
0.9199219,0.2905273,0.1152344,0.940918,-0.3310547,0.1015625,0,-1,0,-2,3,22,12,1,-1,-2,-3,-1,-3,0,3,-1,0.375,0.375,0.375,0.3125,0.3125,0.3125,6.914845,3.014774,5.794155,2.968901,3.067453,4.668088,-0.1551671,-0.3895679,1.441818,0.2457555,-0.4036826,1.424722,0.05223961,0.4447031,1.535365,-0.122373,-0.3985069,1.396443,0.2014311,-0.3995964,1.396949,0.04715339,-0.01145868,1.545849,0.05041162,-0.32301,1.52452,-0.1342137,0.1667022,1.541389,-0.02667693,-0.3144106,1.488709,-0.172582,-0.1079879,1.537663,0.2639251,-0.09935468,1.524557,NA,NA,NotTracked,NotTracked,
0.9291992,0.3056641,0.1542969,0.940918,-0.3310547,0.1015625,0,-3,-2,-2,1,-10,-10,-11,-1,-2,-3,-1,-3,0,3,-1,4.625,4.625,4.625,0.3125,0.3125,0.3125,6.920202,3.014318,5.791415,2.968901,3.067453,4.668088,-0.1542184,-0.3896819,1.441377,0.2454103,-0.4030759,1.42505,0.05229928,0.4447199,1.535245,-0.1214233,-0.3990052,1.396642,0.2002085,-0.4050379,1.39593,0.04719545,-0.01153239,1.545635,0.05042088,-0.3230329,1.524456,-0.1342423,0.1666776,1.541363,-0.02667142,-0.314426,1.488602,-0.1726263,-0.1078738,1.537618,0.2639424,-0.09933937,1.524429,NA,NA,NotTracked,NotTracked,
0.9399414,0.4267578,0.1616211,0.940918,-0.3310547,0.1015625,2,-8,0,2,-2,1,-1,2,-1,-2,-3,-1,-3,0,3,-1,30.1875,30.1875,30.1875,0.3125,0.3125,0.3125,6.969989,3.013721,5.782285,2.968901,3.067453,4.668088,-0.1541082,-0.3900036,1.441517,0.2446849,-0.4030137,1.423638,0.0523391,0.4447227,1.53521,-0.1220853,-0.4000322,1.395523,0.2011791,-0.3995335,1.396515,0.0472139,-0.01152304,1.545618,0.05040447,-0.3230318,1.524438,-0.134481,0.1664913,1.541349,-0.02668361,-0.3144179,1.48859,-0.1726119,-0.1078585,1.53759,0.2636525,-0.09924907,1.52356,NA,NA,NotTracked,NotTracked,
0.9848633,0.6582031,0.1445313,0.940918,-0.3310547,0.1015625,1,-22,12,3,4,1,3,26,-1,-2,-3,-1,-3,0,3,-1,6.9375,6.9375,6.9375,0.3125,0.3125,0.3125,6.951544,3.07834,5.828627,2.968901,3.067453,4.668088,-0.1542176,-0.3898033,1.44137,0.2392064,-0.4179966,1.406241,0.05236523,0.4447202,1.535246,-0.1214415,-0.3991495,1.396502,0.1958925,-0.4196993,1.396318,0.04721674,-0.01153568,1.545603,0.05038894,-0.323034,1.524391,-0.1344815,0.166478,1.541331,-0.02669818,-0.3143932,1.48851,-0.1723734,-0.1084342,1.537389,0.2628568,-0.09866411,1.519956,NA,NA,NotTracked,NotTracked,
1.047852,0.9985352,0.2573242,0.940918,-0.3310547,0.1015625,-5,-8,-20,5,8,0,-2,12,-1,-2,-3,-1,-3,0,3,-1,14.3125,14.3125,14.3125,0.3125,0.3125,0.3125,6.849382,3.30187,5.944218,2.968901,3.067453,4.668088,-0.1525691,-0.3890289,1.440128,0.2374803,-0.4015,1.326918,0.05256538,0.4446642,1.535429,-0.121868,-0.3992695,1.39609,0.1985508,-0.3942183,1.292318,0.04721022,-0.01152147,1.545655,0.05034863,-0.3230469,1.524367,-0.1345359,0.1664279,1.541448,-0.02676163,-0.3142756,1.488293,-0.1723613,-0.1083853,1.53738,0.2623102,-0.0932791,1.51018,NA,NA,NotTracked,Lasso,
1.120117,1.115723,0.3950195,0.940918,-0.3310547,0.1015625,12,7,31,-11,-5,-1,-4,-1,-1,-2,-3,-1,-3,0,3,-1,9.25,9.25,9.25,0.3125,0.3125,0.3125,6.824292,3.552701,5.993654,2.968901,3.067453,4.668088,-0.1526045,-0.3888319,1.441103,0.2210082,-0.310546,1.194865,0.05325605,0.4443809,1.536196,-0.1203313,-0.3995514,1.397121,0.1800713,-0.2801639,1.190727,0.04711749,-0.01153,1.546039,0.0500554,-0.3230158,1.524551,-0.1345107,0.1664064,1.541553,-0.02703079,-0.3140331,1.488179,-0.1723715,-0.108204,1.537453,0.2655348,-0.06359955,1.491073,NA,NA,NotTracked,Unknown,
0.7973633,1.039551,0.7148438,0.940918,-0.3310547,0.1015625,-60,-45,-32,-12,-5,-5,-7,-5,-1,-2,-3,-1,-3,0,3,-1,75,75,75,0.3125,0.3125,0.3125,6.844288,4.516671,6.114128,2.968901,3.067453,4.668088,-0.1519707,-0.389547,1.440201,0.1920384,-0.1371077,1.08083,0.05524431,0.4438291,1.537576,-0.1216716,-0.3983265,1.396042,0.1751962,-0.09825858,1.065,0.04701178,-0.01188695,1.547327,0.04976572,-0.3231299,1.524869,-0.1343029,0.1663999,1.542013,-0.02726031,-0.313963,1.488179,-0.1724992,-0.1074597,1.537657,0.2607586,-0.03352882,1.385538,NA,NA,NotTracked,Unknown,
0.2832031,0.9057617,0.546875,0.940918,-0.3310547,0.1015625,-9,-7,-29,-15,-2,-1,1,9,-1,-2,-3,-1,-3,0,3,-1,35.25,35.25,35.25,0.3125,0.3125,0.3125,6.915776,5.210337,6.219205,2.968901,3.067453,4.668088,-0.1531307,-0.3855888,1.440947,0.1703027,0.09455768,1.131526,0.05873163,0.443216,1.539297,-0.1217547,-0.3965065,1.396705,0.1265654,0.1363249,1.1306,0.04722057,-0.01209335,1.548869,0.04993594,-0.323208,1.525748,-0.1285123,0.1674669,1.543074,-0.02695734,-0.3141537,1.489224,-0.1727191,-0.1062823,1.537868,0.2704803,-0.02122738,1.40971,NA,NA,NotTracked,Unknown,
