ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9277344,0.3188477,0.1640625,0.940918,-0.3310547,0.1015625,-9,-2,-5,-2,-2,-1,-4,-16,-1,-2,-3,-1,-3,0,3,-1,3.375,3.375,3.375,0.3125,0.3125,0.3125,6.821793,3.044466,5.118544,2.968901,3.067453,4.668088,-0.1558812,-0.3953918,1.447484,0.2444253,-0.4197376,1.418559,0.05195288,0.446131,1.548141,-0.1191034,-0.3846345,1.414772,0.2005006,-0.4078791,1.403238,0.04951004,-0.01239584,1.553011,0.05156024,-0.3241373,1.530436,-0.1335405,0.1647146,1.552155,-0.02558379,-0.315395,1.495015,-0.1712221,-0.1127022,1.545145,0.2620317,-0.1000345,1.517656,NA,NA,NotTracked,NotTracked,
0.9355469,0.3530273,0.1606445,0.940918,-0.3310547,0.1015625,9,0,-5,-2,-3,-1,2,12,-1,-2,-3,-1,-3,0,3,-1,11.25,11.25,11.25,0.3125,0.3125,0.3125,6.830365,3.046655,5.116088,2.968901,3.067453,4.668088,-0.1559953,-0.395983,1.446992,0.2439336,-0.419453,1.417321,0.05203918,0.4462121,1.548298,-0.1209821,-0.4046125,1.406457,0.1983517,-0.4088627,1.40337,0.04955292,-0.01233825,1.553061,0.05156619,-0.3241296,1.530441,-0.1333141,0.1647545,1.552392,-0.02557886,-0.3153794,1.495034,-0.1711497,-0.1127667,1.54528,0.2620594,-0.100086,1.51763,NA,NA,NotTracked,NotTracked,
0.8999023,0.6513672,0.2119141,0.940918,-0.3310547,0.1015625,-2,-10,-3,1,1,-1,-1,-2,-1,-2,-3,-1,-3,0,3,-1,-18.1875,-18.1875,-18.1875,0.3125,0.3125,0.3125,6.841676,3.0788,5.100994,2.968901,3.067453,4.668088,-0.1558304,-0.3947823,1.44775,0.2440612,-0.4196009,1.4145,0.05207606,0.4463563,1.548622,-0.1227952,-0.4034349,1.407399,0.2004175,-0.413724,1.402661,0.04965466,-0.01225901,1.553159,0.05156939,-0.3240999,1.530454,-0.1331832,0.1648549,1.552697,-0.02557609,-0.3153373,1.495068,-0.1710652,-0.1128417,1.545506,0.2620052,-0.1001072,1.517361,NA,NA,NotTracked,NotTracked,
0.8857422,0.7358398,0.2392578,0.940918,-0.3310547,0.1015625,1,-10,-21,-2,-1,-5,-6,-9,-1,-2,-3,-1,-3,0,3,-1,-26.4375,-26.4375,-26.4375,0.3125,0.3125,0.3125,6.831727,3.109979,5.097288,2.968901,3.067453,4.668088,-0.1557519,-0.3950913,1.44589,0.241543,-0.417786,1.404968,0.05208734,0.4464197,1.548951,-0.121347,-0.4023852,1.406724,0.1978732,-0.4089229,1.40217,0.04975917,-0.01221904,1.55318,0.05157459,-0.3240907,1.530436,-0.1331357,0.1648443,1.552929,-0.02556737,-0.31533,1.495053,-0.1708982,-0.112659,1.545578,0.2621287,-0.09978999,1.515256,NA,NA,NotTracked,NotTracked,
0.8774414,0.8095703,0.2446289,0.940918,-0.3310547,0.1015625,-3,-3,-7,-2,-1,1,5,7,-1,-2,-3,-1,-3,0,3,-1,-43.3125,-43.3125,-43.3125,0.3125,0.3125,0.3125,6.826909,3.155669,5.078351,2.968901,3.067453,4.668088,-0.1559628,-0.3949597,1.446517,0.2402541,-0.4166387,1.388186,0.05213986,0.4465268,1.549599,-0.1204522,-0.397545,1.409807,0.2276147,-0.4533439,1.41225,0.0499475,-0.01220023,1.553289,0.05157906,-0.3240837,1.530446,-0.1330689,0.1647015,1.553164,-0.02555083,-0.3153223,1.495067,-0.1707553,-0.1128842,1.545822,0.2621265,-0.09894332,1.512268,NA,NA,NotTracked,Unknown,
1,0.8237305,0.3364258,0.940918,-0.3310547,0.1015625,5,-3,0,0,1,1,-3,-2,-1,-2,-3,-1,-3,0,3,-1,-67.25,-67.25,-67.25,0.3125,0.3125,0.3125,6.786947,3.280094,5.046819,2.968901,3.067453,4.668088,-0.1556248,-0.3945546,1.445975,0.2403544,-0.4050887,1.345874,0.05213199,0.4466174,1.550208,-0.1204622,-0.4031819,1.406968,0.2174475,-0.3754782,1.402187,0.05003842,-0.01214584,1.553387,0.05159103,-0.3240724,1.530449,-0.1327639,0.1647385,1.553547,-0.02552016,-0.3153093,1.495075,-0.1706744,-0.1128512,1.545903,0.2619564,-0.09666358,1.50623,NA,NA,NotTracked,Unknown,
1.008301,0.7963867,0.4594727,0.940918,-0.3310547,0.1015625,-8,-7,-3,3,-1,0,5,7,-1,-2,-3,-1,-3,0,3,-1,-67.5625,-67.5625,-67.5625,0.3125,0.3125,0.3125,6.706044,3.454105,5.052403,2.968901,3.067453,4.668088,-0.1551276,-0.3953173,1.445312,0.2321009,-0.3876185,1.29272,0.05203133,0.4466943,1.551152,-0.123018,-0.406002,1.403993,0.186234,-0.3814185,1.288625,0.05011911,-0.01213147,1.553488,0.05161878,-0.3240649,1.530467,-0.1327173,0.1647085,1.553797,-0.02546668,-0.315309,1.4951,-0.1706215,-0.11286,1.546043,0.2616215,-0.09111969,1.498607,NA,NA,NotTracked,Unknown,
0.987793,0.7680664,0.5561523,0.940918,-0.3310547,0.1015625,3,0,-12,-8,-3,0,3,3,-1,-2,-3,-1,-3,0,3,-1,-88.5,-88.5,-88.5,0.3125,0.3125,0.3125,6.606972,3.687424,5.062687,2.968901,3.067453,4.668088,-0.1555931,-0.3948392,1.445534,0.2274765,-0.3467025,1.238303,0.05198857,0.4467804,1.552241,-0.1211616,-0.4018013,1.407207,0.176998,-0.3431572,1.248667,0.05018782,-0.01207627,1.553752,0.05148012,-0.3240524,1.530586,-0.1326867,0.164642,1.554162,-0.02556985,-0.3152585,1.495215,-0.1706112,-0.1127327,1.546195,0.2614082,-0.0806383,1.489224,NA,NA,NotTracked,Unknown,
0.9824219,0.7607422,0.6831055,0.940918,-0.3310547,0.1015625,-6,-1,-16,6,1,0,3,0,-1,-2,-3,-1,-3,0,3,-1,-110.875,-110.875,-110.875,0.3125,0.3125,0.3125,6.485898,3.972775,5.066977,2.968901,3.067453,4.668088,-0.1555413,-0.3940726,1.445938,0.2290699,-0.2826295,1.190439,0.05206241,0.4467678,1.553766,-0.1211813,-0.4021296,1.406894,0.1906225,-0.2611062,1.171722,0.05009705,-0.01200022,1.55418,0.05100261,-0.3240332,1.530835,-0.1325267,0.1646776,1.554856,-0.02607895,-0.3149933,1.495585,-0.1704044,-0.1122953,1.546549,0.262701,-0.06178322,1.47393,NA,NA,NotTracked,Unknown,
0.8476563,0.6738281,0.7626953,0.940918,-0.3310547,0.1015625,-2,-1,-2,19,-3,0,3,10,-1,-2,-3,-1,-3,0,3,-1,-121.75,-121.75,-121.75,0.3125,0.3125,0.3125,6.343905,4.297019,5.071959,2.968901,3.067453,4.668088,-0.1553779,-0.3945675,1.445461,0.2099544,-0.23339,1.133299,0.05224254,0.4467524,1.555281,-0.1217451,-0.4027268,1.405699,0.1998082,-0.183405,1.1088,0.04987076,-0.01204168,1.554745,0.04996208,-0.3240664,1.531164,-0.1323597,0.1646245,1.555405,-0.02716934,-0.3146808,1.496119,-0.1702847,-0.1113103,1.546972,0.2609488,-0.05711941,1.467531,NA,NA,NotTracked,Unknown,
