ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9399414,-0.3061523,0.08154297,1.04834,0.6953125,0.1337891,-2,-1,-2,-3,-2,0,-1,0,-3,11,28,1,0,-5,-3,-1,-0.9375,-0.9375,-0.9375,-4.5,-4.5,-4.5,2.948545,3.02473,3.795556,6.7706,3.192317,8.021862,-0.1580229,-0.425222,1.428251,0.2204574,-0.4051694,1.381387,0.0356677,0.4473022,1.54147,-0.2087416,-0.4091314,1.461667,0.265768,-0.3961821,1.3707,0.0298852,-0.02350389,1.548006,0.03207893,-0.3496743,1.526298,-0.1484428,0.1678916,1.535885,-0.05267023,-0.3403249,1.488229,-0.1904094,-0.1031005,1.531616,0.2491192,-0.1031208,1.524918,NA,NA,NotTracked,Unknown,
0.9389648,-0.3222656,0.1074219,1.072266,0.8027344,0.4428711,-2,0,-2,0,-3,0,-2,-2,-26,-1,-45,-5,-29,-11,-3,-5,-9.8125,-9.8125,-9.8125,-32,-32,-32,2.941055,3.026358,3.785246,6.683444,3.50031,8.091909,-0.1578646,-0.4250727,1.427435,0.2120595,-0.3300442,1.284831,0.03577062,0.4472971,1.541589,-0.2077198,-0.4179578,1.456657,0.2237826,-0.3184461,1.237368,0.029965,-0.0235252,1.547921,0.03189202,-0.3496562,1.52615,-0.146851,0.1683112,1.53531,-0.05296579,-0.3400708,1.487898,-0.1904077,-0.1030682,1.531534,0.2541664,-0.09123559,1.521065,NA,NA,NotTracked,Unknown,
0.9511719,-0.3071289,0.1035156,0.8813477,0.9091797,0.65625,-1,-1,-1,-3,-1,0,-1,-2,-15,-9,38,-13,-39,-13,-6,-12,-6.5,-6.5,-6.5,24.875,24.875,24.875,2.933752,3.02864,3.780287,6.642173,3.989749,8.156558,-0.1575427,-0.4250852,1.427343,0.1963971,-0.1841609,1.20099,0.03604447,0.4471499,1.541786,-0.2075637,-0.4210877,1.456282,0.2146329,-0.1889309,1.162,0.02977436,-0.02350692,1.547973,0.03099629,-0.3496287,1.526024,-0.1474639,0.168512,1.535786,-0.05393,-0.3397505,1.48761,-0.1904675,-0.1026147,1.531386,0.260151,-0.06266908,1.515825,NA,NA,NotTracked,Unknown,
0.9418945,-0.2973633,0.09326172,0.5307617,0.9008789,0.6508789,-2,-1,0,0,-1,-3,0,-2,-13,1,43,-20,-6,20,4,0,-1.5,-1.5,-1.5,25,25,25,2.9272,3.032347,3.781112,6.664007,4.598289,8.233845,-0.1576234,-0.4246905,1.426041,0.1735253,-0.01593194,1.188819,0.03694118,0.4468765,1.542483,-0.2069042,-0.4246254,1.454394,0.1867881,-0.01955373,1.156529,0.02996623,-0.02348817,1.548157,0.03099657,-0.349551,1.526061,-0.1448239,0.1688588,1.534942,-0.05386553,-0.3396437,1.48784,-0.1904693,-0.1024365,1.531164,0.2922411,-0.03461083,1.443594,NA,NA,NotTracked,Unknown,
0.9516602,-0.2890625,0.078125,-0.04199219,0.6342773,0.4570313,0,-2,-1,0,-2,-2,-1,-2,9,2,-13,5,21,4,-2,6,9.25,9.25,9.25,32.875,32.875,32.875,2.928866,3.039584,3.794393,6.694641,5.251501,8.338934,-0.15739,-0.4196236,1.427075,0.1592452,0.1351635,1.223342,0.03820435,0.4466093,1.543121,-0.2051149,-0.4337947,1.446,0.1443051,0.1260251,1.181111,0.03000621,-0.02412798,1.548405,0.03125118,-0.3513788,1.525955,-0.1422147,0.1685522,1.534449,-0.05374943,-0.3416311,1.488735,-0.1904343,-0.1020686,1.530852,0.2858912,-0.03495647,1.434626,NA,NA,NotTracked,Unknown,
0.9487305,-0.3022461,0.06396484,-0.3803711,0.6186523,0.3696289,0,-3,-1,-1,1,0,-2,-1,1,10,-1,-2,0,-5,-6,-17,11.0625,11.0625,11.0625,49.625,49.625,49.625,2.928719,3.040365,3.810935,6.881108,5.99075,8.511936,-0.1573283,-0.4181855,1.427472,0.1521194,0.2254211,1.285916,0.03845282,0.4467084,1.543869,-0.2068411,-0.4132132,1.453786,0.1394415,0.2325836,1.238643,0.03130481,-0.02306051,1.548255,0.03107847,-0.3515439,1.525856,-0.1410147,0.1686557,1.535166,-0.05432534,-0.341923,1.489405,-0.1893891,-0.09947684,1.53092,0.2943611,-0.02923453,1.411848,NA,NA,NotTracked,Unknown,
0.9355469,-0.3242188,0.08105469,-0.6103516,0.4887695,0.2250977,-3,-1,-2,-1,-1,-2,-1,0,-5,1,-6,-7,-3,-3,-1,-8,11.125,11.125,11.125,26.6875,26.6875,26.6875,2.925212,3.04182,3.835253,7.157501,6.438503,8.831673,-0.1581405,-0.4178197,1.428345,0.1561773,0.257675,1.32998,0.03870587,0.4469051,1.543881,-0.2077497,-0.4144135,1.4595,0.1578518,0.2597541,1.286222,0.03493735,-0.02027095,1.548182,0.03097966,-0.3506171,1.525368,-0.141115,0.1684057,1.536292,-0.05477693,-0.3407719,1.489111,-0.1882894,-0.0947033,1.532058,0.3355504,-0.02877205,1.370018,NA,NA,NotTracked,Unknown,
0.9316406,-0.3334961,0.1030273,-0.6811523,0.4550781,0.1020508,-1,-1,-1,-1,0,-1,-2,0,-1,4,-2,-5,-4,2,-3,-14,9.125,9.125,9.125,11.625,11.625,11.625,2.926338,3.043733,3.8581,7.483145,6.615743,9.188514,-0.1571223,-0.421856,1.430771,0.1534743,0.2712906,1.363197,0.03896829,0.4468485,1.543958,-0.207042,-0.4078665,1.455334,0.1948736,0.2320074,1.30844,0.03725024,-0.01884381,1.548662,0.03075038,-0.3494712,1.525091,-0.1409744,0.1679479,1.538134,-0.05533137,-0.339366,1.489128,-0.1873113,-0.0841858,1.536368,0.3093283,0.01949114,1.360182,NA,NA,NotTracked,Lasso,
0.9360352,-0.3481445,0.1147461,-0.7216797,0.4672852,0.02099609,-1,-2,0,0,0,-1,-2,-2,6,-15,5,8,-2,2,2,13,5.125,5.125,5.125,4.4375,4.4375,4.4375,2.934983,3.047741,3.860771,7.62741,6.646527,9.35547,-0.157854,-0.4221226,1.432391,0.1649681,0.268202,1.363512,0.03923875,0.4465632,1.54402,-0.2046964,-0.460499,1.4435,0.164275,0.271445,1.317143,0.03692571,-0.0189051,1.549293,0.03059762,-0.3485534,1.524883,-0.1408512,0.1675379,1.539824,-0.05563981,-0.3383483,1.489298,-0.1869418,-0.08529315,1.537236,0.3101975,0.02399687,1.356831,NA,NA,NotTracked,Unknown,
0.9355469,-0.3442383,0.09277344,-0.7944336,0.487793,-0.01757813,0,-1,-1,-1,-1,0,-1,-2,13,-5,-8,1,0,-4,4,21,2.875,2.875,2.875,0.125,0.125,0.125,2.947663,3.052654,3.853856,7.714322,6.660829,9.455705,-0.1566381,-0.4221054,1.431866,0.1634717,0.2714356,1.366183,0.03958188,0.4461931,1.544092,-0.2064105,-0.4560466,1.44175,0.1548305,0.2569166,1.421491,0.03827258,-0.01790735,1.549684,0.03055669,-0.34775,1.52487,-0.1406906,0.1672263,1.541381,-0.05582594,-0.3374572,1.489715,-0.1867876,-0.08570996,1.538018,0.3099341,0.02866331,1.352692,NA,NA,NotTracked,Unknown,
