ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.940918,-0.4365234,0.09667969,1.058105,0.3334961,0.09814453,0,-2,2,-5,-1,-2,15,7,-4,0,-6,-4,-3,-2,0,0,2.1875,2.1875,2.1875,-14.3125,-14.3125,-14.3125,2.993675,3.062116,3.826409,6.845356,3.062677,9.051665,-0.1640468,-0.4117483,1.429546,0.2203814,-0.4093009,1.420813,0.03019384,0.444619,1.536808,-0.2133255,-0.4119515,1.462994,0.1729313,-0.3893676,1.396654,0.02280477,-0.02410995,1.546025,0.02885284,-0.348524,1.523705,-0.1600259,0.1668086,1.536253,-0.05581775,-0.3387993,1.483762,-0.1972965,-0.1041836,1.529268,0.2401533,-0.1049673,1.527259,NA,NA,NotTracked,NotTracked,
0.9311523,-0.3911133,0.09667969,1.106934,0.4550781,0.1074219,0,2,1,5,0,-1,-2,0,-9,-1,-5,-1,-1,-2,-2,-3,10.875,10.875,10.875,-21.75,-21.75,-21.75,3.024488,3.105818,3.816954,6.746528,3.133562,9.137387,-0.1639433,-0.4098294,1.424691,0.2122403,-0.40525,1.404407,0.03013587,0.4446445,1.53695,-0.2112571,-0.4072962,1.448143,0.1690518,-0.4073694,1.395959,0.02281903,-0.02411447,1.546021,0.02883235,-0.3485375,1.523692,-0.1600471,0.1668422,1.536266,-0.05583979,-0.338797,1.483733,-0.1973559,-0.1040391,1.528857,0.2415292,-0.1040012,1.528771,NA,NA,NotTracked,NotTracked,
0.9399414,-0.6083984,0.2421875,1.05127,0.5678711,0.3945313,-5,0,-2,-8,-3,-1,1,-7,6,-6,13,-2,-2,-1,-1,-2,2.3125,2.3125,2.3125,21.4375,21.4375,21.4375,3.061131,3.25889,3.766031,6.601869,3.366221,9.313543,-0.1562718,-0.4038608,1.404154,0.1808765,-0.3588659,1.357859,0.0301359,0.4447086,1.537075,-0.195566,-0.4202646,1.40755,0.1842822,-0.4045358,1.3626,0.02280952,-0.02409753,1.545959,0.02857223,-0.3486061,1.52349,-0.1601716,0.1669269,1.53617,-0.05632443,-0.3385863,1.483274,-0.1983227,-0.103435,1.526936,0.2478911,-0.09464231,1.536141,NA,NA,NotTracked,Unknown,
0.9086914,-0.6308594,0.3251953,0.8666992,0.7578125,0.6660156,-4,-6,-8,0,-6,-11,-7,-3,-3,7,7,57,14,1,0,3,-2.375,-2.375,-2.375,27.375,27.375,27.375,3.138669,3.448739,3.678693,6.529407,3.745112,9.465772,-0.142993,-0.3889308,1.343101,0.1211553,-0.25327,1.321177,0.03028331,0.4447023,1.537212,-0.1468124,-0.3938176,1.371,0.07471076,-0.2522653,1.375471,0.02283396,-0.024122,1.545985,0.02843956,-0.3486895,1.523458,-0.1601112,0.167,1.535851,-0.05651778,-0.338533,1.48316,-0.2004257,-0.09730636,1.519277,0.2531324,-0.07371627,1.541425,NA,NA,Unknown,Unknown,
0.8422852,-0.6313477,0.4199219,0.4643555,0.809082,0.6811523,-2,0,-6,-13,-3,-3,-3,-2,6,-23,-23,-7,1,3,0,5,1.9375,1.9375,1.9375,8.375,8.375,8.375,3.221426,3.686909,3.580016,6.475225,4.244016,9.594744,-0.1310893,-0.3276324,1.286041,0.0943139,-0.1017187,1.257709,0.03085516,0.4448522,1.538018,-0.1661121,-0.3188526,1.3406,0.05729378,-0.1237145,1.329545,0.02380324,-0.02382988,1.5467,0.03044743,-0.3481424,1.524348,-0.1598234,0.1676463,1.535477,-0.05414068,-0.3389307,1.483904,-0.2028355,-0.08435968,1.510577,0.3181175,-0.08259504,1.510079,NA,NA,Unknown,Unknown,
0.6860352,-0.6899414,0.4960938,0.09228516,0.5664063,0.6767578,1,-1,0,-6,-1,2,-1,3,-43,5,18,-6,-1,-2,-3,-7,-8.8125,-8.8125,-8.8125,-27,-27,-27,3.297705,4.056673,3.440751,6.412127,4.822487,9.705503,-0.09682231,-0.2629841,1.22903,0.07721034,0.05564576,1.275508,0.03207421,0.445814,1.540209,-0.04618088,-0.3181587,1.1875,0.03503173,0.05687979,1.265,0.02403433,-0.02366953,1.546862,0.0315573,-0.3471549,1.525793,-0.1493826,0.1703732,1.537315,-0.05254909,-0.3386233,1.485039,-0.2067567,-0.06819189,1.499034,0.2623608,-0.05958121,1.48808,NA,NA,Unknown,Closed,
0.5292969,-0.6552734,0.4863281,-0.3056641,0.5810547,0.5473633,-4,-1,-2,-3,-3,-2,7,-1,-9,14,33,6,3,4,1,-7,-4.25,-4.25,-4.25,8.375,8.375,8.375,3.339976,4.332108,3.348557,6.417557,5.393744,9.809477,-0.06217792,-0.184831,1.18573,0.07891155,0.1454217,1.362303,0.03239089,0.4467105,1.542964,-0.04037548,-0.2150886,1.178,0.04851379,0.1181375,1.437889,0.02392621,-0.024204,1.546739,0.03133725,-0.3491762,1.526684,-0.1492852,0.171146,1.536266,-0.05264638,-0.3407364,1.487355,-0.2067468,-0.05537558,1.487403,0.2863118,-0.1143514,1.479397,NA,NA,Unknown,Unknown,
0.362793,-0.6660156,0.4423828,-0.5131836,0.5683594,0.4433594,0,-2,-5,-3,-5,-3,0,1,-25,-1,1,-9,-2,-1,-1,16,-3.8125,-3.8125,-3.8125,-26.6875,-26.6875,-26.6875,3.359159,4.625417,3.251979,6.565246,6.123655,0.1584651,-0.02783217,-0.1132357,1.160831,0.0639905,0.259589,1.40468,0.03197783,0.4501832,1.546929,-0.004757972,-0.136053,1.146353,0.03871781,0.2070387,1.472316,0.02311655,-0.02553482,1.546339,0.03059997,-0.3515893,1.527318,-0.1462436,0.1723552,1.536485,-0.05369499,-0.3431078,1.490555,-0.2076254,-0.04927441,1.469199,0.2263809,-0.05793056,1.442623,NA,NA,Unknown,Lasso,
0.3095703,-0.7094727,0.4541016,-0.4277344,0.5493164,0.3540039,-1,-4,1,1,0,1,-5,-2,-33,-11,-10,-16,-6,0,-23,-4,0.9375,0.9375,0.9375,-23.25,-23.25,-23.25,3.369899,4.755607,3.198407,6.735628,6.352321,0.4606844,-0.008536096,-0.06067363,1.155071,0.08126862,0.2157634,1.442656,0.0326679,0.4504835,1.549446,0.02574695,-0.08502545,1.144429,0.02177184,0.1668001,1.456679,0.02292138,-0.02595301,1.546283,0.03041605,-0.3520586,1.527407,-0.1422244,0.1732977,1.536975,-0.05399982,-0.3435698,1.491559,-0.2253906,-0.0589683,1.442027,0.2254959,-0.0580165,1.436588,NA,NA,Unknown,NotTracked,
0.2255859,-0.7651367,0.472168,-0.4775391,0.5810547,0.1704102,-4,-2,-2,-2,0,1,-2,-3,43,10,8,-7,1,0,9,15,2.5,2.5,2.5,-11,-11,-11,3.380121,4.832579,3.157122,6.834735,6.376321,0.6585869,0.007015423,-0.0281348,1.154649,0.06491635,0.2483916,1.441033,0.03330733,0.4509759,1.552195,0.03023147,-0.05487422,1.152231,0.01561896,0.1975104,1.470367,0.02265582,-0.0262377,1.546241,0.03029005,-0.3521047,1.527458,-0.1434729,0.1732169,1.534883,-0.05405017,-0.3434761,1.492599,-0.2038665,-0.04112367,1.442215,0.224852,-0.0573328,1.432747,NA,NA,Unknown,NotTracked,
