ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9306641,0.3056641,0.09863281,0.940918,-0.3310547,0.1015625,-2,1,-1,-1,-1,-1,3,-1,-1,-2,-3,-1,-3,0,3,-1,9.8125,9.8125,9.8125,0.3125,0.3125,0.3125,6.948231,3.007413,2.798127,2.968901,3.067453,4.668088,-0.1510073,-0.4189838,1.439016,0.2544919,-0.403935,1.430923,0.04944611,0.443226,1.532193,-0.1128938,-0.412035,1.405735,0.2957443,-0.4103453,1.431533,0.04823889,-0.01287767,1.546881,0.05254166,-0.3237775,1.528766,-0.1360783,0.1660319,1.544223,-0.02435732,-0.3159297,1.493551,-0.1722945,-0.1148067,1.54143,0.2676601,-0.1029555,1.530248,NA,NA,NotTracked,NotTracked,
0.9575195,0.3242188,0.09472656,0.940918,-0.3310547,0.1015625,1,0,-3,-1,-1,0,1,12,-1,-2,-3,-1,-3,0,3,-1,32.875,32.875,32.875,0.3125,0.3125,0.3125,6.96893,3.005668,2.806604,2.968901,3.067453,4.668088,-0.1508962,-0.4189635,1.439394,0.2548215,-0.4037353,1.430861,0.04941913,0.4432117,1.53231,-0.1125197,-0.4071593,1.408343,0.2964914,-0.4031344,1.434474,0.04824111,-0.01285912,1.547034,0.05256569,-0.3238098,1.528824,-0.1360207,0.1660377,1.544417,-0.02431618,-0.3159729,1.49367,-0.17214,-0.1148935,1.541802,0.2677377,-0.1028682,1.530217,NA,NA,NotTracked,NotTracked,
0.972168,0.3710938,0.06396484,0.940918,-0.3310547,0.1015625,5,2,4,2,0,-3,-18,4,-1,-2,-3,-1,-3,0,3,-1,67,67,67,0.3125,0.3125,0.3125,6.996398,3.008502,2.847552,2.968901,3.067453,4.668088,-0.1513647,-0.4192654,1.439354,0.2542565,-0.4034995,1.429602,0.049347,0.4432359,1.532532,-0.1125913,-0.4098068,1.407395,0.2943355,-0.4134999,1.425745,0.04824111,-0.01285894,1.547143,0.05257333,-0.3238501,1.528908,-0.1359589,0.165971,1.544599,-0.02430479,-0.3159994,1.493738,-0.1720629,-0.1150587,1.542005,0.2678872,-0.1029002,1.530123,NA,NA,NotTracked,NotTracked,
1.065918,0.4692383,0.06054688,0.940918,-0.3310547,0.1015625,-5,0,5,2,-4,-3,2,-4,-1,-2,-3,-1,-3,0,3,-1,46.75,46.75,46.75,0.3125,0.3125,0.3125,6.954249,3.061574,3.013793,2.968901,3.067453,4.668088,-0.1515561,-0.4194606,1.439446,0.2533286,-0.4020297,1.427129,0.04911188,0.4433144,1.53317,-0.1132203,-0.4120565,1.405932,0.2917059,-0.403832,1.415742,0.04821539,-0.01285607,1.547226,0.05252755,-0.3238749,1.529029,-0.1359793,0.1659137,1.545033,-0.02435353,-0.3160193,1.493938,-0.1719858,-0.1152181,1.542105,0.2683541,-0.1026744,1.52986,NA,NA,NotTracked,NotTracked,
1.07959,0.3789063,0.1411133,0.940918,-0.3310547,0.1015625,-12,-3,-3,-1,-3,-3,-7,-13,-1,-2,-3,-1,-3,0,3,-1,66.25,66.25,66.25,0.3125,0.3125,0.3125,6.87612,3.152932,3.163311,2.968901,3.067453,4.668088,-0.1518357,-0.4192716,1.438425,0.2435192,-0.3940668,1.409168,0.04878233,0.4433891,1.534033,-0.1119596,-0.4084202,1.407761,0.282226,-0.4030911,1.391875,0.04818784,-0.01286684,1.547455,0.05246048,-0.3238925,1.529078,-0.1359887,0.1656404,1.54599,-0.02441159,-0.3160049,1.494003,-0.1718592,-0.1157915,1.542606,0.2710901,-0.09980557,1.528196,NA,NA,NotTracked,NotTracked,
1.051758,0.4638672,0.1757813,0.940918,-0.3310547,0.1015625,-1,-2,-14,3,-2,7,-2,8,-1,-2,-3,-1,-3,0,3,-1,86.75,86.75,86.75,0.3125,0.3125,0.3125,6.855542,3.213692,3.239295,2.968901,3.067453,4.668088,-0.1519266,-0.419103,1.437559,0.2296298,-0.3819274,1.394267,0.04839009,0.4435944,1.535063,-0.1133526,-0.4122378,1.405459,0.2652049,-0.3870765,1.365057,0.0479659,-0.01285169,1.54764,0.05207669,-0.3239107,1.529154,-0.1361857,0.1654017,1.546593,-0.02483234,-0.3158666,1.494138,-0.1717238,-0.115928,1.54283,0.2750936,-0.09214939,1.526756,NA,NA,NotTracked,NotTracked,
1.01123,0.637207,0.2456055,0.940918,-0.3310547,0.1015625,-5,-1,4,0,9,-1,2,0,-1,-2,-3,-1,-3,0,3,-1,98,98,98,0.3125,0.3125,0.3125,6.835864,3.367465,3.38383,2.968901,3.067453,4.668088,-0.1516862,-0.4190235,1.439273,0.2131525,-0.3613499,1.374966,0.04780492,0.4437046,1.536708,-0.1129129,-0.4108469,1.406733,0.2448364,-0.36514,1.339175,0.04767957,-0.01284728,1.548104,0.05119821,-0.3240072,1.529449,-0.136183,0.1653775,1.547451,-0.02595538,-0.3154847,1.494538,-0.1716389,-0.1158765,1.543275,0.2795327,-0.08262293,1.524473,NA,NA,NotTracked,Unknown,
0.9418945,0.7705078,0.3637695,0.940918,-0.3310547,0.1015625,-6,-3,-4,-10,2,5,-1,-1,-1,-2,-3,-1,-3,0,3,-1,82,82,82,0.3125,0.3125,0.3125,6.815583,3.565098,3.526874,2.968901,3.067453,4.668088,-0.1526722,-0.4185878,1.437566,0.1903884,-0.3302729,1.353904,0.04734711,0.4438239,1.537957,-0.1143221,-0.4121887,1.404875,0.2189933,-0.3711389,1.347111,0.0473009,-0.01289001,1.548312,0.05024329,-0.3240591,1.529376,-0.1362838,0.1653042,1.547752,-0.02718806,-0.3151173,1.494489,-0.1715799,-0.1158,1.543403,0.2879832,-0.06760941,1.519384,NA,NA,NotTracked,Unknown,
0.7851563,0.8041992,0.425293,0.940918,-0.3310547,0.1015625,-4,-6,-10,-2,-2,2,3,5,-1,-2,-3,-1,-3,0,3,-1,71.4375,71.4375,71.4375,0.3125,0.3125,0.3125,6.795848,3.798299,3.661867,2.968901,3.067453,4.668088,-0.1525448,-0.4192465,1.438007,0.1708405,-0.2886709,1.334129,0.04695174,0.444082,1.539762,-0.1147384,-0.4121819,1.405192,0.1926254,-0.3347585,1.339875,0.04690395,-0.01281603,1.54887,0.04978593,-0.3240322,1.529577,-0.1362361,0.1652927,1.548565,-0.02751765,-0.3149688,1.49462,-0.1715026,-0.1156638,1.543766,0.2936333,-0.05311141,1.515224,NA,NA,NotTracked,Unknown,
0.6381836,0.8383789,0.4394531,0.940918,-0.3310547,0.1015625,0,-6,-9,3,4,0,1,-3,-1,-2,-3,-1,-3,0,3,-1,71.0625,71.0625,71.0625,0.3125,0.3125,0.3125,6.801859,4.050213,3.778538,2.968901,3.067453,4.668088,-0.1525638,-0.4189876,1.437762,0.1331339,-0.2490482,1.342459,0.04675633,0.4442066,1.541586,-0.1151222,-0.4062297,1.407439,0.1723458,-0.3062705,1.375565,0.04694116,-0.0127488,1.549296,0.0498051,-0.3240022,1.529632,-0.1362562,0.1651988,1.549189,-0.02745395,-0.3149169,1.494645,-0.1714784,-0.1156114,1.543927,0.3026397,-0.04930349,1.509155,NA,NA,NotTracked,Unknown,
