ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9199219,0.3056641,0.125,0.9331055,-0.3232422,0.105957,1,-1,-2,-3,-4,12,9,4,-1,-12,-1,-1,-1,0,-2,-2,0,0,0,-0.3125,-0.3125,-0.3125,6.888488,3.050242,2.518885,2.978492,3.057832,5.881879,-0.1607435,-0.3866341,1.447773,0.2451845,-0.3927193,1.435652,0.0380393,0.4439063,1.528401,-0.1237747,-0.3849677,1.407484,0.2842662,-0.3675704,1.435188,0.03888929,-0.01187421,1.546926,0.04498935,-0.3226177,1.529856,-0.1446355,0.1666109,1.536717,-0.03186921,-0.3149604,1.493894,-0.182312,-0.1107432,1.54194,0.2601159,-0.1029443,1.537366,NA,NA,NotTracked,NotTracked,
0.9228516,0.3027344,0.1279297,0.9370117,-0.3183594,0.1079102,0,0,-1,0,-1,1,2,3,4,-16,1,0,0,-2,1,-4,0.0625,0.0625,0.0625,-0.5625,-0.5625,-0.5625,6.888204,3.050105,2.519179,2.978926,3.057589,5.881531,-0.1597441,-0.3865207,1.446296,0.2453643,-0.3958622,1.434798,0.03800255,0.4438682,1.528173,-0.1236113,-0.3793981,1.408459,0.2836296,-0.3763061,1.435269,0.03891549,-0.01190083,1.546749,0.04501272,-0.3226143,1.529792,-0.1451245,0.1665521,1.537245,-0.03185391,-0.3149646,1.49387,-0.1822048,-0.1109369,1.541879,0.260119,-0.1029525,1.537352,NA,NA,NotTracked,NotTracked,
0.9238281,0.3027344,0.125,0.9360352,-0.3212891,0.1088867,0,0,-1,-2,-6,-6,-3,0,1,-2,-14,-1,-1,-2,0,4,-0.1875,-0.1875,-0.1875,-0.375,-0.375,-0.375,6.888204,3.050105,2.519179,2.979514,3.057479,5.880991,-0.1596431,-0.3867526,1.447456,0.2467238,-0.3788676,1.439004,0.03797318,0.4439093,1.528138,-0.1237539,-0.3844935,1.407991,0.2839184,-0.3627265,1.433462,0.03893288,-0.01190186,1.546734,0.04502583,-0.3226129,1.529799,-0.1439207,0.166652,1.535157,-0.03184078,-0.314974,1.493899,-0.1822174,-0.1110361,1.541927,0.2601519,-0.1030194,1.53736,NA,NA,NotTracked,NotTracked,
0.9213867,0.3017578,0.1206055,0.9360352,-0.3222656,0.1074219,-5,-1,-2,-3,-3,-2,-6,-13,-1,8,21,1,-1,0,-1,1,0.875,0.875,0.875,-0.1875,-0.1875,-0.1875,6.888678,3.049941,2.518717,2.980644,3.057454,5.879872,-0.1592925,-0.3870491,1.447256,0.2456177,-0.3893478,1.436938,0.0379521,0.4438843,1.528057,-0.1242973,-0.3797692,1.409437,0.2849548,-0.3603851,1.437055,0.038893,-0.01189593,1.546638,0.04504744,-0.3225945,1.529784,-0.144431,0.1666252,1.536299,-0.03181616,-0.314961,1.493878,-0.1822121,-0.1109337,1.542011,0.2601773,-0.103092,1.537344,NA,NA,NotTracked,NotTracked,
0.9199219,0.3022461,0.1230469,0.9331055,-0.3227539,0.1049805,-1,-1,1,1,-1,-6,2,-1,0,-2,-4,-1,-1,-2,0,1,0.6875,0.6875,0.6875,0.1875,0.1875,0.1875,6.888864,3.049177,2.519115,2.980644,3.057454,5.879872,-0.1596082,-0.3866937,1.446537,0.2454586,-0.3926602,1.435461,0.03795175,0.4438352,1.527889,-0.1239192,-0.3830348,1.408452,0.2814731,-0.3849527,1.430286,0.03891218,-0.01193895,1.546567,0.04505432,-0.3225928,1.529783,-0.144146,0.1667428,1.535267,-0.03180468,-0.3149569,1.493882,-0.1822372,-0.11085,1.542032,0.2601837,-0.1030876,1.537331,NA,NA,NotTracked,NotTracked,
0.9296875,0.3056641,0.1157227,0.9663086,-0.3598633,0.1142578,3,0,-1,1,1,-5,1,8,4,7,0,1,4,5,9,-4,0.8125,0.8125,0.8125,4.4375,4.4375,4.4375,6.888864,3.049177,2.519115,2.984839,3.059585,5.878172,-0.1596391,-0.3867603,1.447001,0.2454454,-0.3955999,1.43509,0.03796805,0.4438271,1.52775,-0.1237437,-0.3838891,1.408618,0.2805884,-0.3914998,1.431778,0.03893688,-0.0119413,1.546539,0.04505688,-0.3225858,1.529794,-0.1436539,0.1667269,1.534239,-0.03180171,-0.3149443,1.493904,-0.1822491,-0.1107298,1.542072,0.2601858,-0.1030865,1.537303,NA,NA,NotTracked,NotTracked,
1.03418,0.3198242,0.09472656,1.022949,-0.2504883,0.05859375,38,4,0,-2,-1,-2,-3,0,0,-4,-3,-3,-2,-2,-7,-11,-16.625,-16.625,-16.625,24.0625,24.0625,24.0625,6.862941,3.065953,2.538377,3.059635,3.082658,5.838964,-0.1601847,-0.3867662,1.446717,0.2452109,-0.3998152,1.432649,0.03793671,0.4438323,1.527696,-0.124053,-0.3798713,1.409394,0.2795911,-0.4192748,1.433125,0.03896695,-0.01197101,1.546511,0.04507511,-0.3226056,1.529819,-0.143208,0.1669035,1.533818,-0.03178776,-0.3149597,1.493917,-0.1822675,-0.1107569,1.542131,0.2602426,-0.1031086,1.537342,NA,NA,NotTracked,NotTracked,
1.063965,0.296875,0.1357422,1.041992,-0.3642578,0.08935547,-16,-6,3,1,12,-2,1,0,-5,2,-1,0,-4,-4,-11,-17,20.1875,20.1875,20.1875,-10.75,-10.75,-10.75,6.755859,3.134779,2.657076,3.133882,3.146463,5.749017,-0.1605496,-0.3818561,1.441385,0.2397023,-0.4127626,1.41588,0.03792918,0.4438178,1.52755,-0.1212742,-0.3726776,1.409482,0.276676,-0.4080657,1.41048,0.03896402,-0.01196475,1.546446,0.04509632,-0.3226052,1.529779,-0.1433637,0.1669195,1.533786,-0.03176005,-0.3149439,1.493814,-0.182786,-0.1099879,1.543546,0.2615301,-0.1019314,1.538527,NA,NA,NotTracked,NotTracked,
1.053711,0.5561523,0.277832,0.9482422,-0.5385742,0.3105469,7,-5,-3,-5,-13,5,6,8,2,-8,-1,0,-3,-4,-12,2,36.25,36.25,36.25,13.4375,13.4375,13.4375,6.698783,3.289786,2.795426,3.292976,3.334656,5.58126,-0.1468066,-0.3910113,1.412944,0.2176587,-0.3803143,1.390824,0.03796116,0.4438695,1.527178,-0.1177608,-0.368668,1.376,0.2368506,-0.3760459,1.352753,0.03901224,-0.01193522,1.546191,0.04506266,-0.3225656,1.529618,-0.1445214,0.166895,1.535393,-0.03184768,-0.3148235,1.493534,-0.1852041,-0.10585,1.549536,0.2658185,-0.09627137,1.542925,NA,NA,NotTracked,NotTracked,
0.7880859,0.5234375,0.434082,0.8647461,-0.5478516,0.4160156,-2,-3,-3,-2,-5,0,-4,0,0,-4,-6,-5,3,-1,23,4,16.3125,16.3125,16.3125,27.625,27.625,27.625,6.559993,3.575757,3.020298,3.453586,3.525504,5.443755,-0.1212836,-0.3534017,1.392967,0.1820658,-0.331154,1.365307,0.03814168,0.4436991,1.526306,-0.1009618,-0.3858174,1.410239,0.1446013,-0.3101297,1.333097,0.03898198,-0.01199203,1.546066,0.04502733,-0.3225852,1.529581,-0.1451948,0.1671773,1.536336,-0.03193106,-0.3148257,1.493465,-0.1923026,-0.08900879,1.561819,0.2713615,-0.08161085,1.549057,NA,NA,NotTracked,Unknown,
