ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.4462891,0.7109375,0.7036133,0.9580078,-0.3203125,0.046875,-3,-11,-5,-31,-14,-4,-4,0,-2,-5,-1,-6,-3,-1,0,-3,79.75,79.75,79.75,-61.625,-61.625,-61.625,6.783461,4.3174,4.495636,2.617142,3.020578,6.019311,-0.1473659,-0.3814357,1.433957,-0.0115666,-0.1785513,1.32621,0.05218285,0.4415446,1.541444,-0.1861528,-0.3974448,1.445786,-0.0005214501,-0.2323117,1.36271,0.04658536,-0.01316381,1.554261,0.04875991,-0.3228179,1.533189,-0.1409082,0.1657609,1.544049,-0.02767026,-0.3148836,1.497762,-0.1794169,-0.1092636,1.526637,0.2616456,-0.04507926,1.440713,NA,NA,NotTracked,Unknown,
0.3466797,0.699707,0.684082,0.9448242,-0.2939453,0.01171875,10,-3,2,22,3,0,1,8,-1,-15,1,6,-1,-3,-2,-1,75.125,75.125,75.125,-51.25,-51.25,-51.25,6.786008,4.464648,4.593089,2.566306,3.014839,6.01031,-0.139968,-0.4101696,1.426533,-0.05055708,-0.1250982,1.334506,0.05257164,0.4413984,1.5418,-0.1840452,-0.4088826,1.437833,-0.05946163,-0.08600313,1.37675,0.04720446,-0.01263976,1.554782,0.04899001,-0.3215062,1.533762,-0.1399547,0.1664724,1.543634,-0.02724857,-0.3137376,1.498921,-0.1804359,-0.1018515,1.517952,0.258567,-0.04274189,1.415176,NA,NA,NotTracked,Unknown,
0.1894531,0.6757813,0.5253906,0.9399414,-0.3139648,-0.004882813,-34,-3,-1,34,3,0,-6,-20,-1,9,12,0,-1,-3,-1,-1,26.1875,26.1875,26.1875,-48.125,-48.125,-48.125,6.818269,4.944971,4.948692,2.443579,2.999242,6.015118,-0.1380385,-0.4130589,1.42449,-0.09970824,-0.03131962,1.347275,0.05366087,0.4411821,1.542778,-0.1809122,-0.4131965,1.432417,-0.1042466,0.001498106,1.372687,0.04847044,-0.01185098,1.555669,0.05026709,-0.3197403,1.534614,-0.1383888,0.1673167,1.542919,-0.02480944,-0.3120753,1.502001,-0.1718461,-0.1272452,1.494327,0.2117853,-0.02992454,1.392903,NA,NA,Unknown,Unknown,
0.1601563,0.65625,0.4941406,0.9453125,-0.2910156,-0.015625,51,-10,10,-11,-38,-12,6,30,-1,-7,-11,-3,0,2,-2,-1,10,10,10,-41.5625,-41.5625,-41.5625,6.834284,5.101566,5.09986,2.415865,2.996605,6.020009,-0.1370197,-0.4131864,1.422869,-0.02295328,-0.03196987,1.377881,0.05460171,0.4410774,1.543374,-0.1811548,-0.4232363,1.432625,-0.0128949,0.02048929,1.406039,0.04909928,-0.01165109,1.555898,0.05043071,-0.3195715,1.534694,-0.1377149,0.167712,1.54253,-0.02431821,-0.3120094,1.503228,-0.1721412,-0.1214539,1.494137,0.2001859,-0.03004317,1.384985,NA,NA,Unknown,Unknown,
0.2236328,0.6411133,0.5141602,0.9697266,-0.277832,-0.02392578,-9,16,-6,-1,21,4,-2,-20,0,-1,0,-2,0,-1,-2,1,13.875,13.875,13.875,-34.9375,-34.9375,-34.9375,6.845764,5.158137,5.169875,2.365211,2.990834,6.031452,-0.1371059,-0.4128183,1.422529,-0.1277585,0.02054388,1.380998,0.05558886,0.4411027,1.5438,-0.1830926,-0.4151823,1.437596,-0.07024302,0.04915017,1.428091,0.04954948,-0.01111321,1.556087,0.05064794,-0.319049,1.53478,-0.1371638,0.1688248,1.542351,-0.02383787,-0.3114814,1.504581,-0.1717435,-0.1083533,1.492471,0.1721106,-0.02325694,1.376693,NA,NA,Unknown,Unknown,
0.2041016,0.7353516,0.3349609,0.9355469,-0.2602539,-0.04394531,22,0,-23,-8,10,-1,-15,-18,1,-9,7,-3,-1,-2,-1,1,3.125,3.125,3.125,-37.75,-37.75,-37.75,6.882367,5.256505,5.3491,2.312802,2.983613,6.043766,-0.1361809,-0.4131413,1.421502,-0.1160298,0.02776414,1.390435,0.05635247,0.4410211,1.544191,-0.1831025,-0.4137626,1.43785,-0.06157089,0.05894887,1.428357,0.04993747,-0.01092368,1.556168,0.05076606,-0.3188005,1.534827,-0.1369051,0.1689482,1.541975,-0.02364386,-0.3112036,1.50565,-0.174186,-0.09052397,1.491521,0.166825,-0.02134938,1.374916,NA,NA,Unknown,Unknown,
0.2392578,0.828125,0.3383789,0.9365234,-0.2700195,-0.06396484,-25,-11,-6,-29,-6,-4,-1,3,-3,-21,-11,1,0,-3,-1,-2,11.625,11.625,11.625,-29.4375,-29.4375,-29.4375,6.905731,5.258957,5.431616,2.268825,2.982235,6.051876,-0.1356531,-0.4102287,1.421518,-0.1025334,0.03118265,1.399114,0.0571214,0.4409144,1.544599,-0.1804529,-0.4064337,1.431952,-0.06033056,0.06545377,1.428318,0.05023786,-0.01071972,1.556208,0.05093866,-0.3184547,1.534824,-0.1368546,0.1690107,1.541779,-0.02341203,-0.3109323,1.506512,-0.1740627,-0.08837496,1.492206,0.1538184,-0.01772012,1.373351,NA,NA,Unknown,Unknown,
0.1210938,0.8466797,0.2475586,0.9443359,-0.262207,-0.06542969,57,7,-6,1,4,-1,-3,9,-1,13,-6,-10,-3,1,-3,-5,-3.8125,-3.8125,-3.8125,-26.625,-26.625,-26.625,6.919756,5.248769,5.503868,2.235956,2.980994,6.054868,-0.1353966,-0.409819,1.420497,-0.1510745,0.05440964,1.410716,0.05782234,0.4407853,1.544809,-0.1808088,-0.4052294,1.432127,-0.1607911,0.06672131,1.382636,0.05032008,-0.01050759,1.556155,0.05082222,-0.3179803,1.534671,-0.1368819,0.1690813,1.541481,-0.02358227,-0.3106158,1.506987,-0.1757619,-0.06773309,1.495113,0.127911,-0.008249754,1.371746,NA,NA,Unknown,Unknown,
0.03125,0.8300781,0.2885742,0.9433594,-0.2836914,-0.05078125,14,-5,-8,-42,1,-7,2,-6,-1,7,0,-3,-3,-1,2,0,3.8125,3.8125,3.8125,-14.125,-14.125,-14.125,6.926853,5.245494,5.531233,2.217907,2.981775,6.052309,-0.13421,-0.4086981,1.41841,-0.1377546,0.0485594,1.431021,0.05851629,0.4406541,1.544862,-0.1787461,-0.4024967,1.425292,-0.1341512,0.06092463,1.380456,0.05035852,-0.009701017,1.555539,0.05051218,-0.3167953,1.533679,-0.1371483,0.1690134,1.540837,-0.02377762,-0.3102981,1.507032,-0.1758236,-0.06328937,1.495929,0.1250071,-0.007194743,1.369968,NA,NA,Unknown,Unknown,
-0.06884766,0.9121094,0.2695313,0.9487305,-0.2529297,-0.05273438,-44,-9,-11,-11,25,4,1,3,-1,9,4,0,0,-3,0,-1,9.375,9.375,9.375,-3.625,-3.625,-3.625,6.964089,5.248631,5.572913,2.213381,2.980839,6.051239,-0.1344012,-0.4046479,1.417514,-0.1372119,0.05019772,1.43315,0.05854668,0.440638,1.544875,-0.1812476,-0.4034971,1.426897,-0.1767339,0.05068379,1.406,0.05021772,-0.009174159,1.555145,0.04992827,-0.3160096,1.533062,-0.1373819,0.1688961,1.540465,-0.02432582,-0.3099634,1.507259,-0.1743914,-0.06839032,1.497,0.1205064,-0.004271622,1.366973,NA,NA,Unknown,Unknown,
