ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9399414,-0.3081055,0.1015625,0.9208984,0.3022461,0.144043,-2,-2,-1,-2,-2,0,-1,0,1,-2,-1,1,1,-2,-5,2,1.125,1.125,1.125,1.625,1.625,1.625,2.990171,3.034701,9.047013,6.790652,3.054978,0.3723696,-0.1696708,-0.4196568,1.426813,0.2219411,-0.4196918,1.410169,0.03085111,0.4471298,1.530269,-0.2169358,-0.4458563,1.446667,0.2623097,-0.4252448,1.395346,0.02755064,-0.02398007,1.537057,0.03029604,-0.3503092,1.515707,-0.1565024,0.1655989,1.532125,-0.05414742,-0.3414918,1.478847,-0.1957651,-0.1159326,1.5282,0.2461383,-0.1041434,1.516572,NA,NA,NotTracked,NotTracked,
0.9418945,-0.3085938,0.1069336,0.9169922,0.2983398,0.1430664,0,-1,-1,-1,0,0,0,-2,0,-2,-1,-1,-5,-40,-8,-7,0.5,0.5,0.5,1.4375,1.4375,1.4375,2.990936,3.035007,9.046469,6.790954,3.05481,0.3728655,-0.1693744,-0.4198067,1.426679,0.2217406,-0.4199898,1.410578,0.03082128,0.4471787,1.530241,-0.2115621,-0.4178698,1.438038,0.2601993,-0.4310764,1.391238,0.02750547,-0.02398181,1.537023,0.03027355,-0.3503093,1.515698,-0.1565504,0.1655692,1.532002,-0.05416841,-0.3414918,1.478831,-0.1957576,-0.1159307,1.528201,0.2461115,-0.1041129,1.516535,NA,NA,NotTracked,NotTracked,
0.9428711,-0.309082,0.09716797,0.9233398,0.3007813,0.1503906,-2,0,-2,-1,0,0,-2,-1,-3,0,-1,-2,0,-4,-8,-21,1.125,1.125,1.125,0.3125,0.3125,0.3125,2.99131,3.034548,9.046896,6.789942,3.054555,0.3744989,-0.1694514,-0.4209433,1.427031,0.2216946,-0.4193521,1.410769,0.03071397,0.4471832,1.530152,-0.213686,-0.4561439,1.4354,0.2615744,-0.4257419,1.394546,0.02748347,-0.02398339,1.536985,0.03022005,-0.3503011,1.515698,-0.1566073,0.1655862,1.53189,-0.05422587,-0.341488,1.478839,-0.1957745,-0.115882,1.528205,0.246102,-0.1041091,1.516533,NA,NA,NotTracked,NotTracked,
0.9433594,-0.3105469,0.105957,0.9179688,0.300293,0.1494141,0,0,-1,0,-1,1,-1,-1,-2,-1,1,-2,1,0,-4,3,0.5625,0.5625,0.5625,-0.5,-0.5,-0.5,2.99213,3.034503,9.046093,6.789399,3.054529,0.3749073,-0.1694404,-0.4197044,1.426784,0.2218346,-0.4198729,1.409851,0.03059245,0.4471973,1.529941,-0.2156557,-0.443819,1.449445,0.2606749,-0.4303463,1.392134,0.02742261,-0.02401579,1.536888,0.03016044,-0.3503367,1.515599,-0.156735,0.1654005,1.531656,-0.05429318,-0.3415308,1.478727,-0.1957861,-0.1159022,1.528164,0.2460288,-0.1041111,1.516411,NA,NA,NotTracked,NotTracked,
0.9448242,-0.3168945,0.1069336,0.9174805,0.3056641,0.1469727,1,-1,0,0,-1,0,-2,-2,0,0,-2,0,1,0,2,7,0.625,0.625,0.625,-0.3125,-0.3125,-0.3125,2.99213,3.034503,9.046093,6.789399,3.054529,0.3749073,-0.1692017,-0.4207073,1.426625,0.2217271,-0.4195214,1.410031,0.03051753,0.4471892,1.529904,-0.2185507,-0.4292998,1.4571,0.2622271,-0.4265882,1.395475,0.0273636,-0.02398762,1.53689,0.03012248,-0.3503341,1.515588,-0.1567755,0.1653844,1.531575,-0.05432666,-0.3415291,1.478723,-0.195844,-0.1156877,1.528173,0.245984,-0.1040933,1.516411,NA,NA,NotTracked,NotTracked,
0.9667969,-0.3208008,0.09082031,0.9160156,0.2983398,0.1474609,3,0,-1,0,2,0,1,-7,-1,0,-1,-2,1,9,-1,1,-0.6875,-0.6875,-0.6875,0.5625,0.5625,0.5625,2.99472,3.035706,9.042752,6.789293,3.05425,0.375268,-0.1701471,-0.4190283,1.427789,0.2224346,-0.4202559,1.410384,0.03047364,0.4472286,1.529871,-0.2186659,-0.4295707,1.457875,0.2624567,-0.4284504,1.396051,0.02731125,-0.02399646,1.536825,0.03010506,-0.3503358,1.51557,-0.1568427,0.1653492,1.531488,-0.05434648,-0.3415358,1.478696,-0.195828,-0.1156769,1.528104,0.2459131,-0.1041799,1.516304,NA,NA,NotTracked,NotTracked,
0.9790039,-0.4008789,0.08203125,0.934082,0.2983398,0.1455078,-7,-5,-3,-3,-5,-12,-6,-10,-17,-3,-1,-2,3,1,-5,2,7.3125,7.3125,7.3125,0.1875,0.1875,0.1875,3.008266,3.049758,9.031316,6.78863,3.054469,0.3756366,-0.1707392,-0.4176212,1.427468,0.2220945,-0.4197777,1.410183,0.03041166,0.4471218,1.52977,-0.2191186,-0.4134916,1.453533,0.260468,-0.4331255,1.391744,0.02729242,-0.0240419,1.536787,0.03008752,-0.3503469,1.51555,-0.1568936,0.1652841,1.531325,-0.05436568,-0.3415543,1.478666,-0.1958385,-0.1155512,1.528114,0.2458723,-0.1042028,1.516227,NA,NA,NotTracked,NotTracked,
1.010742,-0.4248047,0.08105469,1.011719,0.277832,0.159668,3,0,-1,-5,-15,-3,-5,-3,-16,4,-2,3,2,-3,-17,-53,36.125,36.125,36.125,-10.625,-10.625,-10.625,3.038748,3.0834,9.033154,6.777394,3.063439,0.3800801,-0.1704947,-0.4179096,1.425928,0.222794,-0.4192015,1.409723,0.03034013,0.4471973,1.52972,-0.2132903,-0.4592191,1.4328,0.2631117,-0.4163627,1.396391,0.02725707,-0.02406088,1.536711,0.03000007,-0.3503552,1.515454,-0.1569384,0.1652696,1.531259,-0.05445074,-0.3415476,1.47856,-0.1958869,-0.1154397,1.528089,0.2458813,-0.1043317,1.516192,NA,NA,NotTracked,NotTracked,
1.079102,-0.4921875,0.0390625,1.057617,0.3129883,0.1376953,8,-2,-6,-7,-20,-5,-4,-2,2,5,6,-1,9,1,-13,11,102.375,102.375,102.375,-11.625,-11.625,-11.625,3.106592,3.156221,9.061062,6.774211,3.079269,0.3763728,-0.1701082,-0.4168935,1.422047,0.222933,-0.4165731,1.406176,0.0303356,0.4472089,1.529662,-0.2168452,-0.4116411,1.441867,0.2660645,-0.4185746,1.393174,0.02725545,-0.02406258,1.53663,0.02999349,-0.3503805,1.515384,-0.1569729,0.1652299,1.5312,-0.05446912,-0.3415725,1.478472,-0.1959966,-0.1152789,1.528102,0.2459085,-0.1044062,1.516201,NA,NA,NotTracked,NotTracked,
0.9916992,-0.3686523,0.1069336,1.03125,0.515625,0.1157227,-3,-26,-25,-9,15,-6,-7,-1,-6,-11,-3,-1,5,5,8,-3,72.9375,72.9375,72.9375,-45.625,-45.625,-45.625,3.21285,3.267501,9.051549,6.683849,3.200761,0.4194977,-0.1672937,-0.421158,1.413597,0.22309,-0.415429,1.399524,0.03033801,0.4471935,1.529633,-0.2118078,-0.4272126,1.418118,0.2708966,-0.4184075,1.388625,0.02724308,-0.02404259,1.536542,0.02999963,-0.3503396,1.515294,-0.1569811,0.1652422,1.531191,-0.05446004,-0.3415148,1.478313,-0.1965088,-0.1145423,1.52854,0.2460664,-0.1043188,1.516963,NA,NA,NotTracked,NotTracked,
