ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9672852,0.3481445,0.1782227,0.9853516,-0.2583008,0.1499023,0,2,-1,0,0,-2,-1,8,-1,-6,-4,-1,-3,-2,20,13,84.3125,84.3125,84.3125,-19.8125,-19.8125,-19.8125,6.846314,3.036501,4.153064,2.946994,2.876101,3.668584,-0.1684766,-0.4184792,1.427731,0.2192931,-0.4119951,1.410299,0.03450983,0.4457646,1.531022,-0.1268793,-0.3942922,1.403723,0.2578532,-0.3998276,1.408819,0.0266827,-0.01043106,1.539274,0.02578796,-0.3215242,1.518928,-0.1596232,0.1697747,1.540872,-0.05091867,-0.3130231,1.483767,-0.1937917,-0.1091063,1.531636,0.2454706,-0.1005819,1.514078,NA,NA,NotTracked,NotTracked,
0.9355469,0.4204102,0.1635742,0.9853516,-0.2583008,0.1499023,-2,-7,6,-1,3,-2,-1,2,-1,-6,-4,-1,-3,-2,20,13,35.1875,35.1875,35.1875,-19.8125,-19.8125,-19.8125,6.820097,3.115868,4.297654,2.946994,2.876101,3.668584,-0.1686804,-0.4180962,1.425972,0.2155045,-0.4139347,1.397731,0.03451629,0.4458294,1.531159,-0.1276439,-0.4057398,1.398264,0.2521445,-0.4070828,1.390391,0.02667331,-0.0104234,1.539279,0.02575781,-0.3215412,1.518868,-0.158502,0.1698811,1.540122,-0.05094407,-0.3130201,1.483732,-0.193705,-0.1092302,1.531676,0.2458143,-0.09921265,1.51256,NA,NA,NotTracked,NotTracked,
0.9946289,0.7924805,0.199707,0.9853516,-0.2583008,0.1499023,15,28,-8,-3,7,0,-3,0,-1,-6,-4,-1,-3,-2,20,13,31.375,31.375,31.375,-19.8125,-19.8125,-19.8125,6.835316,3.286348,4.368483,2.946994,2.876101,3.668584,-0.1686185,-0.4146119,1.426071,0.2034977,-0.4043299,1.355383,0.0345008,0.4457983,1.531431,-0.1316194,-0.4096717,1.395277,0.242655,-0.4209104,1.347572,0.0266166,-0.01041485,1.539337,0.0255351,-0.3215741,1.518785,-0.1578625,0.169836,1.539851,-0.051241,-0.3128789,1.4835,-0.1936924,-0.1094381,1.531777,0.2470374,-0.09479521,1.507777,NA,NA,NotTracked,Unknown,
1.016602,0.8286133,0.2866211,0.9853516,-0.2583008,0.1499023,1,-1,-9,-6,-21,-12,-7,-9,-1,-6,-4,-1,-3,-2,20,13,-37.0625,-37.0625,-37.0625,-19.8125,-19.8125,-19.8125,6.793162,3.474085,4.391639,2.946994,2.876101,3.668584,-0.1695143,-0.4147553,1.426528,0.1763418,-0.3390175,1.277653,0.03436707,0.4456397,1.532173,-0.1319799,-0.4106125,1.39474,0.1859052,-0.3332152,1.235213,0.02625477,-0.0104744,1.539584,0.02433607,-0.3218459,1.518742,-0.1574074,0.1696449,1.539617,-0.05260898,-0.3125033,1.48333,-0.1936884,-0.1097103,1.531824,0.2495954,-0.08136086,1.502545,NA,NA,NotTracked,Closed,
0.7895508,0.7753906,0.5390625,0.9853516,-0.2583008,0.1499023,1,8,27,6,-45,-22,-5,-7,-1,-6,-4,-1,-3,-2,20,13,-5.4375,-5.4375,-5.4375,-19.8125,-19.8125,-19.8125,6.688596,4.01067,4.428089,2.946994,2.876101,3.668584,-0.1690373,-0.4150826,1.426868,0.1553179,-0.2246337,1.206575,0.03425786,0.44556,1.533191,-0.1301405,-0.4057674,1.397668,0.1026692,-0.2303586,1.2205,0.02549675,-0.01049687,1.540109,0.02287115,-0.3219687,1.518926,-0.1572697,0.1695553,1.53969,-0.05417563,-0.3121388,1.483509,-0.1937179,-0.1096293,1.531802,0.252393,-0.06120654,1.494371,NA,NA,NotTracked,Unknown,
0.5395508,0.9594727,0.5649414,0.9853516,-0.2583008,0.1499023,8,18,-20,-10,-10,-1,1,4,-1,-6,-4,-1,-3,-2,20,13,5.875,5.875,5.875,-19.8125,-19.8125,-19.8125,6.685697,4.515841,4.461713,2.946994,2.876101,3.668584,-0.1690598,-0.4154676,1.426321,0.1278546,-0.08352538,1.155738,0.03416084,0.4455059,1.534572,-0.1297444,-0.4078362,1.396968,0.1168909,-0.1101781,1.120091,0.02542833,-0.01040674,1.540845,0.02293547,-0.3218637,1.519133,-0.1595703,0.1697739,1.542751,-0.05391685,-0.3122235,1.483867,-0.1937039,-0.1095371,1.531872,0.266694,-0.05306328,1.468357,NA,NA,NotTracked,Unknown,
0.07470703,0.7114258,0.5629883,0.9853516,-0.2583008,0.1499023,-3,-6,5,-10,-2,3,-3,-11,-1,-6,-4,-1,-3,-2,20,13,-3.4375,-3.4375,-3.4375,-19.8125,-19.8125,-19.8125,6.662879,5.239613,4.542849,2.946994,2.876101,3.668584,-0.1669438,-0.4314329,1.423117,0.1227118,0.06591288,1.168711,0.03425099,0.4457757,1.536017,-0.1287215,-0.4174306,1.395833,0.130592,0.08165623,1.132467,0.02533785,-0.01036914,1.541877,0.02298607,-0.321767,1.519792,-0.1599455,0.1696223,1.544148,-0.05358225,-0.3124485,1.485033,-0.193953,-0.1093554,1.532266,0.2678653,-0.03942878,1.390897,NA,NA,NotTracked,Closed,
-0.3037109,0.5957031,0.4506836,0.9853516,-0.2583008,0.1499023,-4,8,23,8,6,3,3,9,-1,-6,-4,-1,-3,-2,20,13,40.3125,40.3125,40.3125,-19.8125,-19.8125,-19.8125,6.732821,5.773546,4.639779,2.946994,2.876101,3.668584,-0.166388,-0.43193,1.423992,0.1310335,0.1799823,1.217542,0.03383787,0.4457456,1.537254,-0.1264285,-0.4155017,1.397782,0.1476182,0.2116908,1.193571,0.0248291,-0.01111452,1.542403,0.02283801,-0.3236662,1.520419,-0.1594097,0.1694536,1.54496,-0.05397131,-0.3154035,1.48757,-0.1941691,-0.108281,1.533431,0.2627087,-0.02977712,1.388126,NA,NA,NotTracked,Closed,
-0.5273438,0.4848633,0.2387695,0.9853516,-0.2583008,0.1499023,-3,4,9,9,-4,-4,-4,-8,-1,-6,-4,-1,-3,-2,20,13,17.5,17.5,17.5,-19.8125,-19.8125,-19.8125,6.939324,6.32847,4.862134,2.946994,2.876101,3.668584,-0.1705939,-0.4124311,1.432067,0.1361316,0.2524485,1.278587,0.03279436,0.4464299,1.537884,-0.1297454,-0.3974311,1.403295,0.1022495,0.2597383,1.313154,0.0262027,-0.009838585,1.542741,0.02253524,-0.3237251,1.520545,-0.1566074,0.1690684,1.544575,-0.05465093,-0.315371,1.488062,-0.1939703,-0.1038196,1.535929,0.2657437,-0.00485492,1.355573,NA,NA,NotTracked,Unknown,
-0.6347656,0.4399414,0.1958008,0.9853516,-0.2583008,0.1499023,-3,-5,-5,-2,6,0,-1,5,-1,-6,-4,-1,-3,-2,20,13,2.6875,2.6875,2.6875,-19.8125,-19.8125,-19.8125,7.199123,6.577616,5.180424,2.946994,2.876101,3.668584,-0.1722276,-0.4048708,1.434245,0.1452238,0.2764942,1.328364,0.03188474,0.4462703,1.537742,-0.1296065,-0.3763968,1.409409,0.1230842,0.263795,1.374444,0.02735709,-0.00925466,1.542966,0.02240133,-0.3236979,1.520517,-0.1538966,0.1688897,1.544046,-0.05505871,-0.3151983,1.488056,-0.193631,-0.1010015,1.537283,0.2720452,0.02032525,1.333725,NA,NA,NotTracked,Unknown,
