ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.246582,-0.7553711,0.4633789,0.1791992,0.6396484,0.5498047,-6,-12,-7,5,1,-5,4,-4,9,2,2,-4,-7,-4,10,-8,16.125,16.125,16.125,-8.0625,-8.0625,-8.0625,3.3189,4.83012,7.737985,6.501906,4.866097,1.503171,-0.1554563,-0.0872032,1.195868,0.1936439,-0.05495306,1.188671,0.03827375,0.4480599,1.542307,-0.1548049,-0.04202956,1.19575,0.178923,-0.005895904,1.195778,0.03381692,-0.02334093,1.545536,0.03776642,-0.3499023,1.522562,-0.1478896,0.1673914,1.538565,-0.04749153,-0.3408158,1.484722,-0.2131455,-0.05862176,1.525671,0.2734345,-0.05757865,1.52496,NA,NA,Lasso,Unknown,
0.0859375,-0.6933594,0.4174805,-0.02148438,0.6206055,0.5,2,4,6,2,2,2,-3,0,-4,4,7,2,12,2,0,-20,15.25,15.25,15.25,-0.375,-0.375,-0.375,3.365871,5.106174,7.69963,6.49247,5.174749,1.51603,-0.1492658,-0.01456466,1.196021,0.189924,0.01846206,1.202637,0.03890172,0.4480691,1.542971,-0.1402863,0.04444492,1.184857,0.1783815,0.06855939,1.217727,0.03409922,-0.02333012,1.545802,0.03804166,-0.3498978,1.522662,-0.1475146,0.1679,1.537952,-0.04709006,-0.3408274,1.484752,-0.2092093,-0.07533368,1.495153,0.2511178,-0.08217904,1.464986,NA,NA,Lasso,Lasso,
0.001464844,-0.706543,0.418457,-0.1103516,0.6289063,0.4916992,2,-24,15,6,-1,-1,-2,12,-1,-5,-3,-4,14,6,-7,-18,8.5625,8.5625,8.5625,-19.6875,-19.6875,-19.6875,3.371226,5.176142,7.654966,6.477581,5.363217,1.54592,-0.1384127,0.01492644,1.204379,0.1880167,0.04884604,1.21496,0.03942475,0.448188,1.543502,-0.1356489,0.07777326,1.201,0.1740154,0.1058673,1.2268,0.034401,-0.02318125,1.546218,0.03835162,-0.3497015,1.522851,-0.1468744,0.1688988,1.537461,-0.04659778,-0.3406475,1.484851,-0.2008017,-0.07837749,1.490192,0.2487275,-0.07802758,1.468692,NA,NA,Lasso,Lasso,
-0.1655273,-0.7050781,0.3134766,-0.1733398,0.5849609,0.46875,-8,-6,27,-3,-4,3,2,-18,0,-3,-1,0,-9,4,7,-8,-1.0625,-1.0625,-1.0625,-12.375,-12.375,-12.375,3.369923,5.129893,7.611697,6.454543,5.412568,1.580672,-0.1275443,0.002640958,1.210014,0.1818481,0.03706236,1.211131,0.04010421,0.4486031,1.544469,-0.1288024,0.06878596,1.215571,0.1729172,0.09487565,1.227555,0.03474608,-0.02299436,1.546583,0.03852193,-0.3496001,1.522983,-0.146429,0.1695874,1.537374,-0.04628262,-0.3404842,1.484925,-0.1993531,-0.07886036,1.489169,0.2478257,-0.07696818,1.468591,NA,NA,Lasso,Lasso,
-0.06884766,-0.9814453,0.4990234,-0.15625,0.828125,0.4501953,1,2,-15,-3,-4,-15,-3,-4,0,3,-2,0,12,5,21,4,4.1875,4.1875,4.1875,-15.75,-15.75,-15.75,3.357393,4.948716,7.585303,6.430851,5.165322,1.611694,-0.1217111,-0.04362259,1.204735,0.175635,-0.02153254,1.197996,0.04057407,0.4487299,1.545082,-0.1248418,0.02344767,1.195714,0.1742842,0.05305348,1.1915,0.03490571,-0.02299271,1.546733,0.03861958,-0.3495968,1.522962,-0.1461592,0.1696685,1.537342,-0.04607391,-0.3404444,1.484831,-0.2036711,-0.07091974,1.49686,0.2500925,-0.07500038,1.468101,NA,NA,Unknown,Lasso,
0.3652344,-1.092285,0.7192383,0.480957,0.8583984,0.9326172,-2,-6,-3,1,-3,-4,0,4,-3,3,13,2,-13,-30,-6,-13,-19.25,-19.25,-19.25,-4.9375,-4.9375,-4.9375,3.348878,4.752923,7.586257,6.427019,4.953736,1.622262,-0.1160951,-0.08604135,1.190905,0.1704516,-0.05537021,1.198567,0.04092838,0.4485822,1.54549,-0.1233804,-0.05485696,1.161333,0.1736874,0.0171689,1.18,0.03504178,-0.02303904,1.54678,0.0386847,-0.3496088,1.522854,-0.1460748,0.1695574,1.537412,-0.04592176,-0.3404419,1.484617,-0.2066438,-0.05858866,1.501155,0.2653289,-0.05635538,1.479247,NA,NA,Lasso,Lasso,
-0.01025391,-0.7797852,0.4633789,-0.1494141,0.9624023,0.6694336,2,9,-1,-3,-10,0,-3,12,-1,-2,2,-2,2,2,2,-4,9.25,9.25,9.25,14.875,14.875,14.875,3.372523,4.783391,7.577853,6.435334,4.946681,1.646666,-0.1241199,-0.07566118,1.206726,0.1692016,-0.05498349,1.20528,0.04132435,0.4485379,1.545631,-0.1294438,-0.006314064,1.190815,0.171165,0.01605448,1.195185,0.03521045,-0.02305064,1.546794,0.03880407,-0.3495826,1.522777,-0.1459553,0.169533,1.537471,-0.04570435,-0.3403739,1.484407,-0.2090209,-0.05680757,1.505503,0.2680548,-0.05689365,1.480475,NA,NA,Lasso,Lasso,
0.07080078,-0.8349609,0.5375977,-0.1494141,0.9624023,0.6694336,-5,-7,4,1,1,-1,-2,-15,1,2,-4,0,-12,-3,-11,-4,-5,-5,-5,14.875,14.875,14.875,3.364774,4.80545,7.572788,6.435334,4.946681,1.646666,-0.124369,-0.07070106,1.210468,0.1690733,-0.05503843,1.207382,0.0416361,0.4485371,1.545478,-0.1289467,-0.000747711,1.19156,0.1702344,0.01691663,1.194918,0.03531133,-0.02296607,1.546874,0.03882248,-0.3494134,1.522898,-0.145721,0.1698572,1.537558,-0.04563133,-0.3401527,1.484497,-0.2114771,-0.05583424,1.508035,0.2704728,-0.05690606,1.482435,NA,NA,Lasso,Lasso,
0.1904297,-0.8554688,0.53125,0.02880859,0.8071289,0.6474609,0,-15,-42,-4,-3,-4,-3,2,3,2,1,0,-3,2,-2,16,-4.6875,-4.6875,-4.6875,2.8125,2.8125,2.8125,3.361953,4.796765,7.574248,6.450339,4.952919,1.662696,-0.1227299,-0.06870227,1.208127,0.1701575,-0.05991323,1.206606,0.04207029,0.4483404,1.545017,-0.1279425,0.0009322545,1.196649,0.1688898,0.009420161,1.193889,0.03551988,-0.022959,1.546964,0.03889006,-0.3493959,1.522963,-0.143645,0.1696579,1.539165,-0.04557654,-0.3401327,1.484497,-0.2111869,-0.05539756,1.508056,0.2719438,-0.056594,1.485681,NA,NA,Lasso,Lasso,
0.1313477,-0.9282227,0.4462891,0.09082031,0.7832031,0.6972656,-3,-7,-9,7,-4,-4,2,-8,0,6,10,3,5,0,6,8,-0.625,-0.625,-0.625,1.625,1.625,1.625,3.355314,4.791373,7.579823,6.444575,4.938333,1.660748,-0.1229187,-0.07239521,1.206853,0.17217,-0.06123893,1.209911,0.04226917,0.4482371,1.544712,-0.1279762,-0.002059189,1.192132,0.1698835,0.006857587,1.203667,0.03562672,-0.02295681,1.547028,0.03894373,-0.3493638,1.523054,-0.1436741,0.1696835,1.539102,-0.04551898,-0.3400982,1.484514,-0.2107315,-0.05553716,1.508247,0.2725409,-0.05708674,1.486327,NA,NA,Lasso,Lasso,
