ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9003906,-0.4589844,-0.06054688,-0.7109375,0.5615234,0.01953125,-2,-2,0,0,-2,0,0,-2,5,2,1,-2,-3,1,3,3,-10.1875,-10.1875,-10.1875,6.0625,6.0625,6.0625,2.313469,3.197229,5.882689,8.709181,6.711593,2.688942,-0.1734226,-0.4187266,1.505019,0.1667214,0.3962259,1.399362,0.0521311,0.3939084,1.578228,-0.1367964,-0.4081757,1.484328,0.09829479,0.3698489,1.471928,0.05025544,-0.0528163,1.61106,0.05244379,-0.3674894,1.59162,-0.1145086,0.1361831,1.604239,-0.03350247,-0.359948,1.554826,-0.1894155,-0.1080726,1.607688,0.3363523,0.1694628,1.3915,NA,NA,Unknown,Open,
0.9121094,-0.4438477,-0.05859375,-0.8178711,0.3574219,-0.1933594,1,-1,-2,-2,-3,-1,0,0,-25,-3,2,2,-3,-3,-1,-12,-3.875,-3.875,-3.875,-23.625,-23.625,-23.625,2.264804,3.192139,5.925505,8.762764,6.701461,2.77958,-0.1761752,-0.4185637,1.505553,0.1646072,0.3962521,1.402632,0.05203703,0.3938645,1.578469,-0.1398793,-0.4083239,1.486194,0.09744243,0.3709938,1.470267,0.05029425,-0.0526983,1.611533,0.05257144,-0.3671922,1.592119,-0.1144764,0.1361834,1.604519,-0.03332634,-0.3597045,1.555216,-0.1897102,-0.1080959,1.608024,0.3374714,0.1705,1.392407,NA,NA,Unknown,Open,
0.9125977,-0.4477539,-0.04833984,-0.8740234,0.2026367,-0.4394531,-2,-2,-1,-2,-1,1,1,0,14,-1,-1,1,-5,-7,7,15,-4,-4,-4,-10.75,-10.75,-10.75,2.240359,3.192707,5.948397,8.888936,6.693133,2.938668,-0.1800139,-0.4185112,1.506087,0.1593783,0.3931073,1.412226,0.05202708,0.393963,1.578584,-0.1433036,-0.409372,1.486184,0.09705643,0.3631101,1.471669,0.05018824,-0.05256562,1.611787,0.05248501,-0.3670297,1.592347,-0.1144863,0.136163,1.604568,-0.03338416,-0.3595473,1.555496,-0.1899488,-0.1082577,1.608619,0.3385167,0.1709874,1.393115,NA,NA,Unknown,Open,
0.9111328,-0.453125,-0.03564453,-0.9194336,0.1264648,-0.5639648,0,-1,-1,-1,-1,-2,-1,0,-31,-2,0,0,-2,-6,-1,-19,-3.25,-3.25,-3.25,-1.9375,-1.9375,-1.9375,2.232681,3.194338,5.955724,9.0133,6.683642,3.077357,-0.1814621,-0.419169,1.506638,0.1550973,0.3893127,1.423843,0.05214524,0.3941649,1.578686,-0.1474484,-0.4062231,1.483991,0.09891888,0.3541286,1.479864,0.05020935,-0.05235873,1.612017,0.05250012,-0.3666961,1.592585,-0.1144948,0.1362062,1.604622,-0.03351006,-0.3591973,1.555744,-0.1902467,-0.1082728,1.608752,0.3387094,0.1716919,1.394373,NA,NA,Unknown,Open,
0.9042969,-0.4277344,-0.04736328,-0.9750977,0.1347656,-0.6445313,0,0,-2,0,-1,-1,-1,-2,4,-4,-4,-7,-1,2,-1,-1,-1.3125,-1.3125,-1.3125,10.6875,10.6875,10.6875,2.223782,3.197433,5.964815,9.081154,6.677882,3.134747,-0.1838532,-0.4175469,1.505592,0.1391717,0.3975227,1.436138,0.05240637,0.3942947,1.578567,-0.14677,-0.4098959,1.485488,0.08981872,0.3482678,1.474327,0.05007891,-0.05222517,1.612202,0.05231446,-0.3663885,1.593014,-0.1144566,0.1363508,1.604702,-0.0337369,-0.3588293,1.55611,-0.190453,-0.1083056,1.608855,0.33923,0.171627,1.395186,NA,NA,Unknown,Open,
0.9033203,-0.4165039,-0.05517578,-0.9057617,0.2021484,-0.5014648,1,-1,-2,0,-1,-1,-2,-2,-24,-3,-4,-4,-2,-1,-2,-5,-4.5,-4.5,-4.5,16.375,16.375,16.375,2.220438,3.202444,5.96481,9.071759,6.683612,3.097173,-0.1842897,-0.4180269,1.504673,0.1376735,0.400645,1.437014,0.05296452,0.394453,1.578301,-0.1465734,-0.4089442,1.485351,0.08970535,0.3496907,1.473745,0.04992649,-0.05212299,1.612501,0.05215944,-0.3661811,1.593411,-0.1143594,0.1366147,1.604887,-0.03393843,-0.3585812,1.556449,-0.1909946,-0.1084402,1.609005,0.3394624,0.1715698,1.395863,NA,NA,Unknown,Open,
0.8959961,-0.4291992,-0.04541016,-0.8461914,0.2695313,-0.3828125,-4,-1,-3,-1,0,0,-1,-2,28,3,2,-3,-1,-1,-3,12,-2.5625,-2.5625,-2.5625,19.3125,19.3125,19.3125,2.226195,3.210078,5.955298,9.011584,6.692698,3.002997,-0.1859763,-0.4162989,1.501923,0.1421405,0.4010112,1.432988,0.0542397,0.3948739,1.577722,-0.1496407,-0.40649,1.479908,0.1107194,0.3569663,1.487889,0.05003209,-0.05173367,1.612877,0.05221739,-0.3658274,1.593932,-0.1142724,0.1367475,1.605043,-0.03403008,-0.3582252,1.556976,-0.1916548,-0.1085416,1.608813,0.3406527,0.1716954,1.397371,NA,NA,Unknown,Open,
0.9023438,-0.4121094,-0.0546875,-0.8666992,0.2944336,-0.3637695,-2,-2,-1,-3,-1,-1,0,-2,0,-2,-1,15,0,-1,0,4,-1.0625,-1.0625,-1.0625,16.0625,16.0625,16.0625,2.236305,3.21726,5.943293,8.973653,6.696584,2.94951,-0.1857006,-0.4160039,1.499041,0.1481219,0.3977445,1.427416,0.05452929,0.3949391,1.577639,-0.146161,-0.4079415,1.481722,0.1089293,0.3567688,1.486796,0.05003259,-0.05173814,1.613053,0.05221845,-0.3657008,1.594313,-0.1142539,0.1367998,1.605043,-0.03398017,-0.3581087,1.557216,-0.1917879,-0.1085227,1.608731,0.3409006,0.1716118,1.397642,NA,NA,Unknown,Open,
0.9003906,-0.4106445,-0.05419922,-0.8125,0.340332,-0.2773438,-2,-1,-1,-1,0,-2,1,0,-7,-3,-1,6,3,0,-5,-9,-1.8125,-1.8125,-1.8125,12.1875,12.1875,12.1875,2.244539,3.222193,5.932764,8.897697,6.700685,2.849751,-0.1853914,-0.4154252,1.498194,0.1517109,0.3997625,1.421828,0.0546219,0.3949369,1.57774,-0.1464775,-0.4085823,1.479664,0.1087167,0.3604554,1.48513,0.05003501,-0.05164095,1.613446,0.05222047,-0.3655294,1.594684,-0.114205,0.1369463,1.605253,-0.03396407,-0.3579581,1.557466,-0.1921462,-0.1082079,1.608594,0.3416494,0.1715057,1.398247,NA,NA,Unknown,Open,
0.8959961,-0.4160156,-0.05126953,-0.8496094,0.3916016,-0.2519531,-1,-1,-3,-1,-1,0,-2,0,6,0,-2,7,9,8,4,0,-2.125,-2.125,-2.125,5.375,5.375,5.375,2.24833,3.224148,5.927722,8.841986,6.699976,2.782624,-0.1853587,-0.4150424,1.498324,0.1599956,0.3967058,1.41508,0.0547819,0.3949775,1.578136,-0.1490276,-0.4053635,1.47618,0.09953603,0.3515039,1.480454,0.0501355,-0.05164557,1.613921,0.05229292,-0.3654329,1.595289,-0.1141495,0.1369833,1.605412,-0.03374909,-0.3578745,1.557949,-0.1923618,-0.1080263,1.608574,0.3421338,0.171821,1.398623,NA,NA,Unknown,Open,
0.8984375,-0.4116211,-0.05908203,-0.8769531,0.3457031,-0.2910156,0,-1,0,0,-1,0,-1,0,-6,2,2,0,-2,-6,-2,-10,-1.125,-1.125,-1.125,-7,-7,-7,2.25279,3.22534,5.921437,8.811006,6.698328,2.756716,-0.1846163,-0.4147932,1.49682,0.1638597,0.3937825,1.411388,0.05487357,0.3949029,1.578457,-0.1460105,-0.4068036,1.479939,0.1022561,0.3543372,1.481497,0.05031313,-0.05166136,1.614269,0.05247772,-0.3654366,1.595654,-0.1141048,0.1369967,1.605474,-0.03340721,-0.3578656,1.558274,-0.1925915,-0.1082493,1.608384,0.3425599,0.1718711,1.399038,NA,NA,Unknown,Open,
0.9008789,-0.409668,-0.06445313,-0.8959961,0.2954102,-0.3642578,-1,-4,0,-3,0,-1,-1,-1,3,-2,-4,0,-2,6,4,-3,-1.0625,-1.0625,-1.0625,-1.6875,-1.6875,-1.6875,2.254812,3.224058,5.918165,8.811463,6.697988,2.762208,-0.1838286,-0.4145989,1.49663,0.1646017,0.3935955,1.409535,0.05505801,0.3948926,1.578598,-0.1480997,-0.4057309,1.473828,0.1033745,0.3566222,1.481331,0.05039676,-0.05156389,1.614478,0.0524339,-0.3653784,1.596056,-0.114023,0.1371392,1.605565,-0.03343223,-0.3577937,1.558573,-0.1927114,-0.1082645,1.608268,0.3431592,0.1719405,1.399415,NA,NA,Unknown,Open,
0.8999023,-0.4145508,-0.05908203,-0.8920898,0.3261719,-0.3666992,-1,-1,0,0,0,-1,-3,-2,-14,-2,0,-3,1,0,-4,-14,-2,-2,-2,0.5,0.5,0.5,2.256352,3.221839,5.914153,8.822198,6.697299,2.772576,-0.183114,-0.4143312,1.495969,0.1631952,0.3945709,1.40907,0.05517005,0.3949454,1.578647,-0.1473928,-0.402017,1.477352,0.1028729,0.356944,1.480092,0.05046906,-0.05152533,1.614551,0.05245018,-0.3653347,1.596199,-0.113855,0.1373075,1.605529,-0.03340839,-0.3577226,1.558678,-0.1927819,-0.1081505,1.607947,0.3434235,0.1720062,1.399551,NA,NA,Unknown,Open,
0.9091797,-0.4155273,-0.06982422,-0.8916016,0.3105469,-0.3720703,-1,-1,-6,-2,-1,0,-1,0,1,-1,-2,0,-2,-1,-1,-4,-1.9375,-1.9375,-1.9375,-4.3125,-4.3125,-4.3125,2.25975,3.219429,5.908095,8.823124,6.696112,2.777867,-0.1825554,-0.4126357,1.496413,0.1638857,0.3931192,1.41036,0.05523826,0.3949803,1.578684,-0.1462108,-0.4036691,1.477516,0.1036895,0.3576467,1.480605,0.05054063,-0.05154416,1.61472,0.05244616,-0.3653359,1.596525,-0.113659,0.1373568,1.605499,-0.03339401,-0.3577061,1.558874,-0.1928573,-0.1078242,1.607814,0.3441325,0.1717297,1.399997,NA,NA,Unknown,Open,
0.8964844,-0.4282227,-0.07177734,-0.8657227,0.3110352,-0.3681641,-2,0,-1,-1,-2,0,0,-2,-6,-4,-3,-1,-1,-5,-2,-6,-2.375,-2.375,-2.375,-1.9375,-1.9375,-1.9375,2.262804,3.217225,5.901287,8.822317,6.693753,2.779601,-0.1815786,-0.4122637,1.497526,0.160572,0.3963158,1.412111,0.05548871,0.3950295,1.578747,-0.1457475,-0.4052404,1.477611,0.1034966,0.3571493,1.48085,0.05068038,-0.05154075,1.614934,0.05255497,-0.3653049,1.596793,-0.1136071,0.1373985,1.605562,-0.03321987,-0.357694,1.559119,-0.1929129,-0.1078912,1.607747,0.3444815,0.1717615,1.4002,NA,NA,Unknown,Open,
0.8930664,-0.4233398,-0.07470703,-0.8540039,0.2998047,-0.3583984,-2,0,-1,0,0,0,-2,1,-5,-2,-1,12,-1,1,-4,-7,-0.5,-0.5,-0.5,-0.8125,-0.8125,-0.8125,2.26644,3.215735,5.895755,8.821671,6.692936,2.778841,-0.1798807,-0.4123261,1.497856,0.1613396,0.3925989,1.411266,0.05619588,0.3952319,1.578746,-0.1448084,-0.4043276,1.478119,0.1000999,0.3549205,1.475637,0.05087938,-0.05156329,1.615249,0.05262038,-0.3651985,1.597255,-0.1133086,0.1375903,1.605549,-0.03312969,-0.3575065,1.559528,-0.1929516,-0.1077732,1.607715,0.3462299,0.1698897,1.400912,NA,NA,Unknown,Open,
