ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.887207,-0.4111328,-0.0625,-0.4384766,0.3032227,0.1035156,-2,-1,-2,0,-1,-1,0,0,-4,-4,-3,-1,-4,-3,-6,0,1.875,1.875,1.875,2.3125,2.3125,2.3125,2.289308,3.228355,3.701384,7.237446,6.667877,9.519223,-0.1715136,-0.4125025,1.313772,0.1679502,0.3517971,1.2141,0.05617949,0.3929798,1.417377,-0.2126543,-0.4112735,1.321952,0.1523367,0.309814,1.260188,0.04995989,-0.0521267,1.455037,0.05024913,-0.3619471,1.433869,-0.1196725,0.1324514,1.438688,-0.03910042,-0.3504874,1.395711,-0.1863766,-0.110548,1.433546,0.3258471,0.08563576,1.263342,NA,NA,NotTracked,Open,
0.8911133,-0.3862305,-0.06738281,-0.668457,0.3754883,0.02050781,-1,-1,-3,-1,-1,0,0,0,10,-10,-3,-4,-2,-16,-5,1,13.375,13.375,13.375,-16.5625,-16.5625,-16.5625,2.312378,3.238338,3.694318,7.34227,6.720295,9.65161,-0.1715629,-0.4123044,1.313247,0.1651772,0.3571683,1.222759,0.05665614,0.3922697,1.41725,-0.1945719,-0.4131431,1.285383,0.1600519,0.3129345,1.28025,0.05017114,-0.05156683,1.454881,0.05036864,-0.3608092,1.433416,-0.1180025,0.1329372,1.438757,-0.03904675,-0.3496057,1.395597,-0.186376,-0.1105069,1.433482,0.3158088,0.1205144,1.256573,NA,NA,NotTracked,Open,
0.9150391,-0.3911133,-0.06738281,-0.8071289,0.40625,-0.008789063,-1,-1,-4,0,0,0,-1,-1,18,1,-5,-9,-3,-24,-2,-1,12.75,12.75,12.75,-15.875,-15.875,-15.875,2.322699,3.239344,3.698298,7.366196,6.731975,9.700818,-0.1712091,-0.4127269,1.314002,0.1624395,0.3595464,1.228294,0.05688878,0.3918829,1.417017,-0.1975564,-0.4137684,1.290762,0.1477613,0.3191106,1.2705,0.05028723,-0.05106268,1.454777,0.05036997,-0.3600287,1.433164,-0.1174815,0.1330224,1.439118,-0.03906104,-0.349081,1.395625,-0.1863749,-0.1105073,1.433485,0.3189452,0.1087407,1.259948,NA,NA,NotTracked,Open,
0.90625,-0.3813477,-0.1108398,-0.8681641,0.425293,-0.015625,-2,-1,-4,-2,0,-1,-1,0,11,-4,0,-1,-2,3,0,9,3.375,3.375,3.375,-12,-12,-12,2.316463,3.230872,3.716623,7.371112,6.736797,9.712606,-0.1719063,-0.4126717,1.316196,0.1600202,0.360787,1.231532,0.05690782,0.3917358,1.417009,-0.2115745,-0.413102,1.318783,0.1528098,0.3124207,1.271148,0.05030598,-0.05056383,1.454678,0.0501924,-0.359497,1.432959,-0.116606,0.1332279,1.439671,-0.03925536,-0.3486514,1.39563,-0.1863578,-0.1105331,1.433529,0.3129342,0.1180255,1.254422,NA,NA,NotTracked,Open,
0.9033203,-0.4111328,-0.09619141,-0.940918,0.5078125,0.02001953,0,0,0,-1,-2,-1,-3,-2,-17,-4,-2,2,0,1,5,3,-2.9375,-2.9375,-2.9375,-5.6875,-5.6875,-5.6875,2.309136,3.22717,3.721983,7.369174,6.740415,9.718276,-0.1720991,-0.4116192,1.319386,0.1581121,0.3604109,1.232059,0.05689874,0.3911929,1.416844,-0.2113818,-0.408153,1.322095,0.147631,0.3159634,1.273027,0.05036007,-0.05027238,1.454642,0.05012507,-0.3591673,1.43289,-0.1159374,0.1333446,1.439948,-0.03937176,-0.3483327,1.3957,-0.1863308,-0.110442,1.433758,0.3113467,0.1210926,1.252651,NA,NA,NotTracked,Open,
0.8852539,-0.4624023,-0.07666016,-0.8852539,0.4980469,-0.015625,0,0,-1,-1,-1,-1,0,-2,1,-9,-6,-3,-1,1,0,-6,-3,-3,-3,-9,-9,-9,2.290551,3.2207,3.736744,7.356772,6.738358,9.714784,-0.172867,-0.4117556,1.321884,0.1573678,0.3593465,1.232534,0.05686549,0.3909191,1.416811,-0.2130922,-0.4020877,1.332263,0.1511363,0.3143153,1.279486,0.05034794,-0.05009141,1.454599,0.05011692,-0.358817,1.432683,-0.115528,0.1333425,1.44014,-0.03941817,-0.3480876,1.395681,-0.1863731,-0.1103679,1.434088,0.310106,0.123225,1.251529,NA,NA,NotTracked,Open,
0.8769531,-0.4521484,-0.07714844,-0.7919922,0.4750977,-0.02734375,0,-1,-1,-2,-3,-1,-2,0,16,11,3,1,-1,-2,-2,2,-0.3125,-0.3125,-0.3125,11.9375,11.9375,11.9375,2.260692,3.211745,3.76916,7.343522,6.731504,9.687191,-0.1750692,-0.4125654,1.324699,0.1562069,0.3590215,1.230606,0.05680947,0.3905543,1.416645,-0.2113883,-0.4072158,1.322687,0.1444305,0.3209743,1.286875,0.05034524,-0.04981137,1.454537,0.05007844,-0.3584658,1.432462,-0.1151852,0.1334173,1.440301,-0.03956884,-0.3475529,1.395552,-0.1866236,-0.1104035,1.434762,0.3089356,0.1242845,1.2504,NA,NA,NotTracked,Open,
0.875,-0.4501953,-0.07324219,-0.7817383,0.4609375,-0.06884766,-1,-2,-1,0,-1,0,-1,0,-5,7,3,2,1,0,-1,-5,-0.125,-0.125,-0.125,12.375,12.375,12.375,2.241834,3.207027,3.78986,7.280018,6.711382,9.593246,-0.1775304,-0.4123569,1.329843,0.1578838,0.3575,1.228856,0.05673023,0.3903187,1.416695,-0.210201,-0.4187821,1.313318,0.1496075,0.3148427,1.283252,0.05038312,-0.04960217,1.454581,0.05000939,-0.3581595,1.432445,-0.1147496,0.1335221,1.44057,-0.03973485,-0.3470467,1.395591,-0.1869248,-0.1103053,1.43576,0.3083669,0.1244693,1.249784,NA,NA,NotTracked,Open,
0.9013672,-0.4453125,-0.0703125,-0.7836914,0.4038086,-0.1240234,-1,-2,-2,-1,-2,-2,-3,-1,4,-1,0,-1,-2,1,0,0,4.9375,4.9375,4.9375,7,7,7,2.189057,3.19815,3.854183,7.232751,6.69503,9.531047,-0.1801289,-0.4129066,1.331052,0.1596295,0.3536774,1.222285,0.05614677,0.3900094,1.416942,-0.2108726,-0.4232555,1.310974,0.1498493,0.3129344,1.26565,0.05038874,-0.04954923,1.454537,0.04995462,-0.3579952,1.432384,-0.1144219,0.1337009,1.440791,-0.03982389,-0.3468988,1.395572,-0.187242,-0.110403,1.436321,0.3083362,0.1240544,1.249535,NA,NA,NotTracked,Open,
0.9013672,-0.4453125,-0.0703125,-0.8110352,0.3442383,-0.1303711,-1,-2,-2,-1,-2,-2,-3,-1,4,-1,0,-1,-2,1,0,0,4.9375,4.9375,4.9375,7.6875,7.6875,7.6875,2.189057,3.19815,3.854183,7.171776,6.675113,9.45164,-0.1831703,-0.4134431,1.334908,0.1656201,0.3492424,1.215352,0.05559168,0.3898648,1.417554,-0.2202822,-0.41199,1.329947,0.1519055,0.3137945,1.274168,0.05037188,-0.04956313,1.454552,0.04990898,-0.3580104,1.432377,-0.1152724,0.1339989,1.441368,-0.03992939,-0.3469203,1.395601,-0.1880167,-0.1107188,1.437587,0.3084415,0.1230628,1.250606,NA,NA,NotTracked,Unknown,
