ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9492188,-0.2441406,0.04101563,0.9648438,0.2294922,-0.02001953,-2,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-2,-1,-1,-1,0.6875,0.6875,0.6875,1.875,1.875,1.875,2.766225,2.9006,4.436025,7.583998,2.885668,2.329219,-0.1071393,-0.4310716,1.118157,0.2954615,-0.4192096,1.106423,0.09079625,0.4316073,1.183002,-0.05851562,-0.417904,1.117238,0.2431882,-0.4048162,1.096981,0.08883217,-0.007380309,1.220261,0.1047283,-0.3120649,1.207768,-0.08714258,0.1480268,1.206788,0.02223875,-0.3049031,1.175353,-0.1343006,-0.08579215,1.207739,0.3108009,-0.08910015,1.206785,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2436523,0.03759766,0.9619141,0.234375,-0.01220703,0,0,-1,-1,-1,-2,-1,1,-1,0,-1,-2,-3,-1,-1,0,1.75,1.75,1.75,-1,-1,-1,2.770727,2.901706,4.433143,7.583008,2.887651,2.329785,-0.1062659,-0.4269904,1.119938,0.2951883,-0.4185686,1.105841,0.09070969,0.431618,1.183306,-0.05876154,-0.4096224,1.122353,0.2440421,-0.4106193,1.097,0.08892155,-0.007434936,1.220432,0.1048584,-0.3121231,1.207909,-0.08713421,0.1478429,1.207355,0.02236169,-0.3050007,1.175514,-0.1338901,-0.0855431,1.208251,0.3107685,-0.08922276,1.20688,NA,NA,NotTracked,NotTracked,
0.9506836,-0.2416992,0.03857422,0.9604492,0.2294922,-0.02148438,-1,-1,0,-2,0,0,-2,-1,-1,-3,-1,0,0,-1,0,-1,2.3125,2.3125,2.3125,0.1875,0.1875,0.1875,2.775082,2.903344,4.431503,7.582919,2.887811,2.329461,-0.1069621,-0.4277883,1.120657,0.2957869,-0.4191549,1.107023,0.09044036,0.4317122,1.18389,-0.05868163,-0.4153735,1.119606,0.2444666,-0.4085977,1.099072,0.08908505,-0.007384694,1.220881,0.1051152,-0.3121161,1.208256,-0.08717666,0.1479055,1.207379,0.02265657,-0.3050636,1.175937,-0.1336822,-0.08530621,1.209152,0.3108033,-0.08954797,1.20722,NA,NA,NotTracked,NotTracked,
0.9545898,-0.2412109,0.04541016,0.9677734,0.2290039,-0.01904297,0,0,-3,-2,0,-2,0,-1,-1,0,0,0,-2,-2,-2,-2,0.9375,0.9375,0.9375,1.5625,1.5625,1.5625,2.780431,2.905149,4.428335,7.58953,2.887435,2.325344,-0.1061274,-0.426802,1.1202,0.2951998,-0.4189891,1.106896,0.09020297,0.4317702,1.184358,-0.0582677,-0.4136357,1.120222,0.2432636,-0.4039763,1.09859,0.0891106,-0.007333114,1.221248,0.1051104,-0.3121043,1.208675,-0.08735614,0.1478558,1.207438,0.02265934,-0.3050859,1.176629,-0.1334156,-0.08549924,1.209611,0.3108033,-0.08996081,1.207523,NA,NA,NotTracked,NotTracked,
0.9487305,-0.2368164,0.03466797,0.972168,0.2319336,-0.01855469,0,-1,0,-1,0,-1,-1,-1,-2,-2,1,-1,-2,-2,-1,-1,1.5625,1.5625,1.5625,-1,-1,-1,2.783585,2.906057,4.427714,7.592057,2.887464,2.323509,-0.1064918,-0.4277447,1.120181,0.295606,-0.4185485,1.107178,0.08996708,0.4317183,1.184954,-0.05905165,-0.4143689,1.121148,0.2441966,-0.4034319,1.099186,0.08919083,-0.007375062,1.221767,0.1052103,-0.3121664,1.209,-0.08728332,0.1475792,1.208308,0.02276321,-0.3051887,1.177018,-0.1330357,-0.08552075,1.21032,0.3106935,-0.09039344,1.207996,NA,NA,NotTracked,NotTracked,
0.9487305,-0.2387695,0.04736328,0.9589844,0.2255859,-0.01757813,0,-1,-1,-1,-2,1,0,0,-2,-1,-2,-2,-1,-1,2,-1,0.1875,0.1875,0.1875,0,0,0,2.784245,2.906332,4.428201,7.590043,2.887018,2.323447,-0.1031178,-0.4476535,1.116725,0.2959209,-0.4191217,1.107034,0.08971664,0.4317505,1.185411,-0.06010973,-0.4463433,1.095343,0.2442884,-0.4071648,1.098899,0.08906116,-0.007398776,1.2223,0.1050131,-0.3122074,1.209661,-0.0873901,0.1473439,1.209187,0.02242336,-0.3052793,1.177961,-0.1329028,-0.08547459,1.210951,0.3106741,-0.0904088,1.20816,NA,NA,NotTracked,NotTracked,
0.9975586,-0.2480469,-0.01464844,1.13623,0.4418945,-0.1811523,-40,-9,0,-2,4,0,-1,-6,-2,5,2,-3,-16,-4,-8,-4,3.9375,3.9375,3.9375,-9.3125,-9.3125,-9.3125,2.781514,2.906722,4.432997,7.551186,2.906076,2.357254,-0.1048552,-0.4334371,1.119607,0.295642,-0.4185885,1.106867,0.08944684,0.4317479,1.186066,-0.05992445,-0.4124994,1.124976,0.2424307,-0.3825887,1.101667,0.08912857,-0.007424143,1.222865,0.1049806,-0.3122699,1.210238,-0.08703586,0.1471329,1.2103,0.02243042,-0.3053545,1.178627,-0.1327333,-0.08552431,1.212182,0.3107389,-0.09081756,1.208666,NA,NA,NotTracked,NotTracked,
1.420898,-0.4536133,-0.1430664,1.37793,0.4697266,-0.1005859,13,-5,-12,-10,-20,6,0,-1,-2,-7,-8,-16,3,3,1,3,-26.3125,-26.3125,-26.3125,-61.5,-61.5,-61.5,2.886671,3.043529,4.272852,7.11333,3.122388,2.703953,-0.1040528,-0.4249233,1.106722,0.2943036,-0.4086879,1.097666,0.08918784,0.4316944,1.18629,-0.06061719,-0.4098129,1.124635,0.2453088,-0.3888865,1.103617,0.08916122,-0.007413977,1.223225,0.1050975,-0.3122066,1.210898,-0.0867391,0.1469049,1.211269,0.02246804,-0.3053319,1.179375,-0.1357029,-0.08582953,1.216258,0.3117526,-0.09058435,1.211099,NA,NA,NotTracked,NotTracked,
1.202637,-0.4130859,0.07568359,1.013672,0.6357422,0.2177734,0,0,0,-5,13,-3,0,-2,-4,-8,-4,-16,21,-11,-4,-5,-33.4375,-33.4375,-33.4375,43.75,43.75,43.75,3.08499,3.328686,4.021623,6.972488,3.439778,2.889335,-0.1058991,-0.384545,1.085994,0.3018528,-0.3608509,1.06483,0.08906149,0.4318085,1.186184,-0.07019901,-0.3766856,1.055073,0.2614037,-0.3898597,1.08,0.08939691,-0.007317865,1.223376,0.1055666,-0.3118182,1.211509,-0.08657605,0.1470679,1.211446,0.02264534,-0.3050677,1.17995,-0.1487584,-0.0805426,1.226529,0.3192107,-0.08982179,1.221644,NA,NA,NotTracked,NotTracked,
0.5947266,-0.9233398,0.2421875,0.6713867,0.8964844,0.2822266,11,2,14,7,-8,-6,5,7,1,-4,-3,-6,126,60,30,10,-42,-42,-42,-25.3125,-25.3125,-25.3125,3.025423,3.773085,3.922469,6.95791,3.817495,2.926378,-0.1101468,-0.3145973,1.063436,0.3068921,-0.2908133,1.039199,0.08881911,0.4317515,1.185281,-0.07404137,-0.3029974,1.033525,0.2665375,-0.34368,1.058,0.0898975,-0.00719376,1.223491,0.1064285,-0.3111505,1.212035,-0.08586773,0.1476241,1.212582,0.02289251,-0.3047412,1.180461,-0.1670653,-0.06112059,1.237514,0.3325522,-0.07485056,1.232613,NA,NA,Unknown,Unknown,
0.4135742,-0.7832031,0.3183594,0.4663086,0.5839844,0.3994141,-47,-13,-17,6,4,2,0,-8,-5,-5,-3,13,-16,-10,2,14,-21.8125,-21.8125,-21.8125,-28.9375,-28.9375,-28.9375,2.98649,4.085124,3.927655,6.881773,4.160293,2.927026,-0.1158066,-0.2445557,1.043726,0.3225628,-0.2070982,1.021216,0.08854601,0.4313704,1.183464,-0.08635043,-0.2208976,1.010323,0.2739047,-0.2302699,1.107125,0.09027753,-0.007149688,1.223402,0.1073669,-0.3106875,1.212163,-0.08536271,0.1478693,1.213911,0.02329206,-0.3045699,1.180644,-0.1765202,-0.03954217,1.242819,0.3436578,-0.04433361,1.238081,NA,NA,Unknown,Unknown,
0.2724609,-0.7045898,0.3984375,0.2016602,0.6606445,0.3623047,1,-1,6,16,0,0,2,1,0,-2,-3,9,-17,7,6,0,-38.3125,-38.3125,-38.3125,8.8125,8.8125,8.8125,2.919243,4.353559,3.953519,6.911642,4.590235,2.886501,-0.1353551,-0.1705195,1.035602,0.344748,-0.1336617,1.003343,0.08841285,0.4310038,1.1819,-0.09967761,-0.1399613,1.02865,0.287592,-0.1539354,1.013889,0.09077287,-0.007022482,1.223385,0.1079528,-0.3102673,1.212636,-0.08493594,0.1490058,1.214863,0.02361459,-0.3042633,1.181223,-0.191096,-0.03013024,1.24374,0.3543907,-0.02916515,1.239668,NA,NA,Unknown,Closed,
0.1386719,-0.6713867,0.3691406,0.08789063,0.5600586,0.4140625,-20,-3,0,10,1,5,-5,-4,-5,-4,-4,-7,-110,43,0,-13,-50.3125,-50.3125,-50.3125,-7.5625,-7.5625,-7.5625,2.806251,4.628126,3.996916,6.902322,4.826667,2.859989,-0.1465334,-0.1252873,1.02827,0.3582832,-0.08020731,0.995271,0.08835046,0.4308349,1.181361,-0.1056968,-0.09681663,1.03735,0.2794985,-0.09859636,0.979125,0.09131657,-0.006947818,1.223462,0.1086585,-0.3096854,1.212995,-0.08489148,0.1492426,1.215599,0.02420243,-0.3038065,1.181803,-0.2050155,-0.02124546,1.242193,0.3627017,-0.02426213,1.238405,NA,NA,Unknown,Closed,
0.06787109,-0.7216797,0.362793,0.09082031,0.5791016,0.4829102,7,0,19,-6,-4,-3,-1,-2,3,4,3,-9,79,2,17,-10,-8.8125,-8.8125,-8.8125,-16.3125,-16.3125,-16.3125,2.777914,4.77824,4.006371,6.846918,4.999829,2.847605,-0.1378859,-0.1073393,1.018732,0.364066,-0.04972097,0.9870239,0.08839075,0.4308343,1.181074,-0.1043064,-0.07718507,1.050572,0.2837175,-0.06674231,0.9578888,0.09193161,-0.006876155,1.223522,0.1092895,-0.3093573,1.213226,-0.08492879,0.1493409,1.216102,0.02480943,-0.3035775,1.182181,-0.2056016,-0.02198818,1.237941,0.3634686,-0.02058179,1.245376,NA,NA,Unknown,Unknown,
0.05371094,-0.7524414,0.4199219,0.04541016,0.7104492,0.527832,5,2,-3,-4,1,4,1,3,-1,-1,0,9,-32,1,19,4,9.9375,9.9375,9.9375,-28.1875,-28.1875,-28.1875,2.80628,4.818285,3.993104,6.790765,5.044392,2.885515,-0.1298226,-0.09927969,1.015195,0.3553713,-0.04263236,0.9820021,0.08838951,0.4308408,1.180995,-0.096202,-0.06790414,1.04475,0.2687058,-0.06024715,0.9515001,0.09232541,-0.006857539,1.223631,0.1094982,-0.3092772,1.21329,-0.08494382,0.1494261,1.216484,0.02498354,-0.3035203,1.1824,-0.2046737,-0.02370769,1.233377,0.3640512,-0.02232786,1.238476,NA,NA,Unknown,Unknown,
0.1279297,-0.8564453,0.3725586,0.04492188,0.7397461,0.5595703,6,9,34,3,-3,3,-1,5,1,-3,-1,4,-34,1,-7,5,36.25,36.25,36.25,-51,-51,-51,2.881597,4.851751,3.949893,6.699502,5.01906,2.984905,-0.1093372,-0.1027507,1.01236,0.3259855,-0.0513187,0.9812039,0.08851211,0.4309228,1.181167,-0.0815929,-0.07057533,1.037286,0.2472203,-0.06313062,0.95425,0.09272956,-0.00656668,1.223591,0.1096874,-0.309062,1.213307,-0.084797,0.1503069,1.21671,0.02521725,-0.3032999,1.182503,-0.2024761,-0.02492923,1.23034,0.3315109,-0.03223552,1.253718,NA,NA,Unknown,Unknown,
0.09130859,-0.9169922,0.3813477,0.04492188,0.8417969,0.5419922,-2,-4,-11,-8,-4,3,5,-2,0,-1,0,1,-15,1,-14,-7,61,61,61,-63.625,-63.625,-63.625,3.03353,4.860798,3.847289,6.559907,4.941369,3.176489,-0.08438377,-0.1078622,1.016482,0.2948987,-0.06666867,0.9877972,0.08878987,0.4310446,1.181477,-0.06242653,-0.07009564,1.042333,0.2890548,-0.1113105,0.9776155,0.09323477,-0.006332734,1.223738,0.1100239,-0.30877,1.213323,-0.08436011,0.1508873,1.216971,0.02556235,-0.3030589,1.182621,-0.1970185,-0.02806803,1.228618,0.3471611,-0.03267564,1.22605,NA,NA,Unknown,Unknown,
0.1386719,-0.9990234,0.3764648,0.1035156,0.9140625,0.5664063,10,6,-27,1,2,6,10,1,-4,-8,-7,7,-2,-1,-15,-6,65.25,65.25,65.25,-52.75,-52.75,-52.75,3.144418,4.863932,3.771314,6.458774,4.870568,3.333688,-0.05679645,-0.1168047,1.020228,0.256004,-0.08459152,0.9954891,0.08911847,0.4311565,1.18197,-0.0683448,-0.07917289,1.015131,0.2467003,-0.1316678,1.007111,0.09372951,-0.006154418,1.223683,0.1103772,-0.3082929,1.21313,-0.08417659,0.1507671,1.217123,0.02591533,-0.3027062,1.182518,-0.18696,-0.03436786,1.22764,0.3478866,-0.03252543,1.223779,NA,NA,Lasso,Unknown,
0.2324219,-1.088379,0.3603516,0.2080078,1.001465,0.4858398,0,-5,12,-4,0,-14,-5,-3,-3,-11,-6,-13,18,36,20,1,48.3125,48.3125,48.3125,-30.3125,-30.3125,-30.3125,3.250624,4.849031,3.675995,6.414207,4.806313,3.450725,-0.0266788,-0.1238365,1.016564,0.2167783,-0.09978591,1.004081,0.08956334,0.4312413,1.182391,-0.04332211,-0.1007394,0.9910882,0.2364144,-0.09669136,0.970516,0.09397782,-0.005930535,1.223699,0.1104566,-0.3076842,1.212872,-0.08389556,0.1506713,1.217217,0.02608602,-0.3021764,1.182321,-0.1777569,-0.03944693,1.226536,0.3415601,-0.03500507,1.220108,NA,NA,Lasso,Unknown,
0.2558594,-1.099609,0.2680664,0.2260742,1.071289,0.453125,-2,7,5,-4,-2,-3,0,5,0,2,7,8,-61,6,-5,2,31,31,31,-9.625,-9.625,-9.625,3.287822,4.837088,3.629044,6.412179,4.760905,3.513526,-0.00681333,-0.1248386,1.022982,0.1966327,-0.108536,1.016724,0.08981843,0.4312347,1.182645,-0.00664168,-0.1000281,0.9871035,0.2069629,-0.09165654,0.9733225,0.0940637,-0.005762009,1.2237,0.1104009,-0.3072252,1.212566,-0.08349193,0.1505734,1.217151,0.02611475,-0.3017636,1.182023,-0.1709908,-0.04272494,1.225867,0.3341744,-0.03767817,1.217986,NA,NA,Lasso,Unknown,
