ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9204102,0.3105469,0.05517578,0.9379883,-0.3325195,0.03955078,-1,0,-1,-1,-1,-3,-1,0,-2,-1,-3,-2,-1,-2,-1,0,-1.125,-1.125,-1.125,-0.4375,-0.4375,-0.4375,7.273401,3.00128,8.194873,2.635646,3.063748,9.425911,-0.106073,-0.4675521,1.362375,0.3536752,-0.4704033,1.333263,0.1396129,0.3152172,1.478946,-0.06336117,-0.4537485,1.368952,0.3118911,-0.4656461,1.346214,0.1335624,-0.115717,1.468461,0.1317618,-0.4243292,1.447679,-0.04100816,0.0539404,1.461598,0.05236699,-0.4139326,1.412887,-0.09986325,-0.1946039,1.449461,0.3444441,-0.2103254,1.438266,NA,NA,NotTracked,NotTracked,
0.9174805,0.3164063,0.04394531,0.9360352,-0.3378906,0.03857422,0,0,0,0,-2,0,-1,0,-1,-1,-1,-1,-1,0,1,-3,-0.25,-0.25,-0.25,-0.125,-0.125,-0.125,7.268811,3.000246,8.198093,2.636396,3.063325,9.424949,-0.1054469,-0.4678323,1.364353,0.354606,-0.4717706,1.335449,0.1399542,0.3151825,1.479368,-0.06249019,-0.4542575,1.369381,0.3119932,-0.4656486,1.34645,0.1337536,-0.1158679,1.469488,0.1320374,-0.4243567,1.448109,-0.0407268,0.0539362,1.461939,0.05261162,-0.4139435,1.413288,-0.09982146,-0.1946723,1.449802,0.3446331,-0.2102666,1.438791,NA,NA,NotTracked,NotTracked,
0.9208984,0.3242188,0.04248047,0.9394531,-0.3378906,0.04296875,0,1,0,-1,0,0,-2,-1,-1,0,-1,-1,-3,-1,-1,-1,-0.9375,-0.9375,-0.9375,2.0625,2.0625,2.0625,7.264869,3.00007,8.201047,2.641273,3.063374,9.422393,-0.1052416,-0.4686574,1.364094,0.3535767,-0.4716957,1.335634,0.1404116,0.3151179,1.480292,-0.06345533,-0.4507937,1.369147,0.3541253,-0.5005424,1.355526,0.1338445,-0.1159441,1.470329,0.1321848,-0.4243634,1.448378,-0.04053102,0.05394489,1.462292,0.05274986,-0.4139558,1.413563,-0.0995824,-0.1946044,1.45038,0.3447958,-0.2103298,1.4394,NA,NA,NotTracked,NotTracked,
0.9208984,0.3232422,0.04052734,0.9306641,-0.3393555,0.03564453,-1,0,0,-1,-1,0,-1,-4,-1,0,1,0,-2,-2,-1,-2,0.0625,0.0625,0.0625,1.0625,1.0625,1.0625,7.265436,3.000595,8.200333,2.646638,3.062791,9.420923,-0.1049655,-0.4681019,1.365365,0.3534483,-0.4716748,1.336362,0.1405839,0.3148939,1.480839,-0.06449954,-0.4482641,1.353833,0.3098134,-0.4619793,1.346666,0.1339873,-0.1161062,1.471034,0.132418,-0.4244398,1.448653,-0.04018432,0.05399081,1.462947,0.05297302,-0.4140348,1.413924,-0.09932399,-0.1943153,1.450929,0.3450398,-0.2103118,1.439906,NA,NA,NotTracked,NotTracked,
0.9155273,0.3193359,0.03417969,0.9296875,-0.3466797,0.04931641,0,0,0,-1,-1,-3,0,0,-2,-2,-3,0,-3,-2,-2,-2,-0.4375,-0.4375,-0.4375,2.125,2.125,2.125,7.266571,3.001408,8.199116,2.648426,3.062347,9.421274,-0.1049804,-0.4686852,1.36652,0.3549698,-0.4716397,1.335806,0.1409672,0.3148424,1.481484,-0.06881732,-0.4556228,1.351284,0.3547513,-0.500331,1.354947,0.1341137,-0.1161647,1.471636,0.1325646,-0.4244988,1.448893,-0.03995215,0.05387702,1.463654,0.05312503,-0.4140482,1.414178,-0.09884705,-0.1943501,1.451398,0.3452339,-0.2103454,1.440171,NA,NA,NotTracked,NotTracked,
0.9228516,0.3139648,0.046875,0.9365234,-0.3354492,0.04296875,-1,0,-1,-1,-2,0,-2,0,-1,-1,2,-1,0,-1,0,-1,-1.625,-1.625,-1.625,-1.9375,-1.9375,-1.9375,7.266982,3.006323,8.1974,2.647914,3.061646,9.422724,-0.1037956,-0.4685826,1.366484,0.356058,-0.4720657,1.335169,0.1413401,0.3147426,1.482438,-0.05799987,-0.4359217,1.339333,0.3559557,-0.5004864,1.356552,0.1341498,-0.1163338,1.472253,0.1327808,-0.42459,1.449285,-0.0395769,0.05366861,1.464358,0.05334095,-0.4141194,1.414601,-0.09854773,-0.194334,1.452324,0.3454401,-0.2104974,1.440584,NA,NA,NotTracked,NotTracked,
0.9194336,0.3022461,0.04443359,0.9355469,-0.3383789,0.04150391,0,-1,0,0,1,-2,-2,-1,0,-1,3,1,-2,-2,-1,-1,-0.8125,-0.8125,-0.8125,1.5,1.5,1.5,7.26431,3.007854,8.19772,2.650031,3.061766,9.421112,-0.1033911,-0.4688833,1.368114,0.3560847,-0.4710577,1.336091,0.1414917,0.3146522,1.482975,-0.05855642,-0.4554914,1.35225,0.3170672,-0.4583169,1.347667,0.1343483,-0.1165161,1.472849,0.1330477,-0.4246828,1.449607,-0.03930856,0.05345809,1.465013,0.05360352,-0.4142296,1.415032,-0.09799609,-0.1945565,1.45296,0.345823,-0.2103776,1.44117,NA,NA,NotTracked,NotTracked,
0.9179688,0.3110352,0.04833984,0.953125,-0.3510742,0.05029297,-2,-1,-1,-3,-2,-2,-1,0,-3,-3,-1,0,-2,-1,1,0,-4.4375,-4.4375,-4.4375,-0.625,-0.625,-0.625,7.258361,3.008393,8.200639,2.653821,3.061797,9.416719,-0.1026449,-0.468755,1.368404,0.356293,-0.4723257,1.336856,0.1419202,0.3145716,1.483906,-0.05966888,-0.4488722,1.356058,0.3577724,-0.5002778,1.357342,0.1348516,-0.1164647,1.472131,0.1333107,-0.4247381,1.44992,-0.03886589,0.05340426,1.466031,0.0538341,-0.4142476,1.415291,-0.09747726,-0.194402,1.453649,0.3460976,-0.2104415,1.441724,NA,NA,NotTracked,NotTracked,
0.940918,0.3061523,0.04345703,0.9736328,-0.375,0.09570313,0,0,1,-2,0,-1,0,0,-3,0,-2,-1,0,0,-3,-3,-1.375,-1.375,-1.375,-15.25,-15.25,-15.25,7.247724,3.006884,8.206159,2.692993,3.06392,9.361943,-0.1014574,-0.4676702,1.36712,0.3558689,-0.4726022,1.337358,0.1423507,0.3146342,1.484868,-0.05508914,-0.44041,1.361125,0.3119483,-0.4605347,1.344076,0.1353329,-0.1165658,1.473178,0.1337531,-0.4247472,1.450346,-0.0384627,0.05332744,1.467443,0.05425761,-0.4142549,1.415643,-0.09703413,-0.1943757,1.454548,0.3464519,-0.2106589,1.442535,NA,NA,NotTracked,NotTracked,
0.9682617,0.3325195,0.05761719,0.8969727,-0.4335938,0.2456055,1,0,0,2,0,-1,-1,1,1,0,-8,-5,-4,-4,-24,-4,4.5625,4.5625,4.5625,-65.5,-65.5,-65.5,7.228688,3.009519,8.232373,2.783608,3.094544,9.155988,-0.09441721,-0.4630593,1.358705,0.3550267,-0.4718627,1.337674,0.1426606,0.3146251,1.486137,-0.06038047,-0.4393049,1.380727,0.3555039,-0.5008663,1.358961,0.135534,-0.11675,1.47437,0.1339677,-0.4248008,1.450682,-0.03811041,0.05322,1.46847,0.05447276,-0.4142603,1.415963,-0.09660202,-0.1934446,1.454994,0.3466278,-0.2106991,1.443471,NA,NA,NotTracked,NotTracked,
