ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.918457,0.328125,0.05615234,0.9438477,-0.3022461,0.05175781,-2,-1,-2,1,-1,-1,0,-1,0,-2,-2,-1,0,-1,0,-1,0.875,0.875,0.875,0,0,0,7.32495,3.03454,2.024872,2.713778,3.003569,5.791635,-0.1514239,-0.4618098,1.284184,0.311763,-0.4598085,1.250315,0.07668654,0.3267995,1.397635,-0.1108418,-0.4545065,1.2702,0.2620277,-0.4495147,1.244526,0.08073334,-0.1170379,1.384078,0.08263549,-0.4351045,1.363187,-0.09330959,0.05545096,1.376122,0.001126216,-0.426309,1.330346,-0.147654,-0.1932207,1.361788,0.2954838,-0.2064688,1.353268,NA,NA,NotTracked,NotTracked,
0.9155273,0.328125,0.06494141,0.9438477,-0.3022461,0.05175781,-1,0,0,0,-2,0,0,-1,0,-2,-2,-1,0,-1,0,-1,0.25,0.25,0.25,0,0,0,7.337041,3.035714,2.009161,2.713778,3.003569,5.791635,-0.1506111,-0.4615157,1.284259,0.3125433,-0.4592947,1.250226,0.07633528,0.3267808,1.398028,-0.1072291,-0.451386,1.270619,0.2760484,-0.4896529,1.259692,0.08056416,-0.1170121,1.38425,0.08252966,-0.4350336,1.363267,-0.09358857,0.05557314,1.376472,0.001035827,-0.4262651,1.330428,-0.1478076,-0.1932961,1.362013,0.2953668,-0.2064123,1.353416,NA,NA,NotTracked,NotTracked,
0.9208984,0.3305664,0.05957031,0.9438477,-0.3022461,0.05175781,-1,-2,0,1,-2,0,0,0,0,-2,-2,-1,0,-1,0,-1,1.125,1.125,1.125,0,0,0,7.350346,3.036819,1.996229,2.713778,3.003569,5.791635,-0.1510941,-0.4617375,1.285541,0.3136781,-0.4591878,1.251244,0.07597952,0.3267207,1.398506,-0.1126344,-0.4570704,1.272227,0.2644375,-0.4511208,1.2322,0.08032137,-0.1170033,1.384768,0.08235648,-0.4349723,1.363623,-0.09368084,0.05547261,1.376705,0.000890091,-0.4262416,1.330686,-0.1479831,-0.1934135,1.362597,0.2954235,-0.2060979,1.35408,NA,NA,NotTracked,NotTracked,
0.918457,0.3271484,0.05761719,0.9438477,-0.3022461,0.05175781,-1,-2,0,0,-3,-3,-1,-1,0,-2,-2,-1,0,-1,0,-1,0.5625,0.5625,0.5625,0,0,0,7.359694,3.038031,1.986291,2.713778,3.003569,5.791635,-0.1504008,-0.4618781,1.284813,0.3150297,-0.4590389,1.251181,0.07562242,0.3266186,1.398941,-0.110015,-0.453885,1.272672,0.2723451,-0.4629336,1.257375,0.08010073,-0.117033,1.385027,0.0821803,-0.434934,1.36382,-0.09422638,0.05534197,1.377205,0.0007226984,-0.4262387,1.330882,-0.1480714,-0.1934392,1.362818,0.2955011,-0.2058275,1.354564,NA,NA,NotTracked,NotTracked,
0.9194336,0.3286133,0.06005859,0.9438477,-0.3022461,0.05175781,-1,-2,0,-2,-2,1,-2,-1,0,-2,-2,-1,0,-1,0,-1,0.75,0.75,0.75,0,0,0,7.360245,3.041306,1.985502,2.713778,3.003569,5.791635,-0.1514276,-0.461589,1.284079,0.3158822,-0.459195,1.250935,0.07518277,0.3265921,1.399425,-0.1087979,-0.4379277,1.274133,0.2627746,-0.4452242,1.24625,0.07987779,-0.1168263,1.385474,0.08200715,-0.434601,1.364182,-0.09456142,0.05539626,1.377657,0.0005797709,-0.4259126,1.331228,-0.1483091,-0.1933107,1.363274,0.2955852,-0.2052637,1.355128,NA,NA,NotTracked,NotTracked,
0.987793,0.3544922,0.05273438,0.9438477,-0.3022461,0.05175781,-2,1,-1,0,0,0,0,-4,0,-2,-2,-1,0,-1,0,-1,0.4375,0.4375,0.4375,0,0,0,7.350564,3.042543,1.995689,2.713778,3.003569,5.791635,-0.1515945,-0.4620035,1.284095,0.3150695,-0.457121,1.250809,0.07485721,0.3266208,1.399847,-0.1066949,-0.4448069,1.27277,0.2729824,-0.4467069,1.263438,0.07972826,-0.1167167,1.385758,0.08186252,-0.4344647,1.364433,-0.09469686,0.05538215,1.37782,0.0003886271,-0.4257467,1.331575,-0.1483553,-0.1932533,1.363631,0.2954825,-0.2050506,1.355354,NA,NA,NotTracked,NotTracked,
0.9970703,0.4892578,0.05712891,0.9438477,-0.3022461,0.05175781,-8,10,10,2,-17,-7,2,0,0,-2,-2,-1,0,-1,0,-1,-30.875,-30.875,-30.875,0,0,0,7.225257,3.075156,2.106511,2.713778,3.003569,5.791635,-0.1517309,-0.462215,1.284369,0.3137611,-0.4554213,1.242776,0.0747022,0.3266421,1.400427,-0.1053586,-0.4315447,1.26675,0.3220453,-0.4861444,1.273786,0.07960761,-0.1166291,1.386275,0.08178729,-0.4343368,1.364835,-0.09484825,0.05539916,1.378262,0.0003228663,-0.4257042,1.332028,-0.148418,-0.1932362,1.363933,0.2961574,-0.2042118,1.356373,NA,NA,NotTracked,NotTracked,
0.9951172,0.6352539,0.2412109,0.9438477,-0.3022461,0.05175781,19,-20,-12,-3,-28,-11,-5,-4,0,-2,-2,-1,0,-1,0,-1,-45.4375,-45.4375,-45.4375,0,0,0,6.975632,3.213675,2.294301,2.713778,3.003569,5.791635,-0.1510646,-0.4607063,1.283502,0.3122628,-0.440181,1.211229,0.07435723,0.3267611,1.40112,-0.1066619,-0.4189621,1.2648,0.3481222,-0.4267615,1.188357,0.07947094,-0.1163963,1.386848,0.08162823,-0.4342019,1.365397,-0.09510489,0.05549904,1.378563,0.0001857641,-0.4255685,1.332669,-0.1484728,-0.1933182,1.364207,0.2971225,-0.2012739,1.357488,NA,NA,NotTracked,NotTracked,
0.9169922,0.7709961,0.5439453,0.9438477,-0.3022461,0.05175781,8,9,17,-2,-56,-5,-2,-2,0,-2,-2,-1,0,-1,0,-1,-7.5625,-7.5625,-7.5625,0,0,0,6.704946,3.605882,2.542327,2.713778,3.003569,5.791635,-0.1525269,-0.4611695,1.282365,0.303804,-0.3790662,1.14736,0.07441022,0.3267976,1.401777,-0.1048885,-0.4606389,1.269312,0.2696877,-0.3339531,1.10555,0.07918891,-0.1161331,1.387436,0.0813083,-0.4339331,1.365994,-0.09523214,0.05553827,1.378782,-0.0001619801,-0.4253491,1.333103,-0.1490358,-0.1929079,1.364643,0.299736,-0.1849044,1.357524,NA,NA,NotTracked,Unknown,
0.706543,0.8823242,0.6123047,0.9438477,-0.3022461,0.05175781,-2,-6,5,4,-14,1,-1,3,0,-2,-2,-1,0,-1,0,-1,7.5,7.5,7.5,0,0,0,6.623088,4.041933,2.67786,2.713778,3.003569,5.791635,-0.1533127,-0.4598241,1.282915,0.2995502,-0.2545034,1.093002,0.07504841,0.3268449,1.402851,-0.1032711,-0.4715539,1.26275,0.2724079,-0.2125761,1.07135,0.07878361,-0.1158026,1.38819,0.08067925,-0.433439,1.366524,-0.09526773,0.05565976,1.378965,-0.0008529597,-0.4248976,1.333454,-0.149244,-0.1928936,1.364716,0.2955435,-0.1574265,1.354746,NA,NA,NotTracked,Unknown,
0.2641602,0.9091797,0.6733398,0.9438477,-0.3022461,0.05175781,10,7,5,2,-5,-1,1,-1,0,-2,-2,-1,0,-1,0,-1,33.6875,33.6875,33.6875,0,0,0,6.620654,4.726519,2.832849,2.713778,3.003569,5.791635,-0.1544012,-0.4594831,1.278975,0.2787283,-0.1195069,1.039478,0.07577533,0.3270342,1.403648,-0.1026912,-0.4678039,1.26075,0.2671187,-0.08561214,1.009529,0.0781636,-0.1155576,1.3893,0.0800112,-0.4332022,1.367033,-0.0953461,0.05567019,1.379078,-0.001530684,-0.4246591,1.333561,-0.1494808,-0.1927805,1.364407,0.2865193,-0.1656608,1.311495,NA,NA,NotTracked,Unknown,
0.1430664,0.8564453,0.6821289,0.9438477,-0.3022461,0.05175781,-1,13,10,1,-5,-2,1,3,0,-2,-2,-1,0,-1,0,-1,51.6875,51.6875,51.6875,0,0,0,6.663625,5.07966,2.913545,2.713778,3.003569,5.791635,-0.1552715,-0.4569055,1.277481,0.2546688,0.01484633,1.051951,0.07755332,0.3268895,1.404677,-0.1068513,-0.4270264,1.2714,0.2228832,0.0296958,1.078,0.07783388,-0.1156946,1.390617,0.07959124,-0.4331021,1.36767,-0.09533948,0.05582772,1.379461,-0.001986748,-0.4246523,1.333985,-0.1499545,-0.1926351,1.36418,0.3237319,-0.1096366,1.250726,NA,NA,NotTracked,Unknown,
-0.3110352,0.7114258,0.4956055,0.9438477,-0.3022461,0.05175781,37,2,-3,-3,-3,-1,0,3,0,-2,-2,-1,0,-1,0,-1,31.5625,31.5625,31.5625,0,0,0,6.796805,5.743209,3.098633,2.713778,3.003569,5.791635,-0.1545981,-0.4562231,1.273956,0.2336947,0.1299377,1.079481,0.07889567,0.3266922,1.404985,-0.1071436,-0.4237263,1.27391,0.1848053,0.1275218,1.086083,0.07733535,-0.1159764,1.391918,0.07761271,-0.4333574,1.36858,-0.09528954,0.05606623,1.380184,-0.004760901,-0.4238437,1.335326,-0.1506583,-0.1913171,1.363971,0.3507719,-0.08980734,1.226295,NA,NA,NotTracked,Unknown,
-0.5014648,0.581543,0.3657227,0.9438477,-0.3022461,0.05175781,-11,2,2,-3,-3,-1,-1,-1,0,-2,-2,-1,0,-1,0,-1,29.1875,29.1875,29.1875,0,0,0,7.0022,6.240746,3.33531,2.713778,3.003569,5.791635,-0.153586,-0.4579363,1.274897,0.2103291,0.2100523,1.120983,0.07877218,0.3269357,1.40464,-0.1165003,-0.4540648,1.259012,0.1828355,0.1970721,1.159857,0.07804062,-0.1125012,1.393431,0.07513542,-0.424476,1.37022,-0.09249847,0.05666472,1.381513,-0.008490532,-0.4124373,1.33759,-0.1501918,-0.1818417,1.364565,0.363395,-0.07744778,1.230697,NA,NA,NotTracked,Closed,
-0.6523438,0.4931641,0.1826172,0.9438477,-0.3022461,0.05175781,-21,7,4,0,-2,0,-3,-4,0,-2,-2,-1,0,-1,0,-1,10.3125,10.3125,10.3125,0,0,0,7.212284,6.489527,3.57984,2.713778,3.003569,5.791635,-0.1510896,-0.4575422,1.278348,0.1961691,0.260234,1.152056,0.07849974,0.326469,1.40413,-0.1136438,-0.4516766,1.265559,0.1750111,0.2443863,1.195917,0.07819216,-0.1120764,1.393917,0.07495931,-0.4229107,1.370569,-0.08839771,0.05771109,1.38263,-0.008858911,-0.4108874,1.337933,-0.1500952,-0.1811199,1.365232,0.3712544,-0.03728606,1.203539,NA,NA,NotTracked,Closed,
