ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9526367,-0.2788086,-0.02929688,0.1328125,1.008301,0.3442383,-2,1,-2,-1,0,-1,1,1,-24,-9,9,-3,-6,-5,-14,-35,0.3125,0.3125,0.3125,-42,-42,-42,2.281853,2.969965,4.455988,7.046736,4.531546,3.143411,-0.06030661,-0.526643,1.504191,0.3375583,-0.1814948,1.286776,0.1395539,0.2460935,1.580639,-0.1067009,-0.5210515,1.505192,0.2834005,-0.1666654,1.2905,0.1448918,-0.176885,1.58672,0.1341022,-0.4766861,1.561162,-0.01652901,-0.01492703,1.591511,0.06034186,-0.4674657,1.539047,-0.05416406,-0.2638098,1.584515,0.3778959,-0.1942291,1.614876,NA,NA,NotTracked,Unknown,
0.9526367,-0.2788086,-0.02929688,-0.07421875,0.8022461,0.3149414,-2,1,-2,-1,0,-1,1,1,8,8,16,1,-4,-4,1,6,0.3125,0.3125,0.3125,-62,-62,-62,2.281853,2.969965,4.455988,6.969631,4.938162,3.212886,-0.06011578,-0.525646,1.503524,0.3268965,-0.1051642,1.309994,0.1395502,0.246228,1.580444,-0.1059966,-0.5232608,1.501615,0.2704021,-0.092883,1.330556,0.1444033,-0.1766579,1.586494,0.133736,-0.4765196,1.560969,-0.01402761,-0.01454998,1.591957,0.05994786,-0.4672373,1.538831,-0.05414993,-0.2638121,1.584277,0.370393,-0.2344492,1.542228,NA,NA,NotTracked,Unknown,
0.9526367,-0.2788086,-0.02929688,-0.5068359,0.5395508,0.2856445,-2,1,-2,-1,0,-1,1,1,5,0,1,-2,2,4,0,5,0.3125,0.3125,0.3125,-38.4375,-38.4375,-38.4375,2.281853,2.969965,4.455988,6.903172,5.566967,3.347219,-0.05903882,-0.5258604,1.502626,0.3164785,-0.04465937,1.337817,0.1394924,0.2463306,1.580317,-0.1045377,-0.5452905,1.496588,0.2546525,-0.02478541,1.332091,0.1439641,-0.176555,1.586454,0.1333897,-0.4764327,1.560894,-0.01471078,-0.01451702,1.590758,0.05958639,-0.467104,1.538782,-0.05410085,-0.2635607,1.584103,0.3770423,-0.2290114,1.560931,NA,NA,NotTracked,Unknown,
0.9526367,-0.2788086,-0.02929688,-0.7583008,0.4775391,0.3994141,-2,1,-2,-1,0,-1,1,1,-8,-9,-13,-6,-2,-1,0,-3,0.3125,0.3125,0.3125,-6,-6,-6,2.281853,2.969965,4.455988,6.940024,5.962984,3.464622,-0.05811276,-0.5251935,1.499069,0.2927517,0.05589617,1.367559,0.1393598,0.2464502,1.580199,-0.1043208,-0.5279566,1.49875,0.2446446,0.06354238,1.385095,0.1433108,-0.1764302,1.586471,0.1326985,-0.4762395,1.560748,-0.01587862,-0.01388849,1.589291,0.0588834,-0.4666302,1.538659,-0.05428029,-0.2614084,1.58263,0.3928199,-0.2055648,1.485978,NA,NA,NotTracked,Unknown,
0.9526367,-0.2788086,-0.02929688,-0.7319336,0.5957031,0.3266602,-2,1,-2,-1,0,-1,1,1,-4,-3,0,1,2,4,9,4,0.3125,0.3125,0.3125,8.75,8.75,8.75,2.281853,2.969965,4.455988,7.137497,6.46348,3.732944,-0.05705946,-0.5253827,1.497902,0.2871743,0.0808074,1.383837,0.1391702,0.2465159,1.580069,-0.0996402,-0.5236501,1.491614,0.2633883,0.1039399,1.443125,0.1431472,-0.1753594,1.586392,0.1322902,-0.4743044,1.560587,-0.01565815,-0.0136429,1.588123,0.05826224,-0.4643052,1.539095,-0.05436908,-0.2585701,1.581792,0.3939841,-0.2017134,1.47528,NA,NA,NotTracked,Unknown,
0.9526367,-0.2788086,-0.02929688,-0.7231445,0.5888672,0.3105469,-2,1,-2,-1,0,-1,1,1,-8,-4,-3,-4,4,-9,-17,-4,0.3125,0.3125,0.3125,-9.5,-9.5,-9.5,2.281853,2.969965,4.455988,7.232731,6.592816,3.856968,-0.05689253,-0.5255541,1.495193,0.2541406,0.1461253,1.414888,0.1389281,0.246428,1.579969,-0.1011964,-0.5269285,1.491,0.2407092,0.136567,1.4698,0.1434096,-0.1747523,1.58448,0.1319234,-0.4733125,1.560375,-0.01160975,-0.01373204,1.587916,0.05760591,-0.4628466,1.539441,-0.05413565,-0.255598,1.580636,0.387329,-0.1867232,1.423153,NA,NA,NotTracked,Unknown,
0.9526367,-0.2788086,-0.02929688,-0.6445313,0.5395508,0.2231445,-2,1,-2,-1,0,-1,1,1,6,34,14,0,3,0,-6,-13,0.3125,0.3125,0.3125,-55.375,-55.375,-55.375,2.281853,2.969965,4.455988,7.452892,6.7852,4.166787,-0.05673778,-0.5247162,1.49445,0.2497811,0.1535297,1.421212,0.1391552,0.2460535,1.579905,-0.1051562,-0.5116547,1.505462,0.2217135,0.1302521,1.459971,0.1434951,-0.1747835,1.584062,0.1318205,-0.4732577,1.560388,-0.01156593,-0.01376754,1.586905,0.05740514,-0.4627485,1.539644,-0.05413245,-0.2536479,1.580151,0.3907709,-0.1405962,1.369047,NA,NA,NotTracked,Unknown,
0.9526367,-0.2788086,-0.02929688,-0.5029297,0.2875977,0.105957,-2,1,-2,-1,0,-1,1,1,56,11,8,32,41,32,18,70,0.3125,0.3125,0.3125,-59,-59,-59,2.281853,2.969965,4.455988,7.827507,6.929621,4.6949,-0.05515378,-0.5259083,1.49114,0.2417928,0.1580305,1.431473,0.1397441,0.2456098,1.579648,-0.09953781,-0.5187373,1.486675,0.1927399,0.1466789,1.481167,0.1437091,-0.1750716,1.583433,0.1317693,-0.4733773,1.560356,-0.0114202,-0.01392386,1.586135,0.05732814,-0.4628666,1.539764,-0.05402664,-0.2535478,1.58003,0.3914033,-0.1401398,1.366,NA,NA,NotTracked,NotTracked,
0.9526367,-0.2788086,-0.02929688,-0.8193359,0.2915039,0.1674805,-2,1,-2,-1,0,-1,1,1,-21,-1,-4,-11,-11,-4,-12,-18,0.3125,0.3125,0.3125,-45.1875,-45.1875,-45.1875,2.281853,2.969965,4.455988,7.917974,6.950591,4.820658,-0.05425609,-0.5258153,1.489592,0.1978419,0.1923607,1.471943,0.1405258,0.2450732,1.579176,-0.09895977,-0.5139276,1.48675,0.1865853,0.1471469,1.4948,0.144032,-0.1755095,1.582685,0.1317028,-0.4737028,1.560235,-0.01136045,-0.01389974,1.585752,0.05728173,-0.4630689,1.539793,-0.05392106,-0.2524297,1.579597,0.3891158,-0.1336985,1.35607,NA,NA,NotTracked,NotTracked,
0.9526367,-0.2788086,-0.02929688,-1.155273,0.234375,0.04833984,-2,1,-2,-1,0,-1,1,1,2,-16,-5,2,-1,-1,1,5,0.3125,0.3125,0.3125,-31.3125,-31.3125,-31.3125,2.281853,2.969965,4.455988,8.180949,6.963917,5.136417,-0.05384957,-0.5260963,1.489461,0.1966134,0.1897486,1.470845,0.1410574,0.244749,1.578707,-0.0979008,-0.5132384,1.485957,0.1951244,0.1358461,1.492321,0.1442541,-0.1758705,1.582115,0.1316316,-0.4741562,1.5601,-0.00932474,-0.01375088,1.586886,0.05727737,-0.4634136,1.539786,-0.05371758,-0.2521812,1.579481,0.3857446,-0.1291545,1.34832,NA,NA,NotTracked,NotTracked,
