ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.2524414,-0.5161133,0.5288086,0.9052734,0.3325195,-0.1289063,-6,-5,-4,-3,-1,-7,-29,-8,-4,6,8,-1,2,-1,-2,-4,-17.9375,-17.9375,-17.9375,-20.9375,-20.9375,-20.9375,3.603125,5.5683,3.717871,8.104448,3.122649,6.58152,0.1020167,-0.04913063,1.384649,0.3694966,-0.5219213,1.496095,0.1505205,0.2449836,1.603709,0.06766057,-0.03305981,1.357297,0.3255249,-0.5345859,1.483842,0.1555666,-0.1768426,1.607557,0.1533065,-0.4776093,1.583404,-0.005571066,-0.004051452,1.604007,0.07925887,-0.4674575,1.559816,-0.09598547,-0.1962539,1.527717,0.3656024,-0.2621485,1.587945,NA,NA,Unknown,Unknown,
-0.2348633,-0.640625,0.5380859,0.8994141,0.3554688,-0.171875,-4,-3,0,4,8,10,11,-5,-10,-18,-11,-4,-5,-4,-9,-5,-19.875,-19.875,-19.875,-54.5,-54.5,-54.5,3.560205,5.599354,3.656569,8.051961,3.135991,6.563461,0.09014374,-0.06034572,1.397375,0.3704214,-0.5208308,1.49588,0.1506964,0.2449045,1.604707,0.07105005,-0.0158935,1.368741,0.3283592,-0.4929289,1.514194,0.155607,-0.1768911,1.607668,0.1532269,-0.4776936,1.583432,-0.005310378,-0.003496768,1.603645,0.07913238,-0.4675141,1.559729,-0.09298624,-0.1939669,1.518571,0.3656254,-0.2621385,1.58795,NA,NA,Unknown,Unknown,
-0.2685547,-0.6835938,0.5317383,1.056641,0.315918,-0.1831055,-12,-3,-1,-4,-8,-11,-13,-15,8,0,-7,12,8,5,5,6,-14.625,-14.625,-14.625,-45.625,-45.625,-45.625,3.544369,5.605539,3.635298,7.981128,3.163029,6.583507,0.09368169,-0.06167544,1.400296,0.3693083,-0.5199722,1.495909,0.1508932,0.2448838,1.605571,0.07654871,-0.01532693,1.367683,0.3273311,-0.4960824,1.51045,0.1556282,-0.1769052,1.607836,0.1532114,-0.4777302,1.583436,-0.005060988,-0.002868846,1.60325,0.07908334,-0.4675685,1.559603,-0.09149607,-0.1926473,1.51483,0.3657544,-0.2622162,1.588182,NA,NA,Unknown,Unknown,
-0.3461914,-0.7119141,0.5737305,1.24707,0.5664063,-0.1899414,-3,-18,-6,4,14,31,35,11,-1,17,10,0,-18,-2,1,-5,4.9375,4.9375,4.9375,13.0625,13.0625,13.0625,3.539112,5.598482,3.611725,7.791522,3.225233,6.790082,0.1047617,-0.05697108,1.389703,0.3643574,-0.5148214,1.48755,0.1514948,0.2452721,1.607828,0.06228908,-0.05458334,1.354255,0.3228666,-0.53531,1.494875,0.1557215,-0.1769419,1.608202,0.1531464,-0.4778444,1.583418,-0.004694025,-0.002098836,1.602613,0.07891271,-0.4676895,1.559062,-0.08974127,-0.1889593,1.505632,0.3677972,-0.2621142,1.591337,NA,NA,Unknown,Unknown,
-0.3173828,-0.7583008,0.6328125,1.237305,0.8271484,0.004882813,-7,-1,0,-5,-5,-3,10,-5,-4,-11,-15,-14,-5,-12,-8,-2,-1.625,-1.625,-1.625,59.625,59.625,59.625,3.543867,5.581833,3.615907,7.625412,3.351195,7.047581,0.1187543,-0.05070448,1.380658,0.3566599,-0.5032311,1.476768,0.1519159,0.2453707,1.609096,0.09490506,0.00125915,1.355297,0.3197544,-0.5269058,1.4744,0.1557051,-0.1769508,1.608246,0.1529549,-0.4779165,1.583221,-0.004593691,-0.001784252,1.602376,0.07852009,-0.4676647,1.55827,-0.09100976,-0.1862403,1.50151,0.370625,-0.2611824,1.594378,NA,NA,Unknown,NotTracked,
-0.3359375,-0.7919922,0.6088867,1.135742,1.06543,0.05761719,3,13,0,0,3,12,18,11,-9,-18,23,44,29,3,4,-5,-3.0625,-3.0625,-3.0625,44.8125,44.8125,44.8125,3.543683,5.575706,3.620162,7.464015,3.561738,7.308244,0.1160509,-0.05017561,1.375236,0.3450518,-0.4804485,1.465086,0.1521734,0.245452,1.609857,0.07005752,-0.04906422,1.348146,0.3256316,-0.5188233,1.477438,0.1555677,-0.1769073,1.608309,0.1524421,-0.4778793,1.582776,-0.004492903,-0.001483656,1.602116,0.07777286,-0.4673734,1.557185,-0.09758718,-0.1863293,1.509366,0.3738772,-0.2583475,1.59821,NA,NA,Unknown,NotTracked,
-0.3564453,-0.8032227,0.5976563,0.9316406,1.193848,0.2563477,-11,-1,-1,-2,-3,-6,-11,-19,1,-19,-8,10,3,-17,-24,-4,-6.6875,-6.6875,-6.6875,5.3125,5.3125,5.3125,3.535368,5.566158,3.630587,7.31092,3.82882,7.544295,0.1134765,-0.05679971,1.378282,0.3307938,-0.4631386,1.436479,0.1523748,0.2453886,1.610656,0.08590256,-0.0115307,1.355242,0.3058577,-0.4772415,1.454032,0.1553251,-0.1768573,1.608388,0.151377,-0.477697,1.582096,-0.004416537,-0.001259921,1.601908,0.07658403,-0.4668697,1.556301,-0.0902954,-0.1861462,1.501409,0.3797919,-0.250174,1.603119,NA,NA,Unknown,NotTracked,
-0.3989258,-0.7797852,0.5561523,0.5224609,1.12793,0.2861328,5,0,-3,-6,-12,-17,-16,0,-9,-5,-38,-48,-34,-23,-25,-17,-9.9375,-9.9375,-9.9375,-31.8125,-31.8125,-31.8125,3.523456,5.564679,3.630928,7.164424,4.161179,7.74108,0.1565567,-0.03786933,1.36044,0.3069221,-0.4052647,1.451925,0.1525478,0.2455496,1.611281,0.1076563,0.01800654,1.339647,0.3007585,-0.4845309,1.47555,0.1548876,-0.1767451,1.608376,0.1497264,-0.477372,1.581127,-0.00437476,-0.00102458,1.601669,0.07482499,-0.4661946,1.555043,-0.1017154,-0.185931,1.51441,0.3871266,-0.2408308,1.604375,NA,NA,Unknown,NotTracked,
-0.3881836,-0.7514648,0.5756836,0.1162109,0.8710938,0.2329102,-4,-5,-2,1,0,2,2,0,5,8,3,2,1,-8,19,16,-15.125,-15.125,-15.125,-38.4375,-38.4375,-38.4375,3.516074,5.56537,3.632068,7.055383,4.547134,7.900798,0.1537352,-0.03673791,1.353219,0.2409043,-0.3085393,1.438766,0.1524872,0.2457846,1.613385,0.1116962,0.02580487,1.336934,0.2689617,-0.3621422,1.461091,0.1538929,-0.1763143,1.608691,0.1476232,-0.4768407,1.580328,-0.004339635,-0.0006584257,1.60114,0.07305032,-0.4654602,1.554285,-0.1049116,-0.1843845,1.51529,0.4005499,-0.2004161,1.599992,NA,NA,Unknown,Unknown,
-0.3652344,-0.7172852,0.590332,-0.1855469,0.6821289,0.3208008,-4,-14,-5,-2,-1,3,8,2,42,4,8,19,6,-14,-5,-5,-18.125,-18.125,-18.125,15.1875,15.1875,15.1875,3.492839,5.570102,3.63398,7.033094,4.965118,8.045769,0.1535767,-0.03649871,1.350369,0.2371554,-0.2353725,1.428561,0.1524296,0.2458777,1.614264,0.110604,0.0226292,1.337277,0.2221959,-0.282091,1.448,0.1535794,-0.1760833,1.608824,0.1470058,-0.4765224,1.580052,-0.004331721,-0.0005424569,1.60092,0.07259465,-0.4651634,1.554457,-0.1065071,-0.1828554,1.513728,0.4159602,-0.1918533,1.592126,NA,NA,Unknown,Unknown,
